img_num,time,intensity,avg_baseline,scaled,filename,condition,PYO,objective,resolution,bleach,id
1,0,0.032,127.3667778,0.000251243,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
2,0.2075,127.788,127.3667778,1.003307159,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
3,0.3991,128.3,127.3667778,1.007327046,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
4,0.5908,126.445,127.3667778,0.992762808,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
5,0.7824,126.58,127.3667778,0.993822739,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
6,0.974,127.313,127.3667778,0.999577772,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
7,1.1657,127.325,127.3667778,0.999671988,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
8,1.3891,126.978,127.3667778,0.996947573,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
9,1.5807,127.173,127.3667778,0.998478585,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
10,1.7723,128.399,127.3667778,1.008104329,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
11,6.0825,0.044,127.3667778,0.000345459,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
12,6.2741,123.012,127.3667778,0.965809155,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
13,6.4658,123.624,127.3667778,0.970614176,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
14,6.7527,123.857,127.3667778,0.972443538,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
15,6.9444,123.42,127.3667778,0.969012502,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
16,7.136,123.71,127.3667778,0.971289391,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
17,7.3117,124.322,127.3667778,0.976094412,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
18,7.4875,124.883,127.3667778,0.980499014,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
19,7.6791,123.963,127.3667778,0.97327578,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
20,7.8707,123.92,127.3667778,0.972938172,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
21,8.0623,123.746,127.3667778,0.971572039,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
22,8.254,123.979,127.3667778,0.973401402,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
23,8.4456,123.716,127.3667778,0.971336499,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
24,8.6531,124.135,127.3667778,0.974626211,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
25,8.8447,124.242,127.3667778,0.975466304,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
26,9.0364,124.422,127.3667778,0.976879546,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
27,9.228,123.957,127.3667778,0.973228672,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
28,9.4196,124.424,127.3667778,0.976895248,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
29,9.6113,125.097,127.3667778,0.982179201,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
30,9.8029,124.446,127.3667778,0.977067978,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
31,9.9945,124.527,127.3667778,0.977703936,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
32,10.1861,124.722,127.3667778,0.979234948,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
33,10.3619,124.849,127.3667778,0.980232068,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
34,10.5376,124.408,127.3667778,0.976769627,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
35,10.7451,125.249,127.3667778,0.983372605,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
36,10.9526,124.629,127.3667778,0.978504773,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
37,11.1602,125.449,127.3667778,0.984942873,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
38,11.3677,124.954,127.3667778,0.981056459,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
39,11.5752,124.756,127.3667778,0.979501894,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
40,11.7827,124.587,127.3667778,0.978175017,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
41,11.9743,125.322,127.3667778,0.983945753,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
42,12.166,124.654,127.3667778,0.978701057,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
43,12.3576,125.47,127.3667778,0.985107751,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
44,12.5492,125.037,127.3667778,0.98170812,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
45,12.7408,124.666,127.3667778,0.978795273,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
46,12.9325,124.095,127.3667778,0.974312157,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
47,13.1241,125.06,127.3667778,0.981888701,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
48,13.3157,126.011,127.3667778,0.989355326,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
49,13.4915,125.365,127.3667778,0.98428336,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
50,13.6672,124.065,127.3667778,0.974076617,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
51,13.8429,125.22,127.3667778,0.983144916,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
52,14.0505,125.275,127.3667778,0.983576739,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
53,14.258,125.705,127.3667778,0.986952816,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
54,14.4655,124.635,127.3667778,0.978551881,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
55,14.673,124.925,127.3667778,0.98082877,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
56,14.8805,125.358,127.3667778,0.984228401,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
57,15.088,124.653,127.3667778,0.978693205,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
58,15.2797,125.353,127.3667778,0.984189144,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
59,15.4713,124.492,127.3667778,0.97742914,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
60,15.6629,125.47,127.3667778,0.985107751,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
61,15.8546,124.912,127.3667778,0.980726703,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
62,16.0462,125.738,127.3667778,0.98721191,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
63,16.2219,125.475,127.3667778,0.985147008,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
64,16.4135,125.87,127.3667778,0.988248287,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
65,16.6052,125.642,127.3667778,0.986458182,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
66,16.7968,125.487,127.3667778,0.985241224,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
67,16.9725,125.288,127.3667778,0.983678807,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
68,17.1801,125.825,127.3667778,0.987894977,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
69,17.3876,124.563,127.3667778,0.977986585,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
70,17.5951,124.885,127.3667778,0.980514717,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
71,17.8026,126.085,127.3667778,0.989936326,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
72,18.0101,125.616,127.3667778,0.986254047,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
73,18.2176,125.762,127.3667778,0.987400343,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
74,18.4093,126.188,127.3667778,0.990745014,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
75,18.6009,125.469,127.3667778,0.9850999,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
76,18.7925,124.846,127.3667778,0.980208514,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
77,18.9841,125.484,127.3667778,0.98521767,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
78,19.1758,126.207,127.3667778,0.990894189,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
79,19.3674,124.834,127.3667778,0.980114298,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
80,19.559,127.026,127.3667778,0.997324438,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
81,19.7507,125.45,127.3667778,0.984950724,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
82,19.9423,124.963,127.3667778,0.981127121,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
83,20.118,125.154,127.3667778,0.982626727,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
84,20.3255,125.273,127.3667778,0.983561037,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
85,20.5331,124.786,127.3667778,0.979737434,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
86,20.7406,125.957,127.3667778,0.988931354,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
87,20.9481,125.274,127.3667778,0.983568888,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
88,21.1556,125.888,127.3667778,0.988389612,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
89,21.3631,125.148,127.3667778,0.982579619,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
90,21.5706,125.448,127.3667778,0.984935021,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
91,21.7623,125.237,127.3667778,0.983278389,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
92,21.9539,126.368,127.3667778,0.992158255,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
93,22.1455,125.216,127.3667778,0.98311351,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
94,22.3371,125.433,127.3667778,0.984817251,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
95,22.5288,126.707,127.3667778,0.99481986,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
96,22.8157,126.3,127.3667778,0.991624364,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
97,23.0074,125.762,127.3667778,0.987400343,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
98,23.199,126.24,127.3667778,0.991153284,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
99,23.3747,125.765,127.3667778,0.987423897,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
100,23.5505,125.653,127.3667778,0.986544546,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
101,23.7421,125.188,127.3667778,0.982893673,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
102,23.9337,125.237,127.3667778,0.983278389,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
103,24.1253,126.651,127.3667778,0.994380185,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
104,24.3964,125.489,127.3667778,0.985256926,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
105,24.588,125.804,127.3667778,0.987730099,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
106,24.7797,126.786,127.3667778,0.995440116,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
