img_num,time,bleach_int,ref_int,filename,condition,agarose,PYO,objective,excitation,resolution,bleach_rep,bleach_speed,id
1,0,5741.285,5762.919,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
2,0.1951,5698.421,5764.186,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
3,0.3752,5679.034,5748.152,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
4,0.5493,5676.557,5759.04,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
5,0.7464,5739.592,5803.332,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
6,1.1154,5688.274,5785.492,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
7,1.3065,5809.74,5769.367,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
8,1.4886,5651.298,5809.995,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
9,1.6717,5673.178,5788.882,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
10,1.8608,5646.145,5750.333,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
11,10.7445,4684.595,5447.087,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
12,10.9255,4671.83,5513.644,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
13,11.1136,4767.256,5381.827,1pctAg_300uMPYO_FRAP_10xMag_750ex_128px_20xBl_4sp_id_6,PBS,1pctAg,300uMPYO,10xMag,750ex,128px,20xBl,4sp,6
