Phenazine,Inhibitor,Concentration,Material,Replicate,RT,Area,Channel Name,Amount
PYO,EB,10,cells,1,6.037,245200,313.0nm,9.236
PCA,EB,10,cells,1,3.882,10727,364.0nm,0.705
PCN,EB,10,cells,1,8.886,749184,364.0nm,48.065
PYO,EB,10,cells,2,6.057,221703,313.0nm,8.35
PCA,EB,10,cells,2,3.891,10219,364.0nm,0.672
PCN,EB,10,cells,2,8.903,736618,364.0nm,47.258
PYO,EB,10,cells,3,6.046,213230,313.0nm,8.031
PCA,EB,10,cells,3,3.875,10151,364.0nm,0.667
PCN,EB,10,cells,3,8.893,783164,364.0nm,50.245
PYO,EB,100,cells,1,6.054,285070,313.0nm,10.737
PCA,EB,100,cells,1,3.883,15755,364.0nm,1.036
PCN,EB,100,cells,1,8.902,593412,364.0nm,38.071
PYO,EB,100,cells,2,6.049,292478,313.0nm,11.016
PCA,EB,100,cells,2,3.878,15535,364.0nm,1.021
PCN,EB,100,cells,2,8.894,589826,364.0nm,37.841
PYO,EB,100,cells,3,6.043,276449,313.0nm,10.413
PCA,EB,100,cells,3,3.873,15051,364.0nm,0.989
PCN,EB,100,cells,3,8.891,631348,364.0nm,40.505
PYO,EB,500,cells,1,6.053,222603,313.0nm,8.384
PCA,EB,500,cells,1,3.88,36382,364.0nm,2.391
PCN,EB,500,cells,1,8.899,827346,364.0nm,53.079
PYO,EB,500,cells,2,6.035,195271,313.0nm,7.355
PCA,EB,500,cells,2,3.866,39229,364.0nm,2.579
PCN,EB,500,cells,2,8.881,861598,364.0nm,55.277
PYO,EB,500,cells,3,6.047,240771,313.0nm,9.069
PCA,EB,500,cells,3,3.882,34571,364.0nm,2.272
PCN,EB,500,cells,3,8.895,784075,364.0nm,50.303
PYO,EB,1000,cells,1,6.056,159615,313.0nm,6.012
PCA,EB,1000,cells,1,3.888,36396,364.0nm,2.392
PCN,EB,1000,cells,1,8.903,1536025,364.0nm,98.545
PYO,EB,1000,cells,2,6.038,179845,313.0nm,6.774
PCA,EB,1000,cells,2,3.875,46437,364.0nm,3.052
PCN,EB,1000,cells,2,8.886,1719464,364.0nm,110.314
PYO,EB,1000,cells,3,6.049,191639,313.0nm,7.218
PCA,EB,1000,cells,3,3.889,43062,364.0nm,2.83
PCN,EB,1000,cells,3,8.895,1636423,364.0nm,104.986
PYO,EB,10,agar,1,6.048,95697,313.0nm,3.604
PCA,EB,10,agar,1,3.875,233242,364.0nm,15.331
PCN,EB,10,agar,1,8.896,1639912,364.0nm,105.21
PYO,EB,10,agar,2,6.034,77243,313.0nm,2.909
PCA,EB,10,agar,2,3.866,193405,364.0nm,12.713
PCN,EB,10,agar,2,8.884,1356175,364.0nm,87.007
PYO,EB,10,agar,3,6.04,69107,313.0nm,2.603
PCA,EB,10,agar,3,3.872,166915,364.0nm,10.971
PCN,EB,10,agar,3,8.892,1188694,364.0nm,76.262
PYO,EB,100,agar,1,6.051,99071,313.0nm,3.732
PCA,EB,100,agar,1,3.878,226222,364.0nm,14.87
PCN,EB,100,agar,1,8.9,1424611,364.0nm,91.397
PYO,EB,100,agar,2,6.047,91912,313.0nm,3.462
PCA,EB,100,agar,2,3.879,208116,364.0nm,13.679
PCN,EB,100,agar,2,8.897,1301831,364.0nm,83.52
PYO,EB,100,agar,3,6.04,97230,313.0nm,3.662
PCA,EB,100,agar,3,3.873,220753,364.0nm,14.51
PCN,EB,100,agar,3,8.89,1424678,364.0nm,91.402
PYO,EB,500,agar,1,6.049,125411,313.0nm,4.724
PCA,EB,500,agar,1,3.88,331923,364.0nm,21.817
PCN,EB,500,agar,1,8.901,1616378,364.0nm,103.7
PYO,EB,500,agar,2,6.04,130430,313.0nm,4.913
PCA,EB,500,agar,2,3.876,336874,364.0nm,22.143
PCN,EB,500,agar,2,8.892,1644074,364.0nm,105.477
PYO,EB,500,agar,3,6.045,130191,313.0nm,4.904
PCA,EB,500,agar,3,3.881,329107,364.0nm,21.632
PCN,EB,500,agar,3,8.898,1557572,364.0nm,99.927
PYO,EB,1000,agar,1,6.04,196978,313.0nm,7.419
PCA,EB,1000,agar,1,3.882,388023,364.0nm,25.505
PCN,EB,1000,agar,1,8.892,1271483,364.0nm,81.573
PYO,EB,1000,agar,2,6.038,154062,313.0nm,5.803
PCA,EB,1000,agar,2,3.891,392434,364.0nm,25.795
PCN,EB,1000,agar,2,8.892,1362122,364.0nm,87.388
PYO,EB,1000,agar,3,6.051,174296,313.0nm,6.565
PCA,EB,1000,agar,3,3.907,395908,364.0nm,26.023
PCN,EB,1000,agar,3,8.905,1348139,364.0nm,86.491
PYO,EB,0,cells,3,6.053,207584,313.0nm,7.819
PCA,EB,0,cells,3,3.946,16162,364.0nm,1.062
PCN,EB,0,cells,3,8.907,1022799,364.0nm,65.619
PYO,EB,0,cells,2,6.044,197329,313.0nm,7.432
PCA,EB,0,cells,2,3.933,13052,364.0nm,0.858
PCN,EB,0,cells,2,8.897,812960,364.0nm,52.156
PYO,EB,0,cells,1,6.048,181150,313.0nm,6.823
PCA,EB,0,cells,1,3.935,14445,364.0nm,0.95
PCN,EB,0,cells,1,8.901,1003891,364.0nm,64.406
PCA,EB,0,agar,2,man,203000,364,13.3
PYO,EB,0,agar,2,6.041,48247,313.0nm,1.817
PCN,EB,0,agar,2,8.892,687830,364.0nm,44.128
PYO,EB,0,agar,3,6.053,51047,313.0nm,1.923
PCN,EB,0,agar,3,8.908,1179207,364.0nm,75.653
PCA,EB,0,agar,3,man,206159,364,13
