May 12, 2006   00:01:11
Cyclic Voltammetry
File: f:\echem\05_01_19_dphz_pca\biofilm_a\soak_1\75um_pca_dphzstar_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
2nd E (V) = 0
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.000, -1.2762714e-8, -1.5642254e-8
-0.001, -9.5482928e-9, -1.4400102e-8
-0.002, -8.6464329e-9, -1.3227445e-8
-0.003, -7.4921491e-9, -1.1390975e-8
-0.004, -6.1685177e-9, -1.0384472e-8
-0.005, -5.0246185e-9, -9.8900070e-9
-0.006, -4.3576098e-9, -9.3811625e-9
-0.007, -3.9645944e-9, -8.6031200e-9
-0.008, -3.5851584e-9, -7.6229769e-9
-0.009, -3.1681782e-9, -6.8209696e-9
-0.010, -2.9021738e-9, -6.2410317e-9
-0.011, -2.5339213e-9, -5.8735785e-9
-0.012, -2.0754032e-9, -5.5860063e-9
-0.013, -1.5258202e-9, -5.3040257e-9
-0.014, -9.6505393e-10, -5.0220446e-9
-0.015, -4.8656540e-10, -4.7744124e-9
-0.016, -5.7603148e-11, -4.5930824e-9
-0.017, 2.4035385e-10, -4.4357162e-9
-0.018, 4.4405099e-10, -4.2999178e-9
-0.019, 6.0700872e-10, -4.1297712e-9
-0.020, 7.3881279e-10, -3.9204822e-9
-0.021, 8.1949281e-10, -3.6592707e-9
-0.022, 9.8644448e-10, -3.3453376e-9
-0.023, 1.1030712e-9, -2.9619076e-9
-0.024, 1.2428634e-9, -2.6623528e-9
-0.025, 1.3858509e-9, -2.3204612e-9
-0.026, 1.4896964e-9, -2.0696342e-9
-0.027, 1.6486601e-9, -1.8451678e-9
-0.028, 1.7277424e-9, -1.6191040e-9
-0.029, 1.8475642e-9, -1.4066198e-9
-0.030, 1.9777706e-9, -1.3307327e-9
-0.031, 2.0600484e-9, -1.1502010e-9
-0.032, 2.1591009e-9, -1.0415626e-9
-0.033, 2.3044848e-9, -9.4969921e-10
-0.034, 2.4163187e-9, -8.5863466e-10
-0.035, 2.5201643e-9, -8.3387136e-10
-0.036, 2.6727374e-9, -7.4600209e-10
-0.037, 2.7653997e-9, -6.9967093e-10
-0.038, 2.9147775e-9, -6.4455286e-10
-0.039, 3.1104865e-9, -6.0301464e-10
-0.040, 3.2654561e-9, -5.4789662e-10
-0.041, 3.4212246e-9, -5.1035243e-10
-0.042, 3.6129395e-9, -4.5683196e-10
-0.043, 3.8014591e-9, -4.2168427e-10
-0.044, 3.9132932e-9, -3.7295669e-10
-0.045, 4.0506887e-9, -3.2023509e-10
-0.046, 4.2519894e-9, -2.7390398e-10
-0.047, 4.3334683e-9, -2.2357878e-10
-0.048, 4.4245327e-9, -1.5807618e-10
-0.049, 4.6601825e-9, -1.1573912e-10
-0.050, 4.6985251e-9, -7.1005632e-11
-0.051, 4.8303295e-9, -5.0236513e-11
-0.052, 4.9301812e-9, -1.5887585e-11
-0.053, 4.9805058e-9, 1.0473224e-11
-0.054, 5.0867484e-9, 7.6774649e-11
-0.055, 5.1706239e-9, 8.7159210e-11
-0.056, 5.1985816e-9, 1.0633070e-10
-0.057, 5.3152083e-9, 1.2789864e-10
-0.058, 5.3447646e-9, 1.5985113e-10
-0.059, 5.4270424e-9, 2.0378581e-10
-0.060, 5.4526046e-9, 2.4532404e-10
-0.061, 5.4637872e-9, 2.9325278e-10
-0.062, 5.5756213e-9, 3.1402192e-10
-0.063, 5.5796154e-9, 3.2201006e-10
-0.064, 5.6155622e-9, 3.5715778e-10
-0.065, 5.6874550e-9, 4.1147702e-10
-0.066, 5.7305911e-9, 4.4982001e-10
-0.067, 5.7329874e-9, 4.3384377e-10
