May 12, 2006   00:09:23
Cyclic Voltammetry
File: f:\echem\05_01_19_dphz_pca\biofilm_a\transfer_1\gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
2nd E (V) = 0
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.000, -2.5232973e-8, -2.1660506e-8
-0.001, -2.1925889e-8, -1.9812852e-8
-0.002, -1.8618808e-8, -1.7777481e-8
-0.003, -1.6871006e-8, -1.6080802e-8
-0.004, -1.4327586e-8, -1.5031162e-8
-0.005, -1.3160522e-8, -1.4114127e-8
-0.006, -1.2324165e-8, -1.3180316e-8
-0.007, -1.0450951e-8, -1.1886239e-8
-0.008, -9.2591224e-9, -1.0877339e-8
-0.009, -8.6879712e-9, -1.0326957e-8
-0.010, -8.1000460e-9, -9.9379358e-9
-0.011, -7.5600486e-9, -9.4266950e-9
-0.012, -6.8283366e-9, -8.6382670e-9
-0.013, -5.9208856e-9, -7.8027105e-9
-0.014, -4.9543227e-9, -7.1205246e-9
-0.015, -4.4199173e-9, -6.6284560e-9
-0.016, -4.0524637e-9, -6.2929550e-9
-0.017, -3.6394776e-9, -5.9790217e-9
-0.018, -3.3375265e-9, -5.6914491e-9
-0.019, -3.1242435e-9, -5.4126637e-9
-0.020, -2.9245406e-9, -5.1131090e-9
-0.021, -2.7408136e-9, -4.8534954e-9
-0.022, -2.4404603e-9, -4.6713660e-9
-0.023, -2.0314683e-9, -4.4836450e-9
-0.024, -1.5346071e-9, -4.2424033e-9
-0.025, -9.3390029e-10, -4.1257771e-9
-0.026, -4.3384377e-10, -3.8925241e-9
-0.027, -2.5650657e-11, -3.5098928e-9
-0.028, 2.4035385e-10, -3.3373493e-9
-0.029, 4.6482010e-10, -3.1408416e-9
-0.030, 6.2138733e-10, -2.7102816e-9
-0.031, 7.8434503e-10, -2.6735363e-9
-0.032, 9.3292418e-10, -2.4035378e-9
-0.033, 1.0990772e-9, -2.1638940e-9
-0.034, 1.2396681e-9, -1.9146644e-9
-0.035, 1.3978330e-9, -1.6933934e-9
-0.036, 1.4984832e-9, -1.5256428e-9
-0.037, 1.6079205e-9, -1.3243422e-9
-0.038, 1.6997840e-9, -1.1949346e-9
-0.039, 1.7932450e-9, -1.1006748e-9
-0.040, 1.8635404e-9, -1.0016219e-9
-0.041, 1.9202562e-9, -9.1135616e-10
-0.042, 2.0145159e-9, -8.1150464e-10
-0.043, 2.1031841e-9, -7.8354617e-10
-0.044, 2.2134203e-9, -6.3816241e-10
-0.045, 2.2948992e-9, -6.9088396e-10
-0.046, 2.4418807e-9, -6.4055883e-10
-0.047, 2.6008442e-9, -5.1274890e-10
-0.048, 2.6998972e-9, -4.8239396e-10
-0.049, 2.9195706e-9, -4.2168427e-10
-0.050, 3.0441851e-9, -3.5777928e-10
-0.051, 3.1743916e-9, -3.0585645e-10
-0.052, 3.4475856e-9, -2.4434790e-10
-0.053, 3.5346559e-9, -1.8843105e-10
-0.054, 3.7503352e-9, -1.5967382e-10
-0.055, 3.8030570e-9, -1.1893438e-10
-0.056, 4.0139430e-9, -4.7041263e-11
-0.057, 4.1641202e-9, 1.2869660e-11
-0.058, 4.3111017e-9, 1.8461347e-11
-0.059, 4.4724615e-9, 2.8047096e-11
-0.060, 4.5267807e-9, 1.4946658e-10
-0.061, 4.6282298e-9, 2.2775018e-10
-0.062, 4.7991757e-9, 1.9979174e-10
-0.063, 4.8958317e-9, 2.2615256e-10
-0.064, 4.9892934e-9, 2.8127062e-10
