Phenazine,Strain,Condition,Replicate,Material,Day,RT,Area,Channel Name,Amount,calcConc
PYO,WT,DNase,1,cells,D4,5.952,78120,313.0nm,2.523,72.32600000000001
PCA,WT,DNase,1,cells,D4,3.17,10966,364.0nm,0.698,20.009333333333334
PCN,WT,DNase,1,cells,D4,8.799,283489,364.0nm,19.744,565.9946666666667
PYO,dPEL,none,1,cells,D4,5.946,136541,313.0nm,4.409,126.39133333333334
PCA,dPEL,none,1,cells,D4,3.141,8025,364.0nm,0.511,14.648666666666667
PCN,dPEL,none,1,cells,D4,8.792,312898,364.0nm,21.792,624.7040000000001
PYO,dPEL,none,2,cells,D4,5.954,144535,313.0nm,4.667,133.78733333333332
PCN,dPEL,none,2,cells,D4,8.799,318130,364.0nm,22.157,635.1673333333333
PYO,dPEL,none,3,cells,D4,5.958,162036,313.0nm,5.233,150.01266666666666
PCA,dPEL,none,3,cells,D4,3.129,8239,364.0nm,0.525,15.05
PCN,dPEL,none,3,cells,D4,8.803,310771,364.0nm,21.644,620.4613333333333
PYO,dPELdALG,none,1,cells,D4,5.957,92602,313.0nm,2.99,85.71333333333334
PCA,dPELdALG,none,1,cells,D4,3.132,7444,364.0nm,0.474,13.588
PCN,dPELdALG,none,1,cells,D4,8.807,308056,364.0nm,21.455,615.0433333333333
PYO,dPELdALG,none,2,cells,D4,5.948,87484,313.0nm,2.825,80.98333333333335
PCA,dPELdALG,none,2,cells,D4,3.103,6805,364.0nm,0.433,12.412666666666667
PCN,dPELdALG,none,2,cells,D4,8.796,297448,364.0nm,20.716,593.8586666666667
PYO,dPELdALG,none,3,cells,D4,5.954,79263,313.0nm,2.56,73.38666666666667
PCA,dPELdALG,none,3,cells,D4,3.111,6728,364.0nm,0.428,12.269333333333334
PCN,dPELdALG,none,3,cells,D4,8.802,279967,364.0nm,19.499,558.9713333333333
PYO,WT,DNase,1,agar,D3,5.955,28104,313.0nm,0.908,2.9056
PCA,WT,DNase,1,agar,D3,3.034,108676,364.0nm,6.918,22.137600000000003
PCN,WT,DNase,1,agar,D3,8.796,269862,364.0nm,18.795,60.144000000000005
PYO,WT,DNase,2,agar,D3,5.96,25688,313.0nm,0.83,2.656
PCA,WT,DNase,2,agar,D3,3.035,105487,364.0nm,6.715,21.488
PCN,WT,DNase,2,agar,D3,8.803,267772,364.0nm,18.649,59.67680000000001
PYO,WT,DNase,3,agar,D3,5.967,25549,313.0nm,0.825,2.64
PCA,WT,DNase,3,agar,D3,3.059,100413,364.0nm,6.392,20.454400000000003
PCN,WT,DNase,3,agar,D3,8.815,311458,364.0nm,21.692,69.4144
PYO,WT,none,1,agar,D3,5.964,29797,313.0nm,0.962,3.0784000000000002
PCA,WT,none,1,agar,D3,3.105,116948,364.0nm,7.445,23.824
