# DNA modified electrode Data by Edmund Tse. 
# No oxygen, PCN modified DNA with well matched (wm) or mismatched (mm) duplex DNA.
E,Current,Construct
-0.05,-1.13E-09,mm
-0.051,4.85E-09,mm
-0.052,9.30E-09,mm
-0.053,1.22E-08,mm
-0.054,1.29E-08,mm
-0.055,1.28E-08,mm
-0.056,1.25E-08,mm
-0.057,1.27E-08,mm
-0.058,1.29E-08,mm
-0.059,1.31E-08,mm
-0.06,1.32E-08,mm
-0.061,1.33E-08,mm
-0.062,1.35E-08,mm
-0.063,1.36E-08,mm
-0.064,1.38E-08,mm
-0.065,1.40E-08,mm
-0.066,1.41E-08,mm
-0.067,1.42E-08,mm
-0.068,1.43E-08,mm
-0.069,1.44E-08,mm
-0.07,1.45E-08,mm
-0.071,1.46E-08,mm
-0.072,1.47E-08,mm
-0.073,1.48E-08,mm
-0.074,1.49E-08,mm
-0.075,1.51E-08,mm
-0.076,1.52E-08,mm
-0.077,1.53E-08,mm
-0.078,1.54E-08,mm
-0.079,1.55E-08,mm
-0.08,1.56E-08,mm
-0.081,1.56E-08,mm
-0.082,1.57E-08,mm
-0.083,1.58E-08,mm
-0.084,1.60E-08,mm
-0.085,1.61E-08,mm
-0.086,1.62E-08,mm
-0.087,1.63E-08,mm
-0.088,1.64E-08,mm
-0.089,1.64E-08,mm
-0.09,1.65E-08,mm
-0.091,1.66E-08,mm
-0.092,1.67E-08,mm
-0.093,1.69E-08,mm
-0.094,1.70E-08,mm
-0.095,1.71E-08,mm
-0.096,1.72E-08,mm
-0.097,1.72E-08,mm
-0.098,1.73E-08,mm
-0.099,1.74E-08,mm
-0.1,1.76E-08,mm
-0.101,1.76E-08,mm
-0.102,1.76E-08,mm
-0.103,1.77E-08,mm
-0.104,1.78E-08,mm
-0.105,1.80E-08,mm
-0.106,1.81E-08,mm
-0.107,1.81E-08,mm
-0.108,1.82E-08,mm
-0.109,1.83E-08,mm
-0.11,1.84E-08,mm
-0.111,1.85E-08,mm
-0.112,1.86E-08,mm
-0.113,1.87E-08,mm
-0.114,1.88E-08,mm
-0.115,1.89E-08,mm
-0.116,1.89E-08,mm
-0.117,1.89E-08,mm
-0.118,1.90E-08,mm
-0.119,1.91E-08,mm
-0.12,1.92E-08,mm
-0.121,1.93E-08,mm
-0.122,1.93E-08,mm
-0.123,1.94E-08,mm
-0.124,1.95E-08,mm
-0.125,1.96E-08,mm
-0.126,1.96E-08,mm
-0.127,1.96E-08,mm
-0.128,1.97E-08,mm
-0.129,1.97E-08,mm
-0.13,1.98E-08,mm
-0.131,1.99E-08,mm
-0.132,1.99E-08,mm
-0.133,1.99E-08,mm
-0.134,1.99E-08,mm
-0.135,2.00E-08,mm
-0.136,2.01E-08,mm
-0.137,2.01E-08,mm
-0.138,2.02E-08,mm
-0.139,2.01E-08,mm
-0.14,2.02E-08,mm
-0.141,2.02E-08,mm
-0.142,2.02E-08,mm
-0.143,2.03E-08,mm
-0.144,2.03E-08,mm
-0.145,2.04E-08,mm
-0.146,2.03E-08,mm
-0.147,2.03E-08,mm
-0.148,2.03E-08,mm
-0.149,2.04E-08,mm
-0.15,2.05E-08,mm
-0.151,2.05E-08,mm
-0.152,2.05E-08,mm
-0.153,2.05E-08,mm
-0.154,2.04E-08,mm
-0.155,2.05E-08,mm
-0.156,2.05E-08,mm
-0.157,2.05E-08,mm
-0.158,2.05E-08,mm
-0.159,2.06E-08,mm
-0.16,2.06E-08,mm
-0.161,2.05E-08,mm
-0.162,2.05E-08,mm
-0.163,2.05E-08,mm
-0.164,2.05E-08,mm
-0.165,2.05E-08,mm
-0.166,2.05E-08,mm
-0.167,2.04E-08,mm
-0.168,2.05E-08,mm
-0.169,2.05E-08,mm
-0.17,2.05E-08,mm
-0.171,2.05E-08,mm
-0.172,2.04E-08,mm
-0.173,2.04E-08,mm
-0.174,2.04E-08,mm
-0.175,2.05E-08,mm
-0.176,2.04E-08,mm
-0.177,2.04E-08,mm
-0.178,2.04E-08,mm
-0.179,2.04E-08,mm
-0.18,2.05E-08,mm
-0.181,2.04E-08,mm
-0.182,2.04E-08,mm
-0.183,2.04E-08,mm
-0.184,2.04E-08,mm
-0.185,2.04E-08,mm
-0.186,2.03E-08,mm
-0.187,2.03E-08,mm
-0.188,2.03E-08,mm
-0.189,2.03E-08,mm
-0.19,2.03E-08,mm
-0.191,2.03E-08,mm
-0.192,2.03E-08,mm
-0.193,2.02E-08,mm
-0.194,2.02E-08,mm
-0.195,2.02E-08,mm
-0.196,2.02E-08,mm
-0.197,2.02E-08,mm
-0.198,2.02E-08,mm
-0.199,2.02E-08,mm
-0.2,2.02E-08,mm
-0.201,2.02E-08,mm
-0.202,2.02E-08,mm
-0.203,2.03E-08,mm
-0.204,2.04E-08,mm
-0.205,2.05E-08,mm
-0.206,2.05E-08,mm
-0.207,2.03E-08,mm
-0.208,2.01E-08,mm
-0.209,2.00E-08,mm
-0.21,2.00E-08,mm
-0.211,2.01E-08,mm
-0.212,2.01E-08,mm
-0.213,2.01E-08,mm
-0.214,2.01E-08,mm
-0.215,2.01E-08,mm
-0.216,2.00E-08,mm
-0.217,2.00E-08,mm
-0.218,2.00E-08,mm
-0.219,2.00E-08,mm
-0.22,2.01E-08,mm
-0.221,2.00E-08,mm
-0.222,2.00E-08,mm
-0.223,1.99E-08,mm
-0.224,1.99E-08,mm
-0.225,2.00E-08,mm
-0.226,2.00E-08,mm
-0.227,2.00E-08,mm
-0.228,1.99E-08,mm
-0.229,1.99E-08,mm
-0.23,1.99E-08,mm
-0.231,1.99E-08,mm
-0.232,1.99E-08,mm
-0.233,1.99E-08,mm
-0.234,1.98E-08,mm
-0.235,1.99E-08,mm
-0.236,1.99E-08,mm
-0.237,1.99E-08,mm
-0.238,1.99E-08,mm
-0.239,1.99E-08,mm
-0.24,1.99E-08,mm
-0.241,1.99E-08,mm
-0.242,1.99E-08,mm
-0.243,1.99E-08,mm
-0.244,1.99E-08,mm
-0.245,1.99E-08,mm
-0.246,1.99E-08,mm
-0.247,1.99E-08,mm
-0.248,1.99E-08,mm
-0.249,1.99E-08,mm
-0.25,1.99E-08,mm
-0.251,1.99E-08,mm
-0.252,1.99E-08,mm
-0.253,1.99E-08,mm
-0.254,1.99E-08,mm
-0.255,1.99E-08,mm
-0.256,1.99E-08,mm
-0.257,1.99E-08,mm
-0.258,1.99E-08,mm
-0.259,1.99E-08,mm
-0.26,1.99E-08,mm
-0.261,1.99E-08,mm
-0.262,1.99E-08,mm
-0.263,1.99E-08,mm
-0.264,1.99E-08,mm
-0.265,2.00E-08,mm
-0.266,1.99E-08,mm
-0.267,1.99E-08,mm
-0.268,1.99E-08,mm
-0.269,1.99E-08,mm
-0.27,1.99E-08,mm
-0.271,1.99E-08,mm
-0.272,1.99E-08,mm
-0.273,1.99E-08,mm
-0.274,1.99E-08,mm
-0.275,2.00E-08,mm
-0.276,2.00E-08,mm
-0.277,2.00E-08,mm
-0.278,2.00E-08,mm
-0.279,2.00E-08,mm
-0.28,2.01E-08,mm
-0.281,2.01E-08,mm
-0.282,2.01E-08,mm
-0.283,2.01E-08,mm
-0.284,2.01E-08,mm
-0.285,2.01E-08,mm
-0.286,2.01E-08,mm
-0.287,2.01E-08,mm
-0.288,2.01E-08,mm
-0.289,2.02E-08,mm
-0.29,2.02E-08,mm
-0.291,2.02E-08,mm
-0.292,2.02E-08,mm
-0.293,2.02E-08,mm
-0.294,2.02E-08,mm
-0.295,2.03E-08,mm
-0.296,2.04E-08,mm
-0.297,2.04E-08,mm
-0.298,2.04E-08,mm
-0.299,2.04E-08,mm
-0.3,2.04E-08,mm
-0.301,2.04E-08,mm
-0.302,2.05E-08,mm
-0.303,2.05E-08,mm
-0.304,2.05E-08,mm
-0.305,2.05E-08,mm
-0.306,2.05E-08,mm
-0.307,2.05E-08,mm
-0.308,2.06E-08,mm
-0.309,2.07E-08,mm
-0.31,2.08E-08,mm
-0.311,2.08E-08,mm
-0.312,2.08E-08,mm
-0.313,2.08E-08,mm
-0.314,2.09E-08,mm
-0.315,2.10E-08,mm
-0.316,2.10E-08,mm
-0.317,2.11E-08,mm
-0.318,2.11E-08,mm
-0.319,2.11E-08,mm
-0.32,2.12E-08,mm
-0.321,2.12E-08,mm
-0.322,2.13E-08,mm
-0.323,2.14E-08,mm
-0.324,2.15E-08,mm
-0.325,2.16E-08,mm
-0.326,2.16E-08,mm
-0.327,2.16E-08,mm
-0.328,2.16E-08,mm
-0.329,2.17E-08,mm
-0.33,2.18E-08,mm
-0.331,2.20E-08,mm
-0.332,2.21E-08,mm
-0.333,2.22E-08,mm
-0.334,2.23E-08,mm
-0.335,2.25E-08,mm
-0.336,2.25E-08,mm
-0.337,2.26E-08,mm
-0.338,2.26E-08,mm
-0.339,2.27E-08,mm
-0.34,2.28E-08,mm
-0.341,2.30E-08,mm
-0.342,2.31E-08,mm
-0.343,2.32E-08,mm
-0.344,2.34E-08,mm
-0.345,2.35E-08,mm
-0.346,2.36E-08,mm
-0.347,2.38E-08,mm
-0.348,2.39E-08,mm
-0.349,2.41E-08,mm
-0.35,2.43E-08,mm
-0.351,2.44E-08,mm
-0.352,2.45E-08,mm
-0.353,2.47E-08,mm
-0.354,2.48E-08,mm
-0.355,2.50E-08,mm
-0.356,2.51E-08,mm
-0.357,2.53E-08,mm
-0.358,2.54E-08,mm
-0.359,2.56E-08,mm
-0.36,2.58E-08,mm
-0.361,2.60E-08,mm
-0.362,2.61E-08,mm
-0.363,2.63E-08,mm
-0.364,2.64E-08,mm
-0.365,2.66E-08,mm
-0.366,2.67E-08,mm
-0.367,2.69E-08,mm
-0.368,2.71E-08,mm
-0.369,2.72E-08,mm
-0.37,2.74E-08,mm
-0.371,2.75E-08,mm
-0.372,2.77E-08,mm
-0.373,2.78E-08,mm
-0.374,2.79E-08,mm
-0.375,2.81E-08,mm
-0.376,2.82E-08,mm
-0.377,2.82E-08,mm
-0.378,2.84E-08,mm
-0.379,2.85E-08,mm
-0.38,2.87E-08,mm
-0.381,2.88E-08,mm
-0.382,2.89E-08,mm
-0.383,2.89E-08,mm
-0.384,2.90E-08,mm
-0.385,2.91E-08,mm
-0.386,2.92E-08,mm
-0.387,2.92E-08,mm
-0.388,2.92E-08,mm
-0.389,2.93E-08,mm
-0.39,2.94E-08,mm
-0.391,2.95E-08,mm
-0.392,2.95E-08,mm
-0.393,2.95E-08,mm
-0.394,2.95E-08,mm
-0.395,2.96E-08,mm
-0.396,2.97E-08,mm
-0.397,2.97E-08,mm
-0.398,2.97E-08,mm
-0.399,2.97E-08,mm
-0.4,2.98E-08,mm
-0.401,2.98E-08,mm
