# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.05,-5.79E-09,wm,TRUE,TRUE
-0.051,8.49E-10,wm,TRUE,TRUE
-0.052,5.77E-09,wm,TRUE,TRUE
-0.053,8.97E-09,wm,TRUE,TRUE
-0.054,9.75E-09,wm,TRUE,TRUE
-0.055,9.58E-09,wm,TRUE,TRUE
-0.056,9.27E-09,wm,TRUE,TRUE
-0.057,9.45E-09,wm,TRUE,TRUE
-0.058,9.59E-09,wm,TRUE,TRUE
-0.059,9.71E-09,wm,TRUE,TRUE
-0.06,9.79E-09,wm,TRUE,TRUE
-0.061,9.93E-09,wm,TRUE,TRUE
-0.062,1.00E-08,wm,TRUE,TRUE
-0.063,1.01E-08,wm,TRUE,TRUE
-0.064,1.02E-08,wm,TRUE,TRUE
-0.065,1.03E-08,wm,TRUE,TRUE
-0.066,1.04E-08,wm,TRUE,TRUE
-0.067,1.04E-08,wm,TRUE,TRUE
-0.068,1.05E-08,wm,TRUE,TRUE
-0.069,1.06E-08,wm,TRUE,TRUE
-0.07,1.07E-08,wm,TRUE,TRUE
-0.071,1.08E-08,wm,TRUE,TRUE
-0.072,1.08E-08,wm,TRUE,TRUE
-0.073,1.09E-08,wm,TRUE,TRUE
-0.074,1.09E-08,wm,TRUE,TRUE
-0.075,1.10E-08,wm,TRUE,TRUE
-0.076,1.11E-08,wm,TRUE,TRUE
-0.077,1.11E-08,wm,TRUE,TRUE
-0.078,1.12E-08,wm,TRUE,TRUE
-0.079,1.12E-08,wm,TRUE,TRUE
-0.08,1.13E-08,wm,TRUE,TRUE
-0.081,1.14E-08,wm,TRUE,TRUE
-0.082,1.14E-08,wm,TRUE,TRUE
-0.083,1.15E-08,wm,TRUE,TRUE
-0.084,1.15E-08,wm,TRUE,TRUE
-0.085,1.16E-08,wm,TRUE,TRUE
-0.086,1.16E-08,wm,TRUE,TRUE
-0.087,1.16E-08,wm,TRUE,TRUE
-0.088,1.17E-08,wm,TRUE,TRUE
-0.089,1.18E-08,wm,TRUE,TRUE
-0.09,1.18E-08,wm,TRUE,TRUE
