strain,PHZadded,molecule.x,condition,echem.x,rep,E.x,PHZaddedInt,time,electrode,current.x,PYOmax,molecule.y,echem.y,E.y,current.y,PYOmin,swvPYOsignal,PYOminSig,swvPYOsignalBg,t0.5,I0
blank2,25uM,PYO,transfer,SWVfast,1,-0.221,25,6,i1,1.7306179e-6,1.7306179e-6,PYO,SWVfast,-0.12,1.3813865e-6,1.3813865e-6,3.4923139999999995e-7,-3.7684529999999993e-7,7.260766999999999e-7,0.408248290463863,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,2,-0.215,25,12,i1,1.557266e-6,1.557266e-6,PYO,SWVfast,-0.12,1.5081705e-6,1.5081705e-6,4.909550000000007e-8,-3.7684529999999993e-7,4.259408e-7,0.28867513459481287,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,3,-0.213,25,18,i1,1.4734574e-6,1.4734574e-6,PYO,SWVfast,-0.12,1.494112e-6,1.494112e-6,-2.065459999999992e-8,-3.7684529999999993e-7,3.561907e-7,0.23570226039551584,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,4,-0.212,25,24,i1,1.4084567e-6,1.4084567e-6,PYO,SWVfast,-0.12,1.4772405e-6,1.4772405e-6,-6.878379999999998e-8,-3.7684529999999993e-7,3.0806149999999996e-7,0.2041241452319315,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,5,-0.211,25,30,i1,1.3888105e-6,1.3888105e-6,PYO,SWVfast,-0.12,1.5114413e-6,1.5114413e-6,-1.2263080000000002e-7,-3.7684529999999993e-7,2.542144999999999e-7,0.18257418583505536,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,6,-0.213,25,36,i1,1.3622614e-6,1.3622614e-6,PYO,SWVfast,-0.12,1.4957008e-6,1.4957008e-6,-1.3343940000000006e-7,-3.7684529999999993e-7,2.434058999999999e-7,0.16666666666666666,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,7,-0.212,25,42,i1,1.3287083e-6,1.3287083e-6,PYO,SWVfast,-0.12,1.5079997e-6,1.5079997e-6,-1.7929140000000006e-7,-3.7684529999999993e-7,1.9755389999999987e-7,0.1543033499620919,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,8,-0.212,25,48,i1,1.3046965e-6,1.3046965e-6,PYO,SWVfast,-0.12,1.5140636e-6,1.5140636e-6,-2.0936709999999994e-7,-3.7684529999999993e-7,1.674782e-7,0.14433756729740643,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,9,-0.213,25,54,i1,1.2830978e-6,1.2830978e-6,PYO,SWVfast,-0.12,1.5061153e-6,1.5061153e-6,-2.230175000000002e-7,-3.7684529999999993e-7,1.5382779999999974e-7,0.13608276348795434,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,10,-0.21,25,60,i1,1.2679675e-6,1.2679675e-6,PYO,SWVfast,-0.12,1.5256602e-6,1.5256602e-6,-2.5769269999999987e-7,-3.7684529999999993e-7,1.1915260000000007e-7,0.12909944487358055,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,11,-0.21,25,66,i1,1.2570206e-6,1.2570206e-6,PYO,SWVfast,-0.12,1.5424778e-6,1.5424778e-6,-2.854572e-7,-3.7684529999999993e-7,9.138809999999991e-8,0.12309149097933274,7.260766999999999e-7
blank2,25uM,PYO,transfer,SWVfast,12,-0.212,25,72,i1,1.2256543e-6,1.2256543e-6,PYO,SWVfast,-0.12,1.5068479e-6,1.5068479e-6,-2.8119360000000003e-7,-3.7684529999999993e-7,9.56516999999999e-8,0.11785113019775792,7.260766999999999e-7
