E,Generator,Collector
0,6.43E-10,-3.70E-09
-0.001,6.81E-10,-3.68E-09
-0.002,7.03E-10,-3.66E-09
-0.003,7.27E-10,-3.64E-09
-0.004,7.67E-10,-3.63E-09
-0.005,8.44E-10,-3.62E-09
-0.006,9.04E-10,-3.62E-09
-0.007,9.98E-10,-3.61E-09
-0.008,1.08E-09,-3.60E-09
-0.009,1.13E-09,-3.58E-09
-0.01,1.17E-09,-3.56E-09
-0.011,1.19E-09,-3.55E-09
-0.012,1.22E-09,-3.53E-09
-0.013,1.26E-09,-3.52E-09
-0.014,1.34E-09,-3.51E-09
-0.015,1.44E-09,-3.50E-09
-0.016,1.49E-09,-3.48E-09
-0.017,1.55E-09,-3.47E-09
-0.018,1.61E-09,-3.45E-09
-0.019,1.64E-09,-3.43E-09
-0.02,1.66E-09,-3.39E-09
-0.021,1.68E-09,-3.36E-09
-0.022,1.69E-09,-3.33E-09
-0.023,1.72E-09,-3.30E-09
-0.024,1.78E-09,-3.27E-09
-0.025,1.82E-09,-3.24E-09
-0.026,1.90E-09,-3.21E-09
-0.027,1.99E-09,-3.19E-09
-0.028,2.03E-09,-3.17E-09
-0.029,2.09E-09,-3.16E-09
-0.03,2.12E-09,-3.15E-09
-0.031,2.15E-09,-3.14E-09
-0.032,2.16E-09,-3.14E-09
-0.033,2.17E-09,-3.13E-09
-0.034,2.21E-09,-3.12E-09
-0.035,2.24E-09,-3.12E-09
-0.036,2.29E-09,-3.11E-09
-0.037,2.39E-09,-3.10E-09
-0.038,2.41E-09,-3.09E-09
-0.039,2.51E-09,-3.08E-09
-0.04,2.55E-09,-3.08E-09
-0.041,2.59E-09,-3.06E-09
-0.042,2.62E-09,-3.05E-09
-0.043,2.63E-09,-3.04E-09
-0.044,2.65E-09,-3.03E-09
-0.045,2.67E-09,-3.02E-09
-0.046,2.69E-09,-3.02E-09
-0.047,2.71E-09,-3.01E-09
-0.048,2.73E-09,-3.00E-09
-0.049,2.76E-09,-2.99E-09
-0.05,2.80E-09,-2.98E-09
-0.051,2.83E-09,-2.97E-09
-0.052,2.86E-09,-2.96E-09
-0.053,2.94E-09,-2.94E-09
-0.054,2.97E-09,-2.93E-09
-0.055,3.02E-09,-2.91E-09
-0.056,3.06E-09,-2.89E-09
