E,Generator,Collector
0,-1.71E-09,-1.19E-08
-0.001,-1.50E-09,-1.18E-08
-0.002,-1.32E-09,-1.17E-08
-0.003,-1.26E-09,-1.16E-08
-0.004,-1.16E-09,-1.15E-08
-0.005,-9.42E-10,-1.14E-08
-0.006,-8.46E-10,-1.14E-08
-0.007,-7.75E-10,-1.14E-08
-0.008,-6.52E-10,-1.13E-08
-0.009,-5.01E-10,-1.13E-08
-0.01,-3.58E-10,-1.12E-08
-0.011,-2.97E-10,-1.11E-08
-0.012,-2.37E-10,-1.10E-08
-0.013,-1.28E-10,-1.10E-08
-0.014,3.30E-11,-1.09E-08
-0.015,1.74E-10,-1.09E-08
-0.016,2.11E-10,-1.09E-08
-0.017,2.95E-10,-1.08E-08
-0.018,4.89E-10,-1.08E-08
-0.019,6.09E-10,-1.07E-08
-0.02,6.75E-10,-1.06E-08
-0.021,7.20E-10,-1.05E-08
-0.022,7.84E-10,-1.05E-08
-0.023,8.94E-10,-1.05E-08
-0.024,1.06E-09,-1.04E-08
-0.025,1.14E-09,-1.04E-08
-0.026,1.18E-09,-1.04E-08
-0.027,1.25E-09,-1.03E-08
-0.028,1.37E-09,-1.03E-08
-0.029,1.53E-09,-1.03E-08
-0.03,1.57E-09,-1.02E-08
-0.031,1.65E-09,-1.01E-08
-0.032,1.67E-09,-1.00E-08
-0.033,1.74E-09,-1.00E-08
-0.034,1.78E-09,-9.97E-09
-0.035,1.94E-09,-9.94E-09
-0.036,2.05E-09,-9.92E-09
-0.037,2.13E-09,-9.88E-09
-0.038,2.15E-09,-9.85E-09
-0.039,2.20E-09,-9.73E-09
-0.04,2.27E-09,-9.70E-09
-0.041,2.39E-09,-9.38E-09
-0.042,2.51E-09,-9.90E-09
-0.043,2.49E-09,-9.51E-09
-0.044,2.64E-09,-9.53E-09
-0.045,2.65E-09,-9.53E-09
-0.046,2.64E-09,-9.51E-09
-0.047,2.76E-09,-9.47E-09
-0.048,2.80E-09,-9.43E-09
-0.049,2.94E-09,-9.32E-09
-0.05,2.87E-09,-9.39E-09
-0.051,2.85E-09,-9.40E-09
-0.052,3.06E-09,-9.38E-09
-0.053,3.10E-09,-9.32E-09
-0.054,3.15E-09,-9.33E-09
-0.055,3.20E-09,-9.19E-09
-0.056,3.26E-09,-9.14E-09
-0.057,3.43E-09,-8.97E-09
-0.058,3.55E-09,-9.26E-09
-0.059,3.35E-09,-9.13E-09
-0.06,3.51E-09,-9.06E-09
-0.061,3.58E-09,-9.01E-09
-0.062,3.61E-09,-9.00E-09
-0.063,3.63E-09,-8.98E-09
-0.064,3.65E-09,-8.96E-09
-0.065,3.68E-09,-8.94E-09
-0.066,3.74E-09,-8.92E-09
-0.067,3.81E-09,-8.90E-09
-0.068,3.90E-09,-8.88E-09
-0.069,3.98E-09,-8.85E-09
-0.07,4.04E-09,-8.83E-09
-0.071,4.08E-09,-8.80E-09
-0.072,4.10E-09,-8.76E-09
-0.073,4.11E-09,-8.71E-09
-0.074,4.13E-09,-8.67E-09
-0.075,4.16E-09,-8.61E-09
-0.076,4.20E-09,-8.59E-09
-0.077,4.28E-09,-8.56E-09
-0.078,4.34E-09,-8.54E-09
-0.079,4.43E-09,-8.53E-09
-0.08,4.49E-09,-8.51E-09
-0.081,4.53E-09,-8.51E-09
-0.082,4.57E-09,-8.49E-09
-0.083,4.58E-09,-8.48E-09
-0.084,4.60E-09,-8.47E-09
-0.085,4.61E-09,-8.45E-09
-0.086,4.63E-09,-8.43E-09
-0.087,4.65E-09,-8.42E-09
-0.088,4.68E-09,-8.41E-09
-0.089,4.71E-09,-8.40E-09
-0.09,4.76E-09,-8.39E-09
-0.091,4.80E-09,-8.37E-09
-0.092,4.85E-09,-8.36E-09
-0.093,4.90E-09,-8.34E-09
-0.094,4.95E-09,-8.31E-09
-0.095,5.01E-09,-8.27E-09
-0.096,5.05E-09,-8.24E-09
-0.097,5.06E-09,-8.21E-09
-0.098,5.09E-09,-8.17E-09
-0.099,5.09E-09,-8.14E-09
-0.1,5.10E-09,-8.10E-09
-0.101,5.12E-09,-8.08E-09
-0.102,5.14E-09,-8.06E-09
-0.103,5.20E-09,-8.05E-09
-0.104,5.24E-09,-8.03E-09
-0.105,5.28E-09,-8.01E-09
-0.106,5.31E-09,-8.00E-09
-0.107,5.37E-09,-7.98E-09
-0.108,5.53E-09,-8.01E-09
-0.109,5.53E-09,-7.99E-09
-0.11,5.51E-09,-7.93E-09
-0.111,5.52E-09,-7.91E-09
-0.112,5.56E-09,-7.99E-09
-0.113,5.62E-09,-7.86E-09
-0.114,5.51E-09,-7.94E-09
-0.115,5.51E-09,-7.95E-09
-0.116,5.57E-09,-7.91E-09
-0.117,5.60E-09,-7.90E-09
-0.118,5.61E-09,-7.88E-09
-0.119,5.63E-09,-7.86E-09
-0.12,5.69E-09,-7.85E-09
-0.121,5.71E-09,-7.82E-09
-0.122,5.75E-09,-7.79E-09
-0.123,5.83E-09,-7.77E-09
-0.124,5.87E-09,-7.75E-09
-0.125,5.91E-09,-7.72E-09
-0.126,5.95E-09,-7.69E-09
-0.127,6.01E-09,-7.68E-09
-0.128,6.02E-09,-7.65E-09
-0.129,6.04E-09,-7.62E-09
-0.13,6.06E-09,-7.60E-09
-0.131,6.07E-09,-7.58E-09
-0.132,6.08E-09,-7.57E-09
-0.133,6.11E-09,-7.57E-09
-0.134,6.13E-09,-7.56E-09
-0.135,6.16E-09,-7.55E-09
-0.136,6.24E-09,-7.54E-09
-0.137,6.38E-09,-7.54E-09
-0.138,6.41E-09,-7.51E-09
-0.139,6.45E-09,-7.51E-09
-0.14,6.55E-09,-7.24E-09
-0.141,6.57E-09,-7.78E-09
-0.142,6.30E-09,-7.60E-09
-0.143,6.44E-09,-7.51E-09
-0.144,6.51E-09,-7.51E-09
-0.145,6.55E-09,-7.49E-09
-0.146,6.58E-09,-7.49E-09
-0.147,6.59E-09,-7.47E-09
-0.148,6.61E-09,-7.47E-09
-0.149,6.65E-09,-7.46E-09
-0.15,6.66E-09,-7.45E-09
-0.151,6.69E-09,-7.44E-09
-0.152,6.74E-09,-7.44E-09
-0.153,6.77E-09,-7.43E-09
-0.154,6.83E-09,-7.42E-09
-0.155,6.88E-09,-7.42E-09
-0.156,6.92E-09,-7.41E-09
-0.157,6.97E-09,-7.41E-09
-0.158,6.99E-09,-7.40E-09
-0.159,7.02E-09,-7.40E-09
-0.16,7.04E-09,-7.39E-09
-0.161,7.05E-09,-7.38E-09
-0.162,7.07E-09,-7.37E-09
-0.163,7.07E-09,-7.36E-09
-0.164,7.10E-09,-7.35E-09
-0.165,7.17E-09,-7.33E-09
-0.166,7.21E-09,-7.32E-09
-0.167,7.26E-09,-7.31E-09
-0.168,7.33E-09,-7.29E-09
-0.169,7.35E-09,-7.29E-09
-0.17,7.41E-09,-7.27E-09
-0.171,7.45E-09,-7.24E-09
-0.172,7.49E-09,-7.23E-09
-0.173,7.50E-09,-7.21E-09
-0.174,7.52E-09,-7.19E-09
-0.175,7.54E-09,-7.19E-09
-0.176,7.55E-09,-7.17E-09
-0.177,7.57E-09,-7.15E-09
-0.178,7.61E-09,-7.14E-09
-0.179,7.66E-09,-7.14E-09
-0.18,7.71E-09,-7.11E-09
-0.181,7.86E-09,-7.09E-09
-0.182,7.81E-09,-7.06E-09
-0.183,7.97E-09,-7.05E-09
-0.184,7.93E-09,-7.03E-09
-0.185,8.02E-09,-7.06E-09
-0.186,8.04E-09,-7.05E-09
-0.187,8.01E-09,-7.20E-09
-0.188,8.03E-09,-7.08E-09
-0.189,8.04E-09,-7.08E-09
-0.19,8.07E-09,-7.07E-09
-0.191,8.17E-09,-7.12E-09
-0.192,8.11E-09,-7.05E-09
-0.193,8.35E-09,-7.05E-09
-0.194,8.43E-09,-7.05E-09
-0.195,8.45E-09,-7.05E-09
-0.196,8.49E-09,-7.05E-09
-0.197,8.53E-09,-7.05E-09
-0.198,8.54E-09,-7.05E-09
-0.199,8.57E-09,-7.05E-09
-0.2,8.65E-09,-7.04E-09
-0.201,8.72E-09,-7.04E-09
-0.202,8.83E-09,-7.04E-09
-0.203,8.91E-09,-7.05E-09
-0.204,8.99E-09,-7.04E-09
-0.205,8.99E-09,-7.05E-09
-0.206,9.02E-09,-7.05E-09
-0.207,9.12E-09,-7.05E-09
-0.208,9.24E-09,-7.05E-09
-0.209,9.32E-09,-7.05E-09
-0.21,9.44E-09,-7.06E-09
-0.211,9.48E-09,-7.06E-09
-0.212,9.51E-09,-7.07E-09
-0.213,9.60E-09,-7.08E-09
-0.214,9.71E-09,-7.09E-09
-0.215,9.87E-09,-7.09E-09
-0.216,9.97E-09,-7.11E-09
-0.217,1.00E-08,-7.13E-09
-0.218,1.01E-08,-7.16E-09
-0.219,1.03E-08,-7.19E-09
-0.22,1.04E-08,-7.22E-09
-0.221,1.05E-08,-7.27E-09
-0.222,1.06E-08,-7.31E-09
-0.223,1.08E-08,-7.34E-09
-0.224,1.09E-08,-7.38E-09
-0.225,1.10E-08,-7.40E-09
-0.226,1.12E-08,-7.42E-09
-0.227,1.13E-08,-7.44E-09
-0.228,1.14E-08,-7.47E-09
-0.229,1.16E-08,-7.50E-09
-0.23,1.18E-08,-7.53E-09
-0.231,1.20E-08,-7.55E-09
-0.232,1.23E-08,-7.58E-09
-0.233,1.25E-08,-7.52E-09
-0.234,1.24E-08,-7.87E-09
-0.235,1.26E-08,-7.93E-09
-0.236,1.29E-08,-7.97E-09
-0.237,1.31E-08,-8.02E-09
-0.238,1.34E-08,-8.06E-09
-0.239,1.35E-08,-8.19E-09
-0.24,1.38E-08,-8.34E-09
-0.241,1.39E-08,-8.40E-09
-0.242,1.43E-08,-8.47E-09
-0.243,1.45E-08,-8.53E-09
-0.244,1.48E-08,-8.65E-09
-0.245,1.50E-08,-8.84E-09
-0.246,1.53E-08,-8.93E-09
-0.247,1.54E-08,-9.01E-09
-0.248,1.58E-08,-9.16E-09
-0.249,1.59E-08,-9.35E-09
-0.25,1.63E-08,-9.45E-09
-0.251,1.65E-08,-9.52E-09
-0.252,1.68E-08,-9.74E-09
-0.253,1.70E-08,-9.91E-09
-0.254,1.73E-08,-1.00E-08
-0.255,1.75E-08,-1.03E-08
-0.256,1.78E-08,-1.04E-08
-0.257,1.81E-08,-1.05E-08
-0.258,1.83E-08,-1.07E-08
-0.259,1.86E-08,-1.09E-08
-0.26,1.88E-08,-1.10E-08
-0.261,1.91E-08,-1.12E-08
-0.262,1.93E-08,-1.14E-08
-0.263,1.96E-08,-1.15E-08
-0.264,1.98E-08,-1.16E-08
-0.265,2.00E-08,-1.19E-08
-0.266,2.03E-08,-1.20E-08
-0.267,2.04E-08,-1.22E-08
-0.268,2.07E-08,-1.24E-08
-0.269,2.08E-08,-1.24E-08
-0.27,2.11E-08,-1.27E-08
-0.271,2.12E-08,-1.28E-08
-0.272,2.14E-08,-1.29E-08
-0.273,2.16E-08,-1.31E-08
-0.274,2.18E-08,-1.33E-08
-0.275,2.19E-08,-1.34E-08
-0.276,2.22E-08,-1.35E-08
-0.277,2.23E-08,-1.37E-08
-0.278,2.23E-08,-1.38E-08
-0.279,2.25E-08,-1.39E-08
-0.28,2.27E-08,-1.40E-08
-0.281,2.28E-08,-1.42E-08
-0.282,2.29E-08,-1.43E-08
-0.283,2.30E-08,-1.44E-08
-0.284,2.32E-08,-1.45E-08
-0.285,2.32E-08,-1.46E-08
-0.286,2.33E-08,-1.48E-08
-0.287,2.34E-08,-1.48E-08
-0.288,2.35E-08,-1.49E-08
-0.289,2.36E-08,-1.50E-08
-0.29,2.37E-08,-1.51E-08
-0.291,2.37E-08,-1.52E-08
-0.292,2.38E-08,-1.53E-08
-0.293,2.40E-08,-1.53E-08
-0.294,2.41E-08,-1.54E-08
-0.295,2.41E-08,-1.54E-08
-0.296,2.42E-08,-1.55E-08
-0.297,2.42E-08,-1.57E-08
-0.298,2.42E-08,-1.57E-08
-0.299,2.43E-08,-1.58E-08
-0.3,2.44E-08,-1.58E-08
-0.301,2.45E-08,-1.59E-08
-0.302,2.46E-08,-1.59E-08
-0.303,2.46E-08,-1.59E-08
-0.304,2.47E-08,-1.60E-08
-0.305,2.47E-08,-1.61E-08
-0.306,2.47E-08,-1.62E-08
-0.307,2.48E-08,-1.62E-08
-0.308,2.48E-08,-1.63E-08
-0.309,2.48E-08,-1.63E-08
-0.31,2.50E-08,-1.63E-08
-0.311,2.50E-08,-1.63E-08
-0.312,2.51E-08,-1.64E-08
-0.313,2.50E-08,-1.64E-08
-0.314,2.51E-08,-1.65E-08
-0.315,2.51E-08,-1.65E-08
-0.316,2.52E-08,-1.66E-08
-0.317,2.51E-08,-1.67E-08
-0.318,2.52E-08,-1.67E-08
-0.319,2.52E-08,-1.67E-08
-0.32,2.53E-08,-1.67E-08
-0.321,2.53E-08,-1.68E-08
-0.322,2.54E-08,-1.68E-08
-0.323,2.54E-08,-1.68E-08
-0.324,2.55E-08,-1.68E-08
-0.325,2.56E-08,-1.68E-08
