Wavelength,Well,FluorInt,Condition,Colony_number,Replicate,pred,eDNA_ug_mL,eDNA_dsDNA_uM
535,A2,22868,Control,NA,NA,1.5861354144598518,84.5938887711921,253.78166631357627
535,D1,217,noDye,1,1,-0.019746665942566244,-1.0531555169368663,-3.1594665508105986
535,D2,168,noDye,2,1,-0.023220606251590947,-1.238432333418184,-3.7152970002545516
535,D3,157,noDye,3,1,-0.02400047040259649,-1.2800250881384796,-3.8400752644154386
535,D4,173,noDye,4,1,-0.022866122546588423,-1.2195265358180492,-3.6585796074541475
535,D5,159,noDye,5,1,-0.023858676920595484,-1.2724627690984258,-3.8173883072952774
535,D6,152,noDye,6,1,-0.02435495410759901,-1.298930885738614,-3.896792657215842
535,E1,10665,TOTO,1,1,0.7209824840307005,38.45239914830403,115.35719744491209
535,E2,9108,TOTO,2,1,0.6105962582929156,32.565133775622165,97.6954013268665
535,E3,6415,TOTO,3,1,0.41967133477855806,22.38247118818976,67.14741356456929
535,E4,7289,TOTO,4,1,0.4816350864129986,25.68720460869326,77.06161382607978
535,E5,10798,TOTO,5,1,0.7304117505837675,38.9552933644676,116.8658800934028
535,E6,6794,TOTO,6,1,0.44654119961774913,23.815530646279953,71.44659193883986
535,F1,12517,TOTO,1,2,0.852283248363634,45.455106579393814,136.36531973818146
535,F2,6882,TOTO,2,2,0.45278011282579345,24.148272684042315,72.44481805212695
535,F3,9006,TOTO,3,2,0.6033647907108642,32.17945550457942,96.53836651373827
535,F4,6559,TOTO,4,2,0.42988046548263065,22.926958159073635,68.7808744772209
535,F5,8397,TOTO,5,2,0.5601886754415573,29.876729356883054,89.63018807064917
535,F6,6527,TOTO,6,2,0.42761176977061455,22.805961054432775,68.41788316329831
535,G1,13607,TOTO,1,3,0.9295606960541836,49.576570456223116,148.72971136866934
535,G2,8622,TOTO,2,3,0.5761404421666706,30.7274902488891,92.18247074666729
535,G3,7151,TOTO,3,3,0.4718513361549291,25.16540459492955,75.49621378478865
535,G4,8291,TOTO,4,3,0.5526736208955038,29.475926447760198,88.4277793432806
535,G5,7998,TOTO,5,3,0.5319008757823561,28.368046708392328,85.10414012517698
535,G6,8059,TOTO,6,3,0.5362255769833868,28.598697439113963,85.79609231734189
