Wavelength,A2,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
525,19947,218,163,157,172,153,154,8807,7599,5280,6035,8889,5578,10167,5695,7381,5399,6855,5358,10976,7125,5897,6890,6602,6642
530,22321,217,166,155,175,162,154,10131,8677,6087,6907,10228,6436,11864,6547,8586,6209,7976,6166,12834,8165,6773,7895,7579,7630
535,22868,217,168,157,173,159,152,10665,9108,6415,7289,10798,6794,12517,6882,9006,6559,8397,6527,13607,8622,7151,8291,7998,8059
540,22038,212,164,158,171,158,152,10634,9012,6334,7235,10698,6692,12405,6801,8884,6483,8279,6443,13560,8484,7063,8237,7923,8027
545,20346,210,163,153,170,158,150,10188,8554,6015,6867,10160,6412,11819,6461,8436,6170,7912,6138,13034,8088,6708,7825,7535,7649
550,18636,202,159,150,166,153,146,9508,7960,5646,6402,9443,5949,11099,6027,7879,5764,7401,5704,12145,7532,6225,7267,7008,7112
555,17133,196,153,148,160,147,139,8940,7446,5300,5997,8839,5624,10426,5641,7368,5394,6892,5377,11493,7096,5854,6830,6567,6690
560,16075,189,149,143,156,144,137,8501,7080,5025,5695,8382,5321,9934,5359,6990,5138,6594,5108,10966,6703,5550,6481,6242,6360
565,15221,183,143,137,150,137,133,8161,6781,4810,5464,8004,5125,9467,5129,6691,4922,6269,4861,10489,6407,5310,6221,5950,6093
570,14151,171,135,129,141,130,124,7708,6397,4512,5143,7522,4811,8949,4796,6329,4621,5909,4578,9871,6034,4983,5836,5594,5715
575,12959,162,127,122,133,123,118,7190,5951,4202,4796,7002,4490,8329,4459,5867,4310,5491,4260,9236,5609,4631,5457,5206,5350
580,11745,149,119,112,121,113,109,6649,5443,3895,4409,6457,4138,7691,4115,5436,3973,5042,3932,8545,5178,4270,4997,4803,4913
585,10384,138,110,105,112,104,99,5975,4912,3487,3947,5809,3730,6933,3682,4902,3585,4562,3522,7689,4669,3854,4468,4327,4427
590,9086,127,99,94,102,94,92,5320,4381,3135,3522,5174,3342,6187,3286,4362,3207,4079,3159,6847,4157,3437,3998,3848,3951
595,7877,117,89,86,94,87,82,4717,3874,2759,3111,4573,2966,5504,2894,3888,2830,3598,2782,6050,3667,3044,3557,3405,3510
600,6791,106,84,81,86,79,74,4164,3409,2435,2732,4034,2617,4847,2537,3432,2475,3169,2443,5347,3237,2660,3139,2973,3076
605,5971,99,77,74,80,74,70,3686,3059,2173,2437,3617,2326,4313,2269,3061,2214,2822,2180,4748,2898,2383,2788,2640,2753
610,5265,95,75,72,78,69,67,3281,2733,1936,2172,3213,2085,3851,2022,2741,1971,2510,1947,4240,2555,2120,2482,2351,2435
615,4619,88,71,68,72,67,63,2929,2437,1731,1944,2886,1871,3453,1816,2477,1766,2242,1744,3797,2286,1904,2210,2106,2179
620,4044,85,67,65,68,62,60,2614,2192,1549,1725,2595,1681,3101,1621,2231,1579,2020,1555,3378,2048,1706,2003,1893,1958
625,3532,78,65,62,66,61,57,2351,1963,1384,1559,2333,1505,2750,1439,2006,1416,1798,1401,3011,1833,1534,1769,1683,1744
