measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount,calcConc
PCA,dPHZstar,0.1uM,PCA,cells,1,3.183,61,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,0.1uM,PCA,cells,1,8.693,653,364.0nm,0.043,1.2326666666666666
PYO,dPHZstar,0.1uM,PCA,cells,1,5.976,20,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,0.1uM,PCA,cells,2,3.044,52,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,0.1uM,PCA,cells,2,8.7,744,364.0nm,0.049,1.4046666666666667
PCA,dPHZstar,0.1uM,PCA,cells,3,3.154,55,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,0.1uM,PCA,cells,3,8.686,756,364.0nm,0.05,1.4333333333333336
PCA,dPHZstar,0.1uM,PCN,cells,1,2.972,56,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,0.1uM,PCN,cells,1,8.696,880,364.0nm,0.058,1.6626666666666667
PYO,dPHZstar,0.1uM,PCN,cells,1,6.05,20,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,0.1uM,PCN,cells,2,3.294,70,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,0.1uM,PCN,cells,2,8.703,562,364.0nm,0.037,1.0606666666666666
PYO,dPHZstar,0.1uM,PCN,cells,2,5.95,21,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,0.1uM,PCN,cells,3,2.957,39,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,0.1uM,PCN,cells,3,8.695,487,364.0nm,0.032,0.9173333333333334
PYO,dPHZstar,0.1uM,PCN,cells,3,5.911,27,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,0.1uM,PYO,cells,1,3.365,66,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,0.1uM,PYO,cells,1,8.69,682,364.0nm,0.045,1.29
PCA,dPHZstar,0.1uM,PYO,cells,2,3.191,90,364.0nm,0.006,0.17200000000000001
PCN,dPHZstar,0.1uM,PYO,cells,2,8.696,414,364.0nm,0.027,0.774
PYO,dPHZstar,0.1uM,PYO,cells,2,6.01,448,313.0nm,0.014,0.4013333333333334
PCA,dPHZstar,0.1uM,PYO,cells,3,3.344,50,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,0.1uM,PYO,cells,3,8.689,1331,364.0nm,0.088,2.522666666666667
PYO,dPHZstar,0.1uM,PYO,cells,3,6.006,471,313.0nm,0.014,0.4013333333333334
PCA,dPHZstar,100uM,PCA,cells,1,3.203,11969,364.0nm,0.786,22.532000000000004
PCN,dPHZstar,100uM,PCA,cells,1,8.699,1089,364.0nm,0.072,2.064
PYO,dPHZstar,100uM,PCA,cells,1,6.008,22,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,100uM,PCA,cells,2,3.182,10593,364.0nm,0.695,19.923333333333332
PCN,dPHZstar,100uM,PCA,cells,2,8.689,752,364.0nm,0.05,1.4333333333333336
PYO,dPHZstar,100uM,PCA,cells,2,5.933,37,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,100uM,PCA,cells,3,3.183,7457,364.0nm,0.49,14.046666666666667
PCN,dPHZstar,100uM,PCA,cells,3,8.686,821,364.0nm,0.054,1.548
PCA,dPHZstar,100uM,PCN,cells,1,3.434,167,364.0nm,0.011,0.31533333333333335
PCN,dPHZstar,100uM,PCN,cells,1,8.856,55528,364.0nm,3.663,105.006
PYO,dPHZstar,100uM,PCN,cells,1,5.962,23,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,100uM,PCN,cells,2,3.445,162,364.0nm,0.011,0.31533333333333335
PCN,dPHZstar,100uM,PCN,cells,2,8.861,57086,364.0nm,3.766,107.95866666666667
PCA,dPHZstar,100uM,PCN,cells,3,3.153,69,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,100uM,PCN,cells,3,8.847,61182,364.0nm,4.036,115.69866666666665
PYO,dPHZstar,100uM,PCN,cells,3,6.035,27,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,100uM,PYO,cells,1,3.206,79,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,100uM,PYO,cells,1,8.695,863,364.0nm,0.057,1.6340000000000001
PYO,dPHZstar,100uM,PYO,cells,1,6.01,470878,313.0nm,14.484,415.208
PCA,dPHZstar,100uM,PYO,cells,2,3.447,61,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,100uM,PYO,cells,2,8.694,977,364.0nm,0.064,1.834666666666667
PYO,dPHZstar,100uM,PYO,cells,2,6.01,402519,313.0nm,12.382,354.9506666666667
PCA,dPHZstar,100uM,PYO,cells,3,2.987,95,364.0nm,0.006,0.17200000000000001
PCN,dPHZstar,100uM,PYO,cells,3,8.696,800,364.0nm,0.053,1.5193333333333334
PYO,dPHZstar,100uM,PYO,cells,3,6.005,364574,313.0nm,11.214,321.468
PCA,dPHZstar,10uM,PCA,cells,1,3.215,602,364.0nm,0.039,1.118
PCN,dPHZstar,10uM,PCA,cells,1,8.699,810,364.0nm,0.053,1.5193333333333334
PYO,dPHZstar,10uM,PCA,cells,1,6.083,23,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,10uM,PCA,cells,2,3.197,151,364.0nm,0.01,0.2866666666666667
PCN,dPHZstar,10uM,PCA,cells,2,8.691,465,364.0nm,0.031,0.8886666666666667
PCA,dPHZstar,10uM,PCA,cells,3,3.167,767,364.0nm,0.05,1.4333333333333336
PCN,dPHZstar,10uM,PCA,cells,3,8.681,714,364.0nm,0.047,1.3473333333333335
PYO,dPHZstar,10uM,PCA,cells,3,6.058,18,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,10uM,PCN,cells,1,3.45,69,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,10uM,PCN,cells,1,8.858,6130,364.0nm,0.404,11.581333333333335
PYO,dPHZstar,10uM,PCN,cells,1,6.01,33,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,10uM,PCN,cells,2,3.321,105,364.0nm,0.007,0.2006666666666667
PCN,dPHZstar,10uM,PCN,cells,2,8.864,6627,364.0nm,0.437,12.527333333333333
PCA,dPHZstar,10uM,PCN,cells,3,3.446,78,364.0nm,0.005,0.14333333333333334
