# This is cleaned data quantified from HPLC runs on 10/26 , 10/29 and 10/30/2018,,,,,,,,
# measured phenazine is the phenazine identified in the chromatogram, strain is the colony biofilm strain, in some cases dPHZ strains were incubated with phenazines and that is indicated by added_phenazine and amount_added,,,,,,,
# RT is retention time in the chromatogram, area is the area of the identified peak from a given absorbance (channel Name),,,,,,,,
# Amount is the predicted amount identified in the peak based off a calibration curve from standards (in uM) - samples were diluted 0.5x and need to be corrected for extraction volumes,,,,,,,,,
measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount
PCA,dPHZstar,0.1uM,PCA,cells,2,3.044,52,364.0nm,0.003
PCA,dPHZstar,1uM,PCA,cells,2,2.981,69,364.0nm,0.005
PCA,dPHZstar,10uM,PCA,cells,2,3.197,151,364.0nm,0.01
PCA,dPHZstar,50uM,PCA,cells,2,3.19,2312,364.0nm,0.152
PCA,dPHZstar,100uM,PCA,cells,2,3.182,10593,364.0nm,0.695
PCA,dPHZstar,200uM,PCA,cells,2,3.182,24033,364.0nm,1.578
PCA,dPHZstar,0.1uM,PCA,cells,3,3.154,55,364.0nm,0.004
PCA,dPHZstar,1uM,PCA,cells,3,3.049,61,364.0nm,0.004
PCA,dPHZstar,10uM,PCA,cells,3,3.167,767,364.0nm,0.05
PCA,dPHZstar,50uM,PCA,cells,3,3.172,3501,364.0nm,0.23
PCA,dPHZstar,100uM,PCA,cells,3,3.183,7457,364.0nm,0.49
PCA,dPHZstar,200uM,PCA,cells,3,3.178,18464,364.0nm,1.212
PCA,WTwhit,NA,NA,cells,1,3.216,9964,364.0nm,0.654
PCA,WTwhit,NA,NA,cells,2,3.174,10315,364.0nm,0.677
PCA,WTwhit,NA,NA,cells,3,3.19,7213,364.0nm,0.473
PCA,dLys,NA,NA,cells,1,3.169,12622,364.0nm,0.829
PCA,dLys,NA,NA,cells,2,3.168,10404,364.0nm,0.683
PCA,dLys,NA,NA,cells,3,3.181,7622,364.0nm,0.5
PCA,dPHZstar,0.1uM,PCA,cells,1,3.183,61,364.0nm,0.004
PCA,dPHZstar,1uM,PCA,cells,1,3.4,62,364.0nm,0.004
PCA,dPHZstar,10uM,PCA,cells,1,3.215,602,364.0nm,0.039
PCA,dPHZstar,50uM,PCA,cells,1,3.212,5893,364.0nm,0.387
PCA,dPHZstar,100uM,PCA,cells,1,3.203,11969,364.0nm,0.786
PCA,dPHZstar,200uM,PCA,cells,1,3.185,22915,364.0nm,1.504
PCA,dPHZstar,0.1uM,PYO,cells,1,3.365,66,364.0nm,0.004
PCA,dPHZstar,1uM,PYO,cells,1,3.398,52,364.0nm,0.003
PCA,dPHZstar,10uM,PYO,cells,1,3.206,80,364.0nm,0.005
PCA,dPHZstar,50uM,PYO,cells,1,2.959,114,364.0nm,0.007
PCA,dPHZstar,100uM,PYO,cells,1,3.206,79,364.0nm,0.005
PCA,dPHZstar,200uM,PYO,cells,1,3.142,81,364.0nm,0.005
PCA,dPHZstar,0.1uM,PYO,cells,2,3.191,90,364.0nm,0.006
PCA,dPHZstar,1uM,PYO,cells,2,3.168,50,364.0nm,0.003
PCA,dPHZstar,10uM,PYO,cells,2,3.394,76,364.0nm,0.005
PCA,dPHZstar,50uM,PYO,cells,2,3.014,91,364.0nm,0.006
PCA,dPHZstar,100uM,PYO,cells,2,3.447,61,364.0nm,0.004
PCA,dPHZstar,200uM,PYO,cells,2,3.173,94,364.0nm,0.006
PCA,dPHZstar,0.1uM,PYO,cells,3,3.344,50,364.0nm,0.003
PCA,dPHZstar,1uM,PYO,cells,3,3.004,115,364.0nm,0.008
PCA,dPHZstar,10uM,PYO,cells,3,3.267,38,364.0nm,0.002
PCA,dPHZstar,50uM,PYO,cells,3,3.192,71,364.0nm,0.005
PCA,dPHZstar,100uM,PYO,cells,3,2.987,95,364.0nm,0.006
PCA,dPHZstar,200uM,PYO,cells,3,3.392,78,364.0nm,0.005
PCA,WTpar,NA,NA,cells,1,3.234,10524,364.0nm,0.691
PCA,WTpar,NA,NA,cells,2,3.222,11003,364.0nm,0.722
PCA,WTpar,NA,NA,cells,3,3.178,5777,364.0nm,0.379
PCA,dPel,NA,NA,cells,1,3.181,8470,364.0nm,0.556
PCA,dPel,NA,NA,cells,2,3.186,10494,364.0nm,0.689
PCA,dPel,NA,NA,cells,3,3.197,11134,364.0nm,0.731
PCA,PHZstd,100nM,PHZstd,NA,NA,3.204,525,364.0nm,0.1
PCA,PHZstd,500nM,PHZstd,NA,NA,3.209,5129,364.0nm,0.5
PCA,PHZstd,1uM,PHZstd,NA,NA,3.234,15070,364.0nm,1
PCA,PHZstd,2uM,PHZstd,NA,NA,3.231,30580,364.0nm,2
PCA,PHZstd,5uM,PHZstd,NA,NA,3.186,76744,364.0nm,5
PCA,PHZstd,10uM,PHZstd,NA,NA,3.215,151986,364.0nm,10
PCA,PHZstd,20uM,PHZstd,NA,NA,3.232,304087,364.0nm,20
PCA,PHZstd,50uM,PHZstd,NA,NA,3.171,774097,364.0nm,50
PCA,PHZstd,100uM,PHZstd,NA,NA,3.134,1517346,364.0nm,100
PCA,pBadPel,NA,NA,cells,1,3.07,7214,364.0nm,0.474
PCA,pBadPel,NA,NA,agar,1,3.009,116975,364.0nm,7.682
PCA,WTwhit,NA,NA,agar,1,3.023,69402,364.0nm,4.558
PCA,WTwhit,NA,NA,agar,2,3.021,119815,364.0nm,7.868
PCA,WTwhit,NA,NA,agar,3,3.019,98508,364.0nm,6.469
PCA,dLys,NA,NA,agar,1,3.027,137429,364.0nm,9.025
PCA,dLys,NA,NA,agar,2,3.029,140522,364.0nm,9.228
PCA,dLys,NA,NA,agar,3,3.029,168179,364.0nm,11.044
PCA,dPHZstar,0.1uM,PCN,cells,1,2.972,56,364.0nm,0.004
PCA,dPHZstar,1uM,PCN,cells,1,3.066,46,364.0nm,0.003
PCA,dPHZstar,10uM,PCN,cells,1,3.45,69,364.0nm,0.005
PCA,dPHZstar,50uM,PCN,cells,1,3.444,191,364.0nm,0.013
PCA,dPHZstar,100uM,PCN,cells,1,3.434,167,364.0nm,0.011
PCA,dPHZstar,200uM,PCN,cells,1,3.241,176,364.0nm,0.012
PCA,dPHZstar,0.1uM,PCN,cells,2,3.294,70,364.0nm,0.005
PCA,dPHZstar,1uM,PCN,cells,2,2.998,72,364.0nm,0.005
PCA,dPHZstar,10uM,PCN,cells,2,3.321,105,364.0nm,0.007
PCA,dPHZstar,50uM,PCN,cells,2,3.442,110,364.0nm,0.007
PCA,dPHZstar,100uM,PCN,cells,2,3.445,162,364.0nm,0.011
PCA,dPHZstar,200uM,PCN,cells,2,3.137,113,364.0nm,0.007
PCA,dPHZstar,0.1uM,PCN,cells,3,2.957,39,364.0nm,0.003
PCA,dPHZstar,1uM,PCN,cells,3,3.066,69,364.0nm,0.005
PCA,dPHZstar,10uM,PCN,cells,3,3.446,78,364.0nm,0.005
PCA,dPHZstar,50uM,PCN,cells,3,3.444,109,364.0nm,0.007
PCA,dPHZstar,100uM,PCN,cells,3,3.153,69,364.0nm,0.005
PCA,dPHZstar,200uM,PCN,cells,3,3.064,127,364.0nm,0.008
PCA,WTpar,NA,NA,agar,1,3.056,124641,364.0nm,8.185
PCA,WTpar,NA,NA,agar,2,3.043,135302,364.0nm,8.885
PCA,WTpar,NA,NA,agar,3,3.04,122418,364.0nm,8.039
PCA,dPel,NA,NA,agar,1,3.06,114063,364.0nm,7.49
PCA,dPel,NA,NA,agar,2,3.056,99389,364.0nm,6.527
PCA,dPel,NA,NA,agar,3,3.055,104913,364.0nm,6.89
PCA,PHZstd,100nM,PHZstd,NA,NA,3.115,1107,364.0nm,0.073
PCA,PHZstd,500nM,PHZstd,NA,NA,3.103,7720,364.0nm,0.507
PCA,PHZstd,1uM,PHZstd,NA,NA,3.094,15091,364.0nm,0.991
PCA,PHZstd,10uM,PHZstd,NA,NA,3.094,150695,364.0nm,9.896
PCN,dPHZstar,0.1uM,PCA,cells,2,8.826,63,364.0nm,0.004
PCN,dPHZstar,1uM,PCA,cells,2,8.763,60,364.0nm,0.004
PCN,dPHZstar,10uM,PCA,cells,2,8.892,57,364.0nm,0.004
PCN,dPHZstar,50uM,PCA,cells,2,8.781,42,364.0nm,0.003
PCN,dPHZstar,100uM,PCA,cells,2,8.824,46,364.0nm,0.003
PCN,dPHZstar,200uM,PCA,cells,2,8.769,35,364.0nm,0.002
PCN,dPHZstar,0.1uM,PCA,cells,3,8.819,38,364.0nm,0.002
PCN,dPHZstar,1uM,PCA,cells,3,8.924,49,364.0nm,0.003
PCN,dPHZstar,10uM,PCA,cells,3,8.918,60,364.0nm,0.004
PCN,dPHZstar,50uM,PCA,cells,3,8.898,91,364.0nm,0.006
PCN,dPHZstar,100uM,PCA,cells,3,8.798,43,364.0nm,0.003
PCN,dPHZstar,200uM,PCA,cells,3,8.801,44,364.0nm,0.003
PCN,WTwhit,NA,NA,cells,1,8.847,203445,364.0nm,13.42
PCN,WTwhit,NA,NA,cells,2,8.836,236161,364.0nm,15.578
PCN,WTwhit,NA,NA,cells,3,8.837,239694,364.0nm,15.811
PCN,dLys,NA,NA,cells,1,8.853,279962,364.0nm,18.467
PCN,dLys,NA,NA,cells,2,8.85,295267,364.0nm,19.476
PCN,dLys,NA,NA,cells,3,8.85,276100,364.0nm,18.212
PCN,dPHZstar,0.1uM,PCA,cells,1,8.928,65,364.0nm,0.004
PCN,dPHZstar,1uM,PCA,cells,1,8.795,82,364.0nm,0.005
PCN,dPHZstar,10uM,PCA,cells,1,8.849,38,364.0nm,0.002
PCN,dPHZstar,50uM,PCA,cells,1,8.801,37,364.0nm,0.002
PCN,dPHZstar,100uM,PCA,cells,1,8.87,47,364.0nm,0.003
PCN,dPHZstar,200uM,PCA,cells,1,8.895,115,364.0nm,0.008
PCN,dPHZstar,0.1uM,PYO,cells,1,8.845,382,364.0nm,0.025
PCN,dPHZstar,1uM,PYO,cells,1,8.88,32,364.0nm,0.002
PCN,dPHZstar,10uM,PYO,cells,1,8.762,48,364.0nm,0.003
PCN,dPHZstar,50uM,PYO,cells,1,8.768,116,364.0nm,0.008
PCN,dPHZstar,100uM,PYO,cells,1,8.875,56,364.0nm,0.004
PCN,dPHZstar,200uM,PYO,cells,1,8.803,106,364.0nm,0.007
PCN,dPHZstar,0.1uM,PYO,cells,2,8.93,35,364.0nm,0.002
PCN,dPHZstar,1uM,PYO,cells,2,8.937,60,364.0nm,0.004
PCN,dPHZstar,10uM,PYO,cells,2,8.79,59,364.0nm,0.004
PCN,dPHZstar,50uM,PYO,cells,2,8.825,110,364.0nm,0.007
PCN,dPHZstar,100uM,PYO,cells,2,8.887,112,364.0nm,0.007
PCN,dPHZstar,200uM,PYO,cells,2,8.914,95,364.0nm,0.006
PCN,dPHZstar,0.1uM,PYO,cells,3,8.932,84,364.0nm,0.006
PCN,dPHZstar,1uM,PYO,cells,3,8.947,71,364.0nm,0.005
PCN,dPHZstar,10uM,PYO,cells,3,8.819,70,364.0nm,0.005
PCN,dPHZstar,50uM,PYO,cells,3,8.782,46,364.0nm,0.003
PCN,dPHZstar,100uM,PYO,cells,3,8.836,86,364.0nm,0.006
PCN,dPHZstar,200uM,PYO,cells,3,8.937,89,364.0nm,0.006
PCN,WTpar,NA,NA,cells,1,8.84,227724,364.0nm,15.021
PCN,WTpar,NA,NA,cells,2,8.851,206671,364.0nm,13.632
