measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount
PCA,dPHZstar,0.1uM,PCA,cells,1,3.183,61,364.0nm,0.004
PCN,dPHZstar,0.1uM,PCA,cells,1,8.693,653,364.0nm,0.043
PYO,dPHZstar,0.1uM,PCA,cells,1,5.976,20,313.0nm,0.001
PCA,dPHZstar,0.1uM,PCA,cells,2,3.044,52,364.0nm,0.003
PCN,dPHZstar,0.1uM,PCA,cells,2,8.7,744,364.0nm,0.049
PCA,dPHZstar,0.1uM,PCA,cells,3,3.154,55,364.0nm,0.004
PCN,dPHZstar,0.1uM,PCA,cells,3,8.686,756,364.0nm,0.05
PCA,dPHZstar,0.1uM,PCN,cells,1,2.972,56,364.0nm,0.004
PCN,dPHZstar,0.1uM,PCN,cells,1,8.696,880,364.0nm,0.058
PYO,dPHZstar,0.1uM,PCN,cells,1,6.05,20,313.0nm,0.001
PCA,dPHZstar,0.1uM,PCN,cells,2,3.294,70,364.0nm,0.005
PCN,dPHZstar,0.1uM,PCN,cells,2,8.703,562,364.0nm,0.037
PYO,dPHZstar,0.1uM,PCN,cells,2,5.95,21,313.0nm,0.001
PCA,dPHZstar,0.1uM,PCN,cells,3,2.957,39,364.0nm,0.003
PCN,dPHZstar,0.1uM,PCN,cells,3,8.695,487,364.0nm,0.032
PYO,dPHZstar,0.1uM,PCN,cells,3,5.911,27,313.0nm,0.001
PCA,dPHZstar,0.1uM,PYO,cells,1,3.365,66,364.0nm,0.004
PCN,dPHZstar,0.1uM,PYO,cells,1,8.69,682,364.0nm,0.045
PCA,dPHZstar,0.1uM,PYO,cells,2,3.191,90,364.0nm,0.006
PCN,dPHZstar,0.1uM,PYO,cells,2,8.696,414,364.0nm,0.027
PYO,dPHZstar,0.1uM,PYO,cells,2,6.01,448,313.0nm,0.014
PCA,dPHZstar,0.1uM,PYO,cells,3,3.344,50,364.0nm,0.003
PCN,dPHZstar,0.1uM,PYO,cells,3,8.689,1331,364.0nm,0.088
PYO,dPHZstar,0.1uM,PYO,cells,3,6.006,471,313.0nm,0.014
PCA,dPHZstar,100uM,PCA,cells,1,3.203,11969,364.0nm,0.786
PCN,dPHZstar,100uM,PCA,cells,1,8.699,1089,364.0nm,0.072
PYO,dPHZstar,100uM,PCA,cells,1,6.008,22,313.0nm,0.001
PCA,dPHZstar,100uM,PCA,cells,2,3.182,10593,364.0nm,0.695
PCN,dPHZstar,100uM,PCA,cells,2,8.689,752,364.0nm,0.05
PYO,dPHZstar,100uM,PCA,cells,2,5.933,37,313.0nm,0.001
PCA,dPHZstar,100uM,PCA,cells,3,3.183,7457,364.0nm,0.49
PCN,dPHZstar,100uM,PCA,cells,3,8.686,821,364.0nm,0.054
PCA,dPHZstar,100uM,PCN,cells,1,3.434,167,364.0nm,0.011
PCN,dPHZstar,100uM,PCN,cells,1,8.856,55528,364.0nm,3.663
PYO,dPHZstar,100uM,PCN,cells,1,5.962,23,313.0nm,0.001
PCA,dPHZstar,100uM,PCN,cells,2,3.445,162,364.0nm,0.011
PCN,dPHZstar,100uM,PCN,cells,2,8.861,57086,364.0nm,3.766
PCA,dPHZstar,100uM,PCN,cells,3,3.153,69,364.0nm,0.005
PCN,dPHZstar,100uM,PCN,cells,3,8.847,61182,364.0nm,4.036
PYO,dPHZstar,100uM,PCN,cells,3,6.035,27,313.0nm,0.001
PCA,dPHZstar,100uM,PYO,cells,1,3.206,79,364.0nm,0.005
PCN,dPHZstar,100uM,PYO,cells,1,8.695,863,364.0nm,0.057
PYO,dPHZstar,100uM,PYO,cells,1,6.01,470878,313.0nm,14.484
PCA,dPHZstar,100uM,PYO,cells,2,3.447,61,364.0nm,0.004
PCN,dPHZstar,100uM,PYO,cells,2,8.694,977,364.0nm,0.064
PYO,dPHZstar,100uM,PYO,cells,2,6.01,402519,313.0nm,12.382
PCA,dPHZstar,100uM,PYO,cells,3,2.987,95,364.0nm,0.006
PCN,dPHZstar,100uM,PYO,cells,3,8.696,800,364.0nm,0.053
PYO,dPHZstar,100uM,PYO,cells,3,6.005,364574,313.0nm,11.214
PCA,dPHZstar,10uM,PCA,cells,1,3.215,602,364.0nm,0.039
PCN,dPHZstar,10uM,PCA,cells,1,8.699,810,364.0nm,0.053
PYO,dPHZstar,10uM,PCA,cells,1,6.083,23,313.0nm,0.001
PCA,dPHZstar,10uM,PCA,cells,2,3.197,151,364.0nm,0.01
PCN,dPHZstar,10uM,PCA,cells,2,8.691,465,364.0nm,0.031
PCA,dPHZstar,10uM,PCA,cells,3,3.167,767,364.0nm,0.05
PCN,dPHZstar,10uM,PCA,cells,3,8.681,714,364.0nm,0.047
PYO,dPHZstar,10uM,PCA,cells,3,6.058,18,313.0nm,0.001
PCA,dPHZstar,10uM,PCN,cells,1,3.45,69,364.0nm,0.005
PCN,dPHZstar,10uM,PCN,cells,1,8.858,6130,364.0nm,0.404
PYO,dPHZstar,10uM,PCN,cells,1,6.01,33,313.0nm,0.001
PCA,dPHZstar,10uM,PCN,cells,2,3.321,105,364.0nm,0.007
PCN,dPHZstar,10uM,PCN,cells,2,8.864,6627,364.0nm,0.437
PCA,dPHZstar,10uM,PCN,cells,3,3.446,78,364.0nm,0.005
PCN,dPHZstar,10uM,PCN,cells,3,8.837,7021,364.0nm,0.463
PYO,dPHZstar,10uM,PCN,cells,3,5.946,25,313.0nm,0.001
PCA,dPHZstar,10uM,PYO,cells,1,3.206,80,364.0nm,0.005
PCN,dPHZstar,10uM,PYO,cells,1,8.68,377,364.0nm,0.025
PYO,dPHZstar,10uM,PYO,cells,1,6.004,38908,313.0nm,1.197
PCA,dPHZstar,10uM,PYO,cells,2,3.394,76,364.0nm,0.005
PCN,dPHZstar,10uM,PYO,cells,2,8.687,921,364.0nm,0.061
PYO,dPHZstar,10uM,PYO,cells,2,6.012,44695,313.0nm,1.375
PCA,dPHZstar,10uM,PYO,cells,3,3.267,38,364.0nm,0.002
PCN,dPHZstar,10uM,PYO,cells,3,8.693,1124,364.0nm,0.074
PYO,dPHZstar,10uM,PYO,cells,3,6.011,42861,313.0nm,1.318
PCA,dPHZstar,1uM,PCA,cells,1,3.4,62,364.0nm,0.004
PCN,dPHZstar,1uM,PCA,cells,1,8.699,822,364.0nm,0.054
PYO,dPHZstar,1uM,PCA,cells,1,6.056,44,313.0nm,0.001
PCA,dPHZstar,1uM,PCA,cells,2,2.981,69,364.0nm,0.005
PCN,dPHZstar,1uM,PCA,cells,2,8.687,851,364.0nm,0.056
PYO,dPHZstar,1uM,PCA,cells,2,6.039,22,313.0nm,0.001
PCA,dPHZstar,1uM,PCA,cells,3,3.049,61,364.0nm,0.004
PCN,dPHZstar,1uM,PCA,cells,3,8.688,786,364.0nm,0.052
PYO,dPHZstar,1uM,PCA,cells,3,6.095,17,313.0nm,0.001
PCA,dPHZstar,1uM,PCN,cells,1,3.066,46,364.0nm,0.003
PCN,dPHZstar,1uM,PCN,cells,1,8.694,863,364.0nm,0.057
PYO,dPHZstar,1uM,PCN,cells,1,5.903,16,313.0nm,0
PCA,dPHZstar,1uM,PCN,cells,2,2.998,72,364.0nm,0.005
PCN,dPHZstar,1uM,PCN,cells,2,8.703,845,364.0nm,0.056
PYO,dPHZstar,1uM,PCN,cells,2,5.985,24,313.0nm,0.001
PCA,dPHZstar,1uM,PCN,cells,3,3.066,69,364.0nm,0.004
PCN,dPHZstar,1uM,PCN,cells,3,8.853,653,364.0nm,0.043
PYO,dPHZstar,1uM,PCN,cells,3,6.048,44,313.0nm,0.001
PCA,dPHZstar,1uM,PYO,cells,1,3.398,52,364.0nm,0.003
PCN,dPHZstar,1uM,PYO,cells,1,8.698,729,364.0nm,0.048
PYO,dPHZstar,1uM,PYO,cells,1,6.012,1991,313.0nm,0.061
PCA,dPHZstar,1uM,PYO,cells,2,3.168,50,364.0nm,0.003
PCN,dPHZstar,1uM,PYO,cells,2,8.691,1344,364.0nm,0.089
PYO,dPHZstar,1uM,PYO,cells,2,6.004,2238,313.0nm,0.069
PCA,dPHZstar,1uM,PYO,cells,3,3.004,115,364.0nm,0.008
PCN,dPHZstar,1uM,PYO,cells,3,8.701,1335,364.0nm,0.088
PYO,dPHZstar,1uM,PYO,cells,3,6.021,2294,313.0nm,0.071
PCA,dPHZstar,200uM,PCA,cells,1,3.185,22915,364.0nm,1.504
PCN,dPHZstar,200uM,PCA,cells,1,8.675,859,364.0nm,0.057
PYO,dPHZstar,200uM,PCA,cells,1,6.027,42,313.0nm,0.001
PCA,dPHZstar,200uM,PCA,cells,2,3.182,24033,364.0nm,1.578
PCN,dPHZstar,200uM,PCA,cells,2,8.684,668,364.0nm,0.044
PYO,dPHZstar,200uM,PCA,cells,2,5.92,24,313.0nm,0.001
PCA,dPHZstar,200uM,PCA,cells,3,3.178,18464,364.0nm,1.212
PCN,dPHZstar,200uM,PCA,cells,3,8.68,928,364.0nm,0.061
PCA,dPHZstar,200uM,PCN,cells,1,3.241,176,364.0nm,0.012
PCN,dPHZstar,200uM,PCN,cells,1,8.663,101344,364.0nm,6.685
PYO,dPHZstar,200uM,PCN,cells,1,6.013,31,313.0nm,0.001
PCA,dPHZstar,200uM,PCN,cells,2,3.137,113,364.0nm,0.007
PCN,dPHZstar,200uM,PCN,cells,2,8.857,95428,364.0nm,6.295
PYO,dPHZstar,200uM,PCN,cells,2,5.946,20,313.0nm,0.001
PCA,dPHZstar,200uM,PCN,cells,3,3.064,127,364.0nm,0.008
PCN,dPHZstar,200uM,PCN,cells,3,8.866,120549,364.0nm,7.952
PYO,dPHZstar,200uM,PCN,cells,3,6.067,26,313.0nm,0.001
PCA,dPHZstar,200uM,PYO,cells,1,3.142,81,364.0nm,0.005
PCN,dPHZstar,200uM,PYO,cells,1,8.692,586,364.0nm,0.039
PYO,dPHZstar,200uM,PYO,cells,1,6.002,822507,313.0nm,25.301
PCA,dPHZstar,200uM,PYO,cells,2,3.173,94,364.0nm,0.006
PCN,dPHZstar,200uM,PYO,cells,2,8.682,603,364.0nm,0.04
PYO,dPHZstar,200uM,PYO,cells,2,5.997,809545,313.0nm,24.902
PCA,dPHZstar,200uM,PYO,cells,3,3.392,78,364.0nm,0.005
PCN,dPHZstar,200uM,PYO,cells,3,8.699,625,364.0nm,0.041
PYO,dPHZstar,200uM,PYO,cells,3,6.001,763048,313.0nm,23.472
PCA,dPHZstar,50uM,PCA,cells,1,3.212,5893,364.0nm,0.387
PCN,dPHZstar,50uM,PCA,cells,1,8.686,915,364.0nm,0.06
PYO,dPHZstar,50uM,PCA,cells,1,5.963,21,313.0nm,0.001
PCA,dPHZstar,50uM,PCA,cells,2,3.19,2312,364.0nm,0.152
PCN,dPHZstar,50uM,PCA,cells,2,8.689,356,364.0nm,0.023
PYO,dPHZstar,50uM,PCA,cells,2,5.93,25,313.0nm,0.001
PCA,dPHZstar,50uM,PCA,cells,3,3.172,3501,364.0nm,0.23
PCN,dPHZstar,50uM,PCA,cells,3,8.692,660,364.0nm,0.044
PCA,dPHZstar,50uM,PCN,cells,1,3.444,191,364.0nm,0.013
PCN,dPHZstar,50uM,PCN,cells,1,8.852,33228,364.0nm,2.192
PYO,dPHZstar,50uM,PCN,cells,1,5.963,29,313.0nm,0.001
PCA,dPHZstar,50uM,PCN,cells,2,3.442,110,364.0nm,0.007
PCN,dPHZstar,50uM,PCN,cells,2,8.853,34817,364.0nm,2.297
