run,electrode,term,estimate,std.error,statistic,p.value,model,i0_soak,i0_transfer,dm_soak,dm_transfer,biofilm
4,i1,a,2.6612973229535787e-6,9.454596158485344e-8,28.148186113323394,2.4738055259337e-29,og,3.2790311359999997e-6,3.390080314e-6,3.865844679783811e-9,4.132123511858568e-9,biofilm
4,i2,a,1.5739932672295084e-6,4.171426790311196e-8,37.73273142142536,1.3542832473946967e-34,og,2.0612842849999997e-6,2.085707261e-6,4.367271164466738e-9,4.471374850346373e-9,biofilm
5,i1,a,1.932851743257729e-6,7.828548611657853e-8,24.68978400899792,1.8455139622738478e-32,og,3.188051445e-6,2.737736926e-6,6.927773328143073e-9,5.1088888591008435e-9,biofilm
5,i2,a,1.6361902761136932e-6,7.348835354090468e-8,22.26462013743397,4.223634357972542e-30,og,2.830431871e-6,2.433234334e-6,7.620402507584428e-9,5.631711146383896e-9,biofilm
4,i1,a,6.284928925751448e-7,3.395818339620584e-8,18.5078478799124,8.243206559432792e-22,no_flux,3.2790311359999997e-6,3.390080314e-6,1.7328878731708766e-8,1.8522489435722505e-8,biofilm
4,i2,a,4.125591851460195e-7,1.6953441947318476e-8,24.33483338828868,2.2060991161311834e-26,no_flux,2.0612842849999997e-6,2.085707261e-6,1.5892176739128104e-8,1.6271002351939772e-8,biofilm
5,i1,a,3.8326243438324884e-7,1.5541412659723462e-8,24.660720539034223,4.2664708876027723e-32,no_flux,3.188051445e-6,2.737736926e-6,4.404922351285426e-8,3.2484115255714444e-8,biofilm
5,i2,a,3.088878971379895e-7,1.583696823595519e-8,19.504231651908675,6.734136541732238e-27,no_flux,2.830431871e-6,2.433234334e-6,5.34544358465627e-8,3.9504467366537554e-8,biofilm
100uM,i1,a,1.5505758605185764e-6,7.399659798357227e-8,20.95469119894964,8.464760156413921e-26,og,1.2105089949999999e-5,4.2723381400000004e-6,3.6161466952169447e-6,4.5044444413956485e-7,blank
25uM,i1,a,3.329746578005042e-7,1.5330784324067478e-8,21.719349171051494,1.7796741261096655e-26,og,3.89925005e-6,1.4725131e-6,8.136466591962907e-6,1.1603580165938225e-6,blank
50uM,i1,a,8.860619057977465e-7,4.125466525633812e-8,21.477859541270117,2.898055224374039e-26,og,6.68784487e-6,2.81521091e-6,3.3801835654509305e-6,5.989489089958602e-7,blank
75uM,i1,a,9.316944413934077e-7,3.056197531696324e-8,30.485413057587163,4.5501037784574636e-33,og,9.33697742e-6,2.75976881e-6,5.958838890183519e-6,5.20588332738003e-7,blank
100uM,i1,a,3.165111533750089e-7,1.9567506164996686e-8,16.1753445076818,7.762306395162273e-21,no_flux,1.2105089949999999e-5,4.2723381400000004e-6,2.1696718224751696e-5,2.7026464920043074e-6,blank
25uM,i1,a,6.18446923474539e-8,2.1594520871995805e-9,28.639066693836813,2.1072536102267304e-31,no_flux,3.89925005e-6,1.4725131e-6,5.896487061839065e-5,8.409099889508776e-6,blank
50uM,i1,a,1.6989776296544933e-7,6.427090502491151e-9,26.434630553217925,7.327178826571908e-30,no_flux,6.68784487e-6,2.81521091e-6,2.2984396464211195e-5,4.072701650548111e-6,blank
75uM,i1,a,2.1917608407404997e-7,8.917890686007102e-9,24.577121630113172,1.7937606152416813e-28,no_flux,9.33697742e-6,2.75976881e-6,2.691921148637612e-5,2.3517714918254236e-6,blank
