Jan. 27, 2006   23:20:20
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\0um_control_transfer_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.0202860e-7, 1.0547517e-7
0.098, 8.7961936e-8, 9.8713940e-8
0.097, 1.1995409e-7, 1.0423836e-7
0.096, 9.7773970e-8, 9.0353105e-8
0.095, 1.0067635e-7, 5.3809487e-8
0.094, 1.2356558e-7, 1.2150423e-7
0.093, 8.9347168e-8, 1.0999366e-7
0.092, 1.1381952e-7, 1.0684391e-7
0.091, 9.2332002e-8, 1.0018162e-7
0.090, 1.1396793e-7, 9.3535832e-8
0.089, 1.2541256e-7, 1.0407346e-7
0.088, 9.5745598e-8, 7.1306225e-8
0.087, 1.1899763e-7, 9.7427659e-8
0.086, 7.8644632e-8, 1.0385907e-7
0.085, 1.2147126e-7, 1.4539941e-7
0.084, 1.0275419e-7, 1.0849299e-7
0.083, 1.0658006e-7, 8.4713250e-8
0.082, 1.1790924e-7, 1.0733864e-7
0.081, 9.3634782e-8, 7.4406501e-8
0.080, 1.1363812e-7, 1.0738810e-7
0.079, 8.7549665e-8, 8.3080657e-8
0.078, 1.0892175e-7, 1.1485844e-7
0.077, 1.1370408e-7, 1.1576543e-7
0.076, 9.8944817e-8, 1.0230893e-7
0.075, 1.1401741e-7, 6.0851065e-8
0.074, 8.4383444e-8, 8.5570775e-8
0.073, 1.1080170e-7, 1.1428126e-7
0.072, 9.3700734e-8, 9.7592576e-8
0.071, 1.0750354e-7, 1.1500686e-7
0.070, 1.1185712e-7, 1.1837098e-7
0.069, 9.3684250e-8, 9.3601798e-8
0.068, 1.1230237e-7, 6.6837224e-8
0.067, 8.5273939e-8, 5.1055526e-8
0.066, 1.0565657e-7, 1.1327532e-7
0.065, 1.0763547e-7, 1.2359857e-7
0.064, 1.0305102e-7, 1.2552800e-7
0.063, 1.0907017e-7, 1.0036302e-7
0.062, 8.8835954e-8, 9.6355762e-8
0.061, 1.1952534e-7, 5.8954619e-8
0.060, 8.9973817e-8, 7.9023927e-8
0.059, 1.0545868e-7, 8.8588592e-8
0.058, 1.1315989e-7, 1.2216387e-7
0.057, 9.4657203e-8, 1.2587429e-7
0.056, 1.1426477e-7, 7.5395945e-8
0.055, 8.3476444e-8, 6.9986967e-8
0.054, 1.0181422e-7, 6.6441444e-8
0.053, 1.0366118e-7, 1.0222648e-7
0.052, 9.9208670e-8, 8.6477769e-8
0.051, 1.0722320e-7, 1.0982875e-7
0.050, 8.3311534e-8, 1.2084460e-7
0.049, 1.1583140e-7, 8.0656513e-8
0.048, 9.5102465e-8, 8.0359676e-8
0.047, 9.7444151e-8, 5.1484285e-8
0.046, 1.0458466e-7, 1.0646463e-7
0.045, 8.7533181e-8, 9.2826724e-8
0.044, 1.1329181e-7, 1.0623375e-7
0.043, 8.0771947e-8, 9.7130830e-8
0.042, 1.0537623e-7, 9.8746924e-8
0.041, 1.0476607e-7, 1.0237490e-7
0.040, 9.3981086e-8, 5.4337200e-8
0.039, 1.1527072e-7, 1.2137231e-7
0.038, 8.0837921e-8, 9.6965920e-8
0.037, 1.1398443e-7, 1.2285648e-7
0.036, 8.7994920e-8, 9.7279248e-8
0.035, 1.0244086e-7, 8.5422357e-8
0.034, 1.0677795e-7, 1.1403390e-7
0.033, 9.1161155e-8, 5.4023872e-8
0.032, 1.1386899e-7, 9.6801010e-8
0.031, 8.0656513e-8, 8.5768662e-8
0.030, 1.0752003e-7, 1.2157020e-7
0.029, 9.6603117e-8, 9.9967238e-8
0.028, 9.2414453e-8, 7.7061515e-8
0.027, 1.1814011e-7, 8.3690821e-8
0.026, 8.3608370e-8, 6.5847779e-8
0.025, 1.1225289e-7, 9.9983730e-8
0.024, 8.1448079e-8, 9.5927000e-8
0.023, 1.0763547e-7, 1.0568955e-7
0.022, 1.1025750e-7, 1.1871730e-7
0.021, 9.6124886e-8, 8.5537792e-8
0.020, 1.1070276e-7, 8.5207972e-8
0.019, 8.7516689e-8, 6.6243558e-8
0.018, 1.1184063e-7, 1.1782678e-7
0.017, 9.1144663e-8, 9.5201401e-8
0.016, 9.2381477e-8, 9.6487682e-8
0.015, 1.1258270e-7, 1.0501343e-7
0.014, 8.3740296e-8, 8.6972491e-8
0.013, 1.1548509e-7, 7.6236972e-8
