Jan. 27, 2006   23:44:24
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\1\75um_control_soak_1_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A, Time/s

0.000, -1.2530415e-7, -1.4934952e-7, 3.3333334e-1
-0.001, -1.1729208e-7, -1.3737930e-7, 6.6666669e-1
-0.002, -1.0979922e-7, -1.3145612e-7, 1.0000000e+0
-0.003, -1.0103226e-7, -1.2696280e-7, 1.3333334e+0
-0.004, -9.5927845e-8, -1.2101563e-7, 1.6666667e+0
-0.005, -9.2740578e-8, -1.1399408e-7, 2.0000000e+0
-0.006, -8.9856869e-8, -1.0956067e-7, 2.3333333e+0
-0.007, -8.5946681e-8, -1.0708435e-7, 2.6666665e+0
-0.008, -8.1417411e-8, -1.0448421e-7, 2.9999998e+0
-0.009, -7.7563143e-8, -1.0225153e-7, 3.3333330e+0
-0.010, -7.4555615e-8, -9.9775214e-8, 3.6666663e+0
-0.011, -7.2314947e-8, -9.7031290e-8, 3.9999995e+0
-0.012, -7.0613474e-8, -9.4015782e-8, 4.3333330e+0
-0.013, -6.9423244e-8, -9.0309285e-8, 4.6666665e+0
-0.014, -6.8300913e-8, -8.8060638e-8, 5.0000000e+0
-0.015, -6.7054771e-8, -8.6427058e-8, 5.3333335e+0
-0.016, -6.5920453e-8, -8.5128988e-8, 5.6666670e+0
-0.017, -6.4794129e-8, -8.4210356e-8, 6.0000005e+0
-0.018, -6.3268395e-8, -8.3327663e-8, 6.3333340e+0
-0.019, -6.1746654e-8, -8.2389064e-8, 6.6666675e+0
-0.020, -6.0372706e-8, -8.1562298e-8, 7.0000010e+0
-0.021, -5.8711169e-8, -8.0439960e-8, 7.3333344e+0
-0.022, -5.7325231e-8, -7.9772953e-8, 7.6666679e+0
-0.023, -5.6282783e-8, -7.8958166e-8, 8.0000010e+0
-0.024, -5.4721106e-8, -7.8143373e-8, 8.3333340e+0
-0.025, -5.3494926e-8, -7.7408473e-8, 8.6666670e+0
-0.026, -5.2464465e-8, -7.6505813e-8, 9.0000000e+0
-0.027, -5.1290204e-8, -7.5954631e-8, 9.3333330e+0
-0.028, -5.0507374e-8, -7.4684522e-8, 9.6666660e+0
-0.029, -4.9560775e-8, -7.4097393e-8, 9.9999990e+0
-0.030, -4.8885781e-8, -7.3218700e-8, 1.0333332e+1
-0.031, -4.8118920e-8, -7.2164262e-8, 1.0666665e+1
-0.032, -4.7671588e-8, -7.1089865e-8, 1.0999998e+1
-0.033, -4.7008569e-8, -7.0406877e-8, 1.1333331e+1
-0.034, -4.6529284e-8, -6.9612057e-8, 1.1666664e+1
-0.035, -4.6113900e-8, -6.8765317e-8, 1.1999997e+1
-0.036, -4.5626628e-8, -6.8102302e-8, 1.2333330e+1
-0.037, -4.5299114e-8, -6.7283523e-8, 1.2666663e+1
-0.038, -4.4983583e-8, -6.6452756e-8, 1.2999996e+1
-0.039, -4.4847781e-8, -6.5514158e-8, 1.3333329e+1
-0.040, -4.4472340e-8, -6.5210607e-8, 1.3666662e+1
-0.041, -4.4104890e-8, -6.4611491e-8, 1.3999995e+1
-0.042, -4.3761400e-8, -6.3836644e-8, 1.4333328e+1
-0.043, -4.3625601e-8, -6.3473188e-8, 1.4666661e+1
-0.044, -4.3354007e-8, -6.2989905e-8, 1.4999994e+1
-0.045, -4.3230191e-8, -6.2626448e-8, 1.5333327e+1
-0.046, -4.2850758e-8, -6.2203078e-8, 1.5666660e+1
-0.047, -4.2647056e-8, -6.1691836e-8, 1.5999993e+1
-0.048, -4.2467320e-8, -6.1376305e-8, 1.6333326e+1
-0.049, -4.2187740e-8, -6.0813143e-8, 1.6666660e+1
-0.050, -4.2031971e-8, -6.0617431e-8, 1.6999994e+1
-0.051, -4.1788333e-8, -6.0265954e-8, 1.7333328e+1
-0.052, -4.1576648e-8, -5.9962403e-8, 1.7666662e+1
-0.053, -4.1269104e-8, -5.9630899e-8, 1.7999996e+1
-0.054, -4.1157271e-8, -5.9263446e-8, 1.8333330e+1
-0.055, -4.1033456e-8, -5.8963895e-8, 1.8666664e+1
-0.056, -4.0630056e-8, -5.8620405e-8, 1.8999998e+1
-0.057, -4.0226652e-8, -5.8516555e-8, 1.9333332e+1
-0.058, -4.0142776e-8, -5.8029279e-8, 1.9666666e+1
-0.059, -3.9895149e-8, -5.7753692e-8, 2.0000000e+1
-0.060, -3.9507722e-8, -5.7829581e-8, 2.0333334e+1
-0.061, -3.9252104e-8, -5.7474107e-8, 2.0666668e+1
-0.062, -3.8936573e-8, -5.7386238e-8, 2.1000002e+1
-0.063, -3.8744858e-8, -5.7038751e-8, 2.1333336e+1
-0.064, -3.8593086e-8, -5.6791123e-8, 2.1666670e+1
-0.065, -3.8449297e-8, -5.6623374e-8, 2.2000004e+1
-0.066, -3.7746343e-8, -5.6375740e-8, 2.2333338e+1
-0.067, -3.7750336e-8, -5.6319823e-8, 2.2666672e+1
-0.068, -3.7438799e-8, -5.5932396e-8, 2.3000006e+1
-0.069, -3.6991466e-8, -5.6004289e-8, 2.3333340e+1
-0.070, -3.6803744e-8, -5.5888460e-8, 2.3666674e+1
-0.071, -3.6152713e-8, -5.5560953e-8, 2.4000008e+1
-0.072, -3.6040881e-8, -5.5485064e-8, 2.4333342e+1
-0.073, -3.5705376e-8, -5.5261399e-8, 2.4666676e+1
-0.074, -3.5561591e-8, -5.5057697e-8, 2.5000010e+1
-0.075, -3.5357893e-8, -5.4853999e-8, 2.5333344e+1
-0.076, -3.4958486e-8, -5.4778116e-8, 2.5666677e+1
-0.077, -3.4754791e-8, -5.4730187e-8, 2.6000011e+1
-0.078, -3.4359378e-8, -5.4426639e-8, 2.6333345e+1
-0.079, -3.4039854e-8, -5.4270870e-8, 2.6666679e+1
-0.080, -3.3920031e-8, -5.4398679e-8, 2.7000013e+1
-0.081, -3.3760269e-8, -5.4171018e-8, 2.7333347e+1
-0.082, -3.3368853e-8, -5.3955340e-8, 2.7666681e+1
-0.083, -3.3093261e-8, -5.3767618e-8, 2.8000015e+1
-0.084, -3.2629949e-8, -5.3631819e-8, 2.8333349e+1
-0.085, -3.2454210e-8, -5.3559926e-8, 2.8666683e+1
-0.086, -3.2386311e-8, -5.3416141e-8, 2.9000017e+1
-0.087, -3.2030840e-8, -5.3332265e-8, 2.9333351e+1
-0.088, -3.1775219e-8, -5.3220433e-8, 2.9666685e+1
-0.089, -3.1531584e-8, -5.3044690e-8, 3.0000019e+1
-0.090, -3.1212057e-8, -5.3004751e-8, 3.0333353e+1
-0.091, -3.0828627e-8, -5.2900905e-8, 3.0666687e+1
-0.092, -3.0700818e-8, -5.2709190e-8, 3.1000021e+1
-0.093, -3.0521083e-8, -5.2549428e-8, 3.1333355e+1
-0.094, -3.0117683e-8, -5.2481528e-8, 3.1666689e+1
-0.095, -2.9989874e-8, -5.2345730e-8, 3.2000023e+1
-0.096, -2.9826118e-8, -5.2221914e-8, 3.2333355e+1
-0.097, -2.9262955e-8, -5.2197951e-8, 3.2666687e+1
-0.098, -2.9542539e-8, -5.1974286e-8, 3.3000019e+1
-0.099, -2.9234997e-8, -5.1774581e-8, 3.3333351e+1
-0.100, -2.8911476e-8, -5.1826504e-8, 3.3666683e+1
-0.101, -2.9007335e-8, -5.1698692e-8, 3.4000015e+1
-0.102, -2.8484113e-8, -5.1594846e-8, 3.4333347e+1
-0.103, -2.8583965e-8, -5.1387158e-8, 3.4666679e+1
-0.104, -2.8240475e-8, -5.1235382e-8, 3.5000011e+1
-0.105, -2.8196540e-8, -5.1494993e-8, 3.5333344e+1
-0.106, -2.7649355e-8, -5.1271329e-8, 3.5666676e+1
-0.107, -2.7661336e-8, -5.1043667e-8, 3.6000008e+1
-0.108, -2.7601425e-8, -5.1031684e-8, 3.6333340e+1
-0.109, -2.7229978e-8, -5.1051657e-8, 3.6666672e+1
-0.110, -2.7249948e-8, -5.0664230e-8, 3.7000004e+1
-0.111, -2.6866518e-8, -5.0776062e-8, 3.7333336e+1
-0.112, -2.6818590e-8, -5.0644260e-8, 3.7666668e+1
-0.113, -2.6670810e-8, -5.0376656e-8, 3.8000000e+1
-0.114, -2.6267408e-8, -5.0137015e-8, 3.8333332e+1
-0.115, -2.6351286e-8, -5.0292783e-8, 3.8666664e+1
-0.116, -2.6175545e-8, -5.0172964e-8, 3.8999996e+1
-0.117, -2.5864008e-8, -5.0061129e-8, 3.9333328e+1
-0.118, -2.5919926e-8, -5.0057135e-8, 3.9666660e+1
-0.119, -2.5660311e-8, -5.0001219e-8, 3.9999992e+1
-0.120, -2.5280876e-8, -5.0053139e-8, 4.0333324e+1
-0.121, -2.5093154e-8, -4.9657729e-8, 4.0666656e+1
-0.122, -2.4825553e-8, -4.9625772e-8, 4.0999989e+1
-0.123, -2.4877474e-8, -4.9513940e-8, 4.1333321e+1
-0.124, -2.4597892e-8, -4.9625772e-8, 4.1666653e+1
-0.125, -2.4486058e-8, -4.9198409e-8, 4.1999985e+1
