Jan. 28, 2006   00:08:12
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\1\75um_control_transfer_1_gc_6.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -4.9501374e-8, -6.9677363e-8, 3.3333334e-1
-0.001, -4.5080746e-8, -6.5070367e-8, 6.6666669e-1
-0.002, -4.1592013e-8, -6.1252607e-8, 1.0000000e+0
-0.003, -3.8618754e-8, -5.7893200e-8, 1.3333334e+0
-0.004, -3.6095066e-8, -5.5004293e-8, 1.6666667e+0
-0.005, -3.3739131e-8, -5.2391940e-8, 2.0000000e+0
-0.006, -3.1767662e-8, -5.0130421e-8, 2.3333333e+0
-0.007, -3.0010192e-8, -4.8043205e-8, 2.6666665e+0
-0.008, -2.8421915e-8, -4.6244999e-8, 2.9999998e+0
-0.009, -2.6998670e-8, -4.4520203e-8, 3.3333330e+0
-0.010, -2.5715936e-8, -4.3016598e-8, 3.6666663e+0
-0.011, -2.4510369e-8, -4.1610527e-8, 3.9999995e+0
-0.012, -2.3420309e-8, -4.0352237e-8, 4.3333330e+0
-0.013, -2.2437531e-8, -3.9155537e-8, 4.6666665e+0
-0.014, -2.1508912e-8, -3.8119396e-8, 5.0000000e+0
-0.015, -2.0621910e-8, -3.7055699e-8, 5.3333335e+0
-0.016, -1.9799533e-8, -3.6136829e-8, 5.6666670e+0
-0.017, -1.9061270e-8, -3.5238724e-8, 6.0000005e+0
-0.018, -1.8431885e-8, -3.4427210e-8, 6.3333340e+0
-0.019, -1.7784529e-8, -3.3651641e-8, 6.6666675e+0
-0.020, -1.7157621e-8, -3.2940058e-8, 7.0000010e+0
-0.021, -1.6556434e-8, -3.2269135e-8, 7.3333344e+0
-0.022, -1.6044634e-8, -3.1612672e-8, 7.6666679e+0
-0.023, -1.5524050e-8, -3.0979134e-8, 8.0000010e+0
-0.024, -1.5042046e-8, -3.0470211e-8, 8.3333340e+0
-0.025, -1.4557247e-8, -2.9917754e-8, 8.6666670e+0
-0.026, -1.4094654e-8, -2.9419533e-8, 9.0000000e+0
-0.027, -1.3651073e-8, -2.8911408e-8, 9.3333330e+0
-0.028, -1.3241123e-8, -2.8378681e-8, 9.6666660e+0
-0.029, -1.2909456e-8, -2.7865282e-8, 9.9999990e+0
-0.030, -1.2553106e-8, -2.7434565e-8, 1.0333332e+1
-0.031, -1.2152981e-8, -2.6990584e-8, 1.0666665e+1
-0.032, -1.1787844e-8, -2.6589500e-8, 1.0999998e+1
-0.033, -1.1534301e-8, -2.6210863e-8, 1.1333331e+1
-0.034, -1.1170601e-8, -2.5918737e-8, 1.1666664e+1
-0.035, -1.0885345e-8, -2.5528836e-8, 1.1999997e+1
-0.036, -1.0597454e-8, -2.5171847e-8, 1.2333330e+1
-0.037, -1.0252766e-8, -2.4903207e-8, 1.2666663e+1
-0.038, -1.0066563e-8, -2.4580567e-8, 1.2999996e+1
-0.039, -9.7245909e-9, -2.4255609e-8, 1.3333329e+1
-0.040, -9.5532453e-9, -2.4047200e-8, 1.3666662e+1
-0.041, -9.2598427e-9, -2.3699238e-8, 1.3999995e+1
-0.042, -9.1297956e-9, -2.3508402e-8, 1.4333328e+1
-0.043, -8.7875049e-9, -2.3166429e-8, 1.4666661e+1
-0.044, -8.6327745e-9, -2.3012177e-8, 1.4999994e+1
-0.045, -8.3661309e-9, -2.2689379e-8, 1.5333327e+1
-0.046, -8.1931075e-9, -2.2563405e-8, 1.5666660e+1
-0.047, -7.9832603e-9, -2.2234534e-8, 1.5999993e+1
-0.048, -7.7499269e-9, -2.2097218e-8, 1.6333326e+1
-0.049, -7.6305842e-9, -2.1821629e-8, 1.6666660e+1
-0.050, -7.3464470e-9, -2.1644212e-8, 1.6999994e+1
-0.051, -7.2473942e-9, -2.1450100e-8, 1.7333328e+1
-0.052, -7.1153505e-9, -2.1225555e-8, 1.7666662e+1
-0.053, -6.8393602e-9, -2.1088558e-8, 1.7999996e+1
-0.054, -6.7235328e-9, -2.0855625e-8, 1.8333330e+1
-0.055, -6.6269563e-9, -2.0673737e-8, 1.8666664e+1
-0.056, -6.3976175e-9, -2.0573165e-8, 1.8999998e+1
-0.057, -6.2641359e-9, -2.0307798e-8, 1.9333332e+1
-0.058, -6.1441541e-9, -2.0193090e-8, 1.9666666e+1
-0.059, -5.9541967e-9, -2.0062243e-8, 2.0000000e+1
-0.060, -5.7894813e-9, -1.9841933e-8, 2.0333334e+1
-0.061, -5.7051266e-9, -1.9688320e-8, 2.0666668e+1
-0.062, -5.6063936e-9, -1.9613472e-8, 2.1000002e+1
-0.063, -5.3570846e-9, -1.9401867e-8, 2.1333336e+1
-0.064, -5.2988511e-9, -1.9261195e-8, 2.1666670e+1
-0.065, -5.2199280e-9, -1.9154474e-8, 2.2000004e+1
-0.066, -5.0282933e-9, -1.9049830e-8, 2.2333338e+1
-0.067, -4.8788356e-9, -1.8847411e-8, 2.2666672e+1
-0.068, -4.7970370e-9, -1.8737653e-8, 2.3000006e+1
-0.069, -4.7149191e-9, -1.8656415e-8, 2.3333340e+1
-0.070, -4.6481383e-9, -1.8526768e-8, 2.3666674e+1
-0.071, -4.4598583e-9, -1.8331857e-8, 2.4000008e+1
-0.072, -4.3367612e-9, -1.8257808e-8, 2.4333342e+1
-0.073, -4.2840393e-9, -1.8164744e-8, 2.4666676e+1
-0.074, -4.1993657e-9, -1.8065293e-8, 2.5000010e+1
-0.075, -4.0730734e-9, -1.7884762e-8, 2.5333344e+1
-0.076, -3.9018082e-9, -1.7786748e-8, 2.5666677e+1
-0.077, -3.8245629e-9, -1.7699357e-8, 2.6000011e+1
-0.078, -3.7540278e-9, -1.7647036e-8, 2.6333345e+1
-0.079, -3.6981906e-9, -1.7505165e-8, 2.6666679e+1
-0.080, -3.6079251e-9, -1.7367370e-8, 2.7000013e+1
-0.081, -3.4463252e-9, -1.7273750e-8, 2.7333347e+1
-0.082, -3.3631686e-9, -1.7222465e-8, 2.7666681e+1
-0.083, -3.3325744e-9, -1.7148256e-8, 2.8000015e+1
-0.084, -3.2706664e-9, -1.7049603e-8, 2.8333349e+1
-0.085, -3.1751284e-9, -1.6919476e-8, 2.8666683e+1
-0.086, -3.0692058e-9, -1.6819547e-8, 2.9000017e+1
-0.087, -2.9475469e-9, -1.6752525e-8, 2.9333351e+1
-0.088, -2.8762925e-9, -1.6709869e-8, 2.9666685e+1
-0.089, -2.8163818e-9, -1.6634301e-8, 3.0000019e+1
-0.090, -2.7679736e-9, -1.6497303e-8, 3.0333353e+1
-0.091, -2.7350626e-9, -1.6390663e-8, 3.0666687e+1
-0.092, -2.6653262e-9, -1.6330512e-8, 3.1000021e+1
-0.093, -2.5464630e-9, -1.6270841e-8, 3.1333355e+1
