Jan. 28, 2006   00:54:45
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\2\75um_control_soak_2_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
2nd E (V) = 0
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A, Time/s

0.000, -1.5148846e-7, -1.2980932e-7, 3.3333334e-1
-0.001, -1.4241795e-7, -1.2194741e-7, 6.6666669e-1
-0.002, -1.3518951e-7, -1.1473493e-7, 1.0000000e+0
-0.003, -1.2830533e-7, -1.0883490e-7, 1.3333334e+0
-0.004, -1.2271045e-7, -1.0399250e-7, 1.6666667e+0
-0.005, -1.1728412e-7, -9.9142113e-8, 2.0000000e+0
-0.006, -1.1279879e-7, -9.5217551e-8, 2.3333333e+0
-0.007, -1.0909230e-7, -9.2103782e-8, 2.6666665e+0
-0.008, -1.0579959e-7, -8.8731191e-8, 2.9999998e+0
-0.009, -1.0193494e-7, -8.5348219e-8, 3.3333330e+0
-0.010, -9.8567142e-8, -8.3144300e-8, 3.6666663e+0
-0.011, -9.6031719e-8, -7.9901916e-8, 3.9999995e+0
-0.012, -9.2909154e-8, -7.8416129e-8, 4.3333330e+0
-0.013, -9.1523212e-8, -7.5553984e-8, 4.6666665e+0
-0.014, -8.8292026e-8, -7.3999495e-8, 5.0000000e+0
-0.015, -8.6721556e-8, -7.2700630e-8, 5.3333335e+0
-0.016, -8.5089589e-8, -7.0024605e-8, 5.6666670e+0
-0.017, -8.2623650e-8, -6.9150701e-8, 6.0000005e+0
-0.018, -8.1432617e-8, -6.7978846e-8, 6.3333340e+0
-0.019, -7.9002632e-8, -6.5622352e-8, 6.6666675e+0
-0.020, -7.7527226e-8, -6.4556730e-8, 7.0000010e+0
-0.021, -7.6475992e-8, -6.3655676e-8, 7.3333344e+0
-0.022, -7.4859194e-8, -6.2328049e-8, 7.6666679e+0
-0.023, -7.2916485e-8, -6.0540302e-8, 8.0000010e+0
