Jan. 28, 2006   05:03:51
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\5\75um_control_transfer_5_swv_15.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 2.2485210e-7, 1.0024760e-7
0.098, 1.5405709e-7, 1.1781029e-7
0.097, 1.6101619e-7, 1.4523451e-7
0.096, 1.2805108e-7, 9.1425008e-8
0.095, 1.7960133e-7, 1.3659331e-7
0.094, 1.9962116e-7, 1.0664602e-7
0.093, 1.7402745e-7, 1.3599964e-7
0.092, 1.5918572e-7, 1.4284333e-7
0.091, 1.4460784e-7, 1.3977605e-7
0.090, 1.6942651e-7, 1.6929457e-7
0.089, 1.2948577e-7, 1.0042899e-7
0.088, 1.2023445e-7, 1.5267184e-7
0.087, 1.3256955e-7, 9.3981086e-8
0.086, 1.5921870e-7, 8.9083308e-8
0.085, 1.6274771e-7, 6.0356342e-8
0.084, 1.1215395e-7, 3.6114855e-8
0.083, 1.5313358e-7, 1.1510581e-7
0.082, 1.3878659e-7, 6.9953984e-8
0.081, 1.6151093e-7, 1.2978262e-7
0.080, 1.4106233e-7, 1.3281692e-7
0.079, 1.4452540e-7, 1.2727601e-7
0.078, 1.8560398e-7, 1.6182423e-7
0.077, 1.1696927e-7, 1.2443959e-7
0.076, 1.5719033e-7, 1.6807427e-7
0.075, 1.2668235e-7, 1.3024436e-7
0.074, 1.5001683e-7, 1.2753986e-7
0.073, 1.3326218e-7, 1.3181099e-7
0.072, 8.5818137e-8, 1.1662296e-7
0.071, 1.5534336e-7, 1.5592055e-7
0.070, 1.1650751e-7, 1.0428784e-7
0.069, 1.5737173e-7, 1.0110511e-7
0.068, 1.3934728e-7, 1.3187694e-7
0.067, 1.7557757e-7, 1.5184732e-7
0.066, 1.9833487e-7, 1.5557421e-7
0.065, 1.1784327e-7, 1.4942316e-7
0.064, 1.6367122e-7, 1.8984213e-7
0.063, 1.1601280e-7, 1.9053473e-7
0.062, 1.5156698e-7, 1.5514547e-7
0.061, 1.1690330e-7, 1.7097665e-7
0.060, 8.8901913e-8, 1.4810391e-7
0.059, 1.5775102e-7, 1.1167572e-7
0.058, 1.1429776e-7, 1.0521131e-7
0.057, 1.4330507e-7, 6.0686155e-8
0.056, 1.3250360e-7, 1.0674496e-7
0.055, 1.4937369e-7, 9.9439539e-8
0.054, 1.6090077e-7, 1.2373050e-7
0.053, 1.0634919e-7, 1.0535974e-7
0.052, 1.6500697e-7, 1.3464741e-7
0.051, 1.5857556e-7, 1.3471336e-7
0.050, 1.5087434e-7, 1.3740137e-7
0.049, 1.4061706e-7, 1.2994752e-7
0.048, 1.2706164e-7, 1.1109853e-7
0.047, 1.6413296e-7, 1.2145476e-7
0.046, 1.0969681e-7, 8.3278557e-8
