Jan. 27, 2006   23:27:10
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\0um_psoralen_transfer_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -2.4357895e-8, -6.4356712e-8, 3.3333334e-1
-0.001, -1.9443725e-8, -5.7211214e-8, 6.6666669e-1
-0.002, -1.6869540e-8, -5.1671122e-8, 1.0000000e+0
-0.003, -1.4860010e-8, -4.7244793e-8, 1.3333334e+0
-0.004, -1.3192151e-8, -4.3595048e-8, 1.6666667e+0
-0.005, -1.1833726e-8, -4.0546499e-8, 2.0000000e+0
-0.006, -1.0620093e-8, -3.7939611e-8, 2.3333333e+0
-0.007, -9.5836175e-9, -3.5700385e-8, 2.6666665e+0
-0.008, -8.6901633e-9, -3.3753903e-8, 2.9999998e+0
-0.009, -7.8543456e-9, -3.2027714e-8, 3.3333330e+0
-0.010, -7.1601325e-9, -3.0490501e-8, 3.6666663e+0
-0.011, -6.4825731e-9, -2.9108223e-8, 3.9999995e+0
-0.012, -5.8800089e-9, -2.7872259e-8, 4.3333330e+0
-0.013, -5.3757065e-9, -2.6752117e-8, 4.6666665e+0
-0.014, -4.8601847e-9, -2.5724864e-8, 5.0000000e+0
-0.015, -4.3880068e-9, -2.4790154e-8, 5.3333335e+0
-0.016, -3.9884624e-9, -2.3932023e-8, 5.6666670e+0
-0.017, -3.5800607e-9, -2.3137947e-8, 6.0000005e+0
-0.018, -3.2338991e-9, -2.2395163e-8, 6.3333340e+0
-0.019, -2.8840763e-9, -2.1714307e-8, 6.6666675e+0
-0.020, -2.5445290e-9, -2.1070324e-8, 7.0000010e+0
-0.021, -2.2659228e-9, -2.0483188e-8, 7.3333344e+0
-0.022, -1.9770414e-9, -1.9923826e-8, 7.6666679e+0
-0.023, -1.6925301e-9, -1.9398973e-8, 8.0000010e+0
-0.024, -1.4545515e-9, -1.8915838e-8, 8.3333340e+0
-0.025, -1.1883461e-9, -1.8457285e-8, 8.6666670e+0
-0.026, -9.8993214e-10, -1.8021899e-8, 9.0000000e+0
-0.027, -7.5655965e-10, -1.7603057e-8, 9.3333330e+0
-0.028, -5.2732069e-10, -1.7207379e-8, 9.6666660e+0
-0.029, -3.6020420e-10, -1.6831908e-8, 9.9999990e+0
-0.030, -1.5352301e-10, -1.6474758e-8, 1.0333332e+1
-0.031, 2.7411585e-11, -1.6135806e-8, 1.0666665e+1
-0.032, 2.0255912e-10, -1.5819074e-8, 1.0999998e+1
-0.033, 3.8526526e-10, -1.5507306e-8, 1.1333331e+1
-0.034, 5.2616278e-10, -1.5205231e-8, 1.1666664e+1
-0.035, 6.7001288e-10, -1.4918752e-8, 1.1999997e+1
-0.036, 8.4067242e-10, -1.4644329e-8, 1.2333330e+1
-0.037, 9.6243713e-10, -1.4387399e-8, 1.2666663e+1
-0.038, 1.1071140e-9, -1.4139331e-8, 1.2999996e+1
-0.039, 1.2448227e-9, -1.3892446e-8, 1.3333329e+1
-0.040, 1.3626901e-9, -1.3665534e-8, 1.3666662e+1
-0.041, 1.5033513e-9, -1.3446303e-8, 1.3999995e+1
-0.042, 1.5973617e-9, -1.3228965e-8, 1.4333328e+1
-0.043, 1.7226695e-9, -1.3020724e-8, 1.4666661e+1
-0.044, 1.8946282e-9, -1.2825604e-8, 1.4999994e+1
-0.045, 1.9754112e-9, -1.2627765e-8, 1.5333327e+1
-0.046, 2.0585560e-9, -1.2452617e-8, 1.5666660e+1
-0.047, 2.1518578e-9, -1.2276405e-8, 1.5999993e+1
-0.048, 2.2285072e-9, -1.2100074e-8, 1.6333326e+1
-0.049, 2.3407054e-9, -1.1936627e-8, 1.6666660e+1
-0.050, 2.4097959e-9, -1.1774360e-8, 1.6999994e+1
-0.051, 2.4996727e-9, -1.1622613e-8, 1.7333328e+1
-0.052, 2.6038400e-9, -1.1473938e-8, 1.7666662e+1
-0.053, 2.6530893e-9, -1.1327153e-8, 1.7999996e+1
-0.054, 2.7491074e-9, -1.1189352e-8, 1.8333330e+1
-0.055, 2.8292997e-9, -1.1047177e-8, 1.8666664e+1
-0.056, 2.9006342e-9, -1.0912212e-8, 1.8999998e+1
-0.057, 2.9955893e-9, -1.0781618e-8, 1.9333332e+1
-0.058, 3.0510978e-9, -1.0653271e-8, 1.9666666e+1
-0.059, 3.1204246e-9, -1.0530715e-8, 2.0000000e+1
-0.060, 3.2030973e-9, -1.0408513e-8, 2.0333334e+1
-0.061, 3.2346308e-9, -1.0293166e-8, 2.0666668e+1
-0.062, 3.3248622e-9, -1.0180655e-8, 2.1000002e+1
-0.063, 3.3882839e-9, -1.0068499e-8, 2.1333336e+1
-0.064, 3.4362340e-9, -9.9654427e-9, 2.1666670e+1
-0.065, 3.5217405e-9, -9.8662873e-9, 2.2000004e+1
-0.066, 3.5687457e-9, -9.7645305e-9, 2.2333338e+1
-0.067, 3.6223646e-9, -9.6528483e-9, 2.2666672e+1
-0.068, 3.6732675e-9, -9.5669277e-9, 2.3000006e+1
-0.069, 3.7154302e-9, -9.4719095e-9, 2.3333340e+1
-0.070, 3.7799150e-9, -9.3829167e-9, 2.3666674e+1
-0.071, 3.8406203e-9, -9.2906145e-9, 2.4000008e+1
-0.072, 3.8833736e-9, -9.2056407e-9, 2.4333342e+1
-0.073, 3.9512829e-9, -9.1151122e-9, 2.4666676e+1
-0.074, 3.9878953e-9, -9.0334478e-9, 2.5000010e+1
-0.075, 4.0354911e-9, -8.9496552e-9, 2.5333344e+1
-0.076, 4.0894643e-9, -8.8715364e-9, 2.5666677e+1
-0.077, 4.0999750e-9, -8.7980263e-9, 2.6000011e+1
-0.078, 4.1583190e-9, -8.7251069e-9, 2.6333345e+1
-0.079, 4.2135913e-9, -8.6448599e-9, 2.6666679e+1
-0.080, 4.2357948e-9, -8.5759586e-9, 2.7000013e+1
-0.081, 4.3116168e-9, -8.5045766e-9, 2.7333347e+1
-0.082, 4.3328754e-9, -8.4308294e-9, 2.7666681e+1
-0.083, 4.3811799e-9, -8.3624014e-9, 2.8000015e+1
-0.084, 4.4402317e-9, -8.2992910e-9, 2.8333349e+1
-0.085, 4.4605457e-9, -8.2335818e-9, 2.8666683e+1
-0.086, 4.5012913e-9, -8.1639708e-9, 2.9000017e+1
-0.087, 4.5559734e-9, -8.1081879e-9, 2.9333351e+1
-0.088, 4.5792397e-9, -8.0385787e-9, 2.9666685e+1
-0.089, 4.6214028e-9, -7.9849229e-9, 3.0000019e+1
-0.090, 4.6466764e-9, -7.9248856e-9, 3.0333353e+1
-0.091, 4.6594320e-9, -7.8636671e-9, 3.0666687e+1
-0.092, 4.7082085e-9, -7.8211206e-9, 3.1000021e+1
-0.093, 4.7276960e-9, -7.7583646e-9, 3.1333355e+1
-0.094, 4.7796611e-9, -7.7047098e-9, 3.1666689e+1
-0.095, 4.8247766e-9, -7.6441999e-9, 3.2000023e+1
-0.096, 4.8639870e-9, -7.6021260e-9, 3.2333355e+1
-0.097, 4.9661470e-9, -7.5153803e-9, 3.2666687e+1
-0.098, 4.8316267e-9, -7.4981239e-9, 3.3000019e+1
-0.099, 4.9109921e-9, -7.4525062e-9, 3.3333351e+1
-0.100, 4.9741775e-9, -7.3948323e-9, 3.3666683e+1
-0.101, 5.0011053e-9, -7.3469675e-9, 3.4000015e+1
-0.102, 5.0588578e-9, -7.3034765e-9, 3.4333347e+1
-0.103, 5.0854316e-9, -7.2540760e-9, 3.4666679e+1
-0.104, 5.0953521e-9, -7.2073929e-9, 3.5000011e+1
