Jan. 27, 2006   23:24:06
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\0um_psoralen_transfer_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A

0.099, 1.4207157e-5, 1.4930969e-5
0.098, 1.5378868e-5, 1.5483722e-5
0.097, 1.5441728e-5, 1.5464146e-5
0.096, 1.5454609e-5, 1.5449637e-5
0.095, 1.5459458e-5, 1.5504984e-5
0.094, 1.5451576e-5, 1.5459394e-5
0.093, 1.5374202e-5, 1.5406402e-5
0.092, 1.5380450e-5, 1.5406238e-5
0.091, 1.5391894e-5, 1.5395304e-5
0.090, 1.5406924e-5, 1.5465566e-5
0.089, 1.5383679e-5, 1.5412272e-5
0.088, 1.5324898e-5, 1.5373422e-5
0.087, 1.5330561e-5, 1.5374522e-5
0.086, 1.5352296e-5, 1.5374742e-5
0.085, 1.5356600e-5, 1.5430658e-5
0.084, 1.5344231e-5, 1.5395593e-5
0.083, 1.5277250e-5, 1.5347763e-5
0.082, 1.5284437e-5, 1.5345908e-5
0.081, 1.5300575e-5, 1.5346910e-5
0.080, 1.5312560e-5, 1.5402904e-5
0.079, 1.5297122e-5, 1.5364298e-5
0.078, 1.5236441e-5, 1.5320167e-5
0.077, 1.5239191e-5, 1.5317553e-5
0.076, 1.5256535e-5, 1.5324162e-5
0.075, 1.5271698e-5, 1.5384683e-5
0.074, 1.5260292e-5, 1.5344811e-5
0.073, 1.5192238e-5, 1.5299811e-5
0.072, 1.5200310e-5, 1.5294056e-5
0.071, 1.5209567e-5, 1.5294987e-5
0.070, 1.5233913e-5, 1.5365269e-5
0.069, 1.5215859e-5, 1.5318710e-5
0.068, 1.5151621e-5, 1.5282265e-5
0.067, 1.5160234e-5, 1.5271984e-5
0.066, 1.5179477e-5, 1.5280082e-5
0.065, 1.5186199e-5, 1.5335649e-5
0.064, 1.5178081e-5, 1.5299067e-5
0.063, 1.5106768e-5, 1.5254866e-5
0.062, 1.5122994e-5, 1.5256463e-5
0.061, 1.5133559e-5, 1.5249847e-5
0.060, 1.5147991e-5, 1.5319072e-5
0.059, 1.5141160e-5, 1.5279051e-5
0.058, 1.5071339e-5, 1.5233082e-5
0.057, 1.5080552e-5, 1.5237817e-5
0.056, 1.5095560e-5, 1.5233089e-5
0.055, 1.5104630e-5, 1.5294328e-5
0.054, 1.5100919e-5, 1.5261739e-5
0.053, 1.5032409e-5, 1.5210763e-5
0.052, 1.5035751e-5, 1.5213245e-5
0.051, 1.5057951e-5, 1.5212311e-5
0.050, 1.5068457e-5, 1.5272501e-5
0.049, 1.5065669e-5, 1.5250644e-5
0.048, 1.4995827e-5, 1.5195103e-5
0.047, 1.5005868e-5, 1.5199012e-5
0.046, 1.5026479e-5, 1.5202743e-5
0.045, 1.5034546e-5, 1.5255788e-5
0.044, 1.5020461e-5, 1.5219959e-5
0.043, 1.4957155e-5, 1.5172782e-5
0.042, 1.4966065e-5, 1.5173673e-5
0.041, 1.4981471e-5, 1.5179474e-5
0.040, 1.4993130e-5, 1.5232001e-5
0.039, 1.4977457e-5, 1.5193084e-5
0.038, 1.4918467e-5, 1.5154524e-5
0.037, 1.4922134e-5, 1.5146101e-5
0.036, 1.4935184e-5, 1.5150323e-5
0.035, 1.4953540e-5, 1.5214941e-5
0.034, 1.4937075e-5, 1.5169447e-5
0.033, 1.4870547e-5, 1.5131145e-5
0.032, 1.4876394e-5, 1.5116606e-5
0.031, 1.4893967e-5, 1.5123382e-5
0.030, 1.4904725e-5, 1.5184293e-5
0.029, 1.4886271e-5, 1.5138186e-5
0.028, 1.4823172e-5, 1.5096957e-5
0.027, 1.4833079e-5, 1.5096225e-5
0.026, 1.4847606e-5, 1.5091194e-5
0.025, 1.4852840e-5, 1.5149816e-5
0.024, 1.4842675e-5, 1.5108943e-5
0.023, 1.4773786e-5, 1.5062485e-5
0.022, 1.4789046e-5, 1.5073483e-5
0.021, 1.4794871e-5, 1.5058949e-5
0.020, 1.4807654e-5, 1.5124140e-5
0.019, 1.4793222e-5, 1.5081396e-5
0.018, 1.4728726e-5, 1.5032407e-5
0.017, 1.4729798e-5, 1.5030716e-5
0.016, 1.4744312e-5, 1.5023279e-5
0.015, 1.4752723e-5, 1.5082532e-5
0.014, 1.4744104e-5, 1.5053150e-5
0.013, 1.4671570e-5, 1.4993755e-5
0.012, 1.4678609e-5, 1.4995579e-5
0.011, 1.4695761e-5, 1.4995660e-5
0.010, 1.4700840e-5, 1.5046819e-5
0.009, 1.4682802e-5, 1.5008203e-5
0.008, 1.4620027e-5, 1.4957983e-5
0.007, 1.4629919e-5, 1.4959871e-5
0.006, 1.4641149e-5, 1.4962629e-5
0.005, 1.4641444e-5, 1.5004745e-5
0.004, 1.4626961e-5, 1.4965428e-5
0.003, 1.4563811e-5, 1.4926887e-5
0.002, 1.4568912e-5, 1.4915258e-5
0.001, 1.4576386e-5, 1.4914429e-5
-0.000, 1.4585716e-5, 1.4971089e-5
-0.001, 1.4559389e-5, 1.4913103e-5
-0.002, 1.4499433e-5, 1.4879985e-5
-0.003, 1.4499661e-5, 1.4862673e-5
-0.004, 1.4511010e-5, 1.4862542e-5
-0.005, 1.4522127e-5, 1.4928180e-5
-0.006, 1.4495876e-5, 1.4871167e-5
-0.007, 1.4430492e-5, 1.4828376e-5
-0.008, 1.4436540e-5, 1.4822718e-5
-0.009, 1.4445951e-5, 1.4814392e-5
-0.010, 1.4456797e-5, 1.4876836e-5
-0.011, 1.4432089e-5, 1.4822746e-5
-0.012, 1.4365338e-5, 1.4778958e-5
-0.013, 1.4373285e-5, 1.4782227e-5
-0.014, 1.4385136e-5, 1.4774647e-5
-0.015, 1.4392663e-5, 1.4833577e-5
-0.016, 1.4368517e-5, 1.4782081e-5
-0.017, 1.4301721e-5, 1.4730769e-5
-0.018, 1.4306134e-5, 1.4733879e-5
-0.019, 1.4318459e-5, 1.4727613e-5
-0.020, 1.4314253e-5, 1.4772266e-5
-0.021, 1.4300331e-5, 1.4737581e-5
-0.022, 1.4232146e-5, 1.4681231e-5
-0.023, 1.4236337e-5, 1.4680995e-5
-0.024, 1.4243287e-5, 1.4674220e-5
-0.025, 1.4244713e-5, 1.4720527e-5
-0.026, 1.4230607e-5, 1.4686157e-5
-0.027, 1.4167272e-5, 1.4639532e-5
-0.028, 1.4169143e-5, 1.4631161e-5
-0.029, 1.4178066e-5, 1.4631651e-5
-0.030, 1.4178517e-5, 1.4673905e-5
-0.031, 1.4156168e-5, 1.4627147e-5
-0.032, 1.4090088e-5, 1.4587230e-5
-0.033, 1.4086281e-5, 1.4570618e-5
-0.034, 1.4104602e-5, 1.4577512e-5
-0.035, 1.4102671e-5, 1.4623656e-5
-0.036, 1.4080871e-5, 1.4571793e-5
-0.037, 1.4019945e-5, 1.4538288e-5
-0.038, 1.4016322e-5, 1.4518877e-5
-0.039, 1.4026436e-5, 1.4516719e-5
-0.040, 1.4029577e-5, 1.4575080e-5
-0.041, 1.3997254e-5, 1.4510727e-5
-0.042, 1.3942708e-5, 1.4480303e-5
-0.043, 1.3941622e-5, 1.4468464e-5
-0.044, 1.3948047e-5, 1.4457692e-5
-0.045, 1.3943649e-5, 1.4504269e-5
-0.046, 1.3929610e-5, 1.4461584e-5
-0.047, 1.3863241e-5, 1.4418601e-5
-0.048, 1.3862399e-5, 1.4413285e-5
-0.049, 1.3862393e-5, 1.4394633e-5
-0.050, 1.3880157e-5, 1.4461977e-5
-0.051, 1.3850142e-5, 1.4407347e-5
-0.052, 1.3785164e-5, 1.4357494e-5
-0.053, 1.3786510e-5, 1.4358422e-5
-0.054, 1.3797999e-5, 1.4352638e-5
-0.055, 1.3793859e-5, 1.4397439e-5
-0.056, 1.3775893e-5, 1.4358337e-5
-0.057, 1.3707575e-5, 1.4301611e-5
-0.058, 1.3713254e-5, 1.4301639e-5
-0.059, 1.3716513e-5, 1.4293422e-5
-0.060, 1.3715418e-5, 1.4336761e-5
-0.061, 1.3695628e-5, 1.4297032e-5
-0.062, 1.3631568e-5, 1.4249852e-5
-0.063, 1.3632403e-5, 1.4239895e-5
-0.064, 1.3629489e-5, 1.4228071e-5
-0.065, 1.3635937e-5, 1.4278578e-5
-0.066, 1.3619518e-5, 1.4238532e-5
-0.067, 1.3551567e-5, 1.4194842e-5
-0.068, 1.3545379e-5, 1.4173767e-5
-0.069, 1.3559471e-5, 1.4179202e-5
-0.070, 1.3560675e-5, 1.4227787e-5
-0.071, 1.3534882e-5, 1.4173083e-5
-0.072, 1.3464101e-5, 1.4127614e-5
-0.073, 1.3469711e-5, 1.4120167e-5
-0.074, 1.3482909e-5, 1.4121266e-5
-0.075, 1.3481535e-5, 1.4174582e-5
-0.076, 1.3454017e-5, 1.4113563e-5
-0.077, 1.3395472e-5, 1.4077407e-5
-0.078, 1.3397024e-5, 1.4071456e-5
-0.079, 1.3400410e-5, 1.4057865e-5
-0.080, 1.3396485e-5, 1.4108175e-5
-0.081, 1.3370824e-5, 1.4050140e-5
-0.082, 1.3314157e-5, 1.4015577e-5
-0.083, 1.3312434e-5, 1.4011070e-5
-0.084, 1.3316796e-5, 1.3994564e-5
-0.085, 1.3320618e-5, 1.4050896e-5
-0.086, 1.3303939e-5, 1.4011046e-5
-0.087, 1.3231755e-5, 1.3951734e-5
-0.088, 1.3228834e-5, 1.3946613e-5
-0.089, 1.3234599e-5, 1.3938503e-5
-0.090, 1.3243494e-5, 1.3996789e-5
-0.091, 1.3209250e-5, 1.3939829e-5
-0.092, 1.3147001e-5, 1.3887820e-5
-0.093, 1.3148849e-5, 1.3887553e-5
-0.094, 1.3166304e-5, 1.3893156e-5
