Jan. 28, 2006   00:04:31
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\1\75um_psoralen_soak_1_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A

0.099, 1.4849520e-5, 1.5073863e-5
0.098, 1.6230822e-5, 1.5720812e-5
0.097, 1.6236405e-5, 1.5655896e-5
0.096, 1.6210663e-5, 1.5629910e-5
0.095, 1.6178354e-5, 1.5614147e-5
0.094, 1.6158498e-5, 1.5605041e-5
0.093, 1.6109576e-5, 1.5576199e-5
0.092, 1.6070489e-5, 1.5536774e-5
0.091, 1.6058528e-5, 1.5535139e-5
0.090, 1.6030059e-5, 1.5521382e-5
0.089, 1.6013437e-5, 1.5525768e-5
0.088, 1.5964823e-5, 1.5497333e-5
0.087, 1.5925949e-5, 1.5454672e-5
0.086, 1.5920938e-5, 1.5464288e-5
0.085, 1.5896097e-5, 1.5447888e-5
0.084, 1.5866804e-5, 1.5441756e-5
0.083, 1.5828311e-5, 1.5421527e-5
0.082, 1.5793570e-5, 1.5382848e-5
0.081, 1.5779442e-5, 1.5391408e-5
0.080, 1.5759422e-5, 1.5375699e-5
0.079, 1.5740028e-5, 1.5376432e-5
0.078, 1.5700574e-5, 1.5364451e-5
0.077, 1.5663210e-5, 1.5314441e-5
0.076, 1.5647360e-5, 1.5321868e-5
0.075, 1.5634996e-5, 1.5320806e-5
0.074, 1.5615273e-5, 1.5310849e-5
0.073, 1.5568772e-5, 1.5299922e-5
0.072, 1.5536716e-5, 1.5249498e-5
0.071, 1.5524531e-5, 1.5257755e-5
0.070, 1.5511741e-5, 1.5263473e-5
0.069, 1.5485297e-5, 1.5247058e-5
0.068, 1.5442698e-5, 1.5234317e-5
0.067, 1.5418116e-5, 1.5199506e-5
0.066, 1.5409238e-5, 1.5201265e-5
0.065, 1.5381853e-5, 1.5195028e-5
0.064, 1.5369300e-5, 1.5190495e-5
0.063, 1.5327294e-5, 1.5177230e-5
0.062, 1.5303796e-5, 1.5148629e-5
0.061, 1.5287889e-5, 1.5142120e-5
0.060, 1.5275298e-5, 1.5145159e-5
0.059, 1.5260379e-5, 1.5150796e-5
0.058, 1.5219496e-5, 1.5126354e-5
0.057, 1.5188652e-5, 1.5093001e-5
0.056, 1.5179448e-5, 1.5097480e-5
0.055, 1.5166518e-5, 1.5092922e-5
0.054, 1.5153335e-5, 1.5102723e-5
0.053, 1.5111033e-5, 1.5077465e-5
0.052, 1.5080455e-5, 1.5039617e-5
0.051, 1.5078675e-5, 1.5058600e-5
0.050, 1.5059408e-5, 1.5043086e-5
0.049, 1.5056125e-5, 1.5062071e-5
0.048, 1.5016047e-5, 1.5042593e-5
0.047, 1.4989773e-5, 1.5003704e-5
0.046, 1.4984294e-5, 1.5019441e-5
0.045, 1.4968703e-5, 1.5009360e-5
0.044, 1.4959410e-5, 1.5015261e-5
0.043, 1.4918386e-5, 1.5004875e-5
0.042, 1.4891188e-5, 1.4958488e-5
0.041, 1.4887513e-5, 1.4972853e-5
0.040, 1.4877947e-5, 1.4978341e-5
0.039, 1.4859457e-5, 1.4970258e-5
0.038, 1.4826816e-5, 1.4962956e-5
0.037, 1.4800209e-5, 1.4922984e-5
0.036, 1.4796105e-5, 1.4929145e-5
0.035, 1.4778459e-5, 1.4931182e-5
0.034, 1.4771250e-5, 1.4927841e-5
0.033, 1.4734012e-5, 1.4916776e-5
0.032, 1.4710473e-5, 1.4885980e-5
0.031, 1.4702673e-5, 1.4884406e-5
0.030, 1.4698709e-5, 1.4893973e-5
0.029, 1.4686520e-5, 1.4894064e-5
0.028, 1.4646597e-5, 1.4874118e-5
0.027, 1.4627147e-5, 1.4849315e-5
0.026, 1.4620885e-5, 1.4852612e-5
0.025, 1.4614467e-5, 1.4853444e-5
0.024, 1.4601833e-5, 1.4858653e-5
0.023, 1.4565001e-5, 1.4836804e-5
0.022, 1.4546680e-5, 1.4808615e-5
0.021, 1.4539954e-5, 1.4820379e-5
0.020, 1.4527237e-5, 1.4812729e-5
0.019, 1.4522935e-5, 1.4821742e-5
0.018, 1.4487389e-5, 1.4803746e-5
0.017, 1.4465218e-5, 1.4766725e-5
0.016, 1.4456367e-5, 1.4776048e-5
0.015, 1.4453521e-5, 1.4776970e-5
0.014, 1.4448923e-5, 1.4784325e-5
0.013, 1.4408808e-5, 1.4769072e-5
0.012, 1.4384899e-5, 1.4724506e-5
