Jan. 28, 2006   05:20:33
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\5\75um_psoralen_soak_5_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
2nd E (V) = 0
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A, Time/s

0.000, -1.1344910e-7, -1.1953955e-7, 3.3333334e-1
-0.001, -1.0289062e-7, -1.1027395e-7, 6.6666669e-1
-0.002, -9.5757180e-8, -1.0273384e-7, 1.0000000e+0
-0.003, -8.9958291e-8, -9.6351940e-8, 1.3333334e+0
-0.004, -8.4797172e-8, -9.0856403e-8, 1.6666667e+0
-0.005, -8.0368295e-8, -8.6152703e-8, 2.0000000e+0
-0.006, -7.6518113e-8, -8.2146272e-8, 2.3333333e+0
-0.007, -7.3045868e-8, -7.8482586e-8, 2.6666665e+0
-0.008, -6.9986989e-8, -7.5197086e-8, 2.9999998e+0
-0.009, -6.7176131e-8, -7.2372494e-8, 3.3333330e+0
-0.010, -6.4814060e-8, -6.9807911e-8, 3.6666663e+0
-0.011, -6.2581897e-8, -6.7408784e-8, 3.9999995e+0
-0.012, -6.0396985e-8, -6.5222387e-8, 4.3333330e+0
-0.013, -5.8471894e-8, -6.3165992e-8, 4.6666665e+0
-0.014, -5.6629482e-8, -6.1345965e-8, 5.0000000e+0
-0.015, -5.4905172e-8, -5.9620490e-8, 5.3333335e+0
-0.016, -5.3346202e-8, -5.8060465e-8, 5.6666670e+0
-0.017, -5.1846289e-8, -5.6665900e-8, 6.0000005e+0
-0.018, -5.0476292e-8, -5.5413153e-8, 6.3333340e+0
-0.019, -4.9106287e-8, -5.4136773e-8, 6.6666675e+0
-0.020, -4.7818958e-8, -5.2954935e-8, 7.0000010e+0
-0.021, -4.6649738e-8, -5.1796732e-8, 7.3333344e+0
-0.022, -4.5480508e-8, -5.0815814e-8, 7.6666679e+0
-0.023, -4.4370339e-8, -4.9846712e-8, 8.0000010e+0
-0.024, -4.3319215e-8, -4.8877606e-8, 8.3333340e+0
-0.025, -4.2421625e-8, -4.8026678e-8, 8.6666670e+0
-0.026, -4.1677573e-8, -4.7057572e-8, 9.0000000e+0
-0.027, -4.0850846e-8, -4.6194838e-8, 9.3333330e+0
-0.028, -4.0047748e-8, -4.5367553e-8, 9.6666660e+0
-0.029, -3.9315506e-8, -4.4693905e-8, 9.9999990e+0
-0.030, -3.8583263e-8, -4.4102990e-8, 1.0333332e+1
-0.031, -3.7933695e-8, -4.3429338e-8, 1.0666665e+1
-0.032, -3.7402231e-8, -4.2791150e-8, 1.0999998e+1
-0.033, -3.6705416e-8, -4.2152958e-8, 1.1333331e+1
-0.034, -3.6126711e-8, -4.1585675e-8, 1.1666664e+1
-0.035, -3.5488952e-8, -4.1030216e-8, 1.1999997e+1
-0.036, -3.4863003e-8, -4.0486569e-8, 1.2333330e+1
-0.037, -3.4296104e-8, -3.9954742e-8, 1.2666663e+1
-0.038, -3.3752830e-8, -3.9482014e-8, 1.2999996e+1
