Jan. 28, 2006   05:17:44
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\5\75um_psoralen_soak_5_swvslow_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = -0.4
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A

-0.101, 1.8675709e-7, 1.9408591e-7
-0.102, 2.1418074e-7, 2.3287987e-7
-0.103, 2.1445237e-7, 2.3309235e-7
-0.104, 2.1413349e-7, 2.3304523e-7
-0.105, 2.1397996e-7, 2.3266719e-7
-0.106, 2.1403902e-7, 2.3258430e-7
-0.107, 2.1429884e-7, 2.3287959e-7
-0.108, 2.1441694e-7, 2.3311563e-7
-0.109, 2.1491297e-7, 2.3320993e-7
-0.110, 2.1509013e-7, 2.3344595e-7
-0.111, 2.1529090e-7, 2.3374105e-7
-0.112, 2.1608220e-7, 2.3430775e-7
-0.113, 2.1648374e-7, 2.3433111e-7
-0.114, 2.1742858e-7, 2.3541767e-7
-0.115, 2.1774747e-7, 2.3607888e-7
-0.116, 2.1859782e-7, 2.3623218e-7
-0.117, 2.1956626e-7, 2.3711803e-7
-0.118, 2.2026308e-7, 2.3828719e-7
-0.119, 2.2145591e-7, 2.3929107e-7
-0.120, 2.2253067e-7, 2.4004677e-7
-0.121, 2.2379436e-7, 2.4141690e-7
-0.122, 2.2489272e-7, 2.4252711e-7
-0.123, 2.2626273e-7, 2.4364917e-7
-0.124, 2.2756186e-7, 2.4486553e-7
-0.125, 2.2936885e-7, 2.4666096e-7
-0.126, 2.3083334e-7, 2.4840904e-7
-0.127, 2.3251040e-7, 2.4977919e-7
-0.128, 2.3458902e-7, 2.5177548e-7
-0.129, 2.3634877e-7, 2.5352352e-7
-0.130, 2.3880531e-7, 2.5590955e-7
-0.131, 2.4084852e-7, 2.5766946e-7
-0.132, 2.4325783e-7, 2.6019737e-7
-0.133, 2.4570255e-7, 2.6279599e-7
-0.134, 2.4854887e-7, 2.6534750e-7
-0.135, 2.5161955e-7, 2.6819419e-7
-0.136, 2.5465479e-7, 2.7143085e-7
-0.137, 2.5772550e-7, 2.7482093e-7
-0.138, 2.6149300e-7, 2.7828196e-7
-0.139, 2.6527232e-7, 2.8196760e-7
-0.140, 2.6892172e-7, 2.8597213e-7
-0.141, 2.7339786e-7, 2.9039006e-7
-0.142, 2.7788576e-7, 2.9448898e-7
-0.143, 2.8237369e-7, 2.9932053e-7
-0.144, 2.8746396e-7, 3.0489608e-7
-0.145, 2.9289674e-7, 3.0991646e-7
-0.146, 2.9886098e-7, 3.1574024e-7
-0.147, 3.0450633e-7, 3.2187120e-7
-0.148, 3.1094294e-7, 3.2822646e-7
-0.149, 3.1798191e-7, 3.3493603e-7
