Jan. 28, 2006   05:53:17
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\5\75um_psoralen_transfer_5_swvslow_11.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = -0.4
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

-0.101, 2.0322192e-7, 2.0743886e-7
-0.102, 2.3499176e-7, 2.4694322e-7
-0.103, 2.3471658e-7, 2.4736423e-7
-0.104, 2.3392647e-7, 2.4696442e-7
-0.105, 2.3332888e-7, 2.4681265e-7
-0.106, 2.3258127e-7, 2.4682839e-7
-0.107, 2.3216317e-7, 2.4722800e-7
-0.108, 2.3169903e-7, 2.4702047e-7
-0.109, 2.3157031e-7, 2.4733018e-7
-0.110, 2.3103766e-7, 2.4763870e-7
-0.111, 2.3060539e-7, 2.4809952e-7
-0.112, 2.3041406e-7, 2.4822378e-7
-0.113, 2.3011762e-7, 2.4839997e-7
-0.114, 2.3001014e-7, 2.4894581e-7
-0.115, 2.2947515e-7, 2.4934988e-7
-0.116, 2.2938895e-7, 2.4954255e-7
-0.117, 2.2933462e-7, 2.4987099e-7
-0.118, 2.2910430e-7, 2.5033063e-7
-0.119, 2.2871927e-7, 2.5080794e-7
-0.120, 2.2879014e-7, 2.5115531e-7
-0.121, 2.2840041e-7, 2.5119667e-7
-0.122, 2.2850787e-7, 2.5202246e-7
-0.123, 2.2811223e-7, 2.5250688e-7
-0.124, 2.2829765e-7, 2.5297004e-7
-0.125, 2.2817127e-7, 2.5319798e-7
-0.126, 2.2814885e-7, 2.5391165e-7
-0.127, 2.2798704e-7, 2.5452113e-7
-0.128, 2.2805672e-7, 2.5480003e-7
-0.129, 2.2803309e-7, 2.5515089e-7
-0.130, 2.2782288e-7, 2.5573686e-7
-0.131, 2.2799885e-7, 2.5648816e-7
-0.132, 2.2782996e-7, 2.5647401e-7
-0.133, 2.2808861e-7, 2.5735062e-7
-0.134, 2.2766343e-7, 2.5778655e-7
-0.135, 2.2791853e-7, 2.5825327e-7
-0.136, 2.2781934e-7, 2.5851895e-7
-0.137, 2.2765752e-7, 2.5904478e-7
-0.138, 2.2767290e-7, 2.5985631e-7
-0.139, 2.2791028e-7, 2.6025089e-7
-0.140, 2.2800830e-7, 2.6068452e-7
-0.141, 2.2805790e-7, 2.6142411e-7
-0.142, 2.2809922e-7, 2.6212572e-7
-0.143, 2.2798704e-7, 2.6217296e-7
-0.144, 2.2810633e-7, 2.6271411e-7
-0.145, 2.2809216e-7, 2.6343236e-7
-0.146, 2.2830829e-7, 2.6406559e-7
-0.147, 2.2815829e-7, 2.6416120e-7
-0.148, 2.2833427e-7, 2.6489013e-7
-0.149, 2.2849960e-7, 2.6578337e-7
-0.150, 2.2862952e-7, 2.6615425e-7
-0.151, 2.2842757e-7, 2.6628652e-7
-0.152, 2.2880313e-7, 2.6726235e-7
-0.153, 2.2870748e-7, 2.6796525e-7
-0.154, 2.2871811e-7, 2.6806802e-7
-0.155, 2.2884683e-7, 2.6850512e-7
-0.156, 2.2901219e-7, 2.6929195e-7
-0.157, 2.2908304e-7, 2.7007508e-7
-0.158, 2.2936766e-7, 2.7051229e-7
-0.159, 2.2947160e-7, 2.7090690e-7
-0.160, 2.2956610e-7, 2.7166766e-7
-0.161, 2.2954482e-7, 2.7225008e-7
-0.162, 2.2976567e-7, 2.7258207e-7
-0.163, 2.2986606e-7, 2.7309946e-7
-0.164, 2.2970899e-7, 2.7360045e-7
-0.165, 2.3009636e-7, 2.7452890e-7
-0.166, 2.3022156e-7, 2.7476281e-7
-0.167, 2.3044005e-7, 2.7532872e-7
-0.168, 2.3039044e-7, 2.7597838e-7
-0.169, 2.3043060e-7, 2.7656668e-7
-0.170, 2.3081799e-7, 2.7705701e-7
-0.171, 2.3113805e-7, 2.7780953e-7
-0.172, 2.3105775e-7, 2.7827849e-7
-0.173, 2.3128095e-7, 2.7902036e-7
-0.174, 2.3164117e-7, 2.7953891e-7
-0.175, 2.3188917e-7, 2.8014736e-7
-0.176, 2.3208878e-7, 2.8091523e-7
-0.177, 2.3211595e-7, 2.8159093e-7
-0.178, 2.3247497e-7, 2.8199960e-7
-0.179, 2.3266747e-7, 2.8262099e-7
-0.180, 2.3284110e-7, 2.8332630e-7
-0.181, 2.3328752e-7, 2.8425592e-7
-0.182, 2.3366900e-7, 2.8469887e-7
-0.183, 2.3361821e-7, 2.8514779e-7
-0.184, 2.3408356e-7, 2.8608341e-7
-0.185, 2.3410362e-7, 2.8675555e-7
-0.186, 2.3450045e-7, 2.8725640e-7
-0.187, 2.3503783e-7, 2.8794270e-7
-0.188, 2.3521380e-7, 2.8862326e-7
-0.189, 2.3542994e-7, 2.8952456e-7
-0.190, 2.3605233e-7, 2.9030184e-7
-0.191, 2.3605941e-7, 2.9050139e-7
-0.192, 2.3666175e-7, 2.9148191e-7
-0.193, 2.3665348e-7, 2.9211395e-7
-0.194, 2.3704914e-7, 2.9291482e-7
-0.195, 2.3758533e-7, 2.9341209e-7
-0.196, 2.3778018e-7, 2.9403230e-7
-0.197, 2.3827266e-7, 2.9510022e-7
-0.198, 2.3835534e-7, 2.9564353e-7
-0.199, 2.3873091e-7, 2.9604746e-7
-0.200, 2.3911122e-7, 2.9669371e-7
-0.201, 2.3964384e-7, 2.9773565e-7
-0.202, 2.3999462e-7, 2.9860149e-7
-0.203, 2.4037729e-7, 2.9910467e-7
-0.204, 2.4061467e-7, 2.9950988e-7
-0.205, 2.4092054e-7, 3.0023278e-7
-0.206, 2.4108118e-7, 3.0102188e-7
-0.207, 2.4153468e-7, 3.0150866e-7
-0.208, 2.4192326e-7, 3.0193266e-7
-0.209, 2.4206855e-7, 3.0254813e-7
-0.210, 2.4227637e-7, 3.0339399e-7
-0.211, 2.4300272e-7, 3.0420318e-7
-0.212, 2.4296850e-7, 3.0411206e-7
-0.213, 2.4350584e-7, 3.0513161e-7
-0.214, 2.4341136e-7, 3.0551146e-7
-0.215, 2.4374089e-7, 3.0624904e-7
-0.216, 2.4407862e-7, 3.0658632e-7
-0.217, 2.4416130e-7, 3.0687039e-7
-0.218, 2.4444947e-7, 3.0757860e-7
-0.219, 2.4437509e-7, 3.0815568e-7
-0.220, 2.4460184e-7, 3.0826496e-7
-0.221, 2.4473059e-7, 3.0846920e-7
-0.222, 2.4495381e-7, 3.0913381e-7
-0.223, 2.4459359e-7, 3.0928487e-7
-0.224, 2.4485931e-7, 3.0968056e-7
-0.225, 2.4492664e-7, 3.0971421e-7
-0.226, 2.4489592e-7, 3.0996051e-7
-0.227, 2.4468687e-7, 3.1016316e-7
-0.228, 2.4488173e-7, 3.1077553e-7
-0.229, 2.4474241e-7, 3.1068220e-7
-0.230, 2.4448374e-7, 3.1046000e-7
-0.231, 2.4449793e-7, 3.1070221e-7
-0.232, 2.4403494e-7, 3.1091776e-7
-0.233, 2.4393219e-7, 3.1069499e-7
-0.234, 2.4380935e-7, 3.1051354e-7
-0.235, 2.4334875e-7, 3.1040486e-7
-0.236, 2.4294130e-7, 3.1048097e-7
-0.237, 2.4286336e-7, 3.1050101e-7
-0.238, 2.4263659e-7, 3.1006789e-7
-0.239, 2.4211104e-7, 3.0988301e-7
-0.240, 2.4156540e-7, 3.0977606e-7
-0.241, 2.4129849e-7, 3.0958273e-7
-0.242, 2.4109417e-7, 3.0938008e-7
-0.243, 2.4038201e-7, 3.0879823e-7
-0.244, 2.3981630e-7, 3.0856603e-7
-0.245, 2.3942891e-7, 3.0849202e-7
-0.246, 2.3883132e-7, 3.0775948e-7
-0.247, 2.3842387e-7, 3.0733531e-7
-0.248, 2.3769516e-7, 3.0695253e-7
-0.249, 2.3712826e-7, 3.0678700e-7
-0.250, 2.3658615e-7, 3.0605037e-7
-0.251, 2.3595430e-7, 3.0539570e-7
-0.252, 2.3532127e-7, 3.0507204e-7
-0.253, 2.3486186e-7, 3.0495900e-7
-0.254, 2.3420519e-7, 3.0405226e-7
-0.255, 2.3365719e-7, 3.0355255e-7
-0.256, 2.3295328e-7, 3.0316434e-7
-0.257, 2.3218678e-7, 3.0240162e-7
-0.258, 2.3162934e-7, 3.0173521e-7
-0.259, 2.3097979e-7, 3.0128626e-7
-0.260, 2.3020385e-7, 3.0085084e-7
-0.261, 2.2991804e-7, 3.0042253e-7
-0.262, 2.2918816e-7, 2.9955584e-7
-0.263, 2.2839330e-7, 2.9894682e-7
-0.264, 2.2786421e-7, 2.9883984e-7
-0.265, 2.2728433e-7, 2.9793136e-7
-0.266, 2.2668792e-7, 2.9721525e-7
-0.267, 2.2617769e-7, 2.9697543e-7
-0.268, 2.2521516e-7, 2.9610047e-7
-0.269, 2.2501909e-7, 2.9569225e-7
-0.270, 2.2436953e-7, 2.9497633e-7
-0.271, 2.2371879e-7, 2.9465613e-7
-0.272, 2.2337983e-7, 2.9429452e-7
-0.273, 2.2258263e-7, 2.9327958e-7
-0.274, 2.2233695e-7, 2.9311065e-7
-0.275, 2.2141812e-7, 2.9250347e-7
-0.276, 2.2101776e-7, 2.9187129e-7
-0.277, 2.2056778e-7, 2.9125806e-7
-0.278, 2.2017213e-7, 2.9099343e-7
-0.279, 2.1955799e-7, 2.9061181e-7
-0.280, 2.1912456e-7, 2.8989822e-7
-0.281, 2.1842301e-7, 2.8907587e-7
-0.282, 2.1833443e-7, 2.8913726e-7
-0.283, 2.1768960e-7, 2.8869420e-7
-0.284, 2.1721364e-7, 2.8796288e-7
-0.285, 2.1693964e-7, 2.8753166e-7
-0.286, 2.1660777e-7, 2.8734030e-7
-0.287, 2.1593812e-7, 2.8676962e-7
-0.288, 2.1574914e-7, 2.8623558e-7
-0.289, 2.1535587e-7, 2.8576659e-7
