Jan. 27, 2006   23:24:38
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\0um_control_transfer_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -1.5296866e-8, -3.1609638e-8, 3.3333334e-1
-0.001, -1.3380996e-8, -2.9696402e-8, 6.6666669e-1
-0.002, -1.1971092e-8, -2.7867758e-8, 1.0000000e+0
-0.003, -1.0781820e-8, -2.6378054e-8, 1.3333334e+0
-0.004, -9.7121298e-9, -2.5046992e-8, 1.6666667e+0
-0.005, -8.7720071e-9, -2.3954058e-8, 2.0000000e+0
-0.006, -8.0044282e-9, -2.2887484e-8, 2.3333333e+0
-0.007, -7.2394855e-9, -2.2002640e-8, 2.6666665e+0
-0.008, -6.6153736e-9, -2.1128338e-8, 2.9999998e+0
-0.009, -6.0251311e-9, -2.0330406e-8, 3.3333330e+0
-0.010, -5.4267408e-9, -1.9620661e-8, 3.6666663e+0
-0.011, -4.9558411e-9, -1.8948061e-8, 3.9999995e+0
-0.012, -4.5595501e-9, -1.8321392e-8, 4.3333330e+0
-0.013, -4.1570285e-9, -1.7789624e-8, 4.6666665e+0
-0.014, -3.7302228e-9, -1.7254658e-8, 5.0000000e+0
-0.015, -3.3416807e-9, -1.6768261e-8, 5.3333335e+0
-0.016, -3.0442828e-9, -1.6306547e-8, 5.6666670e+0
-0.017, -2.7536751e-9, -1.5839003e-8, 6.0000005e+0
-0.018, -2.4268809e-9, -1.5390231e-8, 6.3333340e+0
-0.019, -2.2035329e-9, -1.4977404e-8, 6.6666675e+0
-0.020, -1.8796145e-9, -1.4625288e-8, 7.0000010e+0
-0.021, -1.6665712e-9, -1.4329088e-8, 7.3333344e+0
-0.022, -1.3766822e-9, -1.3910350e-8, 7.6666679e+0
-0.023, -1.2330557e-9, -1.3567659e-8, 8.0000010e+0
-0.024, -9.8646225e-10, -1.3342714e-8, 8.3333340e+0
-0.025, -7.9650470e-10, -1.2962240e-8, 8.6666670e+0
-0.026, -6.6238409e-10, -1.2743126e-8, 9.0000000e+0
-0.027, -4.8209214e-10, -1.2448044e-8, 9.3333330e+0
-0.028, -3.0291852e-10, -1.2276619e-8, 9.6666660e+0
-0.029, -2.2575325e-10, -1.1949107e-8, 9.9999990e+0
-0.030, -1.1887215e-10, -1.1658897e-8, 1.0333332e+1
-0.031, 1.1765619e-10, -1.1436508e-8, 1.0666665e+1
-0.032, 2.1646929e-10, -1.1286412e-8, 1.0999998e+1
-0.033, 3.1200725e-10, -1.0998121e-8, 1.1333331e+1
-0.034, 4.6977272e-10, -1.0889961e-8, 1.1666664e+1
-0.035, 6.3384875e-10, -1.0668530e-8, 1.1999997e+1
-0.036, 7.0566203e-10, -1.0487839e-8, 1.2333330e+1
-0.037, 7.7651663e-10, -1.0372490e-8, 1.2666663e+1
-0.038, 8.2835955e-10, -1.0171749e-8, 1.2999996e+1
-0.039, 9.6839137e-10, -9.9806723e-9, 1.3333329e+1
-0.040, 1.1307900e-9, -9.8265822e-9, 1.3666662e+1
-0.041, 1.1909405e-9, -9.5776720e-9, 1.3999995e+1
-0.042, 1.2465379e-9, -9.4851700e-9, 1.4333328e+1
-0.043, 1.3291350e-9, -9.3927470e-9, 1.4666661e+1
-0.044, 1.4483179e-9, -9.2466435e-9, 1.4999994e+1
-0.045, 1.5752493e-9, -9.0498169e-9, 1.5333327e+1
-0.046, 1.6382754e-9, -8.9821572e-9, 1.5666660e+1
-0.047, 1.6808521e-9, -8.8831840e-9, 1.5999993e+1
-0.048, 1.7162396e-9, -8.7066461e-9, 1.6333326e+1
-0.049, 1.7467542e-9, -8.5538341e-9, 1.6666660e+1
-0.050, 1.8243987e-9, -8.5059852e-9, 1.6999994e+1
-0.051, 1.9077948e-9, -8.4328136e-9, 1.7333328e+1
-0.052, 2.0338473e-9, -8.3667517e-9, 1.7666662e+1
-0.053, 2.1259503e-9, -8.1958857e-9, 1.7999996e+1
-0.054, 2.1585420e-9, -8.0637630e-9, 1.8333330e+1
-0.055, 2.1866602e-9, -8.0039317e-9, 1.8666664e+1
-0.056, 2.2369055e-9, -7.9145446e-9, 1.8999998e+1
-0.057, 2.2970561e-9, -7.7778672e-9, 1.9333332e+1
-0.058, 2.3826887e-9, -7.6210602e-9, 1.9666666e+1
-0.059, 2.4774280e-9, -7.5512450e-9, 2.0000000e+1
-0.060, 2.5370193e-9, -7.5114635e-9, 2.0333334e+1
-0.061, 2.6065958e-9, -7.4580226e-9, 2.0666668e+1
-0.062, 2.6410247e-9, -7.4067392e-9, 2.1000002e+1
-0.063, 2.6771310e-9, -7.3162338e-9, 2.1333336e+1
-0.064, 2.7014946e-9, -7.1952941e-9, 2.1666670e+1
-0.065, 2.7259384e-9, -7.0873747e-9, 2.2000004e+1
-0.066, 2.7536571e-9, -7.0512676e-9, 2.2333338e+1
-0.067, 2.7646010e-9, -7.0169985e-9, 2.2666672e+1
-0.068, 2.7880063e-9, -6.9584458e-9, 2.3000006e+1
-0.069, 2.8312219e-9, -6.8967774e-9, 2.3333340e+1
-0.070, 2.8737188e-9, -6.8041155e-9, 2.3666674e+1
-0.071, 2.9662213e-9, -6.7177641e-9, 2.4000008e+1
-0.072, 3.0425078e-9, -6.6429950e-9, 2.4333342e+1
-0.073, 3.0780549e-9, -6.5922703e-9, 2.4666676e+1
-0.074, 3.1095282e-9, -6.5601582e-9, 2.5000010e+1
-0.075, 3.1342913e-9, -6.5246106e-9, 2.5333344e+1
-0.076, 3.1564984e-9, -6.4821939e-9, 2.5666677e+1
-0.077, 3.1780665e-9, -6.4432122e-9, 2.6000011e+1
-0.078, 3.1961196e-9, -6.3880936e-9, 2.6333345e+1
-0.079, 3.2243974e-9, -6.2964700e-9, 2.6666679e+1
-0.080, 3.2492404e-9, -6.1826393e-9, 2.7000013e+1
-0.081, 3.2653764e-9, -6.1183347e-9, 2.7333347e+1
-0.082, 3.3215330e-9, -6.0780745e-9, 2.7666681e+1
-0.083, 3.3435803e-9, -6.0521930e-9, 2.8000015e+1
-0.084, 3.3945446e-9, -6.0202408e-9, 2.8333349e+1
-0.085, 3.4342453e-9, -5.9740692e-9, 2.8666683e+1
-0.086, 3.4656387e-9, -5.9250223e-9, 2.9000017e+1
-0.087, 3.5286651e-9, -5.8615965e-9, 2.9333351e+1
-0.088, 3.5610170e-9, -5.7741265e-9, 2.9666685e+1
-0.089, 3.5815464e-9, -5.6935265e-9, 3.0000019e+1
