Jan. 27, 2006   23:41:11
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\control\1\75um_control_soak_1_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.2630309e-7, 1.3215728e-7
0.098, 1.4351946e-7, 1.3235518e-7
0.097, 1.4559728e-7, 1.1696927e-7
0.096, 1.4922529e-7, 1.0672848e-7
0.095, 1.3146467e-7, 1.3575229e-7
0.094, 1.5127013e-7, 1.4127671e-7
0.093, 1.3721997e-7, 1.5874048e-7
0.092, 1.4482222e-7, 1.2320280e-7
0.091, 1.5247396e-7, 1.3959465e-7
0.090, 1.3476284e-7, 1.2471995e-7
0.089, 1.5527741e-7, 8.9248232e-8
0.088, 1.2135581e-7, 1.2788617e-7
0.087, 1.4401419e-7, 1.2745741e-7
0.086, 1.3980903e-7, 1.4505311e-7
0.085, 1.3190993e-7, 1.2259262e-7
0.084, 1.5458478e-7, 1.3441652e-7
0.083, 1.2071268e-7, 1.2556097e-7
0.082, 1.4871407e-7, 1.0004969e-7
0.081, 1.2717709e-7, 1.3276745e-7
0.080, 1.4825231e-7, 1.1924499e-7
0.079, 1.4295875e-7, 1.7574247e-7
0.078, 1.3291586e-7, 1.3395480e-7
0.077, 1.5491459e-7, 1.1058732e-7
0.076, 1.2330173e-7, 1.1764538e-7
0.075, 1.3857220e-7, 9.7493626e-8
0.074, 1.3847327e-7, 1.3961113e-7
0.073, 1.3557089e-7, 1.1157677e-7
0.072, 1.4548186e-7, 1.4688359e-7
0.071, 1.2135581e-7, 1.3789609e-7
0.070, 1.4820284e-7, 1.1766187e-7
0.069, 1.3080505e-7, 1.1471001e-7
0.068, 1.3942973e-7, 8.4960625e-8
0.067, 1.4350296e-7, 1.4116127e-7
0.066, 1.2882616e-7, 1.2666587e-7
0.065, 1.4246405e-7, 1.3510915e-7
0.064, 1.1754643e-7, 1.3317973e-7
0.063, 1.3789609e-7, 1.1591385e-7
0.062, 1.3158011e-7, 1.1800819e-7
0.061, 1.2752336e-7, 7.7143966e-8
0.060, 1.4190336e-7, 1.3951220e-7
0.059, 1.1622718e-7, 1.2686374e-7
0.058, 1.3792908e-7, 1.4066656e-7
0.057, 1.2135582e-7, 1.5425496e-7
0.056, 1.3621403e-7, 1.1724961e-7
0.055, 1.3624702e-7, 1.2798512e-7
0.054, 1.3101942e-7, 7.3796350e-8
0.053, 1.3862169e-7, 1.2867773e-7
0.052, 1.1802467e-7, 1.2648445e-7
0.051, 1.3982552e-7, 1.3642840e-7
0.050, 1.2140529e-7, 1.3700559e-7
0.049, 1.3238815e-7, 1.0898772e-7
0.048, 1.3985849e-7, 1.2079514e-7
0.047, 1.1810712e-7, 7.8776566e-8
0.046, 1.4249703e-7, 9.9719884e-8
0.045, 1.1058731e-7, 1.2064672e-7
0.044, 1.3786311e-7, 1.3311377e-7
0.043, 1.3136574e-7, 1.5883941e-7
0.042, 1.2493433e-7, 1.0196264e-7
0.041, 1.4426153e-7, 1.1823906e-7
0.040, 1.1711768e-7, 7.8430269e-8
0.039, 1.4180442e-7, 9.4376858e-8
0.038, 1.1842045e-7, 1.1635910e-7
0.037, 1.2506625e-7, 1.2999701e-7
0.036, 1.3471336e-7, 1.6063690e-7
0.035, 1.2130634e-7, 1.1759590e-7
0.034, 1.4325560e-7, 1.1378654e-7
0.033, 1.1065328e-7, 6.9739599e-8
0.032, 1.3212431e-7, 8.8192820e-8
0.031, 1.2251017e-7, 1.2791915e-7
0.030, 1.2104250e-7, 1.0661303e-7
0.029, 1.3158011e-7, 1.6037305e-7
0.028, 1.1390198e-7, 1.0260577e-7
0.027, 1.3520810e-7, 1.2244421e-7
0.026, 1.1433073e-7, 9.2612353e-8
0.025, 1.4224966e-7, 7.9798994e-8
0.024, 1.2976612e-7, 1.3454846e-7
0.023, 1.1438020e-7, 1.1548509e-7
0.022, 1.3723646e-7, 1.2316980e-7
0.021, 1.0661304e-7, 1.2577534e-7
0.020, 1.3240465e-7, 1.1626016e-7
0.019, 1.2226280e-7, 1.1142836e-7
0.018, 1.2923842e-7, 8.5306922e-8
0.017, 1.3519160e-7, 1.3103592e-7
0.016, 1.1004312e-7, 1.1637560e-7
0.015, 1.3210783e-7, 1.3194290e-7
0.014, 1.0986172e-7, 1.1032348e-7
0.013, 1.3228922e-7, 9.9934269e-8
0.012, 1.3449899e-7, 1.0072582e-7
0.011, 1.1932745e-7, 7.8974452e-8
0.010, 1.3392180e-7, 1.2846336e-7
0.009, 1.0575552e-7, 1.1307743e-7
0.008, 1.2709461e-7, 1.3726944e-7
0.007, 1.1571596e-7, 1.2645147e-7
0.006, 1.2981559e-7, 8.6725130e-8
0.005, 1.3502670e-7, 1.1678787e-7
0.004, 1.0446923e-7, 7.6797669e-8
0.003, 1.3194291e-7, 1.0687688e-7
0.002, 1.1517177e-7, 1.0883929e-7
0.001, 1.2674832e-7, 1.3360848e-7
-0.000, 1.1972323e-7, 1.4025427e-7
-0.001, 1.2719356e-7, 8.7302311e-8
-0.002, 1.2877669e-7, 1.1101609e-7
-0.003, 1.0646463e-7, 7.7688171e-8
-0.004, 1.3044223e-7, 1.0699232e-7
-0.005, 1.1767835e-7, 1.1134590e-7
-0.006, 1.2765530e-7, 1.2889211e-7
-0.007, 1.3199237e-7, 1.5684401e-7
-0.008, 1.1259920e-7, 1.1972323e-7
-0.009, 1.3520810e-7, 1.0870738e-7
-0.010, 1.0385908e-7, 8.0079339e-8
-0.011, 1.2884264e-7, 1.0265524e-7
-0.012, 1.2148774e-7, 1.2811704e-7
-0.013, 1.2404382e-7, 1.0044548e-7
-0.014, 1.3440004e-7, 1.5013227e-7
-0.015, 1.0961436e-7, 1.1413284e-7
-0.016, 1.3660980e-7, 1.1390197e-7
-0.017, 1.1276410e-7, 1.0418889e-7
-0.018, 1.2742443e-7, 7.7061515e-8
-0.019, 1.2533010e-7, 1.2852931e-7
-0.020, 1.0920210e-7, 1.1217044e-7
-0.021, 1.3034330e-7, 1.2255964e-7
-0.022, 1.0658005e-7, 1.0996067e-7
-0.023, 1.2815002e-7, 1.0343032e-7
-0.024, 1.2211439e-7, 1.1320936e-7
-0.025, 1.1444617e-7, 7.0762034e-8
-0.026, 1.3100295e-7, 1.3928133e-7
-0.027, 1.0212754e-7, 1.2026743e-7
-0.028, 1.2579184e-7, 1.2627008e-7
-0.029, 1.0384259e-7, 1.0478256e-7
-0.030, 1.2871071e-7, 1.0339733e-7
-0.031, 1.2795213e-7, 1.2204842e-7
-0.032, 1.1482545e-7, 7.3070744e-8
-0.033, 1.3482878e-7, 9.9868295e-8
-0.034, 1.0070933e-7, 1.0989471e-7
-0.035, 1.2485187e-7, 1.3880309e-7
-0.036, 1.1865134e-7, 1.4841721e-7
-0.037, 1.1861835e-7, 9.6124886e-8
-0.038, 1.4020479e-7, 1.1348970e-7
-0.039, 1.1172519e-7, 6.8552268e-8
-0.040, 1.2821599e-7, 8.1514038e-8
-0.041, 1.1563351e-7, 1.1665594e-7
-0.042, 1.2549501e-7, 1.2379645e-7
-0.043, 1.1916253e-7, 1.4628991e-7
-0.044, 1.1467704e-7, 1.2221334e-7
-0.045, 1.2826547e-7, 1.0202859e-7
-0.046, 1.0432082e-7, 7.7242923e-8
-0.047, 1.2453854e-7, 8.1316152e-8
-0.048, 1.1180764e-7, 1.1688680e-7
-0.049, 1.1663944e-7, 9.4904571e-8
-0.050, 1.2791915e-7, 1.2727601e-7
-0.051, 1.0506290e-7, 1.1675488e-7
-0.052, 1.3205836e-7, 1.0534325e-7
-0.053, 1.1180764e-7, 9.1853771e-8
-0.054, 1.2013550e-7, 8.1942794e-8
-0.055, 1.2034988e-7, 1.3440004e-7
-0.056, 1.1830502e-7, 1.0399100e-7
-0.057, 1.2745741e-7, 1.1601280e-7
-0.058, 1.0516185e-7, 1.2097652e-7
-0.059, 1.2849634e-7, 1.1319287e-7
-0.060, 1.1419881e-7, 1.0791581e-7
-0.061, 1.1673839e-7, 6.5270598e-8
-0.062, 1.2737496e-7, 1.1505633e-7
-0.063, 1.0822914e-7, 1.1480897e-7
-0.064, 1.2976612e-7, 1.3350953e-7
-0.065, 1.0679443e-7, 1.3126679e-7
-0.066, 1.2302138e-7, 9.2991634e-8
-0.067, 1.2127336e-7, 1.0935052e-7
-0.068, 1.1576544e-7, 5.6002769e-8
-0.069, 1.3189344e-7, 8.6477769e-8
-0.070, 1.0072582e-7, 1.1898114e-7
-0.071, 1.2973314e-7, 1.2810055e-7
-0.072, 1.1167571e-7, 1.3832485e-7
-0.073, 1.2514870e-7, 1.0730565e-7
-0.074, 1.3456494e-7, 1.1350620e-7
