Jan. 28, 2006   01:42:59
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\2\75um_psoralen_transfer_2_gc_10.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -3.7357669e-8, -3.9578932e-8, 3.3333334e-1
-0.001, -3.0712812e-8, -3.4858800e-8, 6.6666669e-1
-0.002, -2.6840786e-8, -3.1208110e-8, 1.0000000e+0
-0.003, -2.3872609e-8, -2.8290275e-8, 1.3333334e+0
-0.004, -2.1441801e-8, -2.5903205e-8, 1.6666667e+0
-0.005, -1.9474669e-8, -2.3912522e-8, 2.0000000e+0
-0.006, -1.7772443e-8, -2.2208077e-8, 2.3333333e+0
-0.007, -1.6311740e-8, -2.0735866e-8, 2.6666665e+0
-0.008, -1.5050864e-8, -1.9473193e-8, 2.9999998e+0
-0.009, -1.3896168e-8, -1.8359195e-8, 3.3333330e+0
-0.010, -1.2924647e-8, -1.7369288e-8, 3.6666663e+0
-0.011, -1.2020801e-8, -1.6495795e-8, 3.9999995e+0
-0.012, -1.1181557e-8, -1.5697228e-8, 4.3333330e+0
-0.013, -1.0468921e-8, -1.4974889e-8, 4.6666665e+0
-0.014, -9.7843929e-9, -1.4312115e-8, 5.0000000e+0
-0.015, -9.1480521e-9, -1.3712334e-8, 5.3333335e+0
-0.016, -8.5929646e-9, -1.3170109e-8, 5.6666670e+0
-0.017, -8.0304376e-9, -1.2666173e-8, 6.0000005e+0
-0.018, -7.5465669e-9, -1.2201949e-8, 6.3333340e+0
-0.019, -7.0700201e-9, -1.1761479e-8, 6.6666675e+0
-0.020, -6.6176833e-9, -1.1368164e-8, 7.0000010e+0
-0.021, -6.2317209e-9, -1.0996831e-8, 7.3333344e+0
-0.022, -5.8439871e-9, -1.0641098e-8, 7.6666679e+0
-0.023, -5.4586153e-9, -1.0316212e-8, 8.0000010e+0
-0.024, -5.1413895e-9, -1.0023825e-8, 8.3333340e+0
-0.025, -4.7362945e-9, -9.7054391e-9, 8.6666670e+0
-0.026, -4.5333923e-9, -9.4728536e-9, 9.0000000e+0
-0.027, -4.1770738e-9, -9.1882679e-9, 9.3333330e+0
-0.028, -3.8905545e-9, -8.9567465e-9, 9.6666660e+0
-0.029, -3.6700554e-9, -8.7325525e-9, 9.9999990e+0
-0.030, -3.4160148e-9, -8.5353040e-9, 1.0333332e+1
-0.031, -3.1487466e-9, -8.3179650e-9, 1.0666665e+1
-0.032, -2.9046265e-9, -8.1363165e-9, 1.0999998e+1
-0.033, -2.6501135e-9, -7.9185032e-9, 1.1333331e+1
-0.034, -2.4800442e-9, -7.7751467e-9, 1.1666664e+1
-0.035, -2.2659228e-9, -7.6067348e-9, 1.1999997e+1
-0.036, -2.0228657e-9, -7.4257964e-9, 1.2333330e+1
-0.037, -1.8764175e-9, -7.2865762e-9, 1.2666663e+1
-0.038, -1.6697360e-9, -7.1396746e-9, 1.2999996e+1
-0.039, -1.4730936e-9, -6.9855624e-9, 1.3333329e+1
-0.040, -1.3098747e-9, -6.8518973e-9, 1.3666662e+1
-0.041, -1.1041383e-9, -6.7252039e-9, 1.3999995e+1
-0.042, -9.4068298e-10, -6.5929568e-9, 1.4333328e+1
-0.043, -7.7545620e-10, -6.4682730e-9, 1.4666661e+1
-0.044, -6.0869398e-10, -6.3539902e-9, 1.4999994e+1
-0.045, -4.9873966e-10, -6.2480972e-9, 1.5333327e+1
-0.046, -3.5571626e-10, -6.1424412e-9, 1.5666660e+1
-0.047, -2.1458252e-10, -6.0451764e-9, 1.5999993e+1
-0.048, -9.7778147e-11, -5.9479111e-9, 1.6333326e+1
-0.049, 5.2213327e-11, -5.8439094e-9, 1.6666660e+1
-0.050, 1.5921511e-10, -5.7566902e-9, 1.6999994e+1
-0.051, 2.8405056e-10, -5.6687615e-9, 1.7333328e+1
-0.052, 4.3817569e-10, -5.5822511e-9, 1.7666662e+1
-0.053, 5.1565158e-10, -5.5034231e-9, 1.7999996e+1
