Jan. 28, 2006   02:26:40
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\2\75um_psoralen_transfer_2_gc_final.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -1.3826841e-8, -1.3616133e-8, 3.3333334e-1
-0.001, -1.0455457e-8, -1.2479207e-8, 6.6666669e-1
-0.002, -8.9737302e-9, -1.1562102e-8, 1.0000000e+0
-0.003, -7.8619031e-9, -1.0794855e-8, 1.3333334e+0
-0.004, -6.9298314e-9, -1.0149455e-8, 1.6666667e+0
-0.005, -6.1876686e-9, -9.5957642e-9, 2.0000000e+0
-0.006, -5.5188480e-9, -9.1158210e-9, 2.3333333e+0
-0.007, -4.9416764e-9, -8.6902423e-9, 2.6666665e+0
-0.008, -4.4339488e-9, -8.3170182e-9, 2.9999998e+0
-0.009, -3.9660231e-9, -7.9807867e-9, 3.3333330e+0
-0.010, -3.5915166e-9, -7.6748092e-9, 3.6666663e+0
-0.011, -3.2113412e-9, -7.4007414e-9, 3.9999995e+0
-0.012, -2.8485274e-9, -7.1475923e-9, 4.3333330e+0
-0.013, -2.5545677e-9, -6.9060251e-9, 4.6666665e+0
-0.014, -2.2446640e-9, -6.6919945e-9, 5.0000000e+0
-0.015, -1.9607431e-9, -6.4977015e-9, 5.3333335e+0
-0.016, -1.7307956e-9, -6.3158163e-9, 5.6666670e+0
-0.017, -1.4632910e-9, -6.1475229e-9, 6.0000005e+0
-0.018, -1.2538937e-9, -5.9949481e-9, 6.3333340e+0
-0.019, -1.0285520e-9, -5.8459184e-9, 6.6666675e+0
-0.020, -8.1537516e-10, -5.7100076e-9, 7.0000010e+0
-0.021, -6.4199923e-10, -5.5813056e-9, 7.3333344e+0
-0.022, -4.5161636e-10, -5.4587490e-9, 7.6666679e+0
-0.023, -2.6666619e-10, -5.3384381e-9, 8.0000010e+0
-0.024, -1.0439195e-10, -5.2332552e-9, 8.3333340e+0
-0.025, 6.7330579e-11, -5.1349263e-9, 8.6666670e+0
-0.026, 2.0244104e-10, -5.0329341e-9, 9.0000000e+0
-0.027, 3.5514888e-10, -4.9533964e-9, 9.3333330e+0
-0.028, 5.1541532e-10, -4.8633404e-9, 9.6666660e+0
-0.029, 6.1911026e-10, -4.7804938e-9, 9.9999990e+0
-0.030, 7.7099138e-10, -4.6994200e-9, 1.0333332e+1
-0.031, 9.0433022e-10, -4.6233097e-9, 1.0666665e+1
-0.032, 1.0198354e-9, -4.5536996e-9, 1.0999998e+1
