Jan. 28, 2006   02:27:32
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\2\75um_psoralen_transfer_2_swv_final.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A

0.099, 1.5639374e-5, 1.4577292e-5
0.098, 1.7640321e-5, 1.5790454e-5
0.097, 1.7767168e-5, 1.5876873e-5
0.096, 1.7558465e-5, 1.5710653e-5
0.095, 1.7406754e-5, 1.5548614e-5
0.094, 1.7452589e-5, 1.5593567e-5
0.093, 1.7474038e-5, 1.5636379e-5
0.092, 1.7540196e-5, 1.5707084e-5
0.091, 1.7350514e-5, 1.5556108e-5
0.090, 1.7206461e-5, 1.5405272e-5
0.089, 1.7242193e-5, 1.5443415e-5
0.088, 1.7268416e-5, 1.5488200e-5
0.087, 1.7337821e-5, 1.5568648e-5
0.086, 1.7145419e-5, 1.5413756e-5
0.085, 1.7011640e-5, 1.5268415e-5
0.084, 1.7067792e-5, 1.5334037e-5
0.083, 1.7074326e-5, 1.5351852e-5
0.082, 1.7136910e-5, 1.5427040e-5
0.081, 1.6947824e-5, 1.5278170e-5
0.080, 1.6817132e-5, 1.5131749e-5
0.079, 1.6826862e-5, 1.5156969e-5
0.078, 1.6878679e-5, 1.5216365e-5
0.077, 1.6939914e-5, 1.5286869e-5
0.076, 1.6752732e-5, 1.5147612e-5
0.075, 1.6629076e-5, 1.5001548e-5
0.074, 1.6669848e-5, 1.5051963e-5
0.073, 1.6687532e-5, 1.5089523e-5
0.072, 1.6737324e-5, 1.5144587e-5
0.071, 1.6569709e-5, 1.5021262e-5
0.070, 1.6440252e-5, 1.4876492e-5
0.069, 1.6480637e-5, 1.4919877e-5
0.068, 1.6508842e-5, 1.4971745e-5
0.067, 1.6573591e-5, 1.5036325e-5
0.066, 1.6381327e-5, 1.4889663e-5
0.065, 1.6259728e-5, 1.4756838e-5
0.064, 1.6297381e-5, 1.4797192e-5
0.063, 1.6326761e-5, 1.4844239e-5
0.062, 1.6386941e-5, 1.4916748e-5
0.061, 1.6204347e-5, 1.4771409e-5
0.060, 1.6079863e-5, 1.4633364e-5
0.059, 1.6126491e-5, 1.4686920e-5
0.058, 1.6147762e-5, 1.4722205e-5
0.057, 1.6202050e-5, 1.4789807e-5
0.056, 1.6029902e-5, 1.4653218e-5
0.055, 1.5921603e-5, 1.4525063e-5
0.054, 1.5954523e-5, 1.4574508e-5
0.053, 1.5973390e-5, 1.4604653e-5
0.052, 1.6031321e-5, 1.4674237e-5
0.051, 1.5859692e-5, 1.4542596e-5
0.050, 1.5714850e-5, 1.4380093e-5
0.049, 1.5792455e-5, 1.4467709e-5
0.048, 1.5814767e-5, 1.4505686e-5
0.047, 1.5876867e-5, 1.4572024e-5
0.046, 1.5706724e-5, 1.4443902e-5
0.045, 1.5609314e-5, 1.4325335e-5
0.044, 1.5629466e-5, 1.4354670e-5
0.043, 1.5653546e-5, 1.4402467e-5
0.042, 1.5712787e-5, 1.4461998e-5
0.041, 1.5538953e-5, 1.4327853e-5
0.040, 1.5420705e-5, 1.4199140e-5
0.039, 1.5474088e-5, 1.4258285e-5
0.038, 1.5507720e-5, 1.4306747e-5
0.037, 1.5557453e-5, 1.4365836e-5
0.036, 1.5390349e-5, 1.4230842e-5
0.035, 1.5272461e-5, 1.4102465e-5
0.034, 1.5324167e-5, 1.4161105e-5
0.033, 1.5341606e-5, 1.4192510e-5
0.032, 1.5410082e-5, 1.4274574e-5
0.031, 1.5241638e-5, 1.4133351e-5
0.030, 1.5124666e-5, 1.4002887e-5
0.029, 1.5180978e-5, 1.4073637e-5
0.028, 1.5193385e-5, 1.4097204e-5
0.027, 1.5264704e-5, 1.4176616e-5
0.026, 1.5094362e-5, 1.4043695e-5
0.025, 1.4984605e-5, 1.3912767e-5
0.024, 1.5032572e-5, 1.3975543e-5
0.023, 1.5053154e-5, 1.4013068e-5
0.022, 1.5124466e-5, 1.4085770e-5
0.021, 1.4960408e-5, 1.3958350e-5
0.020, 1.4845315e-5, 1.3823041e-5
0.019, 1.4890404e-5, 1.3881487e-5
0.018, 1.4914349e-5, 1.3928046e-5
0.017, 1.4977464e-5, 1.3990438e-5
0.016, 1.4818535e-5, 1.3865460e-5
0.015, 1.4728793e-5, 1.3761777e-5
0.014, 1.4772020e-5, 1.3808482e-5
0.013, 1.4780477e-5, 1.3841123e-5
0.012, 1.4850667e-5, 1.3916013e-5
0.011, 1.4691939e-5, 1.3784229e-5
0.010, 1.4578965e-5, 1.3665410e-5
0.009, 1.4632314e-5, 1.3717779e-5
0.008, 1.4657997e-5, 1.3763445e-5
0.007, 1.4720513e-5, 1.3837114e-5
0.006, 1.4568283e-5, 1.3707531e-5
0.005, 1.4458587e-5, 1.3583143e-5
