Jan. 28, 2006   03:04:05
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_17_19_psoralen_nonequil_2\data\psoralen\3\75um_psoralen_transfer_3_swv_5.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A

0.099, 1.6182501e-5, 1.5361513e-5
0.098, 1.8189363e-5, 1.6499907e-5
0.097, 1.8201856e-5, 1.6483062e-5
0.096, 1.8106501e-5, 1.6409982e-5
0.095, 1.8082577e-5, 1.6371372e-5
0.094, 1.8046449e-5, 1.6349262e-5
0.093, 1.8021585e-5, 1.6345908e-5
0.092, 1.7976310e-5, 1.6309583e-5
0.091, 1.7895614e-5, 1.6256545e-5
0.090, 1.7874525e-5, 1.6227710e-5
0.089, 1.7832983e-5, 1.6199800e-5
0.088, 1.7820592e-5, 1.6203994e-5
0.087, 1.7777054e-5, 1.6178992e-5
0.086, 1.7694430e-5, 1.6117265e-5
0.085, 1.7672864e-5, 1.6088059e-5
0.084, 1.7634487e-5, 1.6067912e-5
0.083, 1.7626102e-5, 1.6070426e-5
0.082, 1.7571831e-5, 1.6037999e-5
0.081, 1.7494862e-5, 1.5978112e-5
0.080, 1.7473314e-5, 1.5949121e-5
0.079, 1.7442337e-5, 1.5942487e-5
0.078, 1.7428407e-5, 1.5934576e-5
0.077, 1.7383827e-5, 1.5907124e-5
0.076, 1.7301929e-5, 1.5851674e-5
0.075, 1.7284849e-5, 1.5821146e-5
0.074, 1.7250029e-5, 1.5809421e-5
0.073, 1.7233699e-5, 1.5807142e-5
0.072, 1.7194900e-5, 1.5776977e-5
0.071, 1.7107832e-5, 1.5721418e-5
0.070, 1.7097349e-5, 1.5693482e-5
0.069, 1.7064147e-5, 1.5681871e-5
0.068, 1.7048562e-5, 1.5687438e-5
0.067, 1.7006592e-5, 1.5651291e-5
0.066, 1.6928781e-5, 1.5597911e-5
0.065, 1.6910741e-5, 1.5576028e-5
0.064, 1.6876475e-5, 1.5554964e-5
0.063, 1.6864076e-5, 1.5561369e-5
0.062, 1.6827400e-5, 1.5535921e-5
0.061, 1.6748028e-5, 1.5475345e-5
0.060, 1.6722805e-5, 1.5447842e-5
0.059, 1.6705379e-5, 1.5442840e-5
0.058, 1.6680700e-5, 1.5434282e-5
0.057, 1.6643597e-5, 1.5415460e-5
0.056, 1.6561253e-5, 1.5349508e-5
0.055, 1.6553511e-5, 1.5333439e-5
0.054, 1.6528198e-5, 1.5327765e-5
0.053, 1.6507031e-5, 1.5319500e-5
0.052, 1.6467471e-5, 1.5296595e-5
0.051, 1.6400292e-5, 1.5249654e-5
0.050, 1.6381706e-5, 1.5217633e-5
0.049, 1.6360747e-5, 1.5220530e-5
0.048, 1.6342774e-5, 1.5209589e-5
0.047, 1.6312151e-5, 1.5196332e-5
0.046, 1.6237573e-5, 1.5146876e-5
0.045, 1.6221500e-5, 1.5115143e-5
0.044, 1.6196576e-5, 1.5109308e-5
0.043, 1.6187121e-5, 1.5120806e-5
