PHZadded,treatment,reactor,run,echem,rep,minutes,E_from_maxs,PHZaddedInt,electrode,current_from_maxs,max_current,E_from_mins,current_from_mins,min_current,signal
75uM,control,soak,4,SWV,0,1165.45,-0.27,75,i1,3.3673064e-6,3.3673064e-6,-0.101,8.8275264e-8,8.8275264e-8,3.2790311359999997e-6
75uM,control,transfer,4,SWV,0,1172.7833333333333,-0.27,75,i1,3.4840614e-6,3.4840614e-6,-0.068,9.3981086e-8,9.3981086e-8,3.390080314e-6
75uM,control,transfer,4,SWV,9,1182.5,-0.263,75,i1,3.4538337e-7,3.4538337e-7,-0.089,8.5702695e-8,8.5702695e-8,2.5968067499999997e-7
75uM,control,transfer,4,SWV,10,1183.5833333333333,-0.264,75,i1,3.2913991e-7,3.2913991e-7,-0.124,8.3806256e-8,8.3806256e-8,2.45333654e-7
75uM,control,transfer,4,SWV,11,1184.6666666666667,-0.268,75,i1,3.1970717e-7,3.1970717e-7,-0.063,8.8143338e-8,8.8143338e-8,2.31563832e-7
75uM,control,transfer,4,SWV,12,1185.7333333333333,-0.265,75,i1,3.0549211e-7,3.0549211e-7,-0.12,8.6873548e-8,8.6873548e-8,2.18618562e-7
75uM,control,transfer,4,SWV,13,1186.8166666666666,-0.28,75,i1,2.8332846e-7,2.8332846e-7,-0.085,8.7698091e-8,8.7698091e-8,1.9563036900000003e-7
75uM,control,transfer,4,SWV,14,1187.9,-0.267,75,i1,2.6762922e-7,2.6762922e-7,-0.115,8.8934897e-8,8.8934897e-8,1.7869432299999998e-7
75uM,control,transfer,4,SWV,15,1188.9833333333333,-0.273,75,i1,2.5295242e-7,2.5295242e-7,-0.071,8.4746233e-8,8.4746233e-8,1.6820618699999998e-7
75uM,control,transfer,4,SWV,16,1190.05,-0.268,75,i1,2.448719e-7,2.448719e-7,-0.102,9.2414453e-8,9.2414453e-8,1.52457447e-7
75uM,control,transfer,4,SWV,17,1191.1333333333334,-0.274,75,i1,2.3891874e-7,2.3891874e-7,-0.067,8.8126853e-8,8.8126853e-8,1.50791887e-7
75uM,control,transfer,4,SWV,18,1192.2166666666667,-0.273,75,i1,2.2973336e-7,2.2973336e-7,-0.049,8.9792422e-8,8.9792422e-8,1.3994093799999998e-7
75uM,control,transfer,4,SWV,1,1173.8666666666666,-0.268,75,i1,1.8170556e-6,1.8170556e-6,-0.061,9.5696123e-8,9.5696123e-8,1.721359477e-6
75uM,control,transfer,4,SWV,19,1193.3,-0.272,75,i1,2.3118457e-7,2.3118457e-7,-0.065,8.7252836e-8,8.7252836e-8,1.4393173399999998e-7
75uM,control,transfer,4,SWV,20,1194.3666666666666,-0.272,75,i1,2.3743458e-7,2.3743458e-7,-0.067,9.1425008e-8,9.1425008e-8,1.46009572e-7
75uM,control,transfer,4,SWV,21,1195.45,-0.26,75,i1,2.1896489e-7,2.1896489e-7,-0.058,9.0649934e-8,9.0649934e-8,1.28314956e-7
75uM,control,transfer,4,SWV,22,1196.5333333333333,-0.268,75,i1,2.1289627e-7,2.1289627e-7,-0.037,9.3271979e-8,9.3271979e-8,1.19624291e-7
75uM,control,transfer,4,SWV,23,1197.6166666666666,-0.266,75,i1,2.1667265e-7,2.1667265e-7,-0.047,9.0485031e-8,9.0485031e-8,1.2618761899999999e-7
75uM,control,transfer,4,SWV,24,1198.7,-0.275,75,i1,2.1906382e-7,2.1906382e-7,-0.068,8.5306922e-8,8.5306922e-8,1.3375689799999997e-7
75uM,control,transfer,4,SWV,25,1199.7833333333333,-0.277,75,i1,2.1311065e-7,2.1311065e-7,-0.123,8.7087933e-8,8.7087933e-8,1.2602271700000002e-7
75uM,control,transfer,4,SWV,26,1200.85,-0.272,75,i1,2.1030721e-7,2.1030721e-7,-0.058,9.1062219e-8,9.1062219e-8,1.19244991e-7
75uM,control,transfer,4,SWV,27,1201.9333333333334,-0.274,75,i1,2.0481576e-7,2.0481576e-7,-0.081,8.8044395e-8,8.8044395e-8,1.1677136500000001e-7
75uM,control,transfer,4,SWV,28,1203.0166666666667,-0.278,75,i1,2.0631643e-7,2.0631643e-7,-0.107,8.7731074e-8,8.7731074e-8,1.1858535600000001e-7
75uM,control,transfer,4,SWV,2,1174.95,-0.271,75,i1,1.1327862e-6,1.1327862e-6,-0.078,9.1012737e-8,9.1012737e-8,1.041773463e-6
75uM,control,transfer,4,SWV,29,1204.1,-0.265,75,i1,2.049312e-7,2.049312e-7,-0.058,8.3756788e-8,8.3756788e-8,1.21174412e-7
75uM,control,transfer,4,SWV,30,1205.1666666666667,-0.269,75,i1,2.0565679e-7,2.0565679e-7,-0.057,8.6494254e-8,8.6494254e-8,1.19162536e-7
75uM,control,transfer,4,SWV,31,1206.25,-0.261,75,i1,2.0146813e-7,2.0146813e-7,-0.116,8.327855e-8,8.327855e-8,1.1818958000000001e-7
75uM,control,transfer,4,SWV,32,1207.3333333333333,-0.265,75,i1,2.0001694e-7,2.0001694e-7,-0.07,8.5092537e-8,8.5092537e-8,1.1492440300000001e-7
75uM,control,transfer,4,SWV,33,1208.4166666666667,-0.27,75,i1,2.0148462e-7,2.0148462e-7,-0.087,8.4845176e-8,8.4845176e-8,1.16639444e-7
75uM,control,transfer,4,SWV,34,1209.5,-0.263,75,i1,1.9439358e-7,1.9439358e-7,-0.07,8.3344517e-8,8.3344517e-8,1.11049063e-7
75uM,control,transfer,4,SWV,35,1210.5666666666666,-0.274,75,i1,1.961416e-7,1.961416e-7,-0.053,7.999688e-8,7.999688e-8,1.1614471999999999e-7
75uM,control,transfer,4,SWV,36,1211.65,-0.277,75,i1,1.9493777e-7,1.9493777e-7,-0.084,8.6510752e-8,8.6510752e-8,1.0842701800000001e-7
75uM,control,transfer,4,SWV,37,1212.7333333333333,-0.27,75,i1,1.9464093e-7,1.9464093e-7,-0.075,8.6510752e-8,8.6510752e-8,1.0813017800000001e-7
75uM,control,transfer,4,SWV,38,1213.8166666666666,-0.264,75,i1,1.9694966e-7,1.9694966e-7,-0.069,8.6180933e-8,8.6180933e-8,1.10768727e-7
75uM,control,transfer,4,SWV,3,1176.0166666666667,-0.264,75,i1,8.3229077e-7,8.3229077e-7,-0.086,9.2216567e-8,9.2216567e-8,7.40074203e-7
75uM,control,transfer,4,SWV,39,1214.8833333333334,-0.267,75,i1,1.9432763e-7,1.9432763e-7,-0.146,8.7038451e-8,8.7038451e-8,1.07289179e-7
75uM,control,transfer,4,SWV,40,1215.9666666666667,-0.279,75,i1,1.8867127e-7,1.8867127e-7,-0.12,8.2783835e-8,8.2783835e-8,1.05887435e-7
75uM,control,transfer,4,SWV,41,1217.05,-0.264,75,i1,1.8797866e-7,1.8797866e-7,-0.057,8.5092537e-8,8.5092537e-8,1.0288612300000001e-7
75uM,control,transfer,4,SWV,42,1218.1333333333334,-0.256,75,i1,1.8538961e-7,1.8538961e-7,-0.121,8.4416421e-8,8.4416421e-8,1.0097318900000001e-7
75uM,control,transfer,4,SWV,43,1219.2,-0.276,75,i1,1.8456507e-7,1.8456507e-7,-0.074,8.0804931e-8,8.0804931e-8,1.03760139e-7
75uM,control,transfer,4,SWV,44,1220.2833333333333,-0.282,75,i1,1.8877022e-7,1.8877022e-7,-0.092,8.5125521e-8,8.5125521e-8,1.0364469899999999e-7
75uM,control,transfer,4,SWV,4,1177.1,-0.266,75,i1,6.4582929e-7,6.4582929e-7,-0.126,9.0023292e-8,9.0023292e-8,5.55805998e-7
75uM,control,transfer,4,SWV,5,1178.1833333333334,-0.267,75,i1,5.3791348e-7,5.3791348e-7,-0.074,9.017171e-8,9.017171e-8,4.4774176999999997e-7
75uM,control,transfer,4,SWV,6,1179.2666666666667,-0.27,75,i1,4.6088496e-7,4.6088496e-7,-0.111,8.4894651e-8,8.4894651e-8,3.75990309e-7
75uM,control,transfer,4,SWV,7,1180.35,-0.269,75,i1,4.0539339e-7,4.0539339e-7,-0.093,8.689004e-8,8.689004e-8,3.1850335000000003e-7
75uM,control,transfer,4,SWV,8,1181.4166666666667,-0.27,75,i1,3.7325282e-7,3.7325282e-7,-0.099,8.7087926e-8,8.7087926e-8,2.86164894e-7
75uM,control,soak,5,SWV,0,1244.9,-0.268,75,i1,3.2695325e-6,3.2695325e-6,-0.128,8.1481055e-8,8.1481055e-8,3.188051445e-6
75uM,control,transfer,5,SWV,0,1248.75,-0.27,75,i1,2.8240333e-6,2.8240333e-6,-0.096,8.6296374e-8,8.6296374e-8,2.737736926e-6
75uM,control,transfer,5,SWV,9,1258.45,-0.267,75,i1,2.9421238e-7,2.9421238e-7,-0.108,5.572242e-8,5.572242e-8,2.3848996e-7
75uM,control,transfer,5,SWV,10,1259.5333333333333,-0.263,75,i1,2.8296569e-7,2.8296569e-7,-0.159,4.8713833e-8,4.8713833e-8,2.3425185699999998e-7
