PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,psoralen,soak,4,SWVslow,0,1193.9,-0.226,75,i1,2.5166325e-6,2.5166325e-6,-0.11,2.3807306e-7,2.3807306e-7,2.27855944e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,4,SWVslow,0,1199.5166666666667,-0.229,75,i1,8.1853062e-7,8.1853062e-7,-0.11,2.2775794e-7,2.2775794e-7,5.9077268e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,4,SWVslow,9,1227.7333333333333,-0.222,75,i1,2.3770815e-7,2.3770815e-7,-0.342,2.0113148e-7,2.0113148e-7,3.657666999999999e-8,75uM,GC,1227.2,-0.399,133.33363,75,i2,1.0077717e-8,1.0077717e-8,-0.202,67.666595,2.2298561e-9,2.2298561e-9,7.8478609e-9
75uM,psoralen,transfer,4,SWVslow,10,1231.1666666666667,-0.221,75,i1,2.3389222e-7,2.3389222e-7,-0.348,1.9989258e-7,1.9989258e-7,3.3999640000000004e-8,75uM,GC,1230.5333333333333,-0.399,133.33363,75,i2,8.7001695e-9,8.7001695e-9,-0.207,69.333275,2.2861115e-9,2.2861115e-9,6.414057999999999e-9
75uM,psoralen,transfer,4,SWVslow,11,1234.2666666666667,-0.222,75,i1,2.3379302e-7,2.3379302e-7,-0.34,1.9991501e-7,1.9991501e-7,3.387800999999999e-8,75uM,GC,1233.6166666666666,-0.399,133.33363,75,i2,8.8235534e-9,8.8235534e-9,-0.202,67.666595,2.1536277e-9,2.1536277e-9,6.669925700000001e-9
75uM,psoralen,transfer,4,SWVslow,12,1238.0333333333333,-0.224,75,i1,2.3420046e-7,2.3420046e-7,-0.352,1.9928316e-7,1.9928316e-7,3.49173e-8,75uM,GC,1237.5166666666667,-0.399,133.33363,75,i2,8.2253075e-9,8.2253075e-9,-0.206,68.999939,2.3254667e-9,2.3254667e-9,5.8998408e-9
75uM,psoralen,transfer,4,SWVslow,13,1241.5833333333333,-0.224,75,i1,2.2325699e-7,2.2325699e-7,-0.339,1.991875e-7,1.991875e-7,2.406948999999998e-8,75uM,GC,1240.45,-0.399,133.33363,75,i2,7.1706379e-9,7.1706379e-9,-0.199,66.666588,2.1262092e-9,2.1262092e-9,5.0444287e-9
75uM,psoralen,transfer,4,SWVslow,1,1202.7333333333333,-0.229,75,i1,4.7193811e-7,4.7193811e-7,-0.11,2.2631825e-7,2.2631825e-7,2.4561985999999997e-7,75uM,GC,1202.15,-0.399,133.33363,75,i2,1.2602017e-7,1.2602017e-7,-0.155,51.999947,2.9599942e-9,2.9599942e-9,1.230601758e-7
75uM,psoralen,transfer,4,SWVslow,2,1205.7666666666667,-0.229,75,i1,3.3670665e-7,3.3670665e-7,-0.118,2.2881258e-7,2.2881258e-7,1.0789407000000002e-7,75uM,GC,1205.25,-0.399,133.33363,75,i2,4.653203e-8,4.653203e-8,-0.168,56.333263,2.4718962e-9,2.4718962e-9,4.40601338e-8
75uM,psoralen,transfer,4,SWVslow,3,1208.9666666666667,-0.229,75,i1,2.8637743e-7,2.8637743e-7,-0.343,2.1922614e-7,2.1922614e-7,6.715128999999998e-8,75uM,GC,1208.4166666666667,-0.399,133.33363,75,i2,2.7501992e-8,2.7501992e-8,-0.174,58.333256,2.2032651e-9,2.2032651e-9,2.52987269e-8
75uM,psoralen,transfer,4,SWVslow,4,1211.9833333333333,-0.229,75,i1,2.6402515e-7,2.6402515e-7,-0.347,2.125025e-7,2.125025e-7,5.1522650000000005e-8,75uM,GC,1211.4,-0.399,133.33363,75,i2,2.0410152e-8,2.0410152e-8,-0.187,62.666573,2.3002935e-9,2.3002935e-9,1.81098585e-8
75uM,psoralen,transfer,4,SWVslow,5,1215.3333333333333,-0.232,75,i1,2.4336296e-7,2.4336296e-7,-0.342,2.0890624e-7,2.0890624e-7,3.445672000000002e-8,75uM,GC,1214.4166666666667,-0.399,133.33363,75,i2,1.6480312e-8,1.6480312e-8,-0.198,66.333252,2.2577473e-9,2.2577473e-9,1.42225647e-8
75uM,psoralen,transfer,4,SWVslow,6,1218.3,-0.226,75,i1,2.481662e-7,2.481662e-7,-0.342,2.0419745e-7,2.0419745e-7,4.396875000000001e-8,75uM,GC,1217.7833333333333,-0.399,133.33363,75,i2,1.4330317e-8,1.4330317e-8,-0.198,66.333252,2.1863646e-9,2.1863646e-9,1.21439524e-8
75uM,psoralen,transfer,4,SWVslow,7,1221.6666666666667,-0.221,75,i1,2.4050956e-7,2.4050956e-7,-0.341,2.0247904e-7,2.0247904e-7,3.803052000000001e-8,75uM,GC,1221.1166666666666,-0.399,133.33363,75,i2,1.2020891e-8,1.2020891e-8,-0.199,66.666588,2.3751038999999998e-09,2.3751038999999998e-09,9.6457871e-9
75uM,psoralen,transfer,4,SWVslow,8,1224.7166666666667,-0.223,75,i1,2.3975488e-7,2.3975488e-7,-0.345,2.015413e-7,2.015413e-7,3.8213579999999986e-8,75uM,GC,1224.1666666666667,-0.399,133.33363,75,i2,1.1048595e-8,1.1048595e-8,-0.205,68.666603,2.2247744e-9,2.2247744e-9,8.8238206e-9
75uM,psoralen,soak,5,SWVslow,0,1277.7333333333333,-0.227,75,i1,2.3250921e-6,2.3250921e-6,-0.11,2.1509013e-7,2.1509013e-7,2.1100019700000003e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
