PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,psoralen,transfer,4,SWVslow,0,1228.7833333333333,-0.237,75,i1,2.626835e-7,2.626835e-7,-0.11,1.2378194e-7,1.2378194e-7,1.3890156e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,4,SWVslow,9,1256.85,-0.219,75,i1,1.3807836e-7,1.3807836e-7,-0.314,1.2573892e-7,1.2573892e-7,1.2339439999999997e-8,75uM,GC,1256.3166666666666,-0.399,133.33363,75,i2,3.3959735e-9,3.3959735e-9,-0.244,81.666702,1.9182063e-9,1.9182063e-9,1.4777671999999999e-9
75uM,psoralen,transfer,4,SWVslow,10,1259.8666666666666,-0.211,75,i1,1.3705795e-7,1.3705795e-7,-0.311,1.2390831e-7,1.2390831e-7,1.314964e-8,75uM,GC,1259.3,-0.399,133.33363,75,i2,3.220471e-9,3.220471e-9,-0.243,81.333366,1.908397e-9,1.908397e-9,1.312074e-9
75uM,psoralen,transfer,4,SWVslow,11,1264.4833333333333,-0.399,75,i1,1.3043589e-7,1.3043589e-7,-0.305,1.2095454e-7,1.2095454e-7,9.481349999999977e-9,75uM,GC,1262.6333333333334,-0.399,133.33363,75,i2,3.3946734e-9,3.3946734e-9,-0.243,81.333366,2.1122637e-9,2.1122637e-9,1.2824097000000002e-9
75uM,psoralen,transfer,4,SWVslow,12,1267.75,-0.21,75,i1,1.346888e-7,1.346888e-7,-0.308,1.2102068e-7,1.2102068e-7,1.3668119999999999e-8,75uM,GC,1267.05,-0.399,133.33363,75,i2,3.2790899e-9,3.2790899e-9,-0.244,81.666702,2.0946544e-9,2.0946544e-9,1.1844355e-9
75uM,psoralen,transfer,4,SWVslow,1,1232.1166666666666,-0.247,75,i1,1.9645576e-7,1.9645576e-7,-0.11,1.2736992e-7,1.2736992e-7,6.908583999999999e-8,75uM,GC,1231.4166666666667,-0.399,133.33363,75,i2,1.480175e-8,1.480175e-8,-0.221,73.999977,1.6311383e-9,1.6311383e-9,1.31706117e-8
75uM,psoralen,transfer,4,SWVslow,2,1235.3333333333333,-0.25,75,i1,1.7642955e-7,1.7642955e-7,-0.118,1.2899739e-7,1.2899739e-7,4.7432159999999996e-8,75uM,GC,1234.6666666666667,-0.399,133.33363,75,i2,8.8178806e-9,8.8178806e-9,-0.226,75.666656,1.5104729e-9,1.5104729e-9,7.3074077e-9
75uM,psoralen,transfer,4,SWVslow,3,1238.5833333333333,-0.245,75,i1,1.6152782e-7,1.6152782e-7,-0.131,1.3240823e-7,1.3240823e-7,2.9119590000000007e-8,75uM,GC,1238.0333333333333,-0.399,133.33363,75,i2,5.3034559e-9,5.3034559e-9,-0.228,76.333328,1.5044456e-9,1.5044456e-9,3.7990103e-9
75uM,psoralen,transfer,4,SWVslow,4,1241.6666666666667,-0.234,75,i1,1.5224963e-7,1.5224963e-7,-0.137,1.3259836e-7,1.3259836e-7,1.965127000000002e-8,75uM,GC,1241.1666666666667,-0.399,133.33363,75,i2,4.9314144e-9,4.9314144e-9,-0.234,78.333344,1.6344475e-9,1.6344475e-9,3.2969669000000003e-9
75uM,psoralen,transfer,4,SWVslow,5,1244.6333333333334,-0.235,75,i1,1.4787625e-7,1.4787625e-7,-0.136,1.3292669e-7,1.3292669e-7,1.4949560000000004e-8,75uM,GC,1244.1,-0.399,133.33363,75,i2,3.785388e-9,3.785388e-9,-0.235,78.666679,1.7128032e-9,1.7128032e-9,2.0725848e-9
