treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
control,1,0,soak,i1,5.8089343e-6,NA,NA,SWV,902.6666666666666,1
control,1,1,soak,i1,5.72514496e-6,NA,NA,SWV,903.5,1
control,2,0,soak,i1,5.07074041e-6,NA,NA,SWV,1094,1
control,3,0,soak,i1,4.4451123300000005e-6,NA,NA,SWV,1155.4666666666667,1
control,3,0,soak,i1,4.4451123300000005e-6,NA,NA,SWV,1155.4666666666667,1
control,1,0,transfer,i1,4.42439979e-6,NA,NA,SWV,908.9166666666666,1
control,1,9,transfer,i1,6.794540700000001e-7,i2,5.2912532000000005e-9,SWV,945.2166666666667,1
control,1,10,transfer,i1,6.6337558e-7,i2,4.0340824e-9,SWV,949.2,1
control,1,1,transfer,i1,1.2887067300000001e-6,i2,6.07934577e-8,SWV,913.2166666666667,1
control,1,2,transfer,i1,1.06263438e-6,i2,2.8445952400000003e-8,SWV,917.3833333333333,1
control,1,3,transfer,i1,9.9017378e-7,i2,1.566535e-8,SWV,921.55,1
control,1,4,transfer,i1,9.392170200000001e-7,i2,1.5022145900000002e-8,SWV,925.3333333333334,1
control,1,5,transfer,i1,8.8027906e-7,i2,1.0926714399999999e-8,SWV,929.1666666666666,1
control,1,6,transfer,i1,8.0010074e-7,i2,7.959926300000001e-9,SWV,933.2833333333333,1
control,1,7,transfer,i1,7.8555587e-7,i2,7.0365788e-9,SWV,937.0666666666667,1
control,1,7,transfer,i1,7.8555587e-7,i2,7.0365788e-9,SWV,937.0666666666667,1
control,1,8,transfer,i1,7.1464543e-7,i2,5.9636933999999995e-9,SWV,940.9166666666666,1
control,2,0,transfer,i1,3.26290316e-6,NA,NA,SWV,1097.0166666666667,1
control,2,9,transfer,i1,5.408158699999999e-7,i2,3.4875347e-9,SWV,1124.9,1
control,2,10,transfer,i1,5.2866213e-7,i2,3.371067399999999e-9,SWV,1127.6166666666666,1
control,2,11,transfer,i1,5.27145e-7,i2,3.092762e-9,SWV,1130.2666666666667,1
control,2,12,transfer,i1,5.2633695e-7,i2,3.0225460000000005e-9,SWV,1132.95,1
control,2,13,transfer,i1,5.128145e-7,i2,2.538226e-9,SWV,1136.4333333333334,1
control,2,14,transfer,i1,5.1240221e-7,i2,2.4076206e-9,SWV,1139.2833333333333,1
control,2,15,transfer,i1,5.1563442e-7,i2,2.2577632999999997e-9,SWV,1142.05,1
control,2,1,transfer,i1,9.1370588e-7,i2,4.65714018e-8,SWV,1100.6833333333334,1
control,2,2,transfer,i1,7.2234664e-7,i2,2.00473161e-8,SWV,1103.9,1
control,2,3,transfer,i1,6.5836228e-7,i2,1.3721120699999998e-8,SWV,1107.4166666666667,1
control,2,4,transfer,i1,6.2378106e-7,i2,9.824194199999998e-9,SWV,1110.4166666666667,1
control,2,5,transfer,i1,5.89876e-7,i2,6.9252248000000005e-9,SWV,1113.3166666666666,1
control,2,6,transfer,i1,5.6596437e-7,i2,5.7752539e-9,SWV,1116.3833333333334,1
control,2,7,transfer,i1,5.4853352e-7,i2,4.8303388000000005e-9,SWV,1119.3,1
control,2,8,transfer,i1,5.517822499999999e-7,i2,4.0201038e-9,SWV,1122.1166666666666,1
control,3,0,transfer,i1,2.42823764e-6,NA,NA,SWV,1159.2,1
control,3,9,transfer,i1,4.767490800000001e-7,i2,2.0075753000000004e-9,SWV,1184.1,1
control,3,10,transfer,i1,4.734839e-7,i2,1.8772091999999997e-9,SWV,1186.85,1
control,3,11,transfer,i1,4.796679600000001e-7,i2,1.6259027e-9,SWV,1189.5833333333333,1
control,3,12,transfer,i1,4.6462833000000003e-7,i2,1.5048027e-9,SWV,1192.3166666666666,1
control,3,13,transfer,i1,4.7064748000000007e-7,i2,1.4116612e-9,SWV,1195.4,1
control,3,14,transfer,i1,4.6047271e-7,i2,1.4153359000000001e-9,SWV,1198.0833333333333,1
control,3,15,transfer,i1,4.6949319e-7,i2,1.2635615000000002e-9,SWV,1200.8,1
control,3,1,transfer,i1,6.9220142e-7,i2,3.3444517399999994e-8,SWV,1162.1166666666666,1
control,3,2,transfer,i1,5.5399202e-7,i2,1.24939057e-8,SWV,1164.9333333333334,1
control,3,3,transfer,i1,5.1052222e-7,i2,7.9381979e-9,SWV,1167.8,1
control,3,4,transfer,i1,5.3298277e-7,i2,5.5633289000000005e-9,SWV,1170.4666666666667,1
control,3,5,transfer,i1,5.1037382e-7,i2,3.871364300000001e-9,SWV,1173.1166666666666,1
control,3,6,transfer,i1,4.927121700000001e-7,i2,3.3610031999999997e-09,SWV,1175.8,1
control,3,7,transfer,i1,4.9107956e-7,i2,2.8105414999999997e-9,SWV,1178.6,1
control,3,8,transfer,i1,4.7727683e-7,i2,2.2937101e-9,SWV,1181.3833333333334,1
control,1,0,soak,i2,5.67796492e-6,NA,NA,SWV,902.6666666666666,1
control,1,1,soak,i2,6.2019928399999995e-6,NA,NA,SWV,903.5,1
control,2,0,soak,i2,4.187954929999999e-6,NA,NA,SWV,1094,1
control,3,0,soak,i2,3.26961479e-6,NA,NA,SWV,1155.4666666666667,1
control,1,0,transfer,i2,5.09940162e-6,NA,NA,SWV,908.9166666666666,1
control,1,9,transfer,i2,2.17676924e-6,i2,5.2912532000000005e-9,SWV,945.2166666666667,1
control,1,10,transfer,i2,2.1174025600000002e-6,i2,4.0340824e-9,SWV,949.2,1
control,1,1,transfer,i2,2.77855176e-6,i2,6.07934577e-8,SWV,913.2166666666667,1
control,1,2,transfer,i2,2.9061575499999998e-6,i2,2.8445952400000003e-8,SWV,917.3833333333333,1
control,1,3,transfer,i2,3.00582788e-6,i2,1.566535e-8,SWV,921.55,1
control,1,4,transfer,i2,2.91878947e-6,i2,1.5022145900000002e-8,SWV,925.3333333333334,1
control,1,5,transfer,i2,2.76712373e-6,i2,1.0926714399999999e-8,SWV,929.1666666666666,1
