treatment,exp_id,run,echem_from_swv,term,estimate,std.error,statistic,p.value,conf.low,conf.high,r.squared,adj.r.squared,dap,dap_high,dap_low
blank,blank,1,SWV.txt,signal_from_swv,0.5440038506474826,0.0037237281042004165,146.09118480853604,1.8576506535376219e-13,0.5351986328659526,0.5528090684290126,0.9996721255311168,0.9996252863212763,2.3363568060386673e-5,2.4126011935744936e-5,2.26133659889896e-5
control,1,2,SWV,signal_from_swv,0.10573105349769894,0.004741699192743946,22.29813600565287,9.588617102356522e-12,0.09548723518332,0.11597487181207788,0.9745201392189049,0.9725601499280514,8.825520741484017e-7,1.0618496378119377e-6,7.198232301870003e-7
control,1,3,SWV,signal_from_swv,0.13953211070666371,0.007634380684051935,18.276808097629115,1.1801726634789038e-10,0.12303903396533294,0.15602518744799448,0.9625405262057313,0.9596590282215568,1.5370342627205e-6,1.9218728293847878e-6,1.195146230877358e-6
control,2,1,SWV,signal_from_swv,0.2791414545281664,0.0036863036146614595,75.7239456397305,1.384388334106529e-18,0.2711776797408463,0.28710522931548654,0.9977379958698639,0.9975639955521611,6.151540607813981e-6,6.507548693975529e-6,5.805546419487246e-6
control,2,2,SWV,signal_from_swv,0.2125193854047006,0.00772598148361632,27.507105195031624,6.600651502154055e-13,0.19582841716708402,0.2292103536423172,0.9831090043714314,0.9818096970153877,3.5655975567736797e-6,4.147665109580761e-6,3.0275174024922676e-6
control,2,3,SWV,signal_from_swv,0.22300859606929108,0.0077181032435650445,28.894222975732298,3.515614605299114e-13,0.20633464773454935,0.2396825444040328,0.9846675715091798,0.9834881539329628,3.926254328727116e-6,4.535321029531659e-6,3.361085363639912e-6
control,3,1,SWV,signal_from_swv,0.15133281349272112,0.003987517033535568,37.95164063751736,1.0558078755295585e-14,0.1427183066763594,0.15994732030908285,0.9910550070577536,0.9903669306775809,1.8080125200412967e-6,2.0197106610632136e-6,1.608031638688804e-6
control,3,2,SWV,signal_from_swv,0.10450850862358545,0.003486520460239717,29.975016586135258,2.1955048232799136e-13,0.09697633910116733,0.11204067814600356,0.985737820181355,0.9846407294260746,8.62260559151782e-7,9.910297195240235e-7,7.424492818328273e-7
control,3,3,SWV,signal_from_swv,0.12030802635071242,0.007903065877980519,15.222956281550685,1.15062425522434e-9,0.10323449053796271,0.13738156216346212,0.9468820581122881,0.9427960625824641,1.1426794720442161e-6,1.4900200821517626e-6,8.413658076125705e-7
psoralen,1,1,SWV,signal_from_swv,0.11234149440104728,0.008370496760328852,13.421126322332357,9.097899162396671e-7,0.09303909425801588,0.13164389454407868,0.9574754519062151,0.952159883394492,9.963584636867045e-7,1.3681592935069913e-6,6.833861434073428e-7
psoralen,1,2,SWV,signal_from_swv,0.07599080441533246,0.0040937897975679045,18.562458790746444,9.714163548044022e-11,0.0671467092505196,0.08483489958014531,0.9636429614328831,0.9608462661584894,4.558871013023496e-7,5.681778788636368e-7,3.5594646800544897e-7
psoralen,1,3,SWV,signal_from_swv,0.07716621865378716,0.002728321576918514,28.283402992744744,4.3307715842552984e-15,0.0713824352848979,0.08295000202267641,0.9803909765929829,0.9791654126300443,4.700993593589569e-7,5.432103333551155e-7,4.022702741520261e-7
psoralen,3,1,SWV,signal_from_swv,0.2378615072354921,0.0032383358269844633,73.45177274494986,3.7028029643960644e-16,0.23073397813690621,0.24498903633407798,0.9979652851451117,0.9977803110673946,4.466666772624159e-6,4.738365087340495e-6,4.202989729375639e-6
control,3,4,SWVslow,signal_from_swv,0.25427594927479247,0.01555442960247614,16.347494300550487,5.332714942683552e-8,0.21908938493631064,0.2894625136132743,0.9674197023158284,0.9637996692398093,2.552206402981978e-7,3.307424075665695e-7,1.8947324694051061e-7
psoralen,2,4,SWVslow,signal_from_swv,0.5389500914716235,0.012485688020333242,43.165429938176445,1.2576821184509611e-13,0.5114692774253361,0.566430905517911,0.9941309993233132,0.9935974538072507,1.1465746225900502e-6,1.2664822508551707e-6,1.0326290277669e-6
psoralen,2,5,SWVslow,signal_from_swv,0.6476912013982348,0.01858711616398077,34.84624487651127,8.978716362435746e-12,0.6062765257268872,0.6891058770695824,0.9918318056519672,0.9910149862171639,1.6559271244763078e-6,1.8744641248348042e-6,1.4509309062422165e-6
psoralen,3,4,SWVslow,signal_from_swv,0.19145285974380544,0.009988946132189331,19.16647233954436,3.2524396192873164e-9,0.16919610077627636,0.2137096187113345,0.9734996609055744,0.9708496269961319,1.4468680976999265e-7,1.802824137993043e-7,1.1300194684486592e-7
