exp_id,run,term,estimate,std.error,statistic,p.value,model,reactor.x,i0_soak,reactor.y,i0_transfer
1,1,a,6.544009074172517e-7,4.901348783853415e-8,13.351445413822702,3.0872894645624845e-7,no_flux,soak,5.8089343e-6,transfer,4.42439979e-6
1,2,a,3.4937571777398323e-7,1.2306835565888297e-8,28.38875321795734,4.407488931332673e-13,no_flux,soak,5.07074041e-6,transfer,3.26290316e-6
1,3,a,1.5098563269653593e-7,1.2296955085246754e-8,12.2782942321779,1.586574855478899e-8,no_flux,soak,4.4451123300000005e-6,transfer,2.42823764e-6
1,3,a,1.5098563269653593e-7,1.2296955085246754e-8,12.2782942321779,1.586574855478899e-8,no_flux,soak,4.4451123300000005e-6,transfer,2.42823764e-6
2,1,a,8.721955435657583e-7,3.762481903593171e-8,23.181388400375063,5.854078258878657e-12,no_flux,soak,3.41704256e-6,transfer,3.6689726400000002e-6
2,2,a,5.059956497620131e-7,2.4988910127446262e-8,20.24880825859864,3.249475858590082e-11,no_flux,soak,3.4892064960000003e-6,transfer,2.4038642360000003e-6
2,3,a,7.930260535927799e-7,2.8181542611362193e-8,28.1399093204021,4.933502839426032e-13,no_flux,soak,3.76443773e-6,transfer,2.674247462e-6
3,1,a,6.643646036568249e-7,1.7697423413550028e-8,37.54018809021399,1.2150912807841623e-14,no_flux,soak,6.628396e-6,transfer,2.9294864e-6
3,2,a,1.0813166775837956e-6,6.554095474655486e-8,16.49833576219966,4.2421961896019946e-10,no_flux,soak,6.6433216e-6,transfer,5.607605e-6
3,3,a,9.515240781450873e-7,7.541366334586679e-8,12.617396316913409,4.899533912405335e-9,no_flux,soak,5.0390610000000006e-6,transfer,3.2420258e-6
1,1,a,3.2732626118132157e-6,1.1026215739101183e-7,29.686183267805713,4.396384812344466e-11,og,soak,5.8089343e-6,transfer,4.42439979e-6
1,2,a,2.3797025819383713e-6,1.1214266110908465e-7,21.220314895359586,4.810932084243999e-12,og,soak,5.07074041e-6,transfer,3.26290316e-6
1,3,a,1.670804167388345e-6,1.1952702950138464e-7,13.978463066958339,1.2892115022748244e-9,og,soak,4.4451123300000005e-6,transfer,2.42823764e-6
1,3,a,1.670804167388345e-6,1.1952702950138464e-7,13.978463066958339,1.2892115022748244e-9,og,soak,4.4451123300000005e-6,transfer,2.42823764e-6
2,1,a,3.1376039266486916e-6,5.87179180883854e-8,53.435203917240386,1.3819703083065546e-17,og,soak,3.41704256e-6,transfer,3.6689726400000002e-6
2,2,a,2.0270054941958963e-6,5.1940424683995745e-8,39.02558568837562,1.094086207576849e-15,og,soak,3.4892064960000003e-6,transfer,2.4038642360000003e-6
2,3,a,2.276839526350974e-6,2.571902736148886e-8,88.52743513000287,1.2018395404281462e-20,og,soak,3.76443773e-6,transfer,2.674247462e-6
3,1,a,2.3375009127864184e-6,3.43865620922644e-8,67.97716231458516,4.811929450371582e-19,og,soak,6.628396e-6,transfer,2.9294864e-6
3,2,a,4.738834770045737e-6,1.472845103764675e-7,32.174698873174165,1.5868416543459935e-14,og,soak,6.6433216e-6,transfer,5.607605e-6
3,3,a,2.541763861819268e-6,6.739268010955706e-8,37.7157260653122,2.80123965991008e-16,og,soak,5.0390610000000006e-6,transfer,3.2420258e-6
