echem,rep,minutes,E,electrode,current,max_current,reactor
gc,1,1142.1,-0.331,i1,1.4108223e-6,1.4108223e-6,transfer
gc,10,1164.6166666666666,-0.399,i1,1.3725024e-7,1.3725024e-7,transfer
gc,11,1167.1166666666666,-0.399,i1,1.1250305e-7,1.1250305e-7,transfer
gc,12,1169.6166666666666,-0.399,i1,9.3586365e-8,9.3586365e-8,transfer
gc,13,1172.1166666666666,-0.399,i1,7.9134253e-8,7.9134253e-8,transfer
gc,14,1174.6166666666666,-0.399,i1,6.7960471e-8,6.7960471e-8,transfer
gc,15,1177.1166666666666,-0.399,i1,5.838351e-8,5.838351e-8,transfer
gc,16,1179.6166666666666,-0.399,i1,5.0399379e-8,5.0399379e-8,transfer
gc,17,1182.1166666666666,-0.399,i1,4.4307633e-8,4.4307633e-8,transfer
gc,18,1184.6166666666666,-0.399,i1,3.852583e-8,3.852583e-8,transfer
gc,19,1187.1166666666666,-0.399,i1,3.4391178e-8,3.4391178e-8,transfer
gc,2,1144.6,-0.332,i1,1.0552142e-6,1.0552142e-6,transfer
gc,20,1189.6166666666666,-0.399,i1,3.0416288e-8,3.0416288e-8,transfer
gc,21,1192.1166666666666,-0.399,i1,2.7051691e-8,2.7051691e-8,transfer
gc,22,1194.6166666666666,-0.399,i1,2.5589065e-8,2.5589065e-8,transfer
gc,23,1197.1166666666666,-0.399,i1,2.2972158e-8,2.2972158e-8,transfer
gc,24,1199.6166666666666,-0.399,i1,2.122675e-8,2.122675e-8,transfer
gc,25,1202.1166666666666,-0.399,i1,2.0270573e-8,2.0270573e-8,transfer
gc,26,1204.6166666666666,-0.399,i1,1.9149837e-8,1.9149837e-8,transfer
gc,27,1207.1166666666666,-0.399,i1,1.7537836e-8,1.7537836e-8,transfer
gc,28,1209.6166666666666,-0.399,i1,1.6699083e-8,1.6699083e-8,transfer
gc,29,1212.1166666666666,-0.399,i1,1.6334827e-8,1.6334827e-8,transfer
gc,3,1147.1,-0.399,i1,7.882208e-7,7.882208e-7,transfer
gc,30,1214.6166666666666,-0.399,i1,1.6051247e-8,1.6051247e-8,transfer
gc,31,1217.1166666666666,-0.399,i1,1.5916246e-8,1.5916246e-8,transfer
gc,32,1219.6166666666666,-0.399,i1,1.562468e-8,1.562468e-8,transfer
gc,33,1222.1166666666666,-0.399,i1,1.5284387e-8,1.5284387e-8,transfer
gc,34,1224.6166666666666,-0.399,i1,1.5170157e-8,1.5170157e-8,transfer
gc,35,1227.1166666666666,-0.399,i1,1.5001607e-8,1.5001607e-8,transfer
gc,36,1229.6166666666666,-0.399,i1,1.4614184e-8,1.4614184e-8,transfer
gc,37,1232.1333333333334,-0.399,i1,1.4305042e-8,1.4305042e-8,transfer
gc,38,1234.6333333333334,-0.399,i1,1.4028654e-8,1.4028654e-8,transfer
gc,39,1237.1333333333334,-0.399,i1,1.3717915e-8,1.3717915e-8,transfer
gc,4,1149.6,-0.399,i1,5.9235043e-7,5.9235043e-7,transfer
gc,40,1239.6333333333334,-0.399,i1,1.357972e-8,1.357972e-8,transfer
gc,41,1242.1333333333334,-0.399,i1,1.3534189e-8,1.3534189e-8,transfer
gc,42,1244.6333333333334,-0.399,i1,1.348626e-8,1.348626e-8,transfer
gc,43,1247.1333333333334,-0.399,i1,1.3264988e-8,1.3264988e-8,transfer
gc,44,1249.6333333333334,-0.399,i1,1.3172326e-8,1.3172326e-8,transfer
gc,45,1252.1333333333334,-0.399,i1,1.302215e-8,1.302215e-8,transfer
gc,46,1254.6333333333334,-0.399,i1,1.2932683e-8,1.2932683e-8,transfer
gc,5,1152.1,-0.399,i1,4.4728529e-7,4.4728529e-7,transfer
gc,6,1154.6,-0.399,i1,3.4304188e-7,3.4304188e-7,transfer
gc,7,1157.1,-0.399,i1,2.6674573e-7,2.6674573e-7,transfer
gc,8,1159.6166666666666,-0.399,i1,2.1136644e-7,2.1136644e-7,transfer
gc,9,1162.1166666666666,-0.399,i1,1.685621e-7,1.685621e-7,transfer
gc,1,1142.1,-0.399,i2,-1.3270356e-6,1.3270356e-6,transfer
gc,10,1164.6166666666666,-0.399,i2,-1.196548e-7,1.196548e-7,transfer
gc,11,1167.1166666666666,-0.399,i2,-9.7004481e-8,9.7004481e-8,transfer
gc,12,1169.6166666666666,-0.399,i2,-7.8282724e-8,7.8282724e-8,transfer
gc,13,1172.1166666666666,-0.399,i2,-6.4420931e-8,6.4420931e-8,transfer
gc,14,1174.6166666666666,-0.399,i2,-5.3476406e-8,5.3476406e-8,transfer
gc,15,1177.1166666666666,-0.399,i2,-4.4274088e-8,4.4274088e-8,transfer
gc,16,1179.6166666666666,-0.399,i2,-3.6842735e-8,3.6842735e-8,transfer
gc,17,1182.1166666666666,-0.399,i2,-3.0339603e-8,3.0339603e-8,transfer
gc,18,1184.6166666666666,-0.399,i2,-2.5199245e-8,2.5199245e-8,transfer
gc,19,1187.1166666666666,-0.399,i2,-2.0931989e-8,2.0931989e-8,transfer
gc,2,1144.6,-0.399,i2,-9.9567876e-7,9.9567876e-7,transfer
gc,20,1189.6166666666666,-0.399,i2,-1.7964402e-8,1.7964402e-8,transfer
gc,21,1192.1166666666666,-0.399,i2,-1.5146192e-8,1.5146192e-8,transfer
gc,22,1194.6166666666666,-0.399,i2,-1.325141e-8,1.325141e-8,transfer
gc,23,1197.1166666666666,-0.399,i2,-1.0777487e-8,1.0777487e-8,transfer
gc,24,1199.6166666666666,-0.399,i2,-9.7206581e-9,9.7206581e-9,transfer
gc,25,1202.1166666666666,-0.399,i2,-8.5711678e-9,8.5711678e-9,transfer
gc,26,1204.6166666666666,-0.399,i2,-6.7051422e-9,6.7051422e-9,transfer
gc,27,1207.1166666666666,-0.399,i2,-5.9270988e-9,5.9270988e-9,transfer
gc,28,1209.6166666666666,-0.398,i2,-5.0468079e-9,5.0468079e-9,transfer
gc,29,1212.1166666666666,-0.22,i2,1.5581723e-8,1.5581723e-8,transfer
gc,3,1147.1,-0.399,i2,-7.4289062e-7,7.4289062e-7,transfer
gc,30,1214.6166666666666,-0.397,i2,-4.415746e-9,4.415746e-9,transfer
gc,31,1217.1166666666666,-0.399,i2,-4.0171382e-9,4.0171382e-9,transfer
gc,32,1219.6166666666666,-0.399,i2,-3.5761942e-9,3.5761942e-9,transfer
gc,33,1222.1166666666666,-0.163,i2,3.5755727e-9,3.5755727e-9,transfer
gc,34,1224.6166666666666,-0.153,i2,3.4900998e-9,3.4900998e-9,transfer
gc,35,1227.1166666666666,-0.151,i2,3.4525556e-9,3.4525556e-9,transfer
gc,36,1229.6166666666666,-0.398,i2,-7.9257276e-9,7.9257276e-9,transfer
gc,37,1232.1333333333334,-0.155,i2,3.3862542e-9,3.3862542e-9,transfer
gc,38,1234.6333333333334,-0.163,i2,3.4613425e-9,3.4613425e-9,transfer
gc,39,1237.1333333333334,-0.158,i2,3.3942422e-9,3.3942422e-9,transfer
gc,4,1149.6,-0.399,i2,-5.5559946e-7,5.5559946e-7,transfer
gc,40,1239.6333333333334,-0.152,i2,3.4893011e-9,3.4893011e-9,transfer
gc,41,1242.1333333333334,-0.159,i2,3.5691821e-9,3.5691821e-9,transfer
gc,42,1244.6333333333334,-0.198,i2,3.6067265e-9,3.6067265e-9,transfer
gc,43,1247.1333333333334,-0.169,i2,3.8719321e-9,3.8719321e-9,transfer
gc,44,1249.6333333333334,-0.176,i2,3.5811645e-9,3.5811645e-9,transfer
gc,45,1252.1333333333334,-0.155,i2,3.4781176e-9,3.4781176e-9,transfer
gc,46,1254.6333333333334,-0.154,i2,3.5052772e-9,3.5052772e-9,transfer
gc,5,1152.1,-0.399,i2,-4.1706065e-7,4.1706065e-7,transfer
gc,6,1154.6,-0.399,i2,-3.175989e-7,3.175989e-7,transfer
gc,7,1157.1,-0.399,i2,-2.4525846e-7,2.4525846e-7,transfer
gc,8,1159.6166666666666,-0.399,i2,-1.9117647e-7,1.9117647e-7,transfer
gc,9,1162.1166666666666,-0.399,i2,-1.5130534e-7,1.5130534e-7,transfer
gc,1,1086.1166666666666,-0.399,i1,3.0406221e-7,3.0406221e-7,soak
gc,10,1108.6333333333334,-0.399,i1,1.5991446e-6,1.5991446e-6,soak
gc,11,1111.1333333333334,-0.399,i1,1.6215714e-6,1.6215714e-6,soak
gc,12,1113.6333333333334,-0.399,i1,1.6371673e-6,1.6371673e-6,soak
gc,13,1116.1333333333334,-0.399,i1,1.6511849e-6,1.6511849e-6,soak
gc,14,1118.6333333333334,-0.399,i1,1.6602778e-6,1.6602778e-6,soak
gc,15,1121.1333333333334,-0.399,i1,1.6664518e-6,1.6664518e-6,soak
gc,16,1123.6333333333334,-0.399,i1,1.6729646e-6,1.6729646e-6,soak
gc,17,1126.1333333333334,-0.399,i1,1.6780291e-6,1.6780291e-6,soak
gc,18,1128.6333333333334,-0.399,i1,1.68092e-6,1.68092e-6,soak
gc,19,1131.1333333333334,-0.399,i1,1.6855458e-6,1.6855458e-6,soak
gc,2,1088.6166666666666,-0.399,i1,6.9059234e-7,6.9059234e-7,soak
gc,20,1133.6333333333334,-0.399,i1,1.6868406e-6,1.6868406e-6,soak
gc,21,1136.1333333333334,-0.399,i1,1.6902588e-6,1.6902588e-6,soak
gc,3,1091.1166666666666,-0.399,i1,9.7608233e-7,9.7608233e-7,soak
gc,4,1093.6333333333334,-0.399,i1,1.1750616e-6,1.1750616e-6,soak
gc,5,1096.1333333333334,-0.399,i1,1.3143617e-6,1.3143617e-6,soak
gc,6,1098.6333333333334,-0.399,i1,1.4123561e-6,1.4123561e-6,soak
gc,7,1101.1333333333334,-0.399,i1,1.4819094e-6,1.4819094e-6,soak
gc,8,1103.6333333333334,-0.399,i1,1.5328777e-6,1.5328777e-6,soak
gc,9,1106.1333333333334,-0.399,i1,1.5723381e-6,1.5723381e-6,soak
gc,1,1086.1166666666666,-0.399,i2,-2.4315759e-7,2.4315759e-7,soak
gc,10,1108.6333333333334,-0.399,i2,-1.5128658e-6,1.5128658e-6,soak
gc,11,1111.1333333333334,-0.399,i2,-1.5334057e-6,1.5334057e-6,soak
gc,12,1113.6333333333334,-0.399,i2,-1.5503684e-6,1.5503684e-6,soak
gc,13,1116.1333333333334,-0.399,i2,-1.5629018e-6,1.5629018e-6,soak
gc,14,1118.6333333333334,-0.399,i2,-1.5719188e-6,1.5719188e-6,soak
gc,15,1121.1333333333334,-0.399,i2,-1.5778379e-6,1.5778379e-6,soak
gc,16,1123.6333333333334,-0.399,i2,-1.5842827e-6,1.5842827e-6,soak
gc,17,1126.1333333333334,-0.399,i2,-1.5898577e-6,1.5898577e-6,soak
gc,18,1128.6333333333334,-0.399,i2,-1.591711e-6,1.591711e-6,soak
gc,19,1131.1333333333334,-0.399,i2,-1.5966516e-6,1.5966516e-6,soak
gc,2,1088.6166666666666,-0.399,i2,-6.1854342e-7,6.1854342e-7,soak
gc,20,1133.6333333333334,-0.399,i2,-1.5976015e-6,1.5976015e-6,soak
gc,21,1136.1333333333334,-0.399,i2,-1.6008358e-6,1.6008358e-6,soak
gc,3,1091.1166666666666,-0.399,i2,-9.0091083e-7,9.0091083e-7,soak
gc,4,1093.6333333333334,-0.399,i2,-1.0978205e-6,1.0978205e-6,soak
gc,5,1096.1333333333334,-0.399,i2,-1.2350372e-6,1.2350372e-6,soak
gc,6,1098.6333333333334,-0.399,i2,-1.3321248e-6,1.3321248e-6,soak
gc,7,1101.1333333333334,-0.399,i2,-1.4000279e-6,1.4000279e-6,soak
gc,8,1103.6333333333334,-0.399,i2,-1.4489536e-6,1.4489536e-6,soak
gc,9,1106.1333333333334,-0.399,i2,-1.4851613e-6,1.4851613e-6,soak
