echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,0,1139.7833333333333,-0.274,i1,1.4802556e-5,1.4802556e-5,NA,NA,NA,NA,NA,NA,transfer
swv,9,1162.2833333333333,-0.264,i1,7.0311826e-6,7.0311826e-6,gc,1162.1166666666666,-0.399,i2,-1.5130534e-7,1.5130534e-7,transfer
swv,10,1164.7833333333333,-0.26,i1,6.7406972e-6,6.7406972e-6,gc,1164.6166666666666,-0.399,i2,-1.196548e-7,1.196548e-7,transfer
swv,11,1167.2833333333333,-0.257,i1,6.5493214e-6,6.5493214e-6,gc,1167.1166666666666,-0.399,i2,-9.7004481e-8,9.7004481e-8,transfer
swv,12,1169.7833333333333,-0.251,i1,6.3995026e-6,6.3995026e-6,gc,1169.6166666666666,-0.399,i2,-7.8282724e-8,7.8282724e-8,transfer
swv,13,1172.2833333333333,-0.254,i1,6.2459731e-6,6.2459731e-6,gc,1172.1166666666666,-0.399,i2,-6.4420931e-8,6.4420931e-8,transfer
swv,14,1174.7833333333333,-0.252,i1,6.1821538e-6,6.1821538e-6,gc,1174.6166666666666,-0.399,i2,-5.3476406e-8,5.3476406e-8,transfer
swv,15,1177.2833333333333,-0.254,i1,6.0741395e-6,6.0741395e-6,gc,1177.1166666666666,-0.399,i2,-4.4274088e-8,4.4274088e-8,transfer
swv,16,1179.7833333333333,-0.24,i1,5.988717e-6,5.988717e-6,gc,1179.6166666666666,-0.399,i2,-3.6842735e-8,3.6842735e-8,transfer
swv,17,1182.2833333333333,-0.238,i1,5.964228e-6,5.964228e-6,gc,1182.1166666666666,-0.399,i2,-3.0339603e-8,3.0339603e-8,transfer
swv,18,1184.7833333333333,-0.242,i1,5.9010686e-6,5.9010686e-6,gc,1184.6166666666666,-0.399,i2,-2.5199245e-8,2.5199245e-8,transfer
swv,1,1142.2833333333333,-0.275,i1,1.3894489e-5,1.3894489e-5,gc,1142.1,-0.399,i2,-1.3270356e-6,1.3270356e-6,transfer
swv,19,1187.2833333333333,-0.236,i1,5.8783107e-6,5.8783107e-6,gc,1187.1166666666666,-0.399,i2,-2.0931989e-8,2.0931989e-8,transfer
swv,20,1189.7833333333333,-0.231,i1,5.8191918e-6,5.8191918e-6,gc,1189.6166666666666,-0.399,i2,-1.7964402e-8,1.7964402e-8,transfer
swv,21,1192.2833333333333,-0.243,i1,5.8020414e-6,5.8020414e-6,gc,1192.1166666666666,-0.399,i2,-1.5146192e-8,1.5146192e-8,transfer
swv,22,1194.7833333333333,-0.232,i1,5.7961042e-6,5.7961042e-6,gc,1194.6166666666666,-0.399,i2,-1.325141e-8,1.325141e-8,transfer
swv,23,1197.2833333333333,-0.241,i1,5.7914872e-6,5.7914872e-6,gc,1197.1166666666666,-0.399,i2,-1.0777487e-8,1.0777487e-8,transfer
swv,24,1199.7833333333333,-0.245,i1,5.7849729e-6,5.7849729e-6,gc,1199.6166666666666,-0.399,i2,-9.7206581e-9,9.7206581e-9,transfer
swv,25,1202.2833333333333,-0.236,i1,5.7881061e-6,5.7881061e-6,gc,1202.1166666666666,-0.399,i2,-8.5711678e-9,8.5711678e-9,transfer
swv,26,1204.8,-0.228,i1,5.7853858e-6,5.7853858e-6,gc,1204.6166666666666,-0.399,i2,-6.7051422e-9,6.7051422e-9,transfer
swv,27,1207.3,-0.242,i1,5.7937132e-6,5.7937132e-6,gc,1207.1166666666666,-0.399,i2,-5.9270988e-9,5.9270988e-9,transfer
swv,28,1209.8,-0.237,i1,5.7923935e-6,5.7923935e-6,gc,1209.6166666666666,-0.398,i2,-5.0468079e-9,5.0468079e-9,transfer
swv,2,1144.7833333333333,-0.275,i1,1.2371234e-5,1.2371234e-5,gc,1144.6,-0.399,i2,-9.9567876e-7,9.9567876e-7,transfer
swv,29,1212.3,-0.228,i1,5.7897551e-6,5.7897551e-6,gc,1212.1166666666666,-0.22,i2,1.5581723e-8,1.5581723e-8,transfer
swv,30,1214.8,-0.232,i1,5.8012993e-6,5.8012993e-6,gc,1214.6166666666666,-0.397,i2,-4.415746e-9,4.415746e-9,transfer
swv,31,1217.3,-0.24,i1,5.8355172e-6,5.8355172e-6,gc,1217.1166666666666,-0.399,i2,-4.0171382e-9,4.0171382e-9,transfer
swv,32,1219.8,-0.235,i1,5.8289206e-6,5.8289206e-6,gc,1219.6166666666666,-0.399,i2,-3.5761942e-9,3.5761942e-9,transfer
swv,33,1222.3,-0.23,i1,5.8421956e-6,5.8421956e-6,gc,1222.1166666666666,-0.163,i2,3.5755727e-9,3.5755727e-9,transfer
swv,34,1224.8,-0.229,i1,5.8436804e-6,5.8436804e-6,gc,1224.6166666666666,-0.153,i2,3.4900998e-9,3.4900998e-9,transfer
swv,35,1227.3,-0.233,i1,5.8880405e-6,5.8880405e-6,gc,1227.1166666666666,-0.151,i2,3.4525556e-9,3.4525556e-9,transfer
swv,36,1229.8,-0.241,i1,5.8708902e-6,5.8708902e-6,gc,1229.6166666666666,-0.398,i2,-7.9257276e-9,7.9257276e-9,transfer
swv,37,1232.3,-0.238,i1,5.9110453e-6,5.9110453e-6,gc,1232.1333333333334,-0.155,i2,3.3862542e-9,3.3862542e-9,transfer
swv,38,1234.8,-0.237,i1,5.9271233e-6,5.9271233e-6,gc,1234.6333333333334,-0.163,i2,3.4613425e-9,3.4613425e-9,transfer
swv,3,1147.2833333333333,-0.272,i1,1.0919384e-5,1.0919384e-5,gc,1147.1,-0.399,i2,-7.4289062e-7,7.4289062e-7,transfer
swv,39,1237.3,-0.237,i1,5.8995015e-6,5.8995015e-6,gc,1237.1333333333334,-0.158,i2,3.3942422e-9,3.3942422e-9,transfer
swv,40,1239.8,-0.238,i1,5.8975229e-6,5.8975229e-6,gc,1239.6333333333334,-0.152,i2,3.4893011e-9,3.4893011e-9,transfer
swv,41,1242.3,-0.244,i1,5.9273711e-6,5.9273711e-6,gc,1242.1333333333334,-0.159,i2,3.5691821e-9,3.5691821e-9,transfer
swv,42,1244.8,-0.241,i1,5.9416357e-6,5.9416357e-6,gc,1244.6333333333334,-0.198,i2,3.6067265e-9,3.6067265e-9,transfer
swv,43,1247.3,-0.237,i1,5.9156628e-6,5.9156628e-6,gc,1247.1333333333334,-0.169,i2,3.8719321e-9,3.8719321e-9,transfer
swv,44,1249.8,-0.24,i1,5.9121166e-6,5.9121166e-6,gc,1249.6333333333334,-0.176,i2,3.5811645e-9,3.5811645e-9,transfer
swv,45,1252.3,-0.24,i1,5.9262993e-6,5.9262993e-6,gc,1252.1333333333334,-0.155,i2,3.4781176e-9,3.4781176e-9,transfer
swv,46,1254.8,-0.238,i1,5.9261347e-6,5.9261347e-6,gc,1254.6333333333334,-0.154,i2,3.5052772e-9,3.5052772e-9,transfer
swv,4,1149.7833333333333,-0.272,i1,9.8081509e-6,9.8081509e-6,gc,1149.6,-0.399,i2,-5.5559946e-7,5.5559946e-7,transfer
swv,5,1152.2833333333333,-0.265,i1,8.8896131e-6,8.8896131e-6,gc,1152.1,-0.399,i2,-4.1706065e-7,4.1706065e-7,transfer
swv,6,1154.7833333333333,-0.271,i1,8.2214892e-6,8.2214892e-6,gc,1154.6,-0.399,i2,-3.175989e-7,3.175989e-7,transfer
swv,7,1157.2833333333333,-0.262,i1,7.701864e-6,7.701864e-6,gc,1157.1,-0.399,i2,-2.4525846e-7,2.4525846e-7,transfer
swv,8,1159.7833333333333,-0.268,i1,7.3115261e-6,7.3115261e-6,gc,1159.6166666666666,-0.399,i2,-1.9117647e-7,1.9117647e-7,transfer
swv,0,1139.7833333333333,-0.277,i2,1.1629973e-5,1.1629973e-5,NA,NA,NA,NA,NA,NA,transfer
swv,9,1162.2833333333333,-0.271,i2,4.8170459e-6,4.8170459e-6,gc,1162.1166666666666,-0.399,i2,-1.5130534e-7,1.5130534e-7,transfer
swv,10,1164.7833333333333,-0.265,i2,4.7074645e-6,4.7074645e-6,gc,1164.6166666666666,-0.399,i2,-1.196548e-7,1.196548e-7,transfer
swv,11,1167.2833333333333,-0.273,i2,4.5640763e-6,4.5640763e-6,gc,1167.1166666666666,-0.399,i2,-9.7004481e-8,9.7004481e-8,transfer
swv,12,1169.7833333333333,-0.263,i2,4.4392409e-6,4.4392409e-6,gc,1169.6166666666666,-0.399,i2,-7.8282724e-8,7.8282724e-8,transfer
swv,13,1172.2833333333333,-0.271,i2,4.3928194e-6,4.3928194e-6,gc,1172.1166666666666,-0.399,i2,-6.4420931e-8,6.4420931e-8,transfer
swv,14,1174.7833333333333,-0.266,i2,4.3205073e-6,4.3205073e-6,gc,1174.6166666666666,-0.399,i2,-5.3476406e-8,5.3476406e-8,transfer
swv,15,1177.2833333333333,-0.271,i2,4.2397851e-6,4.2397851e-6,gc,1177.1166666666666,-0.399,i2,-4.4274088e-8,4.4274088e-8,transfer
swv,16,1179.7833333333333,-0.267,i2,4.2412689e-6,4.2412689e-6,gc,1179.6166666666666,-0.399,i2,-3.6842735e-8,3.6842735e-8,transfer
swv,17,1182.2833333333333,-0.262,i2,4.1986405e-6,4.1986405e-6,gc,1182.1166666666666,-0.399,i2,-3.0339603e-8,3.0339603e-8,transfer
swv,18,1184.7833333333333,-0.259,i2,4.1563417e-6,4.1563417e-6,gc,1184.6166666666666,-0.399,i2,-2.5199245e-8,2.5199245e-8,transfer
swv,1,1142.2833333333333,-0.275,i2,1.0342783e-5,1.0342783e-5,gc,1142.1,-0.399,i2,-1.3270356e-6,1.3270356e-6,transfer
