echem,rep,minutes,E,electrode,current,max_current,reactor
swv,1,1139.7833333333333,-0.274,i1,1.4802556e-5,1.4802556e-5,transfer
swv,10,1162.2833333333333,-0.264,i1,7.0311826e-6,7.0311826e-6,transfer
swv,11,1164.7833333333333,-0.26,i1,6.7406972e-6,6.7406972e-6,transfer
swv,12,1167.2833333333333,-0.257,i1,6.5493214e-6,6.5493214e-6,transfer
swv,13,1169.7833333333333,-0.251,i1,6.3995026e-6,6.3995026e-6,transfer
swv,14,1172.2833333333333,-0.254,i1,6.2459731e-6,6.2459731e-6,transfer
swv,15,1174.7833333333333,-0.252,i1,6.1821538e-6,6.1821538e-6,transfer
swv,16,1177.2833333333333,-0.254,i1,6.0741395e-6,6.0741395e-6,transfer
swv,17,1179.7833333333333,-0.24,i1,5.988717e-6,5.988717e-6,transfer
swv,18,1182.2833333333333,-0.238,i1,5.964228e-6,5.964228e-6,transfer
swv,19,1184.7833333333333,-0.242,i1,5.9010686e-6,5.9010686e-6,transfer
swv,2,1142.2833333333333,-0.275,i1,1.3894489e-5,1.3894489e-5,transfer
swv,20,1187.2833333333333,-0.236,i1,5.8783107e-6,5.8783107e-6,transfer
swv,21,1189.7833333333333,-0.231,i1,5.8191918e-6,5.8191918e-6,transfer
swv,22,1192.2833333333333,-0.243,i1,5.8020414e-6,5.8020414e-6,transfer
swv,23,1194.7833333333333,-0.232,i1,5.7961042e-6,5.7961042e-6,transfer
swv,24,1197.2833333333333,-0.241,i1,5.7914872e-6,5.7914872e-6,transfer
swv,25,1199.7833333333333,-0.245,i1,5.7849729e-6,5.7849729e-6,transfer
swv,26,1202.2833333333333,-0.236,i1,5.7881061e-6,5.7881061e-6,transfer
swv,27,1204.8,-0.228,i1,5.7853858e-6,5.7853858e-6,transfer
swv,28,1207.3,-0.242,i1,5.7937132e-6,5.7937132e-6,transfer
swv,29,1209.8,-0.237,i1,5.7923935e-6,5.7923935e-6,transfer
swv,3,1144.7833333333333,-0.275,i1,1.2371234e-5,1.2371234e-5,transfer
swv,30,1212.3,-0.228,i1,5.7897551e-6,5.7897551e-6,transfer
swv,31,1214.8,-0.232,i1,5.8012993e-6,5.8012993e-6,transfer
swv,32,1217.3,-0.24,i1,5.8355172e-6,5.8355172e-6,transfer
swv,33,1219.8,-0.235,i1,5.8289206e-6,5.8289206e-6,transfer
swv,34,1222.3,-0.23,i1,5.8421956e-6,5.8421956e-6,transfer
swv,35,1224.8,-0.229,i1,5.8436804e-6,5.8436804e-6,transfer
swv,36,1227.3,-0.233,i1,5.8880405e-6,5.8880405e-6,transfer
swv,37,1229.8,-0.241,i1,5.8708902e-6,5.8708902e-6,transfer
swv,38,1232.3,-0.238,i1,5.9110453e-6,5.9110453e-6,transfer
swv,39,1234.8,-0.237,i1,5.9271233e-6,5.9271233e-6,transfer
swv,4,1147.2833333333333,-0.272,i1,1.0919384e-5,1.0919384e-5,transfer
swv,40,1237.3,-0.237,i1,5.8995015e-6,5.8995015e-6,transfer
swv,41,1239.8,-0.238,i1,5.8975229e-6,5.8975229e-6,transfer
swv,42,1242.3,-0.244,i1,5.9273711e-6,5.9273711e-6,transfer
swv,43,1244.8,-0.241,i1,5.9416357e-6,5.9416357e-6,transfer
swv,44,1247.3,-0.237,i1,5.9156628e-6,5.9156628e-6,transfer
swv,45,1249.8,-0.24,i1,5.9121166e-6,5.9121166e-6,transfer
swv,46,1252.3,-0.24,i1,5.9262993e-6,5.9262993e-6,transfer
swv,47,1254.8,-0.238,i1,5.9261347e-6,5.9261347e-6,transfer
swv,5,1149.7833333333333,-0.272,i1,9.8081509e-6,9.8081509e-6,transfer
swv,6,1152.2833333333333,-0.265,i1,8.8896131e-6,8.8896131e-6,transfer
swv,7,1154.7833333333333,-0.271,i1,8.2214892e-6,8.2214892e-6,transfer
swv,8,1157.2833333333333,-0.262,i1,7.701864e-6,7.701864e-6,transfer
swv,9,1159.7833333333333,-0.268,i1,7.3115261e-6,7.3115261e-6,transfer
swv,1,1139.7833333333333,-0.277,i2,1.1629973e-5,1.1629973e-5,transfer
swv,10,1162.2833333333333,-0.271,i2,4.8170459e-6,4.8170459e-6,transfer
swv,11,1164.7833333333333,-0.265,i2,4.7074645e-6,4.7074645e-6,transfer
swv,12,1167.2833333333333,-0.273,i2,4.5640763e-6,4.5640763e-6,transfer
swv,13,1169.7833333333333,-0.263,i2,4.4392409e-6,4.4392409e-6,transfer
swv,14,1172.2833333333333,-0.271,i2,4.3928194e-6,4.3928194e-6,transfer
swv,15,1174.7833333333333,-0.266,i2,4.3205073e-6,4.3205073e-6,transfer
swv,16,1177.2833333333333,-0.271,i2,4.2397851e-6,4.2397851e-6,transfer
swv,17,1179.7833333333333,-0.267,i2,4.2412689e-6,4.2412689e-6,transfer
swv,18,1182.2833333333333,-0.262,i2,4.1986405e-6,4.1986405e-6,transfer
swv,19,1184.7833333333333,-0.259,i2,4.1563417e-6,4.1563417e-6,transfer
swv,2,1142.2833333333333,-0.275,i2,1.0342783e-5,1.0342783e-5,transfer
swv,20,1187.2833333333333,-0.248,i2,4.1335843e-6,4.1335843e-6,transfer
swv,21,1189.7833333333333,-0.26,i2,4.041236e-6,4.041236e-6,transfer
swv,22,1192.2833333333333,-0.26,i2,4.041071e-6,4.041071e-6,transfer
swv,23,1194.7833333333333,-0.249,i2,4.009491e-6,4.009491e-6,transfer
