echem,rep,minutes,E,electrode,current,max_current,reactor
gc,1,1089.3666666666666,-0.399,i1,9.8094472e-7,9.8094472e-7,transfer_2
gc,10,1111.8666666666666,-0.399,i1,1.734756e-7,1.734756e-7,transfer_2
gc,11,1114.3666666666666,-0.399,i1,1.5328561e-7,1.5328561e-7,transfer_2
gc,12,1116.8666666666666,-0.399,i1,1.3569417e-7,1.3569417e-7,transfer_2
gc,13,1119.3666666666666,-0.399,i1,1.1989286e-7,1.1989286e-7,transfer_2
gc,14,1121.8666666666666,-0.399,i1,1.0850739e-7,1.0850739e-7,transfer_2
gc,15,1124.3666666666666,-0.399,i1,9.8387225e-8,9.8387225e-8,transfer_2
gc,16,1126.8666666666666,-0.399,i1,8.9106628e-8,8.9106628e-8,transfer_2
gc,17,1129.3666666666666,-0.399,i1,8.0306911e-8,8.0306911e-8,transfer_2
gc,18,1131.8666666666666,-0.399,i1,7.3849314e-8,7.3849314e-8,transfer_2
gc,19,1134.3666666666666,-0.399,i1,6.8059528e-8,6.8059528e-8,transfer_2
gc,2,1091.8666666666666,-0.399,i1,7.2901281e-7,7.2901281e-7,transfer_2
gc,20,1136.8666666666666,-0.399,i1,6.2257747e-8,6.2257747e-8,transfer_2
gc,21,1139.3666666666666,-0.399,i1,5.7129373e-8,5.7129373e-8,transfer_2
gc,22,1141.8666666666666,-0.399,i1,5.2486673e-8,5.2486673e-8,transfer_2
gc,23,1144.3666666666666,-0.399,i1,4.9224326e-8,4.9224326e-8,transfer_2
gc,24,1146.8666666666666,-0.399,i1,4.546192e-8,4.546192e-8,transfer_2
gc,25,1149.3666666666666,-0.399,i1,4.1976698e-8,4.1976698e-8,transfer_2
gc,26,1151.8666666666666,-0.399,i1,3.9664137e-8,3.9664137e-8,transfer_2
gc,27,1154.3666666666666,-0.399,i1,3.7061611e-8,3.7061611e-8,transfer_2
gc,28,1156.8666666666666,-0.398,i1,3.4931976e-8,3.4931976e-8,transfer_2
gc,29,1159.3666666666666,-0.399,i1,3.246684e-8,3.246684e-8,transfer_2
gc,3,1094.3666666666666,-0.399,i1,5.7473505e-7,5.7473505e-7,transfer_2
gc,30,1161.8666666666666,-0.399,i1,3.0653535e-8,3.0653535e-8,transfer_2
gc,31,1164.3666666666666,-0.398,i1,2.9821972e-8,2.9821972e-8,transfer_2
gc,32,1166.8666666666666,-0.399,i1,2.7770621e-8,2.7770621e-8,transfer_2
gc,33,1169.3666666666666,-0.399,i1,2.6169001e-8,2.6169001e-8,transfer_2
gc,34,1171.8666666666666,-0.399,i1,2.5300695e-8,2.5300695e-8,transfer_2
gc,35,1174.3666666666666,-0.399,i1,2.4287798e-8,2.4287798e-8,transfer_2
gc,36,1176.8666666666666,-0.399,i1,2.2621478e-8,2.2621478e-8,transfer_2
gc,37,1179.3666666666666,-0.399,i1,2.1397698e-8,2.1397698e-8,transfer_2
gc,38,1181.8666666666666,-0.399,i1,2.0767434e-8,2.0767434e-8,transfer_2
gc,39,1184.3666666666666,-0.398,i1,1.996942e-8,1.996942e-8,transfer_2
