echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,0,1087.0333333333333,-0.279,i1,1.0987326e-5,1.0987326e-5,NA,NA,NA,NA,NA,NA,transfer_2
swv,9,1109.55,-0.278,i1,6.7717829e-6,6.7717829e-6,gc,1109.3666666666666,-0.399,i2,-1.6215802e-7,1.6215802e-7,transfer_2
swv,10,1112.05,-0.286,i1,6.5241729e-6,6.5241729e-6,gc,1111.8666666666666,-0.399,i2,-1.4144803e-7,1.4144803e-7,transfer_2
swv,11,1114.55,-0.283,i1,6.2505087e-6,6.2505087e-6,gc,1114.3666666666666,-0.399,i2,-1.2364009e-7,1.2364009e-7,transfer_2
swv,12,1117.05,-0.28,i1,6.0292841e-6,6.0292841e-6,gc,1116.8666666666666,-0.399,i2,-1.0858247e-7,1.0858247e-7,transfer_2
swv,13,1119.55,-0.278,i1,5.8036899e-6,5.8036899e-6,gc,1119.3666666666666,-0.399,i2,-9.4569707e-8,9.4569707e-8,transfer_2
swv,14,1122.05,-0.284,i1,5.6335875e-6,5.6335875e-6,gc,1121.8666666666666,-0.399,i2,-8.396627e-8,8.396627e-8,transfer_2
swv,15,1124.55,-0.278,i1,5.5023211e-6,5.5023211e-6,gc,1124.3666666666666,-0.399,i2,-7.4903745e-8,7.4903745e-8,transfer_2
swv,16,1127.05,-0.28,i1,5.3253743e-6,5.3253743e-6,gc,1126.8666666666666,-0.383,i2,-6.905244e-8,6.905244e-8,transfer_2
swv,17,1129.55,-0.286,i1,5.2373139e-6,5.2373139e-6,gc,1129.3666666666666,-0.399,i2,-5.9534596e-8,5.9534596e-8,transfer_2
swv,18,1132.05,-0.28,i1,5.1307829e-6,5.1307829e-6,gc,1131.8666666666666,-0.399,i2,-5.3682495e-8,5.3682495e-8,transfer_2
swv,1,1089.5333333333333,-0.279,i1,1.0841052e-5,1.0841052e-5,gc,1089.3666666666666,-0.398,i2,-6.3368736e-7,6.3368736e-7,transfer_2
swv,19,1134.55,-0.282,i1,4.9881378e-6,4.9881378e-6,gc,1134.3666666666666,-0.399,i2,-4.8461459e-8,4.8461459e-8,transfer_2
swv,20,1137.05,-0.282,i1,4.9185464e-6,4.9185464e-6,gc,1136.8666666666666,-0.399,i2,-4.3725301e-8,4.3725301e-8,transfer_2
swv,21,1139.55,-0.279,i1,4.8272695e-6,4.8272695e-6,gc,1139.3666666666666,-0.399,i2,-3.8926835e-8,3.8926835e-8,transfer_2
swv,22,1142.05,-0.281,i1,4.7687272e-6,4.7687272e-6,gc,1141.8666666666666,-0.399,i2,-3.4704314e-8,3.4704314e-8,transfer_2
swv,23,1144.55,-0.283,i1,4.6758014e-6,4.6758014e-6,gc,1144.3666666666666,-0.399,i2,-3.1693592e-8,3.1693592e-8,transfer_2
swv,24,1147.05,-0.278,i1,4.605221e-6,4.605221e-6,gc,1146.8666666666666,-0.399,i2,-2.9289163e-8,2.9289163e-8,transfer_2
swv,25,1149.55,-0.283,i1,4.5559136e-6,4.5559136e-6,gc,1149.3666666666666,-0.399,i2,-2.551957e-8,2.551957e-8,transfer_2
swv,26,1152.05,-0.277,i1,4.4895382e-6,4.4895382e-6,gc,1151.8666666666666,-0.399,i2,-2.3902771e-8,2.3902771e-8,transfer_2
swv,27,1154.55,-0.285,i1,4.4252242e-6,4.4252242e-6,gc,1154.3666666666666,-0.393,i2,-2.3992241e-8,2.3992241e-8,transfer_2
swv,28,1157.05,-0.279,i1,4.3766586e-6,4.3766586e-6,gc,1156.8666666666666,-0.399,i2,-1.9373505e-8,1.9373505e-8,transfer_2
swv,2,1092.0333333333333,-0.28,i1,1.021836e-5,1.021836e-5,gc,1091.8666666666666,-0.399,i2,-5.3750313e-7,5.3750313e-7,transfer_2
swv,29,1159.55,-0.284,i1,4.3531591e-6,4.3531591e-6,gc,1159.3666666666666,-0.399,i2,-1.7338133e-8,1.7338133e-8,transfer_2
swv,30,1162.05,-0.277,i1,4.3086343e-6,4.3086343e-6,gc,1161.8666666666666,-0.399,i2,-1.5227672e-8,1.5227672e-8,transfer_2
swv,31,1164.55,-0.278,i1,4.2599863e-6,4.2599863e-6,gc,1164.3666666666666,-0.399,i2,-1.4342587e-8,1.4342587e-8,transfer_2
swv,32,1167.05,-0.274,i1,4.2290658e-6,4.2290658e-6,gc,1166.8666666666666,-0.393,i2,-1.3655608e-8,1.3655608e-8,transfer_2
swv,33,1169.55,-0.272,i1,4.2021034e-6,4.2021034e-6,gc,1169.3666666666666,-0.399,i2,-1.1445294e-8,1.1445294e-8,transfer_2
swv,34,1172.05,-0.282,i1,4.1790991e-6,4.1790991e-6,gc,1171.8666666666666,-0.399,i2,-1.0362903e-8,1.0362903e-8,transfer_2
swv,35,1174.55,-0.28,i1,4.1165163e-6,4.1165163e-6,gc,1174.3666666666666,-0.39,i2,-9.6990913e-9,9.6990913e-9,transfer_2
swv,36,1177.05,-0.275,i1,4.1133831e-6,4.1133831e-6,gc,1176.8666666666666,-0.399,i2,-9.227791e-9,9.227791e-9,transfer_2
swv,37,1179.55,-0.28,i1,4.0883992e-6,4.0883992e-6,gc,1179.3666666666666,-0.399,i2,-8.0894837e-9,8.0894837e-9,transfer_2
swv,38,1182.05,-0.282,i1,4.0710838e-6,4.0710838e-6,gc,1181.8666666666666,-0.399,i2,-6.8657031e-9,6.8657031e-9,transfer_2
swv,3,1094.5333333333333,-0.277,i1,9.587422e-6,9.587422e-6,gc,1094.3666666666666,-0.399,i2,-4.4659271e-7,4.4659271e-7,transfer_2
swv,39,1184.55,-0.28,i1,4.0207051e-6,4.0207051e-6,gc,1184.3666666666666,-0.326,i2,-1.4340989e-7,1.4340989e-7,transfer_2
swv,40,1187.05,-0.276,i1,4.0132836e-6,4.0132836e-6,gc,1186.8666666666666,-0.398,i2,-5.5692309e-9,5.5692309e-9,transfer_2
swv,41,1189.55,-0.279,i1,4.0012455e-6,4.0012455e-6,gc,1189.3666666666666,-0.399,i2,-4.8303295e-9,4.8303295e-9,transfer_2
swv,42,1192.05,-0.275,i1,3.9772513e-6,3.9772513e-6,gc,1191.8666666666666,-0.398,i2,-4.551544e-9,4.551544e-9,transfer_2
swv,43,1194.55,-0.273,i1,3.9481451e-6,3.9481451e-6,gc,1194.3666666666666,-0.383,i2,-4.6306265e-9,4.6306265e-9,transfer_2
swv,44,1197.05,-0.281,i1,3.9332208e-6,3.9332208e-6,gc,1196.8666666666666,-0.399,i2,-4.245599e-9,4.245599e-9,transfer_2
swv,45,1199.55,-0.276,i1,3.9113706e-6,3.9113706e-6,gc,1199.3833333333334,-0.399,i2,-3.9116954e-9,3.9116954e-9,transfer_2
swv,46,1202.05,-0.274,i1,3.9211e-6,3.9211e-6,gc,1201.8833333333334,-0.207,i2,3.5851584e-9,3.5851584e-9,transfer_2
