echem,rep,minutes,E,electrode,current,max_current,reactor
swv,1,1087.0333333333333,-0.279,i1,1.0987326e-5,1.0987326e-5,transfer_2
swv,10,1109.55,-0.278,i1,6.7717829e-6,6.7717829e-6,transfer_2
swv,11,1112.05,-0.286,i1,6.5241729e-6,6.5241729e-6,transfer_2
swv,12,1114.55,-0.283,i1,6.2505087e-6,6.2505087e-6,transfer_2
swv,13,1117.05,-0.28,i1,6.0292841e-6,6.0292841e-6,transfer_2
swv,14,1119.55,-0.278,i1,5.8036899e-6,5.8036899e-6,transfer_2
swv,15,1122.05,-0.284,i1,5.6335875e-6,5.6335875e-6,transfer_2
swv,16,1124.55,-0.278,i1,5.5023211e-6,5.5023211e-6,transfer_2
swv,17,1127.05,-0.28,i1,5.3253743e-6,5.3253743e-6,transfer_2
swv,18,1129.55,-0.286,i1,5.2373139e-6,5.2373139e-6,transfer_2
swv,19,1132.05,-0.28,i1,5.1307829e-6,5.1307829e-6,transfer_2
swv,2,1089.5333333333333,-0.279,i1,1.0841052e-5,1.0841052e-5,transfer_2
swv,20,1134.55,-0.282,i1,4.9881378e-6,4.9881378e-6,transfer_2
swv,21,1137.05,-0.282,i1,4.9185464e-6,4.9185464e-6,transfer_2
swv,22,1139.55,-0.279,i1,4.8272695e-6,4.8272695e-6,transfer_2
swv,23,1142.05,-0.281,i1,4.7687272e-6,4.7687272e-6,transfer_2
swv,24,1144.55,-0.283,i1,4.6758014e-6,4.6758014e-6,transfer_2
swv,25,1147.05,-0.278,i1,4.605221e-6,4.605221e-6,transfer_2
swv,26,1149.55,-0.283,i1,4.5559136e-6,4.5559136e-6,transfer_2
swv,27,1152.05,-0.277,i1,4.4895382e-6,4.4895382e-6,transfer_2
swv,28,1154.55,-0.285,i1,4.4252242e-6,4.4252242e-6,transfer_2
swv,29,1157.05,-0.279,i1,4.3766586e-6,4.3766586e-6,transfer_2
swv,3,1092.0333333333333,-0.28,i1,1.021836e-5,1.021836e-5,transfer_2
