reactor,echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,min_time_swv,norm_time_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,min_time_gc,norm_time_gc,max_current_gc
tran1,swv,0,1334.5833333333333,-0.267,i1,7.1546992e-6,1334.5833333333333,0,7.1546992e-6,NA,NA,NA,NA,NA,NA,NA,NA
tran1,swv,9,1357.0833333333333,-0.264,i1,6.9017296e-6,1334.5833333333333,22.5,6.9017296e-6,gc,1356.9166666666667,-0.399,i1,2.9310732e-7,1336.9,20.01666666666665,2.9310732e-7
tran1,swv,9,1357.0833333333333,-0.264,i1,6.9017296e-6,1334.5833333333333,22.5,6.9017296e-6,gc,1356.9166666666667,-0.399,i2,-2.5420036e-7,1336.9,20.01666666666665,2.5420036e-7
tran1,swv,99,1583.15,-0.265,i1,4.4100525e-6,1334.5833333333333,248.56666666666683,4.4100525e-6,gc,1582.9833333333333,-0.399,i1,2.629921e-8,1336.9,246.08333333333326,2.629921e-8
tran1,swv,99,1583.15,-0.265,i1,4.4100525e-6,1334.5833333333333,248.56666666666683,4.4100525e-6,gc,1582.9833333333333,-0.397,i2,-1.5673407e-8,1336.9,246.08333333333326,1.5673407e-8
tran1,swv,10,1359.5833333333333,-0.264,i1,6.8542367e-6,1334.5833333333333,25,6.8542367e-6,gc,1359.4166666666667,-0.399,i1,2.8607937e-7,1336.9,22.51666666666665,2.8607937e-7
tran1,swv,10,1359.5833333333333,-0.264,i1,6.8542367e-6,1334.5833333333333,25,6.8542367e-6,gc,1359.4166666666667,-0.399,i2,-2.4896494e-7,1336.9,22.51666666666665,2.4896494e-7
tran1,swv,11,1362.0833333333333,-0.266,i1,6.850114e-6,1334.5833333333333,27.5,6.850114e-6,gc,1361.9166666666667,-0.399,i1,2.7706875e-7,1336.9,25.01666666666665,2.7706875e-7
tran1,swv,11,1362.0833333333333,-0.266,i1,6.850114e-6,1334.5833333333333,27.5,6.850114e-6,gc,1361.9166666666667,-0.399,i2,-2.426687e-7,1336.9,25.01666666666665,2.426687e-7
tran1,swv,12,1364.5833333333333,-0.267,i1,6.7602386e-6,1334.5833333333333,30,6.7602386e-6,gc,1364.4166666666667,-0.399,i1,2.7078212e-7,1336.9,27.51666666666665,2.7078212e-7
tran1,swv,12,1364.5833333333333,-0.267,i1,6.7602386e-6,1334.5833333333333,30,6.7602386e-6,gc,1364.4166666666667,-0.399,i2,-2.36811e-7,1336.9,27.51666666666665,2.36811e-7
tran1,swv,13,1367.0833333333333,-0.265,i1,6.737976e-6,1334.5833333333333,32.5,6.737976e-6,gc,1366.9166666666667,-0.399,i1,2.6342425e-7,1336.9,30.01666666666665,2.6342425e-7
tran1,swv,13,1367.0833333333333,-0.265,i1,6.737976e-6,1334.5833333333333,32.5,6.737976e-6,gc,1366.9166666666667,-0.399,i2,-2.3085428e-7,1336.9,30.01666666666665,2.3085428e-7
tran1,swv,14,1369.5833333333333,-0.268,i1,6.6894108e-6,1334.5833333333333,35,6.6894108e-6,gc,1369.4166666666667,-0.399,i1,2.5621659e-7,1336.9,32.51666666666665,2.5621659e-7
tran1,swv,14,1369.5833333333333,-0.268,i1,6.6894108e-6,1334.5833333333333,35,6.6894108e-6,gc,1369.4166666666667,-0.399,i2,-2.2527537e-7,1336.9,32.51666666666665,2.2527537e-7
tran1,swv,15,1372.0833333333333,-0.27,i1,6.6555222e-6,1334.5833333333333,37.5,6.6555222e-6,gc,1371.9166666666667,-0.399,i1,2.4934599e-7,1336.9,35.01666666666665,2.4934599e-7
tran1,swv,15,1372.0833333333333,-0.27,i1,6.6555222e-6,1334.5833333333333,37.5,6.6555222e-6,gc,1371.9166666666667,-0.399,i2,-2.1857333e-7,1336.9,35.01666666666665,2.1857333e-7
tran1,swv,16,1374.5833333333333,-0.266,i1,6.6079465e-6,1334.5833333333333,40,6.6079465e-6,gc,1374.4166666666667,-0.399,i1,2.417253e-7,1336.9,37.51666666666665,2.417253e-7
tran1,swv,16,1374.5833333333333,-0.266,i1,6.6079465e-6,1334.5833333333333,40,6.6079465e-6,gc,1374.4166666666667,-0.399,i2,-2.1205422e-7,1336.9,37.51666666666665,2.1205422e-7
tran1,swv,17,1377.0833333333333,-0.266,i1,6.5631739e-6,1334.5833333333333,42.5,6.5631739e-6,gc,1376.9166666666667,-0.399,i1,2.3560322e-7,1336.9,40.01666666666665,2.3560322e-7
tran1,swv,17,1377.0833333333333,-0.266,i1,6.5631739e-6,1334.5833333333333,42.5,6.5631739e-6,gc,1376.9166666666667,-0.399,i2,-2.0646733e-7,1336.9,40.01666666666665,2.0646733e-7
tran1,swv,18,1379.5833333333333,-0.267,i1,6.5109807e-6,1334.5833333333333,45,6.5109807e-6,gc,1379.4166666666667,-0.399,i1,2.2793223e-7,1336.9,42.51666666666665,2.2793223e-7
tran1,swv,18,1379.5833333333333,-0.267,i1,6.5109807e-6,1334.5833333333333,45,6.5109807e-6,gc,1379.4166666666667,-0.399,i2,-2.0041954e-7,1336.9,42.51666666666665,2.0041954e-7
tran1,swv,1,1337.0833333333333,-0.267,i1,7.1591512e-6,1334.5833333333333,2.5,7.1591512e-6,gc,1336.9,-0.399,i1,3.2926076e-7,1336.9,0,3.2926076e-7
tran1,swv,1,1337.0833333333333,-0.267,i1,7.1591512e-6,1334.5833333333333,2.5,7.1591512e-6,gc,1336.9,-0.399,i2,-2.7096584e-7,1336.9,0,2.7096584e-7
tran1,swv,19,1382.0833333333333,-0.264,i1,6.4500473e-6,1334.5833333333333,47.5,6.4500473e-6,gc,1381.9166666666667,-0.399,i1,2.2188443e-7,1336.9,45.01666666666665,2.2188443e-7
tran1,swv,19,1382.0833333333333,-0.264,i1,6.4500473e-6,1334.5833333333333,47.5,6.4500473e-6,gc,1381.9166666666667,-0.399,i2,-1.943861e-7,1336.9,45.01666666666665,1.943861e-7
tran1,swv,20,1384.5833333333333,-0.268,i1,6.4048622e-6,1334.5833333333333,50,6.4048622e-6,gc,1384.4166666666667,-0.399,i1,2.1555782e-7,1336.9,47.51666666666665,2.1555782e-7
tran1,swv,20,1384.5833333333333,-0.268,i1,6.4048622e-6,1334.5833333333333,50,6.4048622e-6,gc,1384.4166666666667,-0.399,i2,-1.8833749e-7,1336.9,47.51666666666665,1.8833749e-7
tran1,swv,21,1387.0833333333333,-0.267,i1,6.3519265e-6,1334.5833333333333,52.5,6.3519265e-6,gc,1386.9166666666667,-0.399,i1,2.0849873e-7,1336.9,50.01666666666665,2.0849873e-7
tran1,swv,21,1387.0833333333333,-0.267,i1,6.3519265e-6,1334.5833333333333,52.5,6.3519265e-6,gc,1386.9166666666667,-0.399,i2,-1.8278975e-7,1336.9,50.01666666666665,1.8278975e-7
tran1,swv,22,1389.5833333333333,-0.269,i1,6.3118541e-6,1334.5833333333333,55,6.3118541e-6,gc,1389.4166666666667,-0.399,i1,2.0272809e-7,1336.9,52.51666666666665,2.0272809e-7
tran1,swv,22,1389.5833333333333,-0.269,i1,6.3118541e-6,1334.5833333333333,55,6.3118541e-6,gc,1389.4166666666667,-0.399,i2,-1.7727794e-7,1336.9,52.51666666666665,1.7727794e-7
tran1,swv,23,1392.0833333333333,-0.269,i1,6.2747495e-6,1334.5833333333333,57.5,6.2747495e-6,gc,1391.9166666666667,-0.399,i1,1.9689277e-7,1336.9,55.01666666666665,1.9689277e-7
tran1,swv,23,1392.0833333333333,-0.269,i1,6.2747495e-6,1334.5833333333333,57.5,6.2747495e-6,gc,1391.9166666666667,-0.399,i2,-1.7199778e-7,1336.9,55.01666666666665,1.7199778e-7
tran1,swv,24,1394.5833333333333,-0.266,i1,6.268483e-6,1334.5833333333333,60,6.268483e-6,gc,1394.4166666666667,-0.399,i1,1.914984e-7,1336.9,57.51666666666665,1.914984e-7
tran1,swv,24,1394.5833333333333,-0.266,i1,6.268483e-6,1334.5833333333333,60,6.268483e-6,gc,1394.4166666666667,-0.399,i2,-1.6703716e-7,1336.9,57.51666666666665,1.6703716e-7
tran1,swv,25,1397.0833333333333,-0.265,i1,6.2020254e-6,1334.5833333333333,62.5,6.2020254e-6,gc,1396.9166666666667,-0.399,i1,1.8573017e-7,1336.9,60.01666666666665,1.8573017e-7
tran1,swv,25,1397.0833333333333,-0.265,i1,6.2020254e-6,1334.5833333333333,62.5,6.2020254e-6,gc,1396.9166666666667,-0.399,i2,-1.6200865e-7,1336.9,60.01666666666665,1.6200865e-7
tran1,swv,26,1399.5833333333333,-0.263,i1,6.1329292e-6,1334.5833333333333,65,6.1329292e-6,gc,1399.4166666666667,-0.399,i1,1.7959769e-7,1336.9,62.51666666666665,1.7959769e-7
tran1,swv,26,1399.5833333333333,-0.263,i1,6.1329292e-6,1334.5833333333333,65,6.1329292e-6,gc,1399.4166666666667,-0.399,i2,-1.5707276e-7,1336.9,62.51666666666665,1.5707276e-7
tran1,swv,27,1402.0833333333333,-0.271,i1,6.105307e-6,1334.5833333333333,67.5,6.105307e-6,gc,1401.9166666666667,-0.399,i1,1.7426721e-7,1336.9,65.01666666666665,1.7426721e-7
tran1,swv,27,1402.0833333333333,-0.271,i1,6.105307e-6,1334.5833333333333,67.5,6.105307e-6,gc,1401.9166666666667,-0.399,i2,-1.5229587e-7,1336.9,65.01666666666665,1.5229587e-7
