biofilm,reactor,reactor_num,condition,echem_from_gc,rep,minutes_from_gc,E_from_gc,electrode_from_gc,current_from_gc,min_time_from_gc,norm_time_from_gc,max_current_from_gc,electrode_from_swv,echem_from_swv,minutes_from_swv,E_from_swv,current_from_swv,pred,min_time_from_swv,norm_time_from_swv,max_current_from_swv
A,transfer,1,pbsPBS,gc,1,942.7333333333333,-0.399,i1,5.373273e-8,942.7333333333333,0,5.373273e-8,i1,swv,942.9166666666666,-0.276,3.2432459e-7,2.5982902211098383e-7,940.4166666666666,2.5,2.5982902211098383e-7
A,transfer,1,pbsPBS,gc,1,942.7333333333333,-0.399,i1,5.373273e-8,942.7333333333333,0,5.373273e-8,i2,swv,942.9166666666666,-0.314,1.5257783e-6,1.567371168007638e-6,940.4166666666666,2.5,1.567371168007638e-6
A,transfer,1,pbsPBS,gc,10,965.2333333333333,-0.399,i1,2.2277741e-8,942.7333333333333,22.5,2.2277741e-8,i1,swv,965.4166666666666,-0.267,2.5811403e-7,1.8225336381742277e-7,940.4166666666666,25,1.8225336381742277e-7
A,transfer,1,pbsPBS,gc,10,965.2333333333333,-0.399,i1,2.2277741e-8,942.7333333333333,22.5,2.2277741e-8,i2,swv,965.4166666666666,-0.307,7.8862314e-7,7.337714004325399e-7,940.4166666666666,25,7.337714004325399e-7
A,transfer,1,pbsPBS,gc,11,967.7333333333333,-0.399,i1,2.1978504e-8,942.7333333333333,25,2.1978504e-8,i1,swv,967.9166666666666,-0.277,1.4785653e-7,1.79002527638792e-7,940.4166666666666,27.5,1.79002527638792e-7
A,transfer,1,pbsPBS,gc,11,967.7333333333333,-0.399,i1,2.1978504e-8,942.7333333333333,25,2.1978504e-8,i2,swv,967.9166666666666,-0.306,6.1002771e-7,6.621233488429347e-7,940.4166666666666,27.5,6.621233488429347e-7
A,transfer,1,pbsPBS,gc,12,970.2333333333333,-0.399,i1,2.1781199e-8,942.7333333333333,27.5,2.1781199e-8,i1,swv,970.4166666666666,-0.275,1.959767e-7,1.7484609159660727e-7,940.4166666666666,30,1.7484609159660727e-7
A,transfer,1,pbsPBS,gc,12,970.2333333333333,-0.399,i1,2.1781199e-8,942.7333333333333,27.5,2.1781199e-8,i2,swv,970.4166666666666,-0.309,6.414262e-7,5.9937281800426e-7,940.4166666666666,30,5.9937281800426e-7
A,transfer,1,pbsPBS,gc,13,972.7333333333333,-0.399,i1,2.1583093e-8,942.7333333333333,30,2.1583093e-8,i1,swv,972.9166666666666,-0.266,2.3964432e-7,1.7556649967955736e-7,940.4166666666666,32.5,1.7556649967955736e-7
A,transfer,1,pbsPBS,gc,13,972.7333333333333,-0.399,i1,2.1583093e-8,942.7333333333333,30,2.1583093e-8,i2,swv,972.9166666666666,-0.307,5.070097e-7,5.464004899851809e-7,940.4166666666666,32.5,5.464004899851809e-7
A,transfer,1,pbsPBS,gc,14,975.2333333333333,-0.399,i1,2.1301274e-8,942.7333333333333,32.5,2.1301274e-8,i1,swv,975.4166666666666,-0.283,1.704984e-7,1.7317411133352578e-7,940.4166666666666,35,1.7317411133352578e-7
A,transfer,1,pbsPBS,gc,14,975.2333333333333,-0.399,i1,2.1301274e-8,942.7333333333333,32.5,2.1301274e-8,i2,swv,975.4166666666666,-0.307,4.6500762e-7,5.256479663452468e-7,940.4166666666666,35,5.256479663452468e-7
A,transfer,1,pbsPBS,gc,15,977.7333333333333,-0.399,i1,2.1164198e-8,942.7333333333333,35,2.1164198e-8,i1,swv,977.9166666666666,-0.277,1.575696e-7,1.7083194775099492e-7,940.4166666666666,37.5,1.7083194775099492e-7
A,transfer,1,pbsPBS,gc,15,977.7333333333333,-0.399,i1,2.1164198e-8,942.7333333333333,35,2.1164198e-8,i2,swv,977.9166666666666,-0.309,4.4797261e-7,4.914830771395472e-7,940.4166666666666,37.5,4.914830771395472e-7
A,transfer,1,pbsPBS,gc,16,980.2333333333333,-0.399,i1,2.1024084e-8,942.7333333333333,37.5,2.1024084e-8,i1,swv,980.4166666666666,-0.248,1.9124383e-7,1.6930517613468893e-7,940.4166666666666,40,1.6930517613468893e-7
A,transfer,1,pbsPBS,gc,16,980.2333333333333,-0.399,i1,2.1024084e-8,942.7333333333333,37.5,2.1024084e-8,i2,swv,980.4166666666666,-0.309,4.6423258e-7,4.5482931371556803e-7,940.4166666666666,40,4.5482931371556803e-7
A,transfer,1,pbsPBS,gc,17,982.7333333333333,-0.399,i1,2.0979989e-8,942.7333333333333,40,2.0979989e-8,i1,swv,982.9,-0.269,1.8334472e-7,1.7004062802397043e-7,940.4166666666666,42.48333333333335,1.7004062802397043e-7
A,transfer,1,pbsPBS,gc,17,982.7333333333333,-0.399,i1,2.0979989e-8,942.7333333333333,40,2.0979989e-8,i2,swv,982.9,-0.304,4.5155113e-7,4.4059780865828976e-7,940.4166666666666,42.48333333333335,4.4059780865828976e-7
A,transfer,1,pbsPBS,gc,18,985.2333333333333,-0.399,i1,2.0976955e-8,942.7333333333333,42.5,2.0976955e-8,i1,swv,985.4,-0.284,1.6306105e-7,1.6834496402334965e-7,940.4166666666666,44.98333333333335,1.6834496402334965e-7
A,transfer,1,pbsPBS,gc,18,985.2333333333333,-0.399,i1,2.0976955e-8,942.7333333333333,42.5,2.0976955e-8,i2,swv,985.4,-0.31,4.3766588e-7,4.1990682535798384e-7,940.4166666666666,44.98333333333335,4.1990682535798384e-7
A,transfer,1,pbsPBS,gc,19,987.7333333333333,-0.399,i1,2.0877103e-8,942.7333333333333,45,2.0877103e-8,i1,swv,987.9166666666666,-0.258,1.6357225e-7,1.6905360477961722e-7,940.4166666666666,47.5,1.6905360477961722e-7
A,transfer,1,pbsPBS,gc,19,987.7333333333333,-0.399,i1,2.0877103e-8,942.7333333333333,45,2.0877103e-8,i2,swv,987.9166666666666,-0.305,4.2602338e-7,4.0762547431838227e-7,940.4166666666666,47.5,4.0762547431838227e-7
A,transfer,1,pbsPBS,gc,2,945.2333333333333,-0.399,i1,3.8079524e-8,942.7333333333333,2.5,3.8079524e-8,i1,swv,945.4166666666666,-0.276,2.5519515e-7,2.2903269393390725e-7,940.4166666666666,5,2.2903269393390725e-7
A,transfer,1,pbsPBS,gc,2,945.2333333333333,-0.399,i1,3.8079524e-8,942.7333333333333,2.5,3.8079524e-8,i2,swv,945.4166666666666,-0.317,1.7883449e-6,1.7346982803184691e-6,940.4166666666666,5,1.7346982803184691e-6
A,transfer,1,pbsPBS,gc,20,990.2333333333333,-0.399,i1,2.0730759e-8,942.7333333333333,47.5,2.0730759e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,transfer,1,pbsPBS,gc,3,947.7333333333333,-0.399,i1,3.1876748e-8,942.7333333333333,5,3.1876748e-8,i1,swv,947.9166666666666,-0.275,2.6733238e-7,2.1713336531084933e-7,940.4166666666666,7.5,2.1713336531084933e-7
A,transfer,1,pbsPBS,gc,3,947.7333333333333,-0.399,i1,3.1876748e-8,942.7333333333333,5,3.1876748e-8,i2,swv,947.9166666666666,-0.317,1.574921e-6,1.5691003318783964e-6,940.4166666666666,7.5,1.5691003318783964e-6
A,transfer,1,pbsPBS,gc,4,950.2333333333333,-0.399,i1,2.7720048e-8,942.7333333333333,7.5,2.7720048e-8,i1,swv,950.4166666666666,-0.276,1.722794e-7,2.0522309310141926e-7,940.4166666666666,10,2.0522309310141926e-7
A,transfer,1,pbsPBS,gc,4,950.2333333333333,-0.399,i1,2.7720048e-8,942.7333333333333,7.5,2.7720048e-8,i2,swv,950.4166666666666,-0.316,1.4122063e-6,1.4391942303906357e-6,940.4166666666666,10,1.4391942303906357e-6
A,transfer,1,pbsPBS,gc,5,952.7333333333333,-0.399,i1,2.6312062e-8,942.7333333333333,10,2.6312062e-8,i1,swv,952.9166666666666,-0.285,2.8583506e-7,1.9450517221321606e-7,940.4166666666666,12.5,1.9450517221321606e-7
A,transfer,1,pbsPBS,gc,5,952.7333333333333,-0.399,i1,2.6312062e-8,942.7333333333333,10,2.6312062e-8,i2,swv,952.9166666666666,-0.314,9.7285829e-7,1.0083997271427629e-6,940.4166666666666,12.5,1.0083997271427629e-6
A,transfer,1,pbsPBS,gc,6,955.2333333333333,-0.399,i1,2.4828669e-8,942.7333333333333,12.5,2.4828669e-8,i1,swv,955.4166666666666,-0.267,2.1970696e-7,1.9144474570664434e-7,940.4166666666666,15,1.9144474570664434e-7
A,transfer,1,pbsPBS,gc,6,955.2333333333333,-0.399,i1,2.4828669e-8,942.7333333333333,12.5,2.4828669e-8,i2,swv,955.4166666666666,-0.312,9.9070144e-7,1.0106007253703204e-6,940.4166666666666,15,1.0106007253703204e-6
A,transfer,1,pbsPBS,gc,7,957.7333333333333,-0.399,i1,2.4417121e-8,942.7333333333333,15,2.4417121e-8,i1,swv,957.9166666666666,-0.276,2.1609546e-7,1.9171506663564748e-7,940.4166666666666,17.5,1.9171506663564748e-7
A,transfer,1,pbsPBS,gc,7,957.7333333333333,-0.399,i1,2.4417121e-8,942.7333333333333,15,2.4417121e-8,i2,swv,957.9166666666666,-0.31,9.9500551e-7,9.852459326205786e-7,940.4166666666666,17.5,9.852459326205786e-7
A,transfer,1,pbsPBS,gc,8,960.2333333333333,-0.399,i1,2.3074156e-8,942.7333333333333,17.5,2.3074156e-8,i1,swv,960.4166666666666,-0.276,2.795191e-7,1.8611494691341038e-7,940.4166666666666,20,1.8611494691341038e-7
A,transfer,1,pbsPBS,gc,8,960.2333333333333,-0.399,i1,2.3074156e-8,942.7333333333333,17.5,2.3074156e-8,i2,swv,960.4166666666666,-0.309,8.6514046e-7,9.039532510364278e-7,940.4166666666666,20,9.039532510364278e-7
A,transfer,1,pbsPBS,gc,9,962.7333333333333,-0.399,i1,2.2742968e-8,942.7333333333333,20,2.2742968e-8,i1,swv,962.9166666666666,-0.259,1.4104583e-7,1.8090389769287508e-7,940.4166666666666,22.5,1.8090389769287508e-7
A,transfer,1,pbsPBS,gc,9,962.7333333333333,-0.399,i1,2.2742968e-8,942.7333333333333,20,2.2742968e-8,i2,swv,962.9166666666666,-0.31,7.8001489e-7,8.070855605232759e-7,940.4166666666666,22.5,8.070855605232759e-7
A,transfer,2,pbsEtBr,gc,1,1080.1333333333334,-0.399,i1,6.2477973e-8,1080.1333333333334,0,6.2477973e-8,i1,swv,1080.3,-0.276,2.5329871e-7,2.657946784465067e-7,1077.8,2.5,2.657946784465067e-7
A,transfer,2,pbsEtBr,gc,1,1080.1333333333334,-0.399,i1,6.2477973e-8,1080.1333333333334,0,6.2477973e-8,i2,swv,1080.3,-0.296,5.0245819e-7,4.86501394239956e-7,1077.8,2.5,4.86501394239956e-7
A,transfer,2,pbsEtBr,gc,10,1102.6333333333334,-0.399,i1,2.3551207e-8,1080.1333333333334,22.5,2.3551207e-8,i1,swv,1102.8166666666666,-0.266,1.9112841e-7,1.7583442411643893e-7,1077.8,25.01666666666665,1.7583442411643893e-7
A,transfer,2,pbsEtBr,gc,10,1102.6333333333334,-0.399,i1,2.3551207e-8,1080.1333333333334,22.5,2.3551207e-8,i2,swv,1102.8166666666666,-0.308,3.3690708e-7,3.3657224694043495e-7,1077.8,25.01666666666665,3.3657224694043495e-7
A,transfer,2,pbsEtBr,gc,11,1105.1333333333334,-0.399,i1,2.3119847e-8,1080.1333333333334,25,2.3119847e-8,i1,swv,1105.3166666666666,-0.282,1.8545556e-7,1.7301922894405157e-7,1077.8,27.51666666666665,1.7301922894405157e-7
A,transfer,2,pbsEtBr,gc,11,1105.1333333333334,-0.399,i1,2.3119847e-8,1080.1333333333334,25,2.3119847e-8,i2,swv,1105.3166666666666,-0.302,3.3062406e-7,3.232891596264308e-7,1077.8,27.51666666666665,3.232891596264308e-7
A,transfer,2,pbsEtBr,gc,12,1107.6333333333334,-0.399,i1,2.2879725e-8,1080.1333333333334,27.5,2.2879725e-8,i1,swv,1107.8166666666666,-0.275,1.5349639e-7,1.7353566852748541e-7,1077.8,30.01666666666665,1.7353566852748541e-7
A,transfer,2,pbsEtBr,gc,12,1107.6333333333334,-0.399,i1,2.2879725e-8,1080.1333333333334,27.5,2.2879725e-8,i2,swv,1107.8166666666666,-0.311,2.6253355e-7,2.865287653368779e-7,1077.8,30.01666666666665,2.865287653368779e-7
A,transfer,2,pbsEtBr,gc,13,1110.1333333333334,-0.399,i1,2.2819814e-8,1080.1333333333334,30,2.2819814e-8,i1,swv,1110.3166666666666,-0.276,1.6627675e-7,1.7182715528534028e-7,1077.8,32.51666666666665,1.7182715528534028e-7
A,transfer,2,pbsEtBr,gc,13,1110.1333333333334,-0.399,i1,2.2819814e-8,1080.1333333333334,30,2.2819814e-8,i2,swv,1110.3166666666666,-0.304,3.1175861e-7,2.962670447183855e-7,1077.8,32.51666666666665,2.962670447183855e-7
A,transfer,2,pbsEtBr,gc,14,1112.6333333333334,-0.399,i1,2.2584803e-8,1080.1333333333334,32.5,2.2584803e-8,i1,swv,1112.8166666666666,-0.261,1.703005e-7,1.688518900778135e-7,1077.8,35.01666666666665,1.688518900778135e-7
A,transfer,2,pbsEtBr,gc,14,1112.6333333333334,-0.399,i1,2.2584803e-8,1080.1333333333334,32.5,2.2584803e-8,i2,swv,1112.8166666666666,-0.304,2.6370438e-7,2.706241337628978e-7,1077.8,35.01666666666665,2.706241337628978e-7
