Dec. 9, 2005   03:14:50
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\100um_pyo_soak_swvfast.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 3.1055475e-7, 1.6955842e-7
0.098, 4.7089486e-7, 1.5695946e-7
0.097, 4.2627073e-7, 2.0250707e-7
0.096, 4.6657431e-7, 2.1316012e-7
0.095, 4.6509010e-7, 2.5557446e-7
0.094, 4.4043634e-7, 2.1235206e-7
0.093, 4.6838827e-7, 2.0163304e-7
0.092, 4.1497455e-7, 1.9604266e-7
0.091, 4.5291989e-7, 1.6650762e-7
0.090, 4.2295613e-7, 1.9939029e-7
0.089, 4.1426543e-7, 2.0316668e-7
0.088, 4.5458546e-7, 2.5710810e-7
0.087, 3.9457541e-7, 1.7895820e-7
0.086, 4.4526814e-7, 1.9477287e-7
0.085, 3.8581882e-7, 1.5756962e-7
0.084, 4.2285717e-7, 1.6640868e-7
0.083, 4.3202604e-7, 2.0148462e-7
0.082, 3.9617504e-7, 1.7803471e-7
0.081, 4.2086177e-7, 2.6261603e-7
0.080, 3.6482604e-7, 2.1233558e-7
0.079, 4.2556167e-7, 1.9327220e-7
0.078, 3.8497780e-7, 1.8949581e-7
0.077, 4.0539339e-7, 1.4882950e-7
0.076, 4.1903129e-7, 2.1850315e-7
0.075, 3.6240186e-7, 1.6314351e-7
0.074, 4.1416649e-7, 2.0155059e-7
0.073, 3.5339792e-7, 1.7485198e-7
0.072, 4.0288680e-7, 1.8670886e-7
0.071, 3.8547250e-7, 1.5794890e-7
0.070, 3.5362876e-7, 1.2257614e-7
0.069, 3.9883005e-7, 2.0374387e-7
0.068, 3.4020525e-7, 1.7209801e-7
0.067, 3.9724694e-7, 2.2470368e-7
0.066, 3.4610895e-7, 1.8199250e-7
0.065, 3.8171260e-7, 1.6682095e-7
0.064, 3.9507017e-7, 1.5420548e-7
0.063, 3.2917291e-7, 1.2471995e-7
0.062, 3.8567038e-7, 1.5832819e-7
0.061, 3.1616167e-7, 1.9002351e-7
0.060, 3.7877726e-7, 2.3372414e-7
0.059, 3.4495463e-7, 1.5361184e-7
0.058, 3.4947308e-7, 1.4224966e-7
0.057, 3.8105298e-7, 1.6287964e-7
0.056, 3.1764586e-7, 1.4355244e-7
0.055, 3.6482601e-7, 1.7760594e-7
0.054, 3.1851982e-7, 1.9135928e-7
0.053, 3.4253046e-7, 2.1205523e-7
0.052, 3.5003376e-7, 1.8377349e-7
0.051, 3.3431803e-7, 1.5339745e-7
0.050, 3.4978643e-7, 1.2582481e-7
0.049, 3.1400137e-7, 1.4754320e-7
0.048, 3.5798234e-7, 1.6142847e-7
0.047, 3.3116828e-7, 1.9586125e-7
0.046, 3.3654430e-7, 1.8349317e-7
0.045, 3.3134967e-7, 1.7034998e-7
0.044, 2.9688391e-7, 1.5470022e-7
0.043, 3.3923232e-7, 1.1995409e-7
0.042, 2.9759303e-7, 1.7678141e-7
0.041, 3.3613202e-7, 1.6987175e-7
0.040, 3.3121776e-7, 2.0184743e-7
0.039, 3.1904756e-7, 1.6126356e-7
0.038, 3.3849022e-7, 1.3532352e-7
0.037, 2.9861548e-7, 1.5188030e-7
0.036, 3.4477318e-7, 1.3370742e-7
0.035, 3.1372102e-7, 1.7523126e-7
0.034, 3.0359570e-7, 1.8276756e-7
0.033, 3.4107927e-7, 2.2010275e-7
0.032, 2.9615830e-7, 1.8202547e-7
0.031, 3.3964454e-7, 1.4699901e-7
0.030, 2.9742810e-7, 1.3515861e-7
0.029, 3.2844730e-7, 1.4116128e-7
0.028, 3.3344404e-7, 1.8913302e-7
0.027, 3.1113200e-7, 1.4734532e-7
0.026, 3.3619801e-7, 2.1659019e-7
0.025, 2.8136606e-7, 1.7486846e-7
0.024, 3.3853968e-7, 1.5938360e-7
0.023, 3.1899808e-7, 1.4746075e-7
0.022, 3.1853634e-7, 1.1748048e-7
0.021, 3.4233256e-7, 1.9253011e-7
0.020, 3.0379357e-7, 1.3472986e-7
0.019, 3.4203572e-7, 1.8011255e-7
0.018, 2.8313059e-7, 1.8942984e-7
0.017, 3.2684770e-7, 1.5799839e-7
0.016, 3.2569335e-7, 1.6924511e-7
0.015, 2.9417942e-7, 1.0784984e-7
0.014, 3.3979302e-7, 1.8377349e-7
0.013, 2.7638583e-7, 1.4003990e-7
0.012, 3.4302519e-7, 1.8083814e-7
0.011, 2.8256989e-7, 1.7467059e-7
0.010, 3.4286029e-7, 1.5537634e-7
0.009, 3.4983589e-7, 1.8210793e-7
0.008, 2.8510948e-7, 1.1792574e-7
0.007, 3.4899483e-7, 1.5054454e-7
0.006, 2.6799205e-7, 1.6520485e-7
0.005, 3.3289984e-7, 2.1891540e-7
0.004, 3.0811415e-7, 2.2409351e-7
0.003, 3.0275464e-7, 1.3759926e-7
0.002, 3.5799883e-7, 1.7198258e-7
0.001, 2.8477967e-7, 1.0930104e-7
-0.000, 3.4932467e-7, 1.7316992e-7
-0.001, 2.9096373e-7, 1.5156697e-7
-0.002, 3.2851329e-7, 1.9086454e-7
-0.003, 3.3413664e-7, 2.1479269e-7
-0.004, 3.0517879e-7, 1.5092382e-7
-0.005, 3.5189723e-7, 1.6886582e-7
-0.006, 2.8585157e-7, 1.3352603e-7
-0.007, 3.4706542e-7, 1.5529389e-7
-0.008, 3.0545914e-7, 1.8806111e-7
-0.009, 3.2712805e-7, 1.6004324e-7
-0.010, 3.3474680e-7, 2.2833164e-7
-0.011, 2.8819326e-7, 1.4721340e-7
-0.012, 3.4622440e-7, 1.8743447e-7
-0.013, 2.9056793e-7, 1.4681761e-7
-0.014, 3.3995789e-7, 1.6520485e-7
-0.015, 3.3547241e-7, 2.1261592e-7
-0.016, 3.2430813e-7, 1.7920556e-7
-0.017, 3.4549879e-7, 2.1358886e-7
-0.018, 3.0728961e-7, 1.5893835e-7
-0.019, 3.7145531e-7, 1.9112841e-7
-0.020, 3.2999745e-7, 1.4315665e-7
-0.021, 3.3210830e-7, 1.6299509e-7
-0.022, 3.5753709e-7, 2.2255989e-7
-0.023, 3.1876721e-7, 2.0789955e-7
-0.024, 3.6899820e-7, 2.3098667e-7
-0.025, 3.1009304e-7, 1.7173522e-7
-0.026, 3.5038008e-7, 2.0018186e-7
-0.027, 3.5565716e-7, 1.6553467e-7
-0.028, 3.4713139e-7, 1.5793242e-7
-0.029, 3.7699624e-7, 2.2092728e-7
-0.030, 3.2140576e-7, 2.0671223e-7
-0.031, 3.7208196e-7, 2.3044247e-7
-0.032, 3.6342431e-7, 1.6578204e-7
-0.033, 3.6975678e-7, 1.8032694e-7
-0.034, 3.7780427e-7, 1.8411981e-7
-0.035, 3.5257335e-7, 1.4950561e-7
-0.036, 3.9322319e-7, 2.0882305e-7
-0.037, 3.3755026e-7, 2.0199583e-7
-0.038, 3.8130031e-7, 2.5062721e-7
-0.039, 3.8923241e-7, 1.9462445e-7
-0.040, 3.6612880e-7, 1.7889224e-7
-0.041, 3.9863215e-7, 1.8787972e-7
-0.042, 3.5473366e-7, 1.9736194e-7
-0.043, 4.2409397e-7, 2.1320959e-7
-0.044, 3.6795927e-7, 2.3296558e-7
-0.045, 4.2462165e-7, 2.4767536e-7
-0.046, 4.3252078e-7, 2.3321292e-7
-0.047, 3.7505032e-7, 2.0456841e-7
-0.048, 4.3384006e-7, 1.6442979e-7
-0.049, 3.7140586e-7, 1.9785665e-7
-0.050, 4.3238884e-7, 2.5661339e-7
-0.051, 4.1621138e-7, 2.6241813e-7
-0.052, 4.0268890e-7, 2.6050520e-7
-0.053, 4.7503406e-7, 2.3646160e-7
-0.054, 3.9695010e-7, 2.1553480e-7
-0.055, 4.6443046e-7, 1.8840743e-7
-0.056, 4.1538681e-7, 2.1896487e-7
-0.057, 4.5118836e-7, 2.4073273e-7
-0.058, 4.6886646e-7, 2.8497755e-7
-0.059, 4.2501745e-7, 2.7180141e-7
-0.060, 4.8418644e-7, 2.4078221e-7
-0.061, 4.3083870e-7, 2.3990819e-7
-0.062, 4.8311455e-7, 2.0252355e-7
-0.063, 4.6645886e-7, 2.3288311e-7
-0.064, 4.6825630e-7, 2.2422545e-7
-0.065, 5.0130393e-7, 3.0606930e-7
-0.066, 4.4444360e-7, 3.0361215e-7
-0.067, 5.0794972e-7, 2.6955865e-7
-0.068, 4.7686456e-7, 2.6332512e-7
-0.069, 5.1543651e-7, 2.2514894e-7
-0.070, 5.2853022e-7, 2.8675856e-7
-0.071, 5.0595429e-7, 2.6787657e-7
