Dec. 9, 2005   00:40:36
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\5um_pyo_soak_swv.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.2686382e-7, 7.1461834e-8
0.098, 1.7215316e-7, 8.8027932e-8
0.097, 1.7060819e-7, 9.0499121e-8
0.096, 1.7003985e-7, 8.8850371e-8
0.095, 1.5638525e-7, 7.8173230e-8
0.094, 1.6690528e-7, 8.8386777e-8
0.093, 1.5237393e-7, 7.7725161e-8
0.092, 1.5046139e-7, 7.6856168e-8
0.091, 1.6246432e-7, 8.6391779e-8
0.090, 1.4790776e-7, 7.6350872e-8
0.089, 1.5952662e-7, 8.4935060e-8
0.088, 1.5859750e-7, 8.4476319e-8
0.087, 1.5864599e-7, 8.4071893e-8
0.086, 1.4255707e-7, 7.2711977e-8
0.085, 1.5501581e-7, 8.2480355e-8
0.084, 1.5332149e-7, 8.2542428e-8
0.083, 1.5247480e-7, 8.0596898e-8
0.082, 1.3760790e-7, 7.0141866e-8
0.081, 1.4912686e-7, 8.0699706e-8
0.080, 1.4879517e-7, 7.9698815e-8
0.079, 1.4773804e-7, 7.8968512e-8
0.078, 1.3267812e-7, 6.6835625e-8
0.077, 1.4476930e-7, 7.8861831e-8
0.076, 1.4507481e-7, 7.7343032e-8
0.075, 1.4346872e-7, 7.6798941e-8
0.074, 1.2924581e-7, 6.6061681e-8
0.073, 1.4110229e-7, 7.6087076e-8
0.072, 1.3998695e-7, 7.4868936e-8
0.071, 1.3879790e-7, 7.5656459e-8
0.070, 1.3763311e-7, 7.4654594e-8
0.069, 1.2374284e-7, 6.3510960e-8
0.068, 1.2243548e-7, 6.3441135e-8
0.067, 1.2101658e-7, 6.2495523e-8
0.066, 1.1971795e-7, 6.1824380e-8
0.065, 1.3267424e-7, 7.2518006e-8
0.064, 1.1760075e-7, 6.2020291e-8
0.063, 1.3032913e-7, 7.2184378e-8
0.062, 1.2968418e-7, 7.1664537e-8
0.061, 1.2849999e-7, 7.0509437e-8
0.060, 1.1514508e-7, 5.9644151e-8
0.059, 1.2596479e-7, 7.0531740e-8
0.058, 1.2718291e-7, 6.8687079e-8
0.057, 1.2516756e-7, 6.9464903e-8
0.056, 1.1137428e-7, 5.6792771e-8
0.055, 1.2314638e-7, 6.9137087e-8
0.054, 1.2267310e-7, 6.6875387e-8
0.053, 1.2203783e-7, 6.6621283e-8
0.052, 1.0765585e-7, 5.5668714e-8
0.051, 1.2045601e-7, 6.6373971e-8
0.050, 1.1911663e-7, 6.6078172e-8
0.049, 1.1893817e-7, 6.6119867e-8
0.048, 1.1689372e-7, 6.6591227e-8
0.047, 1.0334776e-7, 5.5402975e-8
0.046, 1.0305196e-7, 5.5575605e-8
0.045, 1.0225087e-7, 5.3749368e-8
0.044, 1.0105211e-7, 5.3760040e-8
0.043, 1.1342456e-7, 6.4208294e-8
0.042, 9.9167693e-8, 5.2485650e-8
0.041, 9.9172539e-8, 5.2336294e-8
0.040, 9.7993194e-8, 5.3347851e-8
0.039, 1.1016876e-7, 6.3160840e-8
0.038, 9.6296915e-8, 5.0943580e-8
0.037, 9.6514157e-8, 5.1758256e-8
0.036, 9.5016702e-8, 5.1348977e-8
0.035, 1.0771502e-7, 6.1465535e-8
0.034, 9.3662791e-8, 5.1663214e-8
0.033, 9.3046935e-8, 5.1370314e-8
0.032, 9.2495085e-8, 5.0415977e-8
0.031, 9.2695842e-8, 4.9649792e-8
0.030, 1.0447764e-7, 6.0794399e-8
0.029, 9.0478757e-8, 4.9914561e-8
0.028, 8.9707726e-8, 4.9304525e-8
0.027, 8.9035609e-8, 4.8079599e-8
0.026, 1.0088239e-7, 5.9000165e-8
0.025, 8.8198625e-8, 4.7773124e-8
0.024, 1.0019670e-7, 5.9520005e-8
0.023, 9.8927160e-8, 5.8841110e-8
0.022, 1.0016858e-7, 5.7994427e-8
0.021, 8.5700279e-8, 4.7134961e-8
0.020, 9.8059147e-8, 5.7764566e-8
0.019, 9.7257072e-8, 5.7286432e-8
0.018, 9.6692617e-8, 5.7943993e-8
0.017, 8.3224243e-8, 4.6359073e-8
0.016, 9.5930311e-8, 5.6761742e-8
0.015, 9.5168005e-8, 5.7302920e-8
0.014, 9.4808186e-8, 5.6897520e-8
0.013, 8.0743348e-8, 4.6083635e-8
0.012, 9.2807383e-8, 5.6152672e-8
0.011, 9.2769554e-8, 5.5605675e-8
0.010, 9.3047902e-8, 5.5285621e-8
0.009, 7.9254619e-8, 4.5214648e-8
0.008, 9.1001510e-8, 5.5825829e-8
0.007, 7.7838635e-8, 4.4927567e-8
0.006, 7.7015230e-8, 4.3722039e-8
0.005, 9.0070444e-8, 5.4501982e-8
0.004, 7.6303351e-8, 4.3632813e-8
0.003, 8.9036583e-8, 5.4801664e-8
0.002, 8.8600146e-8, 5.4431180e-8
0.001, 8.8606939e-8, 5.3864781e-8
-0.000, 7.4907732e-8, 4.3530008e-8
-0.001, 8.7350969e-8, 5.3737732e-8
-0.002, 7.4550826e-8, 4.3037321e-8
-0.003, 7.2830304e-8, 4.3253600e-8
-0.004, 7.2646998e-8, 4.3179888e-8
-0.005, 8.5391861e-8, 5.3003554e-8
-0.006, 7.2033082e-8, 4.2404974e-8
-0.007, 7.1613130e-8, 4.3031498e-8
-0.008, 7.1337695e-8, 4.2735696e-8
-0.009, 8.4675136e-8, 5.2663133e-8
-0.010, 7.1265923e-8, 4.1711530e-8
-0.011, 7.0611271e-8, 4.1385658e-8
-0.012, 7.0648127e-8, 4.0767858e-8
-0.013, 8.2577344e-8, 5.1768929e-8
-0.014, 6.9389252e-8, 4.1120884e-8
-0.015, 6.9165210e-8, 4.1855067e-8
-0.016, 6.8778249e-8, 4.2245919e-8
-0.017, 8.1690899e-8, 5.2632096e-8
-0.018, 6.8617254e-8, 4.1375959e-8
-0.019, 6.8374788e-8, 4.1374989e-8
-0.020, 6.7904409e-8, 4.1263455e-8
-0.021, 6.7572714e-8, 4.1249876e-8
-0.022, 8.0463060e-8, 5.2342109e-8
-0.023, 6.6728944e-8, 4.0844480e-8
-0.024, 6.6627109e-8, 4.1339106e-8
-0.025, 6.6402094e-8, 4.0569041e-8
-0.026, 7.9809382e-8, 5.1497366e-8
-0.027, 6.6066534e-8, 4.1089852e-8
-0.028, 6.5649495e-8, 4.0783377e-8
-0.029, 6.5490440e-8, 4.1055905e-8
-0.030, 7.8340051e-8, 5.1840694e-8
-0.031, 6.5468129e-8, 3.9793157e-8
-0.032, 6.5226637e-8, 4.0461387e-8
-0.033, 6.4402258e-8, 4.0523457e-8
-0.034, 6.4699037e-8, 3.9496378e-8
-0.035, 7.7469110e-8, 5.1662241e-8
-0.036, 6.4630171e-8, 3.9742723e-8
-0.037, 6.4325640e-8, 3.9915356e-8
-0.038, 6.3627347e-8, 3.9495411e-8
-0.039, 7.6881385e-8, 5.1650602e-8
-0.040, 6.3708811e-8, 4.0189825e-8
-0.041, 7.7067597e-8, 5.0846594e-8
-0.042, 7.6145270e-8, 5.1434327e-8
-0.043, 7.6803801e-8, 5.1073542e-8
-0.044, 6.3455680e-8, 4.0040469e-8
-0.045, 7.5739862e-8, 5.1957077e-8
-0.046, 7.6131684e-8, 5.1513855e-8
-0.047, 7.5715619e-8, 5.1529369e-8
-0.048, 6.2417932e-8, 4.0163641e-8
-0.049, 7.5686522e-8, 5.2587485e-8
