Dec. 9, 2005   02:07:32
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\25um_transfer\25um_pyo_transfer_swv4_19.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 7.0819755e-7, 3.9086501e-7
0.098, 6.6215523e-7, 4.9556513e-7
0.097, 6.5808194e-7, 4.7374778e-7
0.096, 6.8822715e-7, 4.9220102e-7
0.095, 6.3867230e-7, 4.5992849e-7
0.094, 6.7190126e-7, 3.9704906e-7
0.093, 6.4925939e-7, 4.5615207e-7
0.092, 6.6568418e-7, 4.6721743e-7
0.091, 6.6370535e-7, 5.0414036e-7
0.090, 6.1952647e-7, 4.5338163e-7
0.089, 6.6068753e-7, 4.2305504e-7
0.088, 6.1009371e-7, 4.4444360e-7
0.087, 6.4759382e-7, 3.7622118e-7
0.086, 6.2602385e-7, 4.4248122e-7
0.085, 5.9272895e-7, 4.0860908e-7
0.084, 6.3082268e-7, 4.7244498e-7
0.083, 5.5958242e-7, 4.4058476e-7
0.082, 6.2760694e-7, 4.1030765e-7
0.081, 5.6433174e-7, 3.8341116e-7
0.080, 6.0194725e-7, 3.4932464e-7
0.079, 6.1001128e-7, 4.5272202e-7
0.078, 5.5630073e-7, 3.9802200e-7
0.077, 6.0722437e-7, 4.2747459e-7
0.076, 5.3657772e-7, 4.3665995e-7
0.075, 5.8229023e-7, 4.1109922e-7
0.074, 5.5860949e-7, 4.0283732e-7
0.073, 5.6334233e-7, 3.0499740e-7
0.072, 5.9244854e-7, 4.2452274e-7
0.071, 5.0616870e-7, 3.8979312e-7
0.070, 5.7140630e-7, 4.2561112e-7
0.069, 5.1560141e-7, 3.9876409e-7
0.068, 5.6772888e-7, 3.6652457e-7
0.067, 5.5748808e-7, 3.8016248e-7
0.066, 5.2701307e-7, 2.9625727e-7
0.065, 5.5694386e-7, 3.8621459e-7
0.064, 4.9925904e-7, 3.7152128e-7
0.063, 5.4399857e-7, 4.0181487e-7
0.062, 5.0440417e-7, 4.0075949e-7
0.061, 5.2191740e-7, 3.4335500e-7
0.060, 5.3568721e-7, 3.8156418e-7
0.059, 4.7787046e-7, 2.9582850e-7
0.058, 5.2777165e-7, 3.6258328e-7
0.057, 4.6329262e-7, 3.6355624e-7
0.056, 5.1880062e-7, 3.8177856e-7
0.055, 5.0075971e-7, 3.8745139e-7
0.054, 4.9721416e-7, 3.3509309e-7
0.053, 5.1111590e-7, 3.2252711e-7
0.052, 4.5978007e-7, 2.8392213e-7
0.051, 5.2188443e-7, 3.6688738e-7
0.050, 4.6556835e-7, 3.4106279e-7
0.049, 4.7816729e-7, 3.7386297e-7
0.048, 4.9479002e-7, 3.8078912e-7
0.047, 4.5623455e-7, 3.1433120e-7
0.046, 5.0318386e-7, 3.2483581e-7
0.045, 4.3697327e-7, 2.6579875e-7
0.044, 4.8245494e-7, 3.4488863e-7
0.043, 4.6833878e-7, 3.5151794e-7
0.042, 4.6497468e-7, 3.2796908e-7
0.041, 4.8273523e-7, 3.5697639e-7
0.040, 4.2414345e-7, 3.0450269e-7
0.039, 4.8918321e-7, 3.1626064e-7
0.038, 4.4041985e-7, 2.4663643e-7
0.037, 4.7373129e-7, 3.1746444e-7
0.036, 4.6439749e-7, 3.6006020e-7
0.035, 4.3611576e-7, 3.2163661e-7
0.034, 4.6701953e-7, 3.4901132e-7
0.033, 4.1065397e-7, 2.8454878e-7
0.032, 4.6418310e-7, 3.1324279e-7
0.031, 4.3642910e-7, 2.4609224e-7
0.030, 4.3031099e-7, 2.8115170e-7
0.029, 4.5658084e-7, 3.4299222e-7
0.028, 3.9642239e-7, 3.3685762e-7
0.027, 4.5870814e-7, 3.2364849e-7
0.026, 4.0293628e-7, 2.8532389e-7
0.025, 4.5590474e-7, 2.9195314e-7
0.024, 4.4952282e-7, 2.6045575e-7
0.023, 4.0846069e-7, 2.9604288e-7
0.022, 4.5293638e-7, 2.9190369e-7
0.021, 3.8952925e-7, 3.1451259e-7
0.020, 4.4622465e-7, 3.6561758e-7
0.019, 4.1330898e-7, 2.8181131e-7
0.018, 4.1121467e-7, 2.8192676e-7
0.017, 4.3692381e-7, 2.4874726e-7
0.016, 3.8298239e-7, 2.5907053e-7
0.015, 4.3814413e-7, 2.8883639e-7
0.014, 3.8928187e-7, 3.0446969e-7
0.013, 4.2820017e-7, 3.2900800e-7
0.012, 4.3870483e-7, 2.9472363e-7
0.011, 4.0394221e-7, 2.7948613e-7
0.010, 4.2917316e-7, 2.2597347e-7
0.009, 3.7442368e-7, 2.5438712e-7
0.008, 4.2721072e-7, 3.0077575e-7
0.007, 3.9460841e-7, 3.0722367e-7
0.006, 4.0201280e-7, 3.1588132e-7
0.005, 4.1650819e-7, 3.2739189e-7
0.004, 3.8591776e-7, 2.7432452e-7
0.003, 4.1428194e-7, 2.3082177e-7
0.002, 3.8418625e-7, 2.4798868e-7
0.001, 4.1734921e-7, 2.8578560e-7
-0.000, 3.9775816e-7, 3.0605281e-7
-0.001, 4.0026475e-7, 3.2819995e-7
-0.002, 4.1682154e-7, 2.9675198e-7
-0.003, 3.7569347e-7, 2.6842079e-7
-0.004, 4.1565067e-7, 2.3252031e-7
-0.005, 3.8171260e-7, 2.3078879e-7
-0.006, 4.0440395e-7, 2.7958507e-7
-0.007, 4.0006688e-7, 3.2236221e-7
-0.008, 3.5953246e-7, 3.2229624e-7
-0.009, 4.2157089e-7, 2.8360881e-7
-0.010, 3.6937746e-7, 2.5818002e-7
-0.011, 4.0354644e-7, 2.6208832e-7
-0.012, 3.9685119e-7, 2.6917937e-7
-0.013, 3.8898503e-7, 2.7448942e-7
-0.014, 3.9711500e-7, 2.6909692e-7
-0.015, 3.5348035e-7, 3.2874414e-7
-0.016, 4.1723379e-7, 2.8552176e-7
-0.017, 3.8278449e-7, 2.6193990e-7
-0.018, 3.9063411e-7, 2.6690364e-7
-0.019, 4.1091783e-7, 2.5395838e-7
-0.020, 3.7059780e-7, 2.7666619e-7
-0.021, 4.0949959e-7, 2.7330208e-7
-0.022, 3.5120462e-7, 2.8146502e-7
-0.023, 4.0367837e-7, 3.1035691e-7
-0.024, 4.0303519e-7, 2.7623744e-7
-0.025, 3.9658732e-7, 2.4826903e-7
-0.026, 4.1955900e-7, 2.5315032e-7
-0.027, 3.5422244e-7, 2.8606595e-7
-0.028, 4.0720738e-7, 2.7455536e-7
-0.029, 3.8144876e-7, 3.0984569e-7
-0.030, 4.0740528e-7, 2.7910684e-7
-0.031, 4.0414011e-7, 2.9808774e-7
-0.032, 3.8001406e-7, 2.4820307e-7
-0.033, 4.1942707e-7, 2.2859552e-7
-0.034, 3.7038342e-7, 2.6235216e-7
-0.035, 4.0425550e-7, 2.8054154e-7
-0.036, 3.9000747e-7, 3.1129687e-7
-0.037, 3.8443360e-7, 2.7833175e-7
-0.038, 4.1936113e-7, 2.9582850e-7
-0.039, 3.6665648e-7, 2.5940034e-7
-0.040, 4.2053196e-7, 2.2717730e-7
-0.041, 3.6823963e-7, 2.7815037e-7
-0.042, 4.1606296e-7, 2.7127368e-7
-0.043, 4.1449630e-7, 3.4404758e-7
-0.044, 3.8077263e-7, 2.8616489e-7
-0.045, 4.3261974e-7, 2.5282048e-7
-0.046, 3.7140586e-7, 2.6952569e-7
-0.047, 4.2277469e-7, 2.4967076e-7
-0.048, 3.9526805e-7, 2.8680805e-7
-0.049, 3.8616514e-7, 2.6124729e-7
-0.050, 4.3576944e-7, 3.0968079e-7
-0.051, 3.7485245e-7, 2.7791950e-7
-0.052, 4.4132685e-7, 2.6119784e-7
-0.053, 3.8446655e-7, 2.6479279e-7
-0.054, 4.2562760e-7, 2.3458165e-7
-0.055, 4.3016257e-7, 3.0986217e-7
-0.056, 3.7768888e-7, 2.7483571e-7
-0.057, 4.4373451e-7, 3.2129032e-7
-0.058, 3.8440061e-7, 2.9579553e-7
-0.059, 4.3743501e-7, 2.7681460e-7
-0.060, 4.0456882e-7, 2.8248746e-7
-0.061, 4.2345084e-7, 2.0814690e-7
-0.062, 4.2970086e-7, 3.2519864e-7
-0.063, 3.8167963e-7, 2.8321304e-7
-0.064, 4.3393896e-7, 3.1688728e-7
-0.065, 3.9277793e-7, 2.9497099e-7
-0.066, 4.4398189e-7, 2.7076248e-7
-0.067, 4.3123447e-7, 3.0829557e-7
-0.068, 4.2684792e-7, 2.3293258e-7
-0.069, 4.4864879e-7, 3.0249078e-7
-0.070, 3.9693361e-7, 3.0277113e-7
-0.071, 4.5099046e-7, 3.4638930e-7
-0.072, 4.1762956e-7, 3.1053830e-7
-0.073, 4.4290996e-7, 2.8097031e-7
-0.074, 4.5801556e-7, 3.2204889e-7
-0.075, 4.0529443e-7, 2.3662653e-7
-0.076, 4.6294630e-7, 3.1721709e-7
-0.077, 3.9539998e-7, 2.8545580e-7
-0.078, 4.6100038e-7, 3.3133318e-7
-0.079, 4.4441066e-7, 3.4610895e-7
-0.080, 4.5245815e-7, 2.7742479e-7
-0.081, 4.7475368e-7, 3.0954885e-7
-0.082, 4.2763949e-7, 2.5112195e-7
