Dec. 9, 2005   02:33:39
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\50um_transfer\50um_pyo_transfer_swv_37.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 6.9558212e-7, 3.0948289e-7
0.098, 6.0908781e-7, 3.5047901e-7
0.097, 6.5066109e-7, 4.4028792e-7
0.096, 6.0039713e-7, 4.4424570e-7
0.095, 6.4525216e-7, 4.8449976e-7
0.094, 6.3873824e-7, 4.5976356e-7
0.093, 6.1771243e-7, 4.0747125e-7
0.092, 6.3741902e-7, 3.6306150e-7
0.091, 5.8440105e-7, 3.5531085e-7
0.090, 6.2275865e-7, 4.2950296e-7
0.089, 5.7907448e-7, 4.1606296e-7
0.088, 6.0837868e-7, 4.2889280e-7
0.087, 6.0305217e-7, 4.0445343e-7
0.086, 5.6159428e-7, 3.9187094e-7
0.085, 5.9828631e-7, 3.4218414e-7
0.084, 5.6053887e-7, 3.3669272e-7
0.083, 5.7165369e-7, 3.8901803e-7
0.082, 5.6085219e-7, 4.2811772e-7
0.081, 5.6251781e-7, 4.2848052e-7
0.080, 5.8181206e-7, 3.8355961e-7
0.079, 5.3647881e-7, 3.7828255e-7
0.078, 5.8936479e-7, 3.2844730e-7
0.077, 5.3926573e-7, 3.0501388e-7
0.076, 5.4152497e-7, 3.7150480e-7
0.075, 5.5480007e-7, 4.2412694e-7
0.074, 5.0692722e-7, 4.1347388e-7
0.073, 5.5483304e-7, 3.5293615e-7
0.072, 5.0414030e-7, 3.5625078e-7
0.071, 5.3055862e-7, 3.0855941e-7
0.070, 5.4033762e-7, 3.5536030e-7
0.069, 5.1574983e-7, 3.3461487e-7
0.068, 5.3679207e-7, 3.9467437e-7
0.067, 4.9317396e-7, 3.6380359e-7
0.066, 5.4411402e-7, 3.5168284e-7
0.065, 5.0235934e-7, 3.3496116e-7
0.064, 5.0244176e-7, 2.8449932e-7
0.063, 5.2765620e-7, 3.5803180e-7
0.062, 4.7292323e-7, 3.1012604e-7
0.061, 5.1472739e-7, 3.6863540e-7
0.060, 4.6039023e-7, 3.6226993e-7
0.059, 5.0900508e-7, 3.2788662e-7
0.058, 4.9096417e-7, 3.2694666e-7
0.057, 4.7117521e-7, 2.5542604e-7
0.056, 5.1055525e-7, 3.5849354e-7
0.055, 4.5430511e-7, 3.1936088e-7
0.054, 5.0829601e-7, 3.5575607e-7
0.053, 4.5514616e-7, 3.3257004e-7
0.052, 4.9642262e-7, 3.0644856e-7
0.051, 4.9249786e-7, 3.4056808e-7
0.050, 4.4380050e-7, 2.6444650e-7
0.049, 4.9812115e-7, 2.9558115e-7
0.048, 4.2356626e-7, 3.0229290e-7
0.047, 4.7561124e-7, 3.4470725e-7
0.046, 4.4854983e-7, 3.3680814e-7
0.045, 4.4380047e-7, 2.8593399e-7
0.044, 4.7252746e-7, 3.1278105e-7
0.043, 4.1794289e-7, 2.4703223e-7
0.042, 4.8301558e-7, 2.9983579e-7
0.041, 4.1161042e-7, 2.9577905e-7
0.040, 4.6152812e-7, 3.5761951e-7
0.039, 4.5912043e-7, 3.3281736e-7
0.038, 4.2035055e-7, 2.8946306e-7
0.037, 4.6764620e-7, 2.8496106e-7
0.036, 4.0252399e-7, 2.3327888e-7
0.035, 4.5979658e-7, 3.0196307e-7
0.034, 4.1093432e-7, 2.9703233e-7
0.033, 4.1546929e-7, 2.8791294e-7
0.032, 4.3764942e-7, 3.2585825e-7
0.031, 4.0945014e-7, 2.7552832e-7
0.030, 4.5166658e-7, 2.9737862e-7
0.029, 4.0161700e-7, 2.1616145e-7
0.028, 4.4271206e-7, 2.9917612e-7
0.027, 4.1480965e-7, 3.0826257e-7
0.026, 4.1509000e-7, 3.4127714e-7
0.025, 4.3354322e-7, 3.0225993e-7
0.024, 3.9244810e-7, 2.8778101e-7
0.023, 4.4142581e-7, 2.6678822e-7
0.022, 3.9691713e-7, 2.2536329e-7
0.021, 4.3121798e-7, 2.8375723e-7
0.020, 4.1126412e-7, 2.8586805e-7
0.019, 3.7162022e-7, 3.3294930e-7
0.018, 4.2777143e-7, 3.0768538e-7
0.017, 3.8717104e-7, 2.6746432e-7
0.016, 4.3082224e-7, 2.5102298e-7
0.015, 4.1507349e-7, 2.6781066e-7
0.014, 4.0877399e-7, 2.6825589e-7
0.013, 4.2359926e-7, 2.8031064e-7
0.012, 3.7417630e-7, 3.2152116e-7
0.011, 4.2857945e-7, 2.8064048e-7
0.010, 3.9091447e-7, 2.5547553e-7
0.009, 4.0550884e-7, 2.3613180e-7
0.008, 4.1853656e-7, 2.5212788e-7
0.007, 3.7325282e-7, 2.5910350e-7
0.006, 4.2557812e-7, 2.8657718e-7
0.005, 3.5707535e-7, 3.1177510e-7
0.004, 4.0915330e-7, 2.9960492e-7
0.003, 4.0900488e-7, 2.6403421e-7
0.002, 3.9350351e-7, 2.0484876e-7
0.001, 4.1715134e-7, 2.8362530e-7
-0.000, 3.7234582e-7, 2.7566023e-7
-0.001, 4.1781098e-7, 2.8822626e-7
-0.002, 3.7509977e-7, 3.0189710e-7
-0.003, 4.0069352e-7, 2.5832844e-7
-0.004, 4.0880701e-7, 2.8346039e-7
-0.005, 3.7717763e-7, 1.8641202e-7
-0.006, 4.2468764e-7, 2.5961469e-7
-0.007, 3.6283063e-7, 2.5776774e-7
-0.008, 4.0257345e-7, 3.0113856e-7
-0.009, 3.9177201e-7, 3.1098355e-7
-0.010, 3.9117833e-7, 2.3275118e-7
-0.011, 4.2186770e-7, 2.7643534e-7
-0.012, 3.5987878e-7, 2.2340092e-7
-0.013, 4.1888288e-7, 2.4182114e-7
-0.014, 3.6467762e-7, 2.5669581e-7
-0.015, 4.1682154e-7, 2.8032713e-7
-0.016, 4.1006030e-7, 2.9526780e-7
-0.017, 3.6238538e-7, 2.4599331e-7
-0.018, 4.2599041e-7, 2.5047882e-7
-0.019, 3.5448630e-7, 2.0989492e-7
-0.020, 4.2231295e-7, 2.9152440e-7
-0.021, 3.7562751e-7, 2.7754021e-7
-0.022, 3.8916644e-7, 2.6317670e-7
-0.023, 4.2084528e-7, 3.0400793e-7
-0.024, 3.6929504e-7, 2.4318987e-7
-0.025, 4.2627076e-7, 2.7597358e-7
-0.026, 3.6373763e-7, 1.9739491e-7
-0.027, 4.1518894e-7, 2.7668270e-7
-0.028, 4.0301873e-7, 2.8898484e-7
-0.029, 3.9111234e-7, 2.6983901e-7
-0.030, 4.0691054e-7, 2.9061744e-7
-0.031, 3.7143883e-7, 2.5560743e-7
-0.032, 4.1894884e-7, 2.5697619e-7
-0.033, 3.7361562e-7, 2.1967398e-7
-0.034, 4.1255041e-7, 2.5117140e-7
-0.035, 4.0287028e-7, 2.8252043e-7
-0.036, 3.6634316e-7, 3.0354619e-7
-0.037, 4.1682154e-7, 2.8468071e-7
-0.038, 3.7496787e-7, 2.5834493e-7
-0.039, 4.2005371e-7, 2.6309425e-7
-0.040, 4.0151804e-7, 2.3797877e-7
-0.041, 4.0214468e-7, 2.5291945e-7
-0.042, 4.1639277e-7, 2.6408372e-7
-0.043, 3.7514928e-7, 2.8957851e-7
-0.044, 4.3047592e-7, 2.8849010e-7
-0.045, 3.9134324e-7, 2.6090100e-7
-0.046, 4.1962500e-7, 2.6754677e-7
-0.047, 4.2709530e-7, 2.4617469e-7
-0.048, 3.8771526e-7, 2.7933771e-7
-0.049, 4.3611578e-7, 2.8136606e-7
-0.050, 3.7237879e-7, 2.9386609e-7
-0.051, 4.3299900e-7, 3.0288658e-7
-0.052, 4.1344089e-7, 2.8352636e-7
-0.053, 4.1739872e-7, 2.5710810e-7
-0.054, 4.4843438e-7, 2.3995764e-7
-0.055, 3.9384986e-7, 2.8900132e-7
-0.056, 4.3727013e-7, 2.9061744e-7
-0.057, 4.0133665e-7, 2.9503695e-7
-0.058, 4.2256033e-7, 2.9442680e-7
-0.059, 4.3863884e-7, 3.0188062e-7
-0.060, 4.1398508e-7, 2.2417596e-7
-0.061, 4.4582885e-7, 2.3070632e-7
-0.062, 4.0943365e-7, 2.8448284e-7
-0.063, 4.4447660e-7, 3.0016557e-7
-0.064, 4.3369164e-7, 3.0565701e-7
-0.065, 4.2321994e-7, 2.8037664e-7
-0.066, 4.5963165e-7, 3.0885624e-7
-0.067, 4.0757018e-7, 2.7918929e-7
-0.068, 4.6480977e-7, 2.4492141e-7
-0.069, 4.2735914e-7, 2.7721038e-7
-0.070, 4.6111583e-7, 2.8377372e-7
-0.071, 4.5285395e-7, 3.3832532e-7
-0.072, 4.2663356e-7, 2.9976979e-7
-0.073, 4.7549580e-7, 2.7613851e-7
-0.074, 4.2500096e-7, 2.6393528e-7
-0.075, 4.7023522e-7, 2.5385941e-7
-0.076, 4.4795615e-7, 3.1449611e-7
-0.077, 4.3179520e-7, 2.9109566e-7
-0.078, 4.9361921e-7, 3.1706867e-7
-0.079, 4.1667312e-7, 2.9962138e-7
-0.080, 4.8900176e-7, 2.9647165e-7
-0.081, 4.3628069e-7, 2.9775794e-7
-0.082, 4.7862903e-7, 2.4241479e-7
-0.083, 4.9030456e-7, 3.3611553e-7
-0.084, 4.4925895e-7, 3.0028102e-7
-0.085, 4.9584543e-7, 3.2594073e-7
-0.086, 4.3631366e-7, 3.2072961e-7
-0.087, 4.9995162e-7, 3.1761286e-7
-0.088, 4.6820685e-7, 2.8093731e-7
-0.089, 4.7472074e-7, 2.3326240e-7
-0.090, 5.0473398e-7, 3.3741833e-7
-0.091, 4.4731303e-7, 3.1655745e-7
-0.092, 5.1528809e-7, 3.4384971e-7
-0.093, 4.6924578e-7, 3.1398486e-7
-0.094, 5.0526171e-7, 3.0872434e-7
-0.095, 5.1187453e-7, 3.4549879e-7
-0.096, 4.9421288e-7, 2.6945972e-7
-0.097, 5.2604008e-7, 3.3245459e-7
-0.098, 4.6970752e-7, 3.3789655e-7
-0.099, 5.2910741e-7, 3.4058456e-7
-0.100, 4.9365218e-7, 3.5077585e-7
-0.101, 5.1535409e-7, 3.1185755e-7
-0.102, 5.3641281e-7, 3.1883317e-7
-0.103, 4.8260335e-7, 2.7082845e-7
-0.104, 5.5427233e-7, 3.4759313e-7
-0.105, 4.9505388e-7, 3.1837143e-7
-0.106, 5.4386663e-7, 3.7317039e-7
-0.107, 5.4243196e-7, 3.7935442e-7
-0.108, 5.2026837e-7, 3.1598026e-7
-0.109, 5.6419981e-7, 3.4970395e-7
-0.110, 5.0837843e-7, 2.8858904e-7
-0.111, 5.7076318e-7, 3.5445331e-7
-0.112, 5.2099392e-7, 3.4294271e-7
-0.113, 5.3666020e-7, 3.9328916e-7
-0.114, 5.6444719e-7, 3.9211830e-7
-0.115, 5.3294980e-7, 3.2913994e-7
-0.116, 5.8598414e-7, 3.4037018e-7
-0.117, 5.1578280e-7, 2.8878694e-7
-0.118, 5.8303232e-7, 3.8283397e-7
-0.119, 5.5847750e-7, 3.7270860e-7
-0.120, 5.6530473e-7, 3.5857602e-7
-0.121, 5.9018930e-7, 4.2008668e-7
