PHZadded,molecule,reactor_from_transfer,echem_from_transfer,rep,minutes_from_transfer,E_from_maxs_from_transfer,PHZaddedInt,electrode,current_from_maxs_from_transfer,max_current_from_transfer,E_from_mins_from_transfer,current_from_mins_from_transfer,min_current_from_transfer,signal_from_transfer,min_time,norm_time,reactor_from_soak,echem_from_soak,minutes_from_soak,E_from_maxs_from_soak,current_from_maxs_from_soak,max_current_from_soak,E_from_mins_from_soak,current_from_mins_from_soak,min_current_from_soak,signal_from_soak,i0,norm_signal
100uM,PYO,transfer,SWV,1,197.21666666666667,-0.28,100,i1,4.6215309e-6,4.6215309e-6,0.016,3.4919276e-7,3.4919276e-7,4.2723381400000004e-6,197.21666666666667,0.2,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.3529373311265647
100uM,PYO,transfer,SWV,10,198.51666666666668,-0.283,100,i1,1.4653233e-6,1.4653233e-6,0.01,3.419533e-7,3.419533e-7,1.12337e-6,197.21666666666667,1.5000000000000113,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.09280145828243103
100uM,PYO,transfer,SWV,11,198.66666666666666,-0.272,100,i1,1.4402242e-6,1.4402242e-6,0.026,3.3860567e-7,3.3860567e-7,1.1016185299999998e-6,197.21666666666667,1.6499999999999886,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.09100457200650541
100uM,PYO,transfer,SWV,12,198.8,-0.276,100,i1,1.4329189e-6,1.4329189e-6,-0.004,3.292059e-7,3.292059e-7,1.103713e-6,197.21666666666667,1.7833333333333428,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.0911775959169969
100uM,PYO,transfer,SWV,13,198.95,-0.286,100,i1,1.4071766e-6,1.4071766e-6,0.005,3.3771516e-7,3.3771516e-7,1.06946144e-6,197.21666666666667,1.93333333333332,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08834807873525963
100uM,PYO,transfer,SWV,14,199.08333333333334,-0.284,100,i1,1.3910487e-6,1.3910487e-6,-0.005,3.3425209e-7,3.3425209e-7,1.05679661e-6,197.21666666666667,2.0666666666666744,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.0873018386782
100uM,PYO,transfer,SWV,15,199.23333333333332,-0.275,100,i1,1.376108e-6,1.376108e-6,0.016,3.381769e-7,3.381769e-7,1.0379311e-6,197.21666666666667,2.2166666666666517,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08574336120484591
100uM,PYO,transfer,SWV,16,199.38333333333333,-0.285,100,i1,1.3642511e-6,1.3642511e-6,-0.018,3.3238859e-7,3.3238859e-7,1.03186251e-6,197.21666666666667,2.3666666666666574,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08524203572729339
100uM,PYO,transfer,SWV,17,199.51666666666668,-0.279,100,i1,1.3584794e-6,1.3584794e-6,0.01,3.3321317e-7,3.3321317e-7,1.02526623e-6,197.21666666666667,2.5000000000000115,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08469711784339118
100uM,PYO,transfer,SWV,18,199.66666666666666,-0.276,100,i1,1.33841e-6,1.33841e-6,-0.014,3.3289984e-7,3.3289984e-7,1.00551016e-6,197.21666666666667,2.649999999999989,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08306507131737588
100uM,PYO,transfer,SWV,19,199.81666666666666,-0.279,100,i1,1.3385089e-6,1.3385089e-6,-0.01,3.3756675e-7,3.3756675e-7,1.00094215e-6,197.21666666666667,2.7999999999999945,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08268770857006313
100uM,PYO,transfer,SWV,2,197.36666666666667,-0.275,100,i1,3.4336817e-6,3.4336817e-6,0.009,3.4596053e-7,3.4596053e-7,3.08772117e-6,197.21666666666667,0.3500000000000057,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.255076268144542
100uM,PYO,transfer,SWV,20,199.95,-0.275,100,i1,1.3282188e-6,1.3282188e-6,0.011,3.3733585e-7,3.3733585e-7,9.9088295e-7,197.21666666666667,2.9333333333333202,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08185671928856672
100uM,PYO,transfer,SWV,21,200.1,-0.278,100,i1,1.3099469e-6,1.3099469e-6,-0.016,3.3740184e-7,3.3740184e-7,9.7254506e-7,197.21666666666667,3.083333333333326,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08034182843887087
100uM,PYO,transfer,SWV,22,200.25,-0.276,100,i1,1.3023116e-6,1.3023116e-6,-0.021,3.354229e-7,3.354229e-7,9.668886999999999e-7,197.21666666666667,3.2333333333333316,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07987455723119183
100uM,PYO,transfer,SWV,23,200.38333333333333,-0.274,100,i1,1.3123711e-6,1.3123711e-6,-0.007,3.327844e-7,3.327844e-7,9.795867e-7,197.21666666666667,3.3666666666666574,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.08092353745789391
100uM,PYO,transfer,SWV,24,200.53333333333333,-0.281,100,i1,1.2881791e-6,1.2881791e-6,0.014,3.3446645e-7,3.3446645e-7,9.5371265e-7,197.21666666666667,3.516666666666663,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.0787860853524678
100uM,PYO,transfer,SWV,25,200.68333333333334,-0.294,100,i1,1.2885253e-6,1.2885253e-6,-0.015,3.276063e-7,3.276063e-7,9.609189999999999e-7,197.21666666666667,3.6666666666666687,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07938140104444247
100uM,PYO,transfer,SWV,26,200.81666666666666,-0.273,100,i1,1.2716553e-6,1.2716553e-6,-0.018,3.3934771e-7,3.3934771e-7,9.323075900000002e-7,197.21666666666667,3.7999999999999945,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07701781596426718
100uM,PYO,transfer,SWV,27,200.96666666666667,-0.288,100,i1,1.2776414e-6,1.2776414e-6,-0.014,3.4142556e-7,3.4142556e-7,9.362158400000001e-7,197.21666666666667,3.95,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07734067601868586
100uM,PYO,transfer,SWV,28,201.1,-0.296,100,i1,1.2791916e-6,1.2791916e-6,-0.017,3.3817687e-7,3.3817687e-7,9.4101473e-7,197.21666666666667,4.083333333333326,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07773711173455594
100uM,PYO,transfer,SWV,29,201.25,-0.288,100,i1,1.2633109e-6,1.2633109e-6,-0.007,3.3045919e-7,3.3045919e-7,9.3285171e-7,197.21666666666667,4.233333333333332,soak,SWVfast.txt,194.83333333333334,-0.278,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,1.2105089949999999e-5,0.07706276565090704
