PHZadded,molecule,reactor,echem_from_swv,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
0uM,PYO,soak,SWV.txt,24.016666666666666,-0.314,0,i1,8.6277339e-8,8.6277339e-8,-0.2,7.1073899e-8,7.1073899e-8,1.5203440000000002e-8,GC.txt,21.966666666666665,-0.495,198.66597,i1,7.7346279e-8,7.7346279e-8,0.097,399.33612,-5.3018065e-9,-5.3018065e-9,8.26480855e-8
0uM,PYO,soak,SWV.txt,24.016666666666666,-0.314,0,i1,8.6277339e-8,8.6277339e-8,-0.2,7.1073899e-8,7.1073899e-8,1.5203440000000002e-8,GC.txt,21.966666666666665,0.088,396.33603,i2,6.4457062e-10,6.4457062e-10,0.1,0.33333334,-4.6913362e-9,-4.6913362e-9,5.33590682e-9
100uM,PYO,soak,SWV.txt,187,-0.28,100,i1,4.1289059e-6,4.1289059e-6,-0.01,3.2892636e-8,3.2892636e-8,4.096013264e-6,GC.txt,194.13333333333333,-0.484,205.66586,i1,2.4898068e-6,2.4898068e-6,0.1,0.33333334,-3.8598145e-8,-3.8598145e-8,2.528404945e-6
100uM,PYO,soak,SWV.txt,187,-0.28,100,i1,4.1289059e-6,4.1289059e-6,-0.01,3.2892636e-8,3.2892636e-8,4.096013264e-6,GC.txt,194.13333333333333,0.098,399.66946,i2,-1.5372705e-9,-1.5372705e-9,-0.499,199.99928,-2.2401889e-6,-2.2401889e-6,2.2386516295e-6
10uM,PYO,soak,SWV.txt,51.2,-0.284,10,i1,5.2037092e-7,5.2037092e-7,-0.043,5.9461819e-8,5.9461819e-8,4.60909101e-7,GC.txt,58.68333333333333,-0.479,193.33272,i1,2.7494633e-7,2.7494633e-7,0.1,0.33333334,-1.2455171e-8,-1.2455171e-8,2.87401501e-7
10uM,PYO,soak,SWV.txt,51.2,-0.284,10,i1,5.2037092e-7,5.2037092e-7,-0.043,5.9461819e-8,5.9461819e-8,4.60909101e-7,GC.txt,58.68333333333333,0.098,399.66946,i2,3.379065e-9,3.379065e-9,-0.458,186.33282,-2.3139829e-7,-2.3139829e-7,2.34777355e-7
1uM,PYO,soak,SWV.txt,29.983333333333334,-0.263,1,i1,1.2269346e-7,1.2269346e-7,-0.124,6.3217101e-8,6.3217101e-8,5.9476359e-8,GC.txt,37.233333333333334,-0.491,197.33266,i1,5.1155858e-8,5.1155858e-8,0.1,0.33333334,-8.7922176e-9,-8.7922176e-9,5.99480756e-8
1uM,PYO,soak,SWV.txt,29.983333333333334,-0.263,1,i1,1.2269346e-7,1.2269346e-7,-0.124,6.3217101e-8,6.3217101e-8,5.9476359e-8,GC.txt,37.233333333333334,0.097,399.33612,i2,2.037859e-10,2.037859e-10,-0.42,173.66635,-2.7579549e-8,-2.7579549e-8,2.77833349e-8
1uM,PYO,soak,SWV.txt,29.983333333333334,-0.263,1,i1,1.2269346e-7,1.2269346e-7,-0.133,6.3217101e-8,6.3217101e-8,5.9476359e-8,GC.txt,37.233333333333334,-0.491,197.33266,i1,5.1155858e-8,5.1155858e-8,0.1,0.33333334,-8.7922176e-9,-8.7922176e-9,5.99480756e-8
1uM,PYO,soak,SWV.txt,29.983333333333334,-0.263,1,i1,1.2269346e-7,1.2269346e-7,-0.133,6.3217101e-8,6.3217101e-8,5.9476359e-8,GC.txt,37.233333333333334,0.097,399.33612,i2,2.037859e-10,2.037859e-10,-0.42,173.66635,-2.7579549e-8,-2.7579549e-8,2.77833349e-8
