Dec. 15, 2005   04:41:13
Cyclic Voltammetry
File: d:\ida_biofilms\12_04_18_psoralenbiofilm\control\control_100um_pyo_transfer_gc.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.100, -7.6174757e-8, -7.4104726e-8, 3.3333334e-1
0.099, -6.9127161e-8, -6.9108282e-8, 6.6666669e-1
0.098, -6.3425006e-8, -6.4788082e-8, 1.0000000e+0
0.097, -5.8529611e-8, -6.0937658e-8, 1.3333334e+0
0.096, -5.4293128e-8, -5.7496273e-8, 1.6666667e+0
0.095, -5.0603216e-8, -5.4406357e-8, 2.0000000e+0
0.094, -4.7373437e-8, -5.1625264e-8, 2.3333333e+0
0.093, -4.4490292e-8, -4.9137384e-8, 2.6666665e+0
0.092, -4.1908553e-8, -4.6880075e-8, 2.9999998e+0
0.091, -3.9597147e-8, -4.4825931e-8, 3.3333330e+0
0.090, -3.7489354e-8, -4.2967372e-8, 3.6666663e+0
0.089, -3.5580094e-8, -4.1269551e-8, 3.9999995e+0
0.088, -3.3839367e-8, -3.9722170e-8, 4.3333330e+0
0.087, -3.2214025e-8, -3.8294985e-8, 4.6666665e+0
0.086, -3.0721193e-8, -3.6986698e-8, 5.0000000e+0
0.085, -2.9319189e-8, -3.5784179e-8, 5.3333335e+0
0.084, -2.8020287e-8, -3.4674198e-8, 5.6666670e+0
0.083, -2.6815158e-8, -3.3644586e-8, 6.0000005e+0
0.082, -2.5690458e-8, -3.2694739e-8, 6.3333340e+0
0.081, -2.4632486e-8, -3.1803282e-8, 6.6666675e+0
0.080, -2.3635220e-8, -3.0963236e-8, 7.0000010e+0
0.079, -2.2679053e-8, -3.0172352e-8, 7.3333344e+0
0.078, -2.1788317e-8, -2.9429094e-8, 7.6666679e+0
0.077, -2.0946239e-8, -2.8726136e-8, 8.0000010e+0
0.076, -2.0132505e-8, -2.8061944e-8, 8.3333340e+0
0.075, -1.9385382e-8, -2.7433092e-8, 8.6666670e+0
0.074, -1.8669557e-8, -2.6835913e-8, 9.0000000e+0
0.073, -1.7964835e-8, -2.6267330e-8, 9.3333330e+0
0.072, -1.7307469e-8, -2.5725928e-8, 9.6666660e+0
0.071, -1.6667467e-8, -2.5211477e-8, 9.9999990e+0
0.070, -1.6069272e-8, -2.4717469e-8, 1.0333332e+1
0.069, -1.5485250e-8, -2.4249935e-8, 1.0666665e+1
0.068, -1.4928037e-8, -2.3802020e-8, 1.0999998e+1
0.067, -1.4411807e-8, -2.3370411e-8, 1.1333331e+1
0.066, -1.3895813e-8, -2.2960080e-8, 1.1666664e+1
0.065, -1.3407809e-8, -2.2555774e-8, 1.1999997e+1
0.064, -1.2946143e-8, -2.2176168e-8, 1.2333330e+1
0.063, -1.2487311e-8, -2.1809683e-8, 1.2666663e+1
0.062, -1.2056114e-8, -2.1453948e-8, 1.2999996e+1
0.061, -1.1635784e-8, -2.1112871e-8, 1.3333329e+1
0.060, -1.1227500e-8, -2.0788219e-8, 1.3666662e+1
0.059, -1.0839885e-8, -2.0467706e-8, 1.3999995e+1
0.058, -1.0457583e-8, -2.0161021e-8, 1.4333328e+1
0.057, -1.0095241e-8, -1.9864025e-8, 1.4666661e+1
0.056, -9.7464818e-9, -1.9573175e-8, 1.4999994e+1
0.055, -9.4066976e-9, -1.9295918e-8, 1.5333327e+1
0.054, -9.0881729e-9, -1.9023030e-8, 1.5666660e+1
0.053, -8.7666949e-9, -1.8774372e-8, 1.5999993e+1
0.052, -8.4567917e-9, -1.8525006e-8, 1.6333326e+1
0.051, -8.1624769e-9, -1.8277646e-8, 1.6666660e+1
0.050, -7.8730054e-9, -1.8038090e-8, 1.6999994e+1
0.049, -7.5942808e-9, -1.7804322e-8, 1.7333328e+1
0.048, -7.3290209e-9, -1.7578946e-8, 1.7666662e+1
0.047, -7.0634059e-9, -1.7360188e-8, 1.7999996e+1
0.046, -6.8152706e-9, -1.7148993e-8, 1.8333330e+1
0.045, -6.5645369e-9, -1.6941346e-8, 1.8666664e+1
0.044, -6.3236052e-9, -1.6744924e-8, 1.8999998e+1
0.043, -6.0977916e-9, -1.6547203e-8, 1.9333332e+1
0.042, -5.8687890e-9, -1.6354681e-8, 1.9666666e+1
0.041, -5.6495888e-9, -1.6170553e-8, 2.0000000e+1
0.040, -5.4443250e-9, -1.5988315e-8, 2.0333334e+1
0.039, -5.2305578e-9, -1.5811867e-8, 2.0666668e+1
0.038, -5.0359228e-9, -1.5637664e-8, 2.1000002e+1
0.037, -4.8317217e-9, -1.5465705e-8, 2.1333336e+1
0.036, -4.6376778e-9, -1.5303677e-8, 2.1666670e+1
0.035, -4.4613491e-9, -1.5141410e-8, 2.2000004e+1
0.034, -4.2778159e-9, -1.4985762e-8, 2.2333338e+1
0.033, -4.0985348e-9, -1.4826334e-8, 2.2666672e+1
0.032, -3.9255137e-9, -1.4675531e-8, 2.3000006e+1
0.031, -3.7497752e-9, -1.4526856e-8, 2.3333340e+1
0.030, -3.6037997e-9, -1.4378891e-8, 2.3666674e+1
0.029, -3.4494378e-9, -1.4237070e-8, 2.4000008e+1
0.028, -3.2869276e-9, -1.4098677e-8, 2.4333342e+1
0.027, -3.1384715e-9, -1.3964775e-8, 2.4666676e+1
0.026, -2.9861180e-9, -1.3837254e-8, 2.5000010e+1
0.025, -2.8428584e-9, -1.3712925e-8, 2.5333344e+1
0.024, -2.7023153e-9, -1.3591552e-8, 2.5666677e+1
0.023, -2.5564575e-9, -1.3470058e-8, 2.6000011e+1
0.022, -2.4238269e-9, -1.3345729e-8, 2.6333345e+1
0.021, -2.2863544e-9, -1.3224827e-8, 2.6666679e+1
0.020, -2.1544329e-9, -1.3116336e-8, 2.7000013e+1
0.019, -2.0222750e-9, -1.2994016e-8, 2.7333347e+1
