Dec. 14, 2005   23:36:38
Cyclic Voltammetry
File: d:\ida_biofilms\12_04_18_psoralenbiofilm\psoralen\psoralen_25um_pyo_transfer_gc.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.100, -8.2601765e-8, -7.2144331e-8, 3.3333334e-1
0.099, -7.7182300e-8, -6.7439728e-8, 6.6666669e-1
0.098, -7.2333506e-8, -6.3153458e-8, 1.0000000e+0
0.097, -6.8121771e-8, -5.9428757e-8, 1.3333334e+0
0.096, -6.4308722e-8, -5.5960232e-8, 1.6666667e+0
0.095, -6.0828533e-8, -5.2895434e-8, 2.0000000e+0
0.094, -5.7567782e-8, -5.0015473e-8, 2.3333333e+0
0.093, -5.4573750e-8, -4.7495220e-8, 2.6666665e+0
0.092, -5.1722871e-8, -4.5146312e-8, 2.9999998e+0
0.091, -4.9209170e-8, -4.3046551e-8, 3.3333330e+0
0.090, -4.6762246e-8, -4.1110312e-8, 3.6666663e+0
0.089, -4.4556089e-8, -3.9409162e-8, 3.9999995e+0
0.088, -4.2457046e-8, -3.7791086e-8, 4.3333330e+0
0.087, -4.0544052e-8, -3.6328462e-8, 4.6666665e+0
0.086, -3.8715811e-8, -3.4951871e-8, 5.0000000e+0
0.085, -3.7034471e-8, -3.3748695e-8, 5.3333335e+0
0.084, -3.5455937e-8, -3.2559345e-8, 5.6666670e+0
0.083, -3.3960561e-8, -3.1524085e-8, 6.0000005e+0
0.082, -3.2488988e-8, -3.0537073e-8, 6.3333340e+0
0.081, -3.1220313e-8, -2.9619953e-8, 6.6666675e+0
0.080, -3.0014426e-8, -2.8750128e-8, 7.0000010e+0
0.079, -2.8850398e-8, -2.7880461e-8, 7.3333344e+0
0.078, -2.7765930e-8, -2.7046022e-8, 7.6666679e+0
0.077, -2.6764935e-8, -2.6359761e-8, 8.0000010e+0
0.076, -2.5746450e-8, -2.5664395e-8, 8.3333340e+0
0.075, -2.4837242e-8, -2.5086216e-8, 8.6666670e+0
0.074, -2.3946248e-8, -2.4474964e-8, 9.0000000e+0
0.073, -2.3112527e-8, -2.3914836e-8, 9.3333330e+0
0.072, -2.2341434e-8, -2.3309736e-8, 9.6666660e+0
