Dec. 15, 2005   02:42:21
Cyclic Voltammetry
File: d:\ida_biofilms\12_04_18_psoralenbiofilm\psoralen\psoralen_75um_pyo_transfer_gc2.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-8
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-8

Potential/V, i1/A, i2/A, Time/s

0.100, -2.6796753e-8, -6.4419656e-9, 3.3333334e-1
0.099, -2.4202730e-8, -5.9128964e-9, 6.6666669e-1
0.098, -2.2006139e-8, -5.4609122e-9, 1.0000000e+0
0.097, -2.0151264e-8, -5.0943774e-9, 1.3333334e+0
0.096, -1.8535268e-8, -4.7756270e-9, 1.6666667e+0
0.095, -1.7091599e-8, -4.5097024e-9, 2.0000000e+0
0.094, -1.5824993e-8, -4.2706017e-9, 2.3333333e+0
0.093, -1.4684873e-8, -4.0692849e-9, 2.6666665e+0
0.092, -1.3639827e-8, -3.8941455e-9, 2.9999998e+0
0.091, -1.2732024e-8, -3.7365400e-9, 3.3333330e+0
0.090, -1.1893511e-8, -3.5971310e-9, 3.6666663e+0
0.089, -1.1104253e-8, -3.4670284e-9, 3.9999995e+0
0.088, -1.0402982e-8, -3.3548513e-9, 4.3333330e+0
0.087, -9.7350155e-9, -3.2534182e-9, 4.6666665e+0
0.086, -9.1226138e-9, -3.1571772e-9, 5.0000000e+0
0.085, -8.5444656e-9, -3.0764651e-9, 5.3333335e+0
0.084, -8.0229130e-9, -2.9936122e-9, 5.6666670e+0
0.083, -7.5266353e-9, -2.9213918e-9, 6.0000005e+0
0.082, -7.0535777e-9, -2.8523586e-9, 6.3333340e+0
0.081, -6.6171228e-9, -2.7863607e-9, 6.6666675e+0
0.080, -6.2192265e-9, -2.7253473e-9, 7.0000010e+0
0.079, -5.7947296e-9, -2.6777300e-9, 7.3333344e+0
0.078, -5.4418461e-9, -2.6210862e-9, 7.6666679e+0
0.077, -5.1006257e-9, -2.5737086e-9, 8.0000010e+0
0.076, -4.7498432e-9, -2.5348625e-9, 8.3333340e+0
0.075, -4.4478203e-9, -2.4911355e-9, 8.6666670e+0
0.074, -4.1403334e-9, -2.4523852e-9, 9.0000000e+0
0.073, -3.8344119e-9, -2.4209839e-9, 9.3333330e+0
0.072, -3.5744867e-9, -2.3881206e-9, 9.6666660e+0
0.071, -3.2826886e-9, -2.3584608e-9, 9.9999990e+0
0.070, -3.0590928e-9, -2.3418214e-9, 1.0333332e+1
0.069, -2.8123877e-9, -2.3135673e-9, 1.0666665e+1
0.068, -2.5641007e-9, -2.2793063e-9, 1.0999998e+1
0.067, -2.3508180e-9, -2.2737705e-9, 1.1333331e+1
0.066, -2.1598776e-9, -2.2078286e-9, 1.1666664e+1
0.065, -1.8955586e-9, -2.1671371e-9, 1.1999997e+1
0.064, -1.6482703e-9, -2.1049416e-9, 1.2333330e+1
0.063, -1.4135313e-9, -2.1366704e-9, 1.2666663e+1
0.062, -1.3082559e-9, -2.1038233e-9, 1.2999996e+1
0.061, -1.1257433e-9, -2.1069706e-9, 1.3333329e+1
0.060, -9.3981156e-10, -2.0873359e-9, 1.3666662e+1
0.059, -7.7844359e-10, -2.0604158e-9, 1.3999995e+1
0.058, -6.1898464e-10, -2.0476350e-9, 1.4333328e+1
0.057, -4.4882961e-10, -2.0216813e-9, 1.4666661e+1
0.056, -2.9290939e-10, -2.0092759e-9, 1.4999994e+1
0.055, -1.3409752e-10, -2.0014155e-9, 1.5333327e+1
0.054, 1.1190475e-11, -1.9543096e-9, 1.5666660e+1
