Dec. 15, 2005   04:28:07
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\12_04_18_psoralen_biofilm\data\swv\control_100um_pyo_tran_swv_35.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A

0.099, 9.4987719e-8, 6.5860704e-8
0.098, 1.0866883e-7, 7.4037558e-8
0.097, 1.0790635e-7, 7.3657361e-8
0.096, 1.0679582e-7, 7.3118414e-8
0.095, 1.0595906e-7, 7.2709888e-8
0.094, 1.0510446e-7, 7.2092234e-8
0.093, 1.0422435e-7, 7.1652067e-8
0.092, 1.0330280e-7, 7.1227277e-8
0.091, 1.0258626e-7, 7.0827127e-8
0.090, 1.0184185e-7, 7.0347966e-8
0.089, 1.0106555e-7, 6.9903841e-8
0.088, 1.0030816e-7, 6.9549117e-8
0.087, 9.9414244e-8, 6.9153174e-8
0.086, 9.8826433e-8, 6.8761281e-8
0.085, 9.8062657e-8, 6.8263034e-8
0.084, 9.7490570e-8, 6.7968777e-8
0.083, 9.6831769e-8, 6.7675693e-8
0.082, 9.6084655e-8, 6.7347813e-8
0.081, 9.5462369e-8, 6.6916797e-8
0.080, 9.4821189e-8, 6.6504512e-8
0.079, 9.4275066e-8, 6.6241853e-8
0.078, 9.3634718e-8, 6.5971022e-8
0.077, 9.3055895e-8, 6.5657296e-8
0.076, 9.2451202e-8, 6.5244166e-8
0.075, 9.1914302e-8, 6.4905180e-8
0.074, 9.1281855e-8, 6.4585635e-8
0.073, 9.0657089e-8, 6.4356797e-8
0.072, 9.0196721e-8, 6.4042098e-8
0.071, 8.9596170e-8, 6.3617605e-8
0.070, 8.9133081e-8, 6.3371232e-8
0.069, 8.8624297e-8, 6.3145627e-8
0.068, 8.8015113e-8, 6.2892376e-8
0.067, 8.7587580e-8, 6.2574991e-8
0.066, 8.7081979e-8, 6.2243792e-8
0.065, 8.6540240e-8, 6.1954950e-8
0.064, 8.6044913e-8, 6.1817850e-8
0.063, 8.5584077e-8, 6.1461293e-8
0.062, 8.5057799e-8, 6.1074324e-8
0.061, 8.4694520e-8, 6.0965299e-8
0.060, 8.4191520e-8, 6.0777857e-8
0.059, 8.3774133e-8, 6.0492923e-8
0.058, 8.3289081e-8, 6.0125956e-8
0.057, 8.2914930e-8, 5.9933392e-8
0.056, 8.2422090e-8, 5.9716548e-8
0.055, 8.1999282e-8, 5.9521771e-8
0.054, 8.1543988e-8, 5.9190189e-8
0.053, 8.1164046e-8, 5.8933530e-8
0.052, 8.0783046e-8, 5.8815576e-8
0.051, 8.0417635e-8, 5.8665258e-8
0.050, 7.9943447e-8, 5.8276161e-8
0.049, 7.9616186e-8, 5.8109656e-8
0.048, 7.9244870e-8, 5.7950167e-8
0.047, 7.8799502e-8, 5.7670363e-8
0.046, 7.8460303e-8, 5.7443486e-8
0.045, 7.8091581e-8, 5.7234629e-8
0.044, 7.7641964e-8, 5.7064625e-8
0.043, 7.7394425e-8, 5.6919891e-8
0.042, 7.6952006e-8, 5.6586845e-8
0.041, 7.6596748e-8, 5.6407764e-8
0.040, 7.6337038e-8, 5.6375026e-8
0.039, 7.5992887e-8, 5.6052428e-8
0.038, 7.5704008e-8, 5.5905097e-8
0.037, 7.5203182e-8, 5.5691082e-8
0.036, 7.4867536e-8, 5.5476324e-8
0.035, 7.4593480e-8, 5.5250929e-8
0.034, 7.4311032e-8, 5.5134858e-8
0.033, 7.3943667e-8, 5.5026870e-8
0.032, 7.3689151e-8, 5.4783811e-8
0.031, 7.3387938e-8, 5.4588142e-8
0.030, 7.3069415e-8, 5.4473826e-8
0.029, 7.2754318e-8, 5.4312245e-8
0.028, 7.2419965e-8, 5.4028163e-8
0.027, 7.2197572e-8, 5.3904678e-8
0.026, 7.1800976e-8, 5.3791577e-8
0.025, 7.1587266e-8, 5.3621072e-8
0.024, 7.1257112e-8, 5.3343857e-8
0.023, 7.1020906e-8, 5.3259846e-8
0.022, 7.0670197e-8, 5.3190689e-8
0.021, 7.0513707e-8, 5.2946326e-8
0.020, 7.0249278e-8, 5.2764619e-8
0.019, 6.9885516e-8, 5.2646584e-8
0.018, 6.9700860e-8, 5.2547083e-8
0.017, 6.9358535e-8, 5.2257001e-8
0.016, 6.9177844e-8, 5.2191307e-8
0.015, 6.8882755e-8, 5.2110870e-8
0.014, 6.8648973e-8, 5.1924189e-8
0.013, 6.8375854e-8, 5.1694041e-8
0.012, 6.8166401e-8, 5.1623402e-8
0.011, 6.7899080e-8, 5.1542841e-8
0.010, 6.7722979e-8, 5.1398700e-8
0.009, 6.7400677e-8, 5.1113375e-8
0.008, 6.7236570e-8, 5.1064490e-8
0.007, 6.6931690e-8, 5.0989019e-8
0.006, 6.6810458e-8, 5.0845621e-8
0.005, 6.6500135e-8, 5.0614538e-8
0.004, 6.6336206e-8, 5.0522196e-8
0.003, 6.6120670e-8, 5.0444722e-8
0.002, 6.5867638e-8, 5.0387062e-8
0.001, 6.5679146e-8, 5.0194878e-8
-0.000, 6.5446955e-8, 4.9979068e-8
-0.001, 6.5231411e-8, 4.9914711e-8
-0.002, 6.5015278e-8, 4.9840562e-8
-0.003, 6.4815211e-8, 4.9733419e-8
-0.004, 6.4679455e-8, 4.9620301e-8
-0.005, 6.4512101e-8, 4.9433901e-8
-0.006, 6.4275071e-8, 4.9347715e-8
-0.007, 6.4059705e-8, 4.9283614e-8
-0.008, 6.3913312e-8, 4.9234256e-8
-0.009, 6.3727775e-8, 4.9061953e-8
-0.010, 6.3529839e-8, 4.8884687e-8
-0.011, 6.3410667e-8, 4.8865957e-8
-0.012, 6.3134188e-8, 4.8794817e-8
-0.013, 6.3060725e-8, 4.8720040e-8
-0.014, 6.2889363e-8, 4.8537437e-8
-0.015, 6.2683796e-8, 4.8439876e-8
-0.016, 6.2504874e-8, 4.8354870e-8
-0.017, 6.2371122e-8, 4.8412460e-8
-0.018, 6.2236779e-8, 4.8277862e-8
-0.019, 6.1996730e-8, 4.8034710e-8
-0.020, 6.1967441e-8, 4.8047315e-8
-0.021, 6.1708441e-8, 4.7960057e-8
-0.022, 6.1586675e-8, 4.7953428e-8
-0.023, 6.1512623e-8, 4.7880739e-8
-0.024, 6.1242702e-8, 4.7657327e-8
-0.025, 6.1205910e-8, 4.7646207e-8
-0.026, 6.1054266e-8, 4.7576464e-8
-0.027, 6.0864480e-8, 4.7589758e-8
-0.028, 6.0783869e-8, 4.7478757e-8
-0.029, 6.0688322e-8, 4.7373135e-8
-0.030, 6.0525224e-8, 4.7319212e-8
-0.031, 6.0409889e-8, 4.7251419e-8
-0.032, 6.0243075e-8, 4.7298570e-8
-0.033, 6.0171267e-8, 4.7196025e-8
-0.034, 6.0019914e-8, 4.7018467e-8
-0.035, 6.0010350e-8, 4.7074522e-8
-0.036, 5.9861421e-8, 4.7004523e-8
-0.037, 5.9683025e-8, 4.7017508e-8
-0.038, 5.9614351e-8, 4.6885305e-8
-0.039, 5.9458749e-8, 4.6751133e-8
-0.040, 5.9414990e-8, 4.6768648e-8
-0.041, 5.9206009e-8, 4.6745640e-8
-0.042, 5.9246631e-8, 4.6733380e-8
-0.043, 5.9133967e-8, 4.6632572e-8
-0.044, 5.9038179e-8, 4.6573184e-8
-0.045, 5.8913876e-8, 4.6563777e-8
-0.046, 5.8780831e-8, 4.6599489e-8
-0.047, 5.8779651e-8, 4.6540379e-8
-0.048, 5.8620209e-8, 4.6367088e-8
-0.049, 5.8654045e-8, 4.6407692e-8
-0.050, 5.8538546e-8, 4.6414542e-8
