Dec. 14, 2005   23:50:43
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\12_04_18_psoralen_biofilm\data\swv\control_25um_pyo_tran_swv2_12.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A

0.099, 6.3802347e-8, 5.4849995e-8
0.098, 7.1630730e-8, 6.1697520e-8
0.097, 7.1269689e-8, 6.1378572e-8
0.096, 7.0756414e-8, 6.0856465e-8
0.095, 7.0458213e-8, 6.0634740e-8
0.094, 6.9915629e-8, 6.0253456e-8
0.093, 6.9592858e-8, 5.9995045e-8
0.092, 6.9110044e-8, 5.9504938e-8
0.091, 6.8811005e-8, 5.9252262e-8
0.090, 6.8399061e-8, 5.8927853e-8
0.089, 6.8045232e-8, 5.8715781e-8
0.088, 6.7670605e-8, 5.8308551e-8
0.087, 6.7336849e-8, 5.8012759e-8
0.086, 6.7035089e-8, 5.7867538e-8
0.085, 6.6723295e-8, 5.7572677e-8
0.084, 6.6315842e-8, 5.7194782e-8
0.083, 6.6044670e-8, 5.6938170e-8
0.082, 6.5706189e-8, 5.6749936e-8
0.081, 6.5439515e-8, 5.6550824e-8
0.080, 6.5106462e-8, 5.6170968e-8
0.079, 6.4863166e-8, 5.5980681e-8
0.078, 6.4557277e-8, 5.5794509e-8
0.077, 6.4278318e-8, 5.5555610e-8
0.076, 6.3955660e-8, 5.5243987e-8
0.075, 6.3778856e-8, 5.5069556e-8
0.074, 6.3402815e-8, 5.4838765e-8
0.073, 6.3243249e-8, 5.4712523e-8
0.072, 6.2870171e-8, 5.4307101e-8
0.071, 6.2741904e-8, 5.4206890e-8
0.070, 6.2387244e-8, 5.4028845e-8
0.069, 6.2211505e-8, 5.3841546e-8
0.068, 6.1881522e-8, 5.3499470e-8
0.067, 6.1763060e-8, 5.3407103e-8
0.066, 6.1406041e-8, 5.3221392e-8
0.065, 6.1303403e-8, 5.3093327e-8
0.064, 6.0974244e-8, 5.2744667e-8
0.063, 6.0809263e-8, 5.2626568e-8
0.062, 6.0616756e-8, 5.2582159e-8
0.061, 6.0328695e-8, 5.2257427e-8
0.060, 6.0159216e-8, 5.2018812e-8
0.059, 6.0002968e-8, 5.1954959e-8
0.058, 5.9722829e-8, 5.1850787e-8
0.057, 5.9571530e-8, 5.1633350e-8
0.056, 5.9349503e-8, 5.1378578e-8
0.055, 5.9140341e-8, 5.1234636e-8
0.054, 5.8972752e-8, 5.1203738e-8
0.053, 5.8754615e-8, 5.0949023e-8
0.052, 5.8512978e-8, 5.0672025e-8
0.051, 5.8414241e-8, 5.0642488e-8
0.050, 5.8146732e-8, 5.0489469e-8
0.049, 5.8110480e-8, 5.0451494e-8
0.048, 5.7870018e-8, 5.0133437e-8
0.047, 5.7744113e-8, 5.0041546e-8
0.046, 5.7595898e-8, 4.9981900e-8
0.045, 5.7400435e-8, 4.9843049e-8
0.044, 5.7224355e-8, 4.9630497e-8
0.043, 5.7049316e-8, 4.9481912e-8
0.042, 5.6879365e-8, 4.9369110e-8
0.041, 5.6752409e-8, 4.9360242e-8
0.040, 5.6564737e-8, 4.9098713e-8
0.039, 5.6419474e-8, 4.8951541e-8
0.038, 5.6284833e-8, 4.8843841e-8
0.037, 5.6080044e-8, 4.8819146e-8
0.036, 5.5948711e-8, 4.8624049e-8
0.035, 5.5767778e-8, 4.8401638e-8
0.034, 5.5644712e-8, 4.8333028e-8
0.033, 5.5498973e-8, 4.8336055e-8
0.032, 5.5325362e-8, 4.8100055e-8
0.031, 5.5210087e-8, 4.7934098e-8
0.030, 5.5137576e-8, 4.7876064e-8
0.029, 5.4959358e-8, 4.7778322e-8
0.028, 5.4823303e-8, 4.7768655e-8
0.027, 5.4720314e-8, 4.7584113e-8
0.026, 5.4513634e-8, 4.7335828e-8
0.025, 5.4421985e-8, 4.7300485e-8
0.024, 5.4346401e-8, 4.7269744e-8
0.023, 5.4158733e-8, 4.7183331e-8
0.022, 5.4055157e-8, 4.7012129e-8
0.021, 5.3914967e-8, 4.6830969e-8
0.020, 5.3800882e-8, 4.6782873e-8
0.019, 5.3646634e-8, 4.6711040e-8
0.018, 5.3565973e-8, 4.6659377e-8
0.017, 5.3455544e-8, 4.6477314e-8
0.016, 5.3295985e-8, 4.6339082e-8
0.015, 5.3243433e-8, 4.6304230e-8
0.014, 5.3056944e-8, 4.6261199e-8
0.013, 5.2936954e-8, 4.6086143e-8
0.012, 5.2821683e-8, 4.5919428e-8
0.011, 5.2749755e-8, 4.5865448e-8
0.010, 5.2570122e-8, 4.5864496e-8
0.009, 5.2500322e-8, 4.5713648e-8
0.008, 5.2356359e-8, 4.5518352e-8
0.007, 5.2313482e-8, 4.5509999e-8
0.006, 5.2197862e-8, 4.5502794e-8
0.005, 5.2144951e-8, 4.5399439e-8
0.004, 5.1952206e-8, 4.5167766e-8
0.003, 5.1956221e-8, 4.5160824e-8
0.002, 5.1749005e-8, 4.5085741e-8
0.001, 5.1756270e-8, 4.5070621e-8
-0.000, 5.1553137e-8, 4.4839560e-8
-0.001, 5.1495089e-8, 4.4770957e-8
-0.002, 5.1339427e-8, 4.4657217e-8
-0.003, 5.1227467e-8, 4.4702855e-8
-0.004, 5.1182582e-8, 4.4572946e-8
-0.005, 5.1050542e-8, 4.4385949e-8
-0.006, 5.0961852e-8, 4.4349971e-8
-0.007, 5.0867129e-8, 4.4351328e-8
-0.008, 5.0799045e-8, 4.4243976e-8
-0.009, 5.0683830e-8, 4.4058147e-8
-0.010, 5.0742823e-8, 4.4117776e-8
-0.011, 5.0530531e-8, 4.4005027e-8
-0.012, 5.0467463e-8, 4.3949647e-8
-0.013, 5.0369735e-8, 4.3799758e-8
-0.014, 5.0311925e-8, 4.3729550e-8
-0.015, 5.0246499e-8, 4.3717204e-8
-0.016, 5.0104831e-8, 4.3678128e-8
-0.017, 5.0014659e-8, 4.3488939e-8
-0.018, 4.9976983e-8, 4.3444228e-8
-0.019, 4.9866909e-8, 4.3375906e-8
-0.020, 4.9783708e-8, 4.3352919e-8
-0.021, 4.9693121e-8, 4.3235424e-8
-0.022, 4.9702450e-8, 4.3179771e-8
-0.023, 4.9518505e-8, 4.3113545e-8
-0.024, 4.9487802e-8, 4.3090928e-8
-0.025, 4.9404417e-8, 4.2954078e-8
-0.026, 4.9428152e-8, 4.2983352e-8
-0.027, 4.9234231e-8, 4.2933678e-8
-0.028, 4.9212971e-8, 4.2836319e-8
-0.029, 4.9148369e-8, 4.2716870e-8
-0.030, 4.9082111e-8, 4.2689450e-8
-0.031, 4.8971803e-8, 4.2722185e-8
-0.032, 4.8980013e-8, 4.2653468e-8
-0.033, 4.8865864e-8, 4.2484793e-8
-0.034, 4.8825711e-8, 4.2487834e-8
-0.035, 4.8721720e-8, 4.2512774e-8
-0.036, 4.8694439e-8, 4.2379263e-8
-0.037, 4.8671936e-8, 4.2298936e-8
-0.038, 4.8598658e-8, 4.2259174e-8
-0.039, 4.8513918e-8, 4.2319044e-8
-0.040, 4.8478604e-8, 4.2191992e-8
-0.041, 4.8383114e-8, 4.2060044e-8
-0.042, 4.8380162e-8, 4.2089219e-8
-0.043, 4.8258695e-8, 4.2099536e-8
