Dec. 15, 2005   02:26:53
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\12_04_18_psoralen_biofilm\data\swv\psoralen_75um_pyo_tran_swv_35.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A

0.099, 1.0963417e-7, 9.2871581e-8
0.098, 1.2906085e-7, 1.0583059e-7
0.097, 1.3106302e-7, 1.0824882e-7
0.096, 1.3210067e-7, 1.0889640e-7
0.095, 1.3064259e-7, 1.0860273e-7
0.094, 1.3007755e-7, 1.0795952e-7
0.093, 1.2966836e-7, 1.0864376e-7
0.092, 1.3058295e-7, 1.0878952e-7
0.091, 1.2838612e-7, 1.0717471e-7
0.090, 1.2796248e-7, 1.0667902e-7
0.089, 1.2751499e-7, 1.0601370e-7
0.088, 1.2694163e-7, 1.0632647e-7
0.087, 1.2770974e-7, 1.0725559e-7
0.086, 1.2560119e-7, 1.0580451e-7
0.085, 1.2540197e-7, 1.0347539e-7
0.084, 1.2463492e-7, 1.0478732e-7
0.083, 1.2546006e-7, 1.0545720e-7
0.082, 1.2366516e-7, 1.0491533e-7
0.081, 1.2327683e-7, 1.0409571e-7
0.080, 1.2301177e-7, 1.0298484e-7
0.079, 1.2351668e-7, 1.0376528e-7
0.078, 1.2174233e-7, 1.0340489e-7
0.077, 1.2269220e-7, 1.0445059e-7
0.076, 1.2212541e-7, 1.0404849e-7
0.075, 1.2145399e-7, 1.0369314e-7
0.074, 1.1976371e-7, 1.0116569e-7
0.073, 1.2113267e-7, 1.0273752e-7
0.072, 1.2057812e-7, 1.0226133e-7
0.071, 1.1984199e-7, 1.0296719e-7
0.070, 1.1803815e-7, 1.0193158e-7
0.069, 1.1899259e-7, 1.0086949e-7
0.068, 1.1837412e-7, 1.0209355e-7
0.067, 1.1814426e-7, 1.0158883e-7
0.066, 1.1818946e-7, 1.0137033e-7
0.065, 1.1592950e-7, 1.0039019e-7
0.064, 1.1579266e-7, 9.8426710e-8
0.063, 1.1529065e-7, 9.8177956e-8
0.062, 1.1462252e-7, 9.7481397e-8
0.061, 1.1598730e-7, 1.0033374e-7
0.060, 1.1427434e-7, 9.8198221e-8
0.059, 1.1374452e-7, 9.7940436e-8
0.058, 1.1352746e-7, 9.7104035e-8
0.057, 1.1419356e-7, 9.9044229e-8
0.056, 1.1282916e-7, 9.6792803e-8
0.055, 1.1237178e-7, 9.8439422e-8
0.054, 1.1171355e-7, 9.7314199e-8
0.053, 1.1313700e-7, 9.8645422e-8
0.052, 1.1171790e-7, 9.6664195e-8
0.051, 1.1151046e-7, 9.5837784e-8
0.050, 1.1108546e-7, 9.5461189e-8
