Procedure Summary
Plate Type
96 WELL PLATE
Read
Fluorescence Spectrum
B1..E5
Fixed Excitation: 315 nm
Emission Start: 340 nm, Stop: 640 nm, Step: 10 nm
Sensitivity: 100
Light Source: Xenon Flash, Lamp Energy: High
Read Speed: Normal, Delay: 100 msec, Measurements/Data Point: 10
Top Probe Offset: 4 mm, Column Offset: 0 mm

Wavelength,8MOP  0,8MOP 1,8MOP 5,8MOP 15,8MOP 30,8MOP + DNA 0,8MOP + DNA 1,8MOP + DNA 5,8MOP + DNA 15,8MOP + DNA 30,TMP  0,TMP  1,TMP 5,TMP 15,TMP 30,TMP 60,TMP + DNA 0,TMP + DNA 1,TMP + DNA 5,TMP + DNA 15,TMP + DNA 30,TMP + DNA 60
340,1854,2011,1906,2145,2091,2037,2015,2203,2122,2052,2259,2187,2390,2206,2295,2120,1830,1993,2032,2138,2123,2038
350,2798,2798,2820,2858,2873,2812,2926,3116,3090,2883,3049,2954,3206,3316,3590,3648,2622,3105,4342,5785,5817,4691
360,1589,1657,1498,1690,1705,1667,1680,1836,1794,1708,1773,1750,2272,2625,3262,3506,1803,3627,9287,17547,16675,12318
370,853,863,798,913,872,853,842,928,967,905,1145,1288,1702,2423,3491,4279,1489,4739,14891,30139,27904,19976
380,669,708,647,719,706,722,734,837,816,764,2376,2320,1899,2891,4284,5297,2603,6443,18517,36707,33808,24484
390,623,613,580,682,661,649,688,770,725,680,4463,4216,2496,3321,4821,5680,4720,8120,19161,36469,33120,23982
400,591,525,506,776,526,657,549,644,653,618,7134,6600,3720,4081,5073,5763,7278,10077,18145,31296,28356,20310
410,539,481,457,1089,505,719,511,612,618,555,9856,9310,5658,5297,5684,5615,10364,12172,16722,25004,21852,15733
420,588,508,476,1367,569,821,543,604,652,656,12802,11762,8570,7480,6879,6154,13665,15004,16300,19339,16016,11365
430,783,674,639,1457,742,927,638,713,786,755,15311,14515,11802,9919,8312,7064,16679,17518,16405,15408,11294,8027
440,1131,922,907,1772,1091,1201,909,913,989,981,17035,16208,14869,12405,9937,8079,18751,19519,17039,12686,8288,5538
450,1589,1307,1337,2043,1536,1511,1289,1239,1409,1364,18242,17650,17484,14559,11612,9040,20270,20850,17853,11198,6214,4118
460,2285,1760,1883,2331,2164,1880,1829,1681,1827,1844,18350,18262,19426,16068,12841,9995,20678,21774,18418,10159,4920,3205
470,2850,2379,2357,2855,2791,2210,2223,2128,2265,2172,17999,17976,19464,16536,12942,10038,19992,21560,17924,9422,4122,2513
480,3319,2832,2809,3159,3379,2592,2645,2503,2702,2568,16891,16955,18795,15810,12296,9602,18905,20080,16843,8406,3513,2041
490,3914,3229,3286,3363,3856,2801,3026,2817,2952,2859,15369,15448,17448,14622,11539,8658,17151,18320,15283,7667,2911,1685
500,4251,3528,3623,3626,4117,3137,3267,3168,3314,3144,13624,13572,15770,13164,10170,7679,15253,16217,13473,6558,2440,1362
510,4481,3839,3788,3808,4506,3263,3405,3265,3410,3298,11939,11826,13604,11330,8887,6740,13266,13992,11558,5530,1908,1025
520,4610,3843,3868,3937,4480,3299,3456,3236,3503,3289,10077,9893,11659,9828,7546,5681,11251,11822,9856,4675,1528,821
530,4583,3836,3851,3755,4476,3253,3447,3274,3332,3244,8555,8454,9997,8259,6372,4938,9375,10122,8258,3871,1246,656
540,4292,3682,3761,3630,4274,3074,3337,3176,3161,3111,7142,6871,8332,6930,5427,4083,8042,8356,6847,3222,1038,509
550,4134,3421,3486,3298,3942,2970,3154,2911,3134,2860,5787,5717,6817,5609,4429,3430,6458,6828,5622,2618,812,413
560,3692,3202,3225,3265,3620,2708,2849,2700,2854,2706,4686,4619,5495,4634,3577,2776,5301,5520,4615,2031,639,336
570,3239,2909,2990,2825,3404,2458,2538,2447,2526,2355,3893,3707,4514,3744,2819,2189,4237,4432,3682,1701,537,248
580,3007,2588,2631,2539,3004,2201,2355,2246,2324,2147,3078,2992,3499,2922,2354,1780,3452,3674,2938,1328,398,200
590,2686,2252,2329,2338,2648,1882,2086,1989,2066,2022,2535,2450,2900,2436,1881,1423,2685,2865,2364,1091,317,131
600,2343,1989,2080,1955,2373,1763,1763,1664,1831,1674,2034,1932,2334,1938,1450,1121,2167,2258,1933,828,269,128
610,2096,1727,1839,1790,2047,1474,1565,1482,1553,1524,1674,1535,1848,1491,1186,867,1793,1860,1534,708,206,105
620,1895,1505,1570,1459,1716,1245,1342,1279,1306,1251,1231,1274,1543,1250,1023,746,1415,1448,1175,573,195,98
630,1561,1284,1266,1305,1517,1081,1164,1147,1194,1100,1006,989,1203,981,795,630,1109,1186,922,472,141,73
640,1315,1082,1120,1115,1303,880,930,928,952,911,748,764,968,827,594,448,883,969,740,318,120,63
