Dec. 21, 2005   09:49:27
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\12_10_18\data\a_200um_pyo_swvfast_5.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.5026914e-6, 1.8347337e-6
0.098, 1.5363656e-6, 1.9351296e-6
0.097, 1.6020319e-6, 1.9599152e-6
0.096, 1.5871078e-6, 1.9971681e-6
0.095, 1.5956172e-6, 1.9167753e-6
0.094, 1.6231072e-6, 2.0170889e-6
0.093, 1.5863327e-6, 2.0046384e-6
0.092, 1.6250697e-6, 2.0264556e-6
0.091, 1.5775101e-6, 2.0208490e-6
0.090, 1.6161811e-6, 2.0010270e-6
0.089, 1.6165770e-6, 2.0339426e-6
0.088, 1.6000035e-6, 1.9616634e-6
0.087, 1.6156864e-6, 1.9942327e-6
0.086, 1.5757951e-6, 2.0155553e-6
0.085, 1.6323091e-6, 2.0329201e-6
0.084, 1.6010920e-6, 2.0634611e-6
0.083, 1.6000861e-6, 2.0067328e-6
0.082, 1.6105248e-6, 2.0342393e-6
0.081, 1.5728103e-6, 1.9991801e-6
0.080, 1.6240472e-6, 1.9630816e-6
0.079, 1.5716394e-6, 2.0088437e-6
0.078, 1.5979092e-6, 2.0142527e-6
0.077, 1.6033018e-6, 2.0861689e-6
0.076, 1.5838261e-6, 1.9983884e-6
0.075, 1.6137075e-6, 2.0040943e-6
0.074, 1.5725793e-6, 1.9972010e-6
0.073, 1.6080182e-6, 1.9506147e-6
0.072, 1.5866790e-6, 2.0129332e-6
0.071, 1.5702378e-6, 2.0045559e-6
0.070, 1.6134932e-6, 2.0533193e-6
0.069, 1.5807589e-6, 2.0246252e-6
0.068, 1.6121573e-6, 1.9928805e-6
0.067, 1.5497396e-6, 1.9983886e-6
0.066, 1.5936216e-6, 1.9541271e-6
0.065, 1.6002509e-6, 1.9983224e-6
0.064, 1.5756797e-6, 1.9798526e-6
0.063, 1.5939186e-6, 2.0358227e-6
0.062, 1.5595847e-6, 2.0434413e-6
0.061, 1.6057919e-6, 2.0128509e-6
0.060, 1.5698914e-6, 1.9860863e-6
0.059, 1.5830510e-6, 1.9430618e-6
0.058, 1.6013230e-6, 1.9708323e-6
0.057, 1.5675497e-6, 1.9758454e-6
0.056, 1.5887570e-6, 1.9896979e-6
0.055, 1.5563689e-6, 1.9999220e-6
