Dec. 20, 2005   23:14:11
Cyclic Voltammetry
File: d:\ida_biofilms\12_10_18_dphzstar\a_760b\10um_pyo\a_10um_pyo_gc_4.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.100, -1.0061338e-7, -7.9281079e-8, 3.3333334e-1
0.099, -8.0994717e-8, -7.0054242e-8, 6.6666669e-1
0.098, -6.8698114e-8, -6.2938419e-8, 1.0000000e+0
0.097, -5.9664664e-8, -5.7213729e-8, 1.3333334e+0
0.096, -5.2772748e-8, -5.2549947e-8, 1.6666667e+0
0.095, -4.7148394e-8, -4.8589431e-8, 2.0000000e+0
0.094, -4.2384197e-8, -4.5308550e-8, 2.3333333e+0
0.093, -3.8498055e-8, -4.2474205e-8, 2.6666665e+0
0.092, -3.5132018e-8, -4.0056356e-8, 2.9999998e+0
0.091, -3.1901063e-8, -3.7858985e-8, 3.3333330e+0
0.090, -2.9344783e-8, -3.5931372e-8, 3.6666663e+0
0.089, -2.7062413e-8, -3.4177660e-8, 3.9999995e+0
0.088, -2.4836924e-8, -3.2601761e-8, 4.3333330e+0
0.087, -2.2980243e-8, -3.1173244e-8, 4.6666665e+0
0.086, -2.1189706e-8, -2.9896984e-8, 5.0000000e+0
0.085, -1.9614367e-8, -2.8611854e-8, 5.3333335e+0
0.084, -1.8233941e-8, -2.7351327e-8, 5.6666670e+0
0.083, -1.6837776e-8, -2.6344905e-8, 6.0000005e+0
0.082, -1.5688045e-8, -2.5362525e-8, 6.3333340e+0
0.081, -1.4465941e-8, -2.4494854e-8, 6.6666675e+0
0.080, -1.3495705e-8, -2.3669282e-8, 7.0000010e+0
0.079, -1.2520994e-8, -2.2836200e-8, 7.3333344e+0
0.078, -1.1505543e-8, -2.2179337e-8, 7.6666679e+0
0.077, -1.0724784e-8, -2.1477259e-8, 8.0000010e+0
