Dec. 21, 2005   07:02:04
Cyclic Voltammetry
File: d:\ida_biofilms\12_10_18_dphzstar\a_760b\75um_pyo\a_75um_pyo_gc_final.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.100, -9.3909911e-8, -8.0346773e-8, 3.3333334e-1
0.099, -7.7337589e-8, -7.2405065e-8, 6.6666669e-1
0.098, -6.7006944e-8, -6.5988843e-8, 1.0000000e+0
0.097, -5.9358879e-8, -6.0893939e-8, 1.3333334e+0
0.096, -5.3299164e-8, -5.6542248e-8, 1.6666667e+0
0.095, -4.8423459e-8, -5.2841752e-8, 2.0000000e+0
0.094, -4.4031108e-8, -4.9566541e-8, 2.3333333e+0
0.093, -4.0437971e-8, -4.6748969e-8, 2.6666665e+0
0.092, -3.7269480e-8, -4.4119997e-8, 2.9999998e+0
0.091, -3.4271856e-8, -4.1817820e-8, 3.3333330e+0
0.090, -3.1821742e-8, -3.9668294e-8, 3.6666663e+0
0.089, -2.9589298e-8, -3.7755139e-8, 3.9999995e+0
0.088, -2.7593225e-8, -3.5948066e-8, 4.3333330e+0
0.087, -2.5756517e-8, -3.4308904e-8, 4.6666665e+0
0.086, -2.4181498e-8, -3.2756333e-8, 5.0000000e+0
0.085, -2.2595694e-8, -3.1393796e-8, 5.3333335e+0
0.084, -2.1193220e-8, -3.0128479e-8, 5.6666670e+0
0.083, -1.9972475e-8, -2.8937849e-8, 6.0000005e+0
0.082, -1.8807647e-8, -2.7672691e-8, 6.3333340e+0
0.081, -1.7594569e-8, -2.6675451e-8, 6.6666675e+0
0.080, -1.6654528e-8, -2.5763127e-8, 7.0000010e+0
0.079, -1.5794207e-8, -2.4879162e-8, 7.3333344e+0
0.078, -1.4755352e-8, -2.4077554e-8, 7.6666679e+0
